POS Awesome,POS Awesome
Fetch Items Directly from Server,Fetch Items Directly from Server
Menu,Menu
Actions,Actions
Close Shift,Close Shift
End current session,End current session
Print Last Invoice,Print Last Invoice
Reprint previous transaction,Reprint previous transaction
Sync Offline Invoices,Sync Offline Invoices
Upload pending transactions,Upload pending transactions
Go Online,Go Online
Go Offline,Go Offline
Disable offline mode,Disable offline mode
Work without server connection,Work without server connection
Clear Cache,Clear Cache
Remove local data and refresh,Remove local data and refresh
About,About
App information,App information
Language,Language
Change interface language,Change interface language
Light Mode,Light Mode
Dark Mode,Dark Mode
Switch theme appearance,Switch theme appearance
Logout,Logout
Sign out of session,Sign out of session
Select Language,Select Language
Choose your preferred language for the POS interface,Choose your preferred language for the POS interface
Language will be changed to,Language will be changed to
Cancel,Cancel
Change Language,Change Language
Close,Close
Cannot change language - same language selected,Cannot change language - same language selected
Language changed successfully! Reloading...,Language changed successfully! Reloading...
Failed to change language,Failed to change language
Unknown error,Unknown error
- Total Unallocated,- Total Unallocated
* Required,* Required
{0} (Qty: {1}),{0} (Qty: {1})
{0} actions,{0} actions
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.
{0} offline invoice{1} pending,{0} offline invoice{1} pending
{0} offline invoice{1} saved as draft,{0} offline invoice{1} saved as draft
{0} offline invoice{1} synced,{0} offline invoice{1} synced
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}d ago
{0}h ago,{0}h ago
{0}m ago,{0}m ago
A POS supervisor is required for this action.,A POS supervisor is required for this action.
Access,Access
Account,Account
Account is overdrawn,Account is overdrawn
Acknowledge the error to resume scanning,Acknowledge the error to resume scanning
Acknowledge the error to resume scanning.,Acknowledge the error to resume scanning.
Across,Across
Action,Action
Active sale,Active sale
add,add
Add items from the selector to start building this sale.,Add items from the selector to start building this sale.
Add more value to an existing gift card,Add more value to an existing gift card
Add New Address,Add New Address
Add new customer,Add new customer
Add on New Line,Add on New Line
Add Payment,Add Payment
Add payment to invoice,Add payment to invoice
Add/Edit Coupon Conditions,Add/Edit Coupon Conditions
Additional Discount,Additional Discount
Additional Discount %,Additional Discount %
Address Line 1,Address Line 1
Address not found,Address not found
Adjust the quantity or enable negative stock to continue.,Adjust the quantity or enable negative stock to continue.
Adjustment,Adjustment
After returns,After returns
Against,Against
Against Name,Against Name
Age Bracket,Age Bracket
All,All
All Caught Up!,All Caught Up!
All invoices are synchronized,All invoices are synchronized
All pending invoices are up to date,All pending invoices are up to date
All Profiles,All Profiles
All Synchronized,All Synchronized
All visible invoices are fully settled.,All visible invoices are fully settled.
All Warehouses,All Warehouses
Allowed UOM is {0},Allowed UOM is {0}
