POS Awesome,POS Awesome
Fetch Items Directly from Server,ດຶງເອົາລາຍການໂດຍກົງຈາກເຊີບເວີ
Menu,ເມນູ
Actions,ການກະທໍາ
Close Shift,ປິດ Shift
End current session,ສິ້ນສຸດເຊດຊັນປັດຈຸບັນ
Print Last Invoice,ພິມໃບເກັບເງິນຫຼ້າສຸດ
Reprint previous transaction,ພິມທຸລະກຳທີ່ຜ່ານມາຄືນໃໝ່
Sync Offline Invoices,Sync ໃບແຈ້ງໜີ້ອອບໄລນ໌
Upload pending transactions,ອັບໂຫຼດທຸລະກໍາທີ່ຍັງຄ້າງຢູ່
Go Online,ໄປອອນໄລນ໌
Go Offline,ໄປອອບລາຍ
Disable offline mode,ປິດການນຳໃຊ້ໂໝດອອບລາຍ
Work without server connection,ເຮັດວຽກໂດຍບໍ່ມີການເຊື່ອມຕໍ່ເຄື່ອງແມ່ຂ່າຍ
Clear Cache,ລຶບລ້າງແຄດ
Remove local data and refresh,ເອົາຂໍ້ມູນທ້ອງຖິ່ນອອກ ແລະໂຫຼດຂໍ້ມູນຄືນໃໝ່
About,ກ່ຽວກັບ
App information,ຂໍ້ມູນແອັບ
Language,ພາສາ
Change interface language,ປ່ຽນພາສາໃນການໂຕ້ຕອບ
Light Mode,ໂໝດແສງ
Dark Mode,ໂໝດມືດ
Switch theme appearance,ສະຫຼັບຮູບແບບສີສັນ
Logout,ອອກຈາກລະບົບ
Sign out of session,ອອກຈາກເຊດຊັນ
Select Language,ເລືອກພາສາ
Choose your preferred language for the POS interface,ເລືອກພາສາທີ່ທ່ານຕ້ອງການສໍາລັບການໂຕ້ຕອບ POS
Language will be changed to,ພາສາຈະຖືກປ່ຽນເປັນ
Cancel,ຍົກເລີກ
Change Language,ປ່ຽນພາສາ
Close,ປິດ
Cannot change language - same language selected,ບໍ່ສາມາດປ່ຽນພາສາໄດ້ - ເລືອກພາສາດຽວກັນ
Language changed successfully! Reloading...,ປ່ຽນພາສາສຳເລັດແລ້ວ! ກຳລັງໂຫຼດໃໝ່...
Failed to change language,ປ່ຽນພາສາບໍ່ສຳເລັດ
Unknown error,ຄວາມຜິດພາດທີ່ບໍ່ຮູ້ຈັກ
- Total Unallocated,- ບໍ່ໄດ້ຈັດສັນທັງໝົດ
* Required,* ຕ້ອງການ
{0} (Qty: {1}),{0} (ຈຳນວນ: {1})
{0} actions,{0} ການກະທຳ
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} ມີພຽງແຕ່ {1} ໃນຫຼັກຊັບ. ທ່ານໄດ້ຮ້ອງຂໍ {2}. ປັບ​ປະ​ລິ​ມານ​ຫຼື restock​.
{0} offline invoice{1} pending,{0} ໃບແຈ້ງໜີ້ອອບລາຍ{1} ລໍຖ້າຢູ່
{0} offline invoice{1} saved as draft,ບັນທຶກ {0} ໃບແຈ້ງໜີ້ອອບລາຍ{1} ເປັນສະບັບຮ່າງແລ້ວ
{0} offline invoice{1} synced,ຊິງຄ໌ {0} ໃບເກັບເງິນອອບໄລນ໌{1} ແລ້ວ
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}ມື້ກ່ອນ
{0}h ago,{0}ຊມ ກ່ອນ
{0}m ago,{0}ນທ ກ່ອນ
A POS supervisor is required for this action.,ຕ້ອງມີຜູ້ຄຸມ POS ສໍາລັບການປະຕິບັດນີ້.
Access,ການເຂົ້າເຖິງ
Account,ບັນຊີ
Account is overdrawn,ບັນຊີຖືກຖອນເກີນ
Acknowledge the error to resume scanning,ຮັບຮູ້ຄວາມຜິດພາດເພື່ອສືບຕໍ່ການສະແກນ
Acknowledge the error to resume scanning.,ຮັບຮູ້ຄວາມຜິດພາດເພື່ອສືບຕໍ່ການສະແກນ.
Across,ຂ້າມ
Action,ການປະຕິບັດ
Active sale,ຂາຍຢ່າງຫ້າວຫັນ
add,ເພີ່ມ
Add items from the selector to start building this sale.,ເພີ່ມລາຍການຈາກຕົວເລືອກເພື່ອເລີ່ມຕົ້ນການສ້າງການຂາຍນີ້.
Add more value to an existing gift card,ເພີ່ມມູນຄ່າໃຫ້ກັບບັດຂອງຂວັນທີ່ມີຢູ່ແລ້ວ
