POS Awesome,POS ഗംഭീരം
Fetch Items Directly from Server,സെർവറിൽ നിന്ന് നേരിട്ട് ഇനങ്ങൾ ലഭ്യമാക്കുക
Menu,മെനു
Actions,പ്രവർത്തനങ്ങൾ
Close Shift,ഷിഫ്റ്റ് അടയ്ക്കുക
End current session,നിലവിലെ സെഷൻ അവസാനിപ്പിക്കുക
Print Last Invoice,അവസാന ഇൻവോയ്സ് പ്രിൻ്റ് ചെയ്യുക
Reprint previous transaction,മുമ്പത്തെ ഇടപാട് വീണ്ടും അച്ചടിക്കുക
Sync Offline Invoices,ഓഫ്‌ലൈൻ ഇൻവോയ്‌സുകൾ സമന്വയിപ്പിക്കുക
Upload pending transactions,തീർപ്പാക്കാത്ത ഇടപാടുകൾ അപ്‌ലോഡ് ചെയ്യുക
Go Online,ഓൺലൈനിൽ പോകുക
Go Offline,ഓഫ്‌ലൈനിൽ പോകുക
Disable offline mode,ഓഫ്‌ലൈൻ മോഡ് പ്രവർത്തനരഹിതമാക്കുക
Work without server connection,സെർവർ കണക്ഷൻ ഇല്ലാതെ പ്രവർത്തിക്കുക
Clear Cache,കാഷെ മായ്‌ക്കുക
Remove local data and refresh,പ്രാദേശിക ഡാറ്റ നീക്കം ചെയ്‌ത് പുതുക്കുക
About,കുറിച്ച്
App information,ആപ്പ് വിവരങ്ങൾ
Language,ഭാഷ
Change interface language,ഇൻ്റർഫേസ് ഭാഷ മാറ്റുക
Light Mode,ലൈറ്റ് മോഡ്
Dark Mode,ഡാർക്ക് മോഡ്
Switch theme appearance,തീം രൂപം മാറുക
Logout,പുറത്തുകടക്കുക
Sign out of session,സെഷനിൽ നിന്ന് സൈൻ ഔട്ട് ചെയ്യുക
Select Language,ഭാഷ തിരഞ്ഞെടുക്കുക
Choose your preferred language for the POS interface,POS ഇൻ്റർഫേസിനായി നിങ്ങൾ തിരഞ്ഞെടുത്ത ഭാഷ തിരഞ്ഞെടുക്കുക
Language will be changed to,എന്നതിലേക്ക് ഭാഷ മാറ്റപ്പെടും
Cancel,റദ്ദാക്കുക
Change Language,ഭാഷ മാറ്റുക
Close,അടയ്ക്കുക
Cannot change language - same language selected,ഭാഷ മാറ്റാൻ കഴിയില്ല - അതേ ഭാഷ തിരഞ്ഞെടുത്തു
Language changed successfully! Reloading...,ഭാഷ വിജയകരമായി മാറ്റി! വീണ്ടും ലോഡുചെയ്യുന്നു...
Failed to change language,ഭാഷ മാറ്റുന്നതിൽ പരാജയപ്പെട്ടു
Unknown error,അജ്ഞാത പിശക്
- Total Unallocated,- ആകെ അനുവദിച്ചിട്ടില്ല
* Required,*ആവശ്യമാണ്
{0} (Qty: {1}),{0} (Qty: {1})
{0} actions,{0} പ്രവർത്തനങ്ങൾ
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} ന് {1} മാത്രമേ സ്‌റ്റോക്കിലുള്ളൂ. നിങ്ങൾ {2} അഭ്യർത്ഥിച്ചു. അളവ് അല്ലെങ്കിൽ റീസ്റ്റോക്ക് ക്രമീകരിക്കുക.
{0} offline invoice{1} pending,{0} ഓഫ്‌ലൈൻ ഇൻവോയ്സ്{1} തീർച്ചപ്പെടുത്തിയിട്ടില്ല
{0} offline invoice{1} saved as draft,{0} ഓഫ്‌ലൈൻ ഇൻവോയ്സ്{1} ഡ്രാഫ്റ്റായി സംരക്ഷിച്ചു
{0} offline invoice{1} synced,{0} ഓഫ്‌ലൈൻ ഇൻവോയ്സ്{1} സമന്വയിപ്പിച്ചു
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}ദിവസം മുമ്പ്
{0}h ago,{0}മണിക്കൂർ മുമ്പ്
{0}m ago,{0}മിനിറ്റ് മുമ്പ്
