POS Awesome,POS ya Kushangaza
Fetch Items Directly from Server,Leta Vipengee Moja kwa Moja kutoka kwa Seva
Menu,Menyu
Actions,Vitendo
Close Shift,Funga Shift
End current session,Maliza kipindi cha sasa
Print Last Invoice,Chapisha ankara ya Mwisho
Reprint previous transaction,Chapisha tena muamala uliopita
Sync Offline Invoices,Sawazisha Ankara za Nje ya Mtandao
Upload pending transactions,Pakia shughuli zinazosubiri
Go Online,Nenda Mtandaoni
Go Offline,Nenda Nje ya Mtandao
Disable offline mode,Zima hali ya nje ya mtandao
Work without server connection,Fanya kazi bila muunganisho wa seva
Clear Cache,Futa Cache
Remove local data and refresh,Ondoa data ya ndani na uonyeshe upya
About,Kuhusu
App information,Taarifa ya programu
Language,Lugha
Change interface language,Badilisha lugha ya kiolesura
Light Mode,Hali ya Mwanga
Dark Mode,Hali ya Giza
Switch theme appearance,Badilisha mwonekano wa mandhari
Logout,Ondoka
Sign out of session,Ondoka kwenye kipindi
Select Language,Chagua Lugha
Choose your preferred language for the POS interface,Chagua lugha unayopendelea kwa kiolesura cha POS
Language will be changed to,Lugha itabadilishwa kuwa
Cancel,Ghairi
Change Language,Badilisha Lugha
Close,Funga
Cannot change language - same language selected,Haiwezi kubadilisha lugha - lugha sawa imechaguliwa
Language changed successfully! Reloading...,Lugha imebadilishwa kwa mafanikio! Inapakia upya...
Failed to change language,Imeshindwa kubadilisha lugha
Unknown error,Hitilafu isiyojulikana
- Total Unallocated,- Jumla Isiyotengwa
* Required,* Inahitajika
{0} (Qty: {1}),{0} (Kiasi: {1})
{0} actions,{0} vitendo
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} ina {1} pekee kwenye soko. Uliomba {2}. Rekebisha wingi au uhifadhi tena.
{0} offline invoice{1} pending,{0} ankara ya nje ya mtandao{1} inasubiri
{0} offline invoice{1} saved as draft,{0} ankara ya nje ya mtandao{1} imehifadhiwa kama rasimu
{0} offline invoice{1} synced,{0} ankara ya nje ya mtandao{1} iliyosawazishwa
{0}: {1} {2},{0}: {1} {2}
{0}d ago,Siku {0} zilizopita
{0}h ago,Saa {0} zilizopita
{0}m ago,Dakika {0} zilizopita
A POS supervisor is required for this action.,Msimamizi wa POS anahitajika kwa hatua hii.
Access,Ufikiaji
Account,Akaunti
Account is overdrawn,Akaunti imetolewa
Acknowledge the error to resume scanning,Kubali hitilafu ili kuendelea na utafutaji
Acknowledge the error to resume scanning.,Kubali hitilafu ili kuendelea na utafutaji.
Across,Kuvuka
Action,Kitendo
Active sale,Uuzaji unaotumika
add,ongeza
Add items from the selector to start building this sale.,Ongeza bidhaa kutoka kwa kiteuzi ili kuanza kuunda ofa hii.
Add more value to an existing gift card,Ongeza thamani zaidi kwa kadi iliyopo ya zawadi
Add New Address,Ongeza Anwani Mpya
Add new customer,Ongeza mteja mpya
Add on New Line,Ongeza kwenye Mstari Mpya
Add Payment,Ongeza Malipo
Add payment to invoice,Ongeza malipo kwenye ankara
Add/Edit Coupon Conditions,Ongeza/Hariri Masharti ya Kuponi
Additional Discount,Punguzo la Ziada
Additional Discount %,Punguzo la Ziada %
Address Line 1,Mstari wa 1 wa Anwani
Address not found,Anwani haijapatikana
Adjust the quantity or enable negative stock to continue.,Rekebisha wingi au uwashe hisa hasi ili kuendelea.
Adjustment,Marekebisho
After returns,Baada ya kurudi
Against,Dhidi ya
Against Name,Dhidi ya Jina
Age Bracket,Bracket ya Umri
All,Wote
All Caught Up!,Yote Yameshikiliwa!
All invoices are synchronized,Ankara zote zimesawazishwa
All pending invoices are up to date,Ankara zote zinazosubiri zimesasishwa
All Profiles,Profaili Zote
All Synchronized,Zote Zimesawazishwa
All visible invoices are fully settled.,Ankara zote zinazoonekana zimetatuliwa kikamilifu.
All Warehouses,Maghala Yote
Allowed UOM is {0},UOM inayoruhusiwa ni {0}
Always fetch items from server (ignore local cache),Kila mara tafuta vitu kutoka kwa seva (puuza akiba ya ndani)
Amount,Kiasi
Amount already received,Kiasi ambacho tayari kimepokelewa
Amount exceeds profile cash movement max amount.,Kiasi kinazidi kiwango cha juu cha uhamishaji wa pesa wasifu.
Amount must be greater than zero.,Kiasi lazima kiwe kikubwa kuliko sifuri.
Amount received from customer,Kiasi kilichopokelewa kutoka kwa mteja
Appearance and user-level preferences for the current session.,Muonekano na mapendeleo ya kiwango cha mtumiaji kwa kipindi cha sasa.
Applied,Imetumika
Apply,Omba
Apply Gift Card,Omba Kadi ya Zawadi
Apply Offer,Omba Ofa
Apply On,Tumia Washa
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Tumia tu kiasi unachotaka kukomboa kwenye ankara hii. Salio iliyobaki inabaki kwenye kadi.
Apply Redemption,Tumia Ukombozi
Applying,Inatuma
Apps,Programu
Are you sure you want to close? All entered data will be lost.,"Je, una uhakika unataka kufunga? Data yote iliyoingizwa itapotea."
Attributes (Size/Color),Sifa (Ukubwa/Rangi)
Auto Allocate Payment Amount,Tenga Kiasi cha Malipo kiotomatiki
Auto Reconcile,Kupatanisha Auto
Auto reconciliation completed after payment submit.,Upatanisho otomatiki umekamilika baada ya kuwasilisha malipo.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Upatanisho otomatiki umekamilika. Imetengwa: {0}{1}. Zinazosalia: {0}{2}.
Available Actions,Vitendo Vinavyopatikana
Available QTY,Inapatikana QTY
Available:,Inapatikana:
Average Basket,Kikapu cha wastani
Average Bill,Mswada wa Wastani
Average Ticket,Tikiti ya wastani
Avg Bill,Wastani wa Bili
Avg Invoice,Ankara ya wastani
Avg Invoice Profit,Faida ya wastani ya ankara
Avg Invoice Value,Thamani ya wastani ya ankara
Avg Purchase Frequency,Wastani wa Marudio ya Ununuzi
Awesome,Kushangaza
Awesome Dashboard,Dashibodi ya Kushangaza
Awesome Dashboard is disabled for the selected POS Profile.,Dashibodi ya Ajabu imezimwa kwa Wasifu wa POS uliochaguliwa.
Awesome Dashboard is unavailable for the selected scope.,Dashibodi ya Ajabu haipatikani kwa upeo uliochaguliwa.
Awesome Dashboard is visible only to POS supervisors.,Dashibodi ya Ajabu inaonekana kwa wasimamizi wa POS pekee.
Back,Nyuma
Back Office Cash Account,Akaunti ya Fedha ya Ofisi ya Nyuma
Back Office Cash Account (Optional Override),Akaunti ya Fedha ya Ofisi ya Nyuma (Hiari ya Batilisha)
Back office cash account is required.,Akaunti ya pesa ya ofisi ya nyuma inahitajika.
Back to {0},Rudi kwa {0}
Background processing did not finish in time.,Uchakataji wa usuli haukumaliza kwa wakati.
Background processing failed for Invoice {0}: {1},Uchakataji wa chinichini haujafaulu kwa Ankara {0}: {1}
Background Submission Failed,Uwasilishaji wa Mandharinyuma Umeshindwa
Background sync interval (seconds),Muda wa kusawazisha usuli (sekunde)
Balance,Mizani
Balance will be updated when connection is restored,Salio litasasishwa muunganisho utakaporejeshwa
Balances still pending,Mizani bado inasubiri
Barcode,Msimbo pau
Barcode / QR Ready,Msimbo pau / QR Tayari
Barcode Label Printing,Uchapishaji wa Lebo ya Misimbo
Base Paid:,Msingi Umelipwa:
Base Recv:,Recv Msingi:
Base:,Msingi:
Basic Information,Taarifa za Msingi
Batch,Kundi
Batch Information,Taarifa za Kundi
Before any return workflow,Kabla ya mtiririko wowote wa kurudi
Before returns,Kabla ya kurudi
Best Day,Siku Bora
Best Seller,Muuzaji Bora
Book expense or deposit from active shift.,Gharama ya kitabu au amana kutoka kwa zamu inayotumika.
Branch / Location-wise Report,Ripoti ya Tawi / Mahali
Brand-wise,Kwa busara chapa
Breakdown,Uchanganuzi
Browse,Vinjari
Build Time:,Muda wa Kujenga:
Built with Frappe,Imejengwa na Frappe
Bundle,Kifungu
Buying Price,Bei ya Kununua
Cache cleared successfully,Akiba imefutwa
Cache Usage,Matumizi ya Cache
cache used,kashe iliyotumika
Calculating...,Inakokotoa...
Camera Access Required,Ufikiaji wa Kamera Unahitajika
Camera access was aborted. Please try again.,Ufikiaji wa kamera umekatizwa. Tafadhali jaribu tena.
Camera constraints not supported by your device. Trying fallback settings...,Vizuizi vya kamera haziauniwi na kifaa chako. Inajaribu mipangilio mbadala...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kamera ina shughuli nyingi au imezuiwa na programu/kichupo kingine. Funga programu zingine za kamera na ujaribu tena.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Ruhusa ya kamera imekataliwa. Tafadhali ruhusu ufikiaji wa kamera katika mipangilio ya kivinjari chako na uonyeshe ukurasa upya.
Camera scanner is locked until the current error is acknowledged,Kichanganuzi cha kamera kimefungwa hadi hitilafu ya sasa ikubaliwe
Camera started but the video stream did not load in time. Please try again.,Kamera ilianza lakini mtiririko wa video haukupakia kwa wakati. Tafadhali jaribu tena.
Cancel cash movement {0}?,Ungependa kughairi usafirishaji wa pesa {0}?
Cancel Payment,Ghairi Malipo
Cancel Sale,Ghairi Uuzaji
Cancel Sale ?,Ungependa Kughairi Uuzaji?
Cancelled,Imeghairiwa
Cannot add an item with zero or negative quantity.,Haiwezi kuongeza kipengee chenye sifuri au wingi hasi.
Cannot clear cache while offline,Haiwezi kufuta akiba ukiwa nje ya mtandao
Cannot redeem customer credit more than invoice total,Haiwezi kukomboa mkopo wa mteja zaidi ya jumla ya ankara
Cannot redeem gift cards more than invoice total,Haiwezi kukomboa kadi za zawadi zaidi ya jumla ya ankara
Cannot Save Offline Invoice:,Haiwezi Kuhifadhi Ankara ya Nje ya Mtandao:
Cannot Save Offline Payment:,Haiwezi Kuhifadhi Malipo ya Nje ya Mtandao:
Card,Kadi
Card / Online,Kadi / Mkondoni
Card health after the last live lookup,Afya ya kadi baada ya ukaguzi wa mwisho wa moja kwa moja
Cards,Kadi
Cart,Mkokoteni
Cash,Fedha taslimu
Cash back to customers,Rejesha pesa kwa wateja
Cash Collections,Makusanyo ya Fedha
Cash Deposit is disabled for this POS Profile.,Amana ya Pesa imezimwa kwa Wasifu huu wa POS.
Cash Drawer Snapshot,Picha ya Droo ya Pesa
Cash In Hand,Pesa Mkononi
Cash Movement,Harakati za Fedha
Cash movement cancelled,Usafirishaji wa pesa umeghairiwa
Cash movement deduction applied,Utoaji wa makato ya pesa taslimu umetumika
Cash movement deleted,Uhamisho wa pesa umefutwa
Cash movement is disabled for this POS Profile.,Uhamishaji wa pesa umezimwa kwa Wasifu huu wa POS.
Cash Movement is disabled in current POS Profile.,Uhamishaji wa Pesa umezimwa katika Wasifu wa sasa wa POS.
Cash movement saved offline,Uhamisho wa pesa umehifadhiwa nje ya mtandao
Cash movement submitted,Harakati za pesa zimewasilishwa
Cash Movements,Harakati za Fedha
Cash payment cannot be less than invoice total when partial payment is not allowed,Malipo ya pesa taslimu hayawezi kuwa chini ya jumla ya ankara wakati malipo ya sehemu hayaruhusiwi
Cash returned after payment,Pesa zilizorudishwa baada ya malipo
Cashier,Keshia
Cashier Access,Ufikiaji wa Cashier
Cashier identity and appearance preferences.,Utambulisho wa mtunza fedha na upendeleo wa mwonekano.
Cashier PIN,PIN ya keshia
Cashier PIN saved successfully.,PIN ya keshia imehifadhiwa.
Cashiers,Washika fedha
Cashier-wise,Cashier-busara
Categories,Kategoria
Category,Kategoria
Category / Brand / Variant Report,Ripoti ya Aina / Chapa / Lahaja
Category-wise,Jamii-busara
Category-wise Margin,Upeo wa busara wa kitengo
Certificate,Cheti
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Cheti hakipo au hakiaminiki. QZ inaweza kuonyesha mazungumzo ya uthibitishaji.
