POS Awesome,ПОС Авесоме
Fetch Items Directly from Server,Преузми ставке директно са сервера
Menu,Мени
Actions,Акције
Close Shift,Затвори Схифт
End current session,Завршите тренутну сесију
Print Last Invoice,Одштампај последњу фактуру
Reprint previous transaction,Поново одштампајте претходну трансакцију
Sync Offline Invoices,Синхронизујте ванмрежне фактуре
Upload pending transactions,Отпремите трансакције на чекању
Go Online,Го Онлине
Go Offline,Иди ван мреже
Disable offline mode,Онемогућите режим ван мреже
Work without server connection,Радите без везе са сервером
Clear Cache,Цлеар Цацхе
Remove local data and refresh,Уклоните локалне податке и освежите их
About,Абоут
App information,Информације о апликацији
Language,Језик
Change interface language,Промените језик интерфејса
Light Mode,Лигхт Моде
Dark Mode,Дарк Моде
Switch theme appearance,Промените изглед теме
Logout,Одјава
Sign out of session,Одјавите се са сесије
Select Language,Изаберите Језик
Choose your preferred language for the POS interface,Изаберите жељени језик за ПОС интерфејс
Language will be changed to,Језик ће бити промењен у
Cancel,Откажи
Change Language,Промени језик
Close,Затвори
Cannot change language - same language selected,Није могуће променити језик – изабран је исти језик
Language changed successfully! Reloading...,Језик је успешно промењен! Поновно учитавање...
Failed to change language,Промена језика није успела
Unknown error,Непозната грешка
- Total Unallocated,- Укупно нераспоређено
* Required,* Обавезно
{0} (Qty: {1}),{0} (количина: {1})
{0} actions,{0} радњи
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} има само {1} на залихама. Захтевали сте {2}. Подесите количину или обновите залихе.
{0} offline invoice{1} pending,{0} офлајн фактура{1} на чекању
{0} offline invoice{1} saved as draft,{0} офлајн фактура{1} је сачувана као радна верзија
{0} offline invoice{1} synced,{0} офлајн фактура{1} синхронизована
{0}: {1} {2},{0}: {1} {2}
{0}d ago,пре {0} д
{0}h ago,пре {0} х
{0}m ago,пре {0} мин
A POS supervisor is required for this action.,За ову радњу потребан је ПОС супервизор.
Access,Приступ
Account,Рачун
Account is overdrawn,Рачун је прекорачен
Acknowledge the error to resume scanning,Потврдите грешку да бисте наставили скенирање
Acknowledge the error to resume scanning.,Потврдите грешку да бисте наставили скенирање.
Across,Преко
Action,Акција
Active sale,Активна продаја
add,додати
Add items from the selector to start building this sale.,Додајте ставке из бирача да бисте започели изградњу ове продаје.
Add more value to an existing gift card,Додајте већу вредност постојећој поклон картици
Add New Address,Додај нову адресу
Add new customer,Додајте новог купца
Add on New Line,Додајте на нову линију
Add Payment,Додај плаћање
Add payment to invoice,Додајте уплату на фактуру
Add/Edit Coupon Conditions,Додај/измени услове купона
Additional Discount,Додатни попуст
Additional Discount %,Додатни попуст %
Address Line 1,Адресни ред 1
Address not found,Адреса није пронађена
Adjust the quantity or enable negative stock to continue.,Подесите количину или омогућите наставак негативних залиха.
Adjustment,Подешавање
After returns,После повратка
Against,Против
Against Name,Против имена
Age Bracket,Аге Брацкет
All,Све
All Caught Up!,Алл Цаугхт Уп!
All invoices are synchronized,Све фактуре су синхронизоване
All pending invoices are up to date,Све фактуре на чекању су ажуриране
All Profiles,Сви профили
All Synchronized,Алл Синцхронизед
All visible invoices are fully settled.,Све видљиве фактуре су у потпуности измирене.
All Warehouses,Сва складишта
Allowed UOM is {0},Дозвољени УОМ је {0}
Always fetch items from server (ignore local cache),Увек преузимај ставке са сервера (занемари локални кеш)
Amount,Износ
Amount already received,Износ који је већ примљен
Amount exceeds profile cash movement max amount.,Износ премашује максималан износ кретања готовине профила.
Amount must be greater than zero.,Износ мора бити већи од нуле.
Amount received from customer,Износ примљен од купца
Appearance and user-level preferences for the current session.,Изглед и подешавања на нивоу корисника за тренутну сесију.
Applied,Примењено
Apply,Пријавите се
Apply Gift Card,Примените поклон картицу
Apply Offer,Примени понуду
Apply On,Аппли Он
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Примените само износ који желите да искористите на овој фактури. Преостали износ остаје на картици.
Apply Redemption,Примени искупљење
Applying,Примена
Apps,Аппс
Are you sure you want to close? All entered data will be lost.,Да ли сте сигурни да желите да затворите? Сви унети подаци ће бити изгубљени.
Attributes (Size/Color),Атрибути (величина/боја)
Auto Allocate Payment Amount,Аутоматско додељивање износа плаћања
Auto Reconcile,Ауто Рецонциле
Auto reconciliation completed after payment submit.,Аутоматско усаглашавање је завршено након слања уплате.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Аутоматско помирење је завршено. Додељено: {0}{1}. Преостало нерешено: {0}{2}.
Available Actions,Доступне радње
Available QTY,Аваилабле КТИ
Available:,Доступно:
Average Basket,Просечна корпа
Average Bill,Авераге Билл
Average Ticket,Просечна карта
Avg Bill,Авг Билл
Avg Invoice,Прос. фактура
Avg Invoice Profit,Просечан профит на фактури
Avg Invoice Value,Просечна вредност фактуре
Avg Purchase Frequency,Просечна учесталост куповине
Awesome,Сјајно
Awesome Dashboard,Авесоме Дасхбоард
Awesome Dashboard is disabled for the selected POS Profile.,Авесоме Дасхбоард је онемогућен за изабрани ПОС профил.
Awesome Dashboard is unavailable for the selected scope.,Сјајна контролна табла није доступна за изабрани опсег.
Awesome Dashboard is visible only to POS supervisors.,Сјајна контролна табла је видљива само надзорницима ПОС-а.
Back,Назад
Back Office Cash Account,готовински рачун за бацк Оффице
Back Office Cash Account (Optional Override),готовински рачун за позадину (опционо замена)
Back office cash account is required.,Потребан је готовински рачун позадинске канцеларије.
Back to {0},Назад на {0}
Background processing did not finish in time.,Позадинска обрада није завршена на време.
Background processing failed for Invoice {0}: {1},Позадинска обрада није успела за фактуру {0}: {1}
Background Submission Failed,Слање у позадини није успело
Background sync interval (seconds),Интервал синхронизације у позадини (секунде)
Balance,Баланс
Balance will be updated when connection is restored,Стање ће бити ажурирано када се веза успостави
Balances still pending,Стања још увек на чекању
Barcode,Баркод
Barcode / QR Ready,Баркод / КР Реади
Barcode Label Printing,Штампање баркод етикета
Base Paid:,Плаћено основно:
Base Recv:,Басе Рецв:
Base:,база:
Basic Information,Основне информације
Batch,Батцх
Batch Information,Информације о серији
Before any return workflow,Пре било каквог повратног тока посла
Before returns,Пре повратка
Best Day,Најбољи дан
Best Seller,Бест Селлер
Book expense or deposit from active shift.,Резервишите трошак или депозит из активне смене.
Branch / Location-wise Report,Огранак / Извештај о локацији
Brand-wise,Бранд-висе
Breakdown,Бреакдовн
Browse,Прегледај
Build Time:,Време израде:
Built with Frappe,Изграђен са Фраппе-ом
Bundle,Бундле
Buying Price,Куповна цена
Cache cleared successfully,Кеш је успешно обрисан
Cache Usage,Употреба кеша
cache used,кеш који се користи
Calculating...,Израчунавање...
Camera Access Required,Потребан је приступ камери
Camera access was aborted. Please try again.,Приступ камери је прекинут. Покушајте поново.
Camera constraints not supported by your device. Trying fallback settings...,Ваш уређај не подржава ограничења камере. Покушавам резервне поставке...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Камера је заузета или блокирана од стране друге апликације/картице. Затворите друге апликације за камеру и покушајте поново.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Дозвола за камеру је одбијена. Дозволите приступ камери у подешавањима прегледача и освежите страницу.
Camera scanner is locked until the current error is acknowledged,Скенер камере је закључан док се тренутна грешка не потврди
Camera started but the video stream did not load in time. Please try again.,"Камера је покренута, али се видео стрим није учитао на време. Покушајте поново."
Cancel cash movement {0}?,Отказати кретање готовине {0}?
Cancel Payment,Откажи плаћање
Cancel Sale,Цанцел Сале
Cancel Sale ?,Цанцел Сале ?
Cancelled,Отказано
Cannot add an item with zero or negative quantity.,Није могуће додати ставку са нултом или негативном количином.
Cannot clear cache while offline,Није могуће избрисати кеш док сте ван мреже
Cannot redeem customer credit more than invoice total,Кредит клијента не може да се искористи више од укупног износа фактуре
Cannot redeem gift cards more than invoice total,Не можете да искористите поклон картице више од укупног износа фактуре
Cannot Save Offline Invoice:,Није могуће сачувати ванмрежну фактуру:
Cannot Save Offline Payment:,Није могуће сачувати плаћање ван мреже:
Card,Цард
Card / Online,Цард / Онлине
Card health after the last live lookup,Здравље картице након последњег прегледа уживо
Cards,Карте
Cart,Царт
Cash,Цасх
Cash back to customers,Поврат новца купцима
Cash Collections,Цасх Цоллецтионс
Cash Deposit is disabled for this POS Profile.,Готовински депозит је онемогућен за овај ПОС профил.
Cash Drawer Snapshot,Снимак фиоке за готовину
Cash In Hand,Цасх Ин Ханд
Cash Movement,Цасх Мовемент
Cash movement cancelled,Кретање готовине је отказано
Cash movement deduction applied,Примењен је одбитак кретања готовине
Cash movement deleted,Кретање готовине је избрисано
Cash movement is disabled for this POS Profile.,Кретање готовине је онемогућено за овај ПОС профил.
Cash Movement is disabled in current POS Profile.,Кретање готовине је онемогућено у тренутном ПОС профилу.
Cash movement saved offline,Кретање готовине је сачувано ван мреже
Cash movement submitted,Достављено кретање готовине
Cash Movements,Готовински покрети
Cash payment cannot be less than invoice total when partial payment is not allowed,Плаћање у готовини не може бити мање од укупне фактуре када делимично плаћање није дозвољено
Cash returned after payment,Готовина враћена након уплате
Cashier,благајник
Cashier Access,Приступ благајни
Cashier identity and appearance preferences.,Идентитет благајника и преференције изгледа.
Cashier PIN,ПИН благајника
Cashier PIN saved successfully.,ПИН благајне је успешно сачуван.
Cashiers,благајници
Cashier-wise,Благајнички
Categories,Категорије
Category,Категорија
