POS Awesome,POS מדהים
Fetch Items Directly from Server,אחזר פריטים ישירות מהשרת
Menu,תפריט
Actions,פעולות
Close Shift,סגור Shift
End current session,סיום ההפעלה הנוכחית
Print Last Invoice,הדפס חשבונית אחרונה
Reprint previous transaction,הדפס מחדש עסקה קודמת
Sync Offline Invoices,סנכרון חשבוניות לא מקוונות
Upload pending transactions,העלה עסקאות ממתינות
Go Online,עבור לאינטרנט
Go Offline,עבור למצב לא מקוון
Disable offline mode,השבת מצב לא מקוון
Work without server connection,עבודה ללא חיבור לשרת
Clear Cache,נקה את המטמון
Remove local data and refresh,הסר נתונים מקומיים ורענן
About,בערך
App information,מידע על האפליקציה
Language,שפה
Change interface language,שנה שפת ממשק
Light Mode,מצב אור
Dark Mode,מצב כהה
Switch theme appearance,החלף את מראה הנושא
Logout,התנתק
Sign out of session,צא מההפעלה
Select Language,בחר שפה
Choose your preferred language for the POS interface,בחר את השפה המועדפת עליך עבור ממשק הקופה
Language will be changed to,השפה תשתנה ל
Cancel,בטל
Change Language,שנה שפה
Close,סגור
Cannot change language - same language selected,לא ניתן לשנות שפה - נבחרה אותה שפה
Language changed successfully! Reloading...,השפה השתנתה בהצלחה! טוען מחדש...
Failed to change language,שינוי השפה נכשל
Unknown error,שגיאה לא ידועה
- Total Unallocated,- סך הכל לא מוקצה
* Required,*חובה
{0} (Qty: {1}),{0} (כמות: {1})
{0} actions,{0} פעולות
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,ל-{0} יש רק {1} במלאי. ביקשת {2}. התאם כמות או מלאי מחדש.
{0} offline invoice{1} pending,{0} חשבונית לא מקוונת{1} בהמתנה
{0} offline invoice{1} saved as draft,{0} חשבונית לא מקוונת{1} נשמרה כטיוטה
{0} offline invoice{1} synced,{0} חשבונית לא מקוונת{1} מסונכרנת
{0}: {1} {2},{0}: {1} {2}
{0}d ago,לפני {0} ימים
{0}h ago,לפני {0} שעות
{0}m ago,לפני {0}מ'
A POS supervisor is required for this action.,נדרש מפקח קופה לפעולה זו.
Access,גישה
Account,חשבון
Account is overdrawn,יש משיכת יתר בחשבון
Acknowledge the error to resume scanning,אשר את השגיאה כדי לחדש את הסריקה
Acknowledge the error to resume scanning.,אשר את השגיאה כדי לחדש את הסריקה.
Across,ממול
Action,פעולה
Active sale,מכירה פעילה
add,להוסיף
Add items from the selector to start building this sale.,הוסף פריטים מהבורר כדי להתחיל לבנות את המכירה הזו.
Add more value to an existing gift card,הוסף ערך רב יותר לכרטיס מתנה קיים
Add New Address,הוסף כתובת חדשה
Add new customer,הוסף לקוח חדש
Add on New Line,הוסף בשורה חדשה
Add Payment,הוסף תשלום
Add payment to invoice,הוסף תשלום לחשבונית
Add/Edit Coupon Conditions,הוסף/ערוך תנאי קופון
Additional Discount,הנחה נוספת
Additional Discount %,% הנחה נוספת
Address Line 1,שורת כתובת 1
Address not found,הכתובת לא נמצאה
Adjust the quantity or enable negative stock to continue.,התאם את הכמות או אפשר את המשך המלאי השלילי.
Adjustment,התאמה
After returns,אחרי החזרות
Against,נגד
Against Name,נגד השם
Age Bracket,שכבת גיל
All,הכל
