POS Awesome,POS-терминал
Fetch Items Directly from Server,Получение элементов напрямую с сервера
Menu,Меню
Actions,Действия
Close Shift,Закрыть смену
End current session,Завершить текущий сеанс
Print Last Invoice,Распечатать последний счет
Reprint previous transaction,Перепечатать предыдущую транзакцию
Sync Offline Invoices,Синхронизировать автономные счета
Upload pending transactions,Загрузить ожидающие транзакции
Go Online,Выйти в Интернет
Go Offline,Перейти в автономный режим
Disable offline mode,Отключить автономный режим
Work without server connection,Работа без подключения к серверу
Clear Cache,Очистить кэш
Remove local data and refresh,Удалить локальные данные и обновить
About,О
App information,Информация о приложении
Language,Язык
Change interface language,Изменить язык интерфейса
Light Mode,Светлый режим
Dark Mode,Темный режим
Switch theme appearance,Переключить внешний вид темы
Logout,Выход из системы
Sign out of session,Выйти из сеанса
Select Language,Выберите язык
Choose your preferred language for the POS interface,Выберите предпочитаемый язык интерфейса POS
Language will be changed to,Язык будет изменен на
Cancel,Отмена
Change Language,Изменить язык
Close,Закрыть
Cannot change language - same language selected,Невозможно изменить язык — выбран тот же язык
Language changed successfully! Reloading...,Язык успешно изменен! Перезагрузка...
Failed to change language,Не удалось изменить язык
Unknown error,Неизвестная ошибка
- Total Unallocated,- Всего нераспределенных
* Required,* Обязательно
{0} (Qty: {1}),{0} (Кол-во: {1})
{0} actions,{0} действий
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,У {0} в наличии только {1}. Вы запросили {2}. Отрегулируйте количество или пополните запасы.
{0} offline invoice{1} pending,{0}автономный счет{1} находится на рассмотрении
{0} offline invoice{1} saved as draft,{0}офлайн-счет{1} сохранен как черновик.
{0} offline invoice{1} synced,{0}автономный счет{1} синхронизирован
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}д назад
{0}h ago,{0}ч назад
{0}m ago,{0} м назад
A POS supervisor is required for this action.,Для этого действия требуется супервайзер POS.
Access,Доступ
Account,Аккаунт
Account is overdrawn,Счет перегружен
Acknowledge the error to resume scanning,"Подтвердите ошибку, чтобы возобновить сканирование."
Acknowledge the error to resume scanning.,"Подтвердите ошибку, чтобы возобновить сканирование."
Across,Через
Action,Действие
Active sale,Активная распродажа
add,добавить
Add items from the selector to start building this sale.,"Добавьте товары из селектора, чтобы начать создавать эту распродажу."
Add more value to an existing gift card,Добавьте больше ценности существующей подарочной карте
Add New Address,Добавить новый адрес
Add new customer,Добавить нового клиента
Add on New Line,Добавить новую строку
Add Payment,Добавить платеж
Add payment to invoice,Добавить оплату в счет
Add/Edit Coupon Conditions,Добавить/изменить условия купона
Additional Discount,Дополнительная скидка
Additional Discount %,Дополнительная скидка %
Address Line 1,Адресная строка 1
Address not found,Адрес не найден
Adjust the quantity or enable negative stock to continue.,"Отрегулируйте количество или включите отрицательный запас, чтобы продолжить."
Adjustment,Регулировка
After returns,После возврата
Against,Против
Against Name,Против имени
Age Bracket,Возрастная группа
All,Все
All Caught Up!,Все пойманы!
All invoices are synchronized,Все счета синхронизируются
All pending invoices are up to date,Все ожидающие оплаты счета актуальны.
All Profiles,Все профили
All Synchronized,Все синхронизировано
All visible invoices are fully settled.,Все видимые счета-фактуры полностью оплачены.
All Warehouses,Все склады
Allowed UOM is {0},Разрешенная единица измерения: {0}.
Always fetch items from server (ignore local cache),Всегда получать элементы с сервера (игнорировать локальный кеш)
Amount,Сумма
Amount already received,Сумма уже получена
Amount exceeds profile cash movement max amount.,Сумма превышает максимальную сумму движения денежных средств по профилю.
Amount must be greater than zero.,Сумма должна быть больше нуля.
Amount received from customer,Сумма получена от клиента
