POS Awesome,POS страхотно
Fetch Items Directly from Server,Извличане на артикули директно от сървъра
Menu,Меню
Actions,Действия
Close Shift,Затворете Shift
End current session,Край на текущата сесия
Print Last Invoice,Отпечатайте последната фактура
Reprint previous transaction,Повторно отпечатване на предишна транзакция
Sync Offline Invoices,Синхронизиране на офлайн фактури
Upload pending transactions,Качете чакащи транзакции
Go Online,Отидете онлайн
Go Offline,Преминете офлайн
Disable offline mode,Деактивирайте офлайн режима
Work without server connection,Работете без връзка със сървъра
Clear Cache,Изчистване на кеша
Remove local data and refresh,Премахнете локалните данни и опреснете
About,За
App information,Информация за приложението
Language,език
Change interface language,Промяна на езика на интерфейса
Light Mode,Светлинен режим
Dark Mode,Тъмен режим
Switch theme appearance,Превключване на външния вид на темата
Logout,Изход
Sign out of session,Излезте от сесията
Select Language,Изберете език
Choose your preferred language for the POS interface,Изберете предпочитания от вас език за POS интерфейса
Language will be changed to,Езикът ще бъде променен на
Cancel,Отказ
Change Language,Промяна на езика
Close,затвори
Cannot change language - same language selected,Не може да се промени езикът - избран е същият език
Language changed successfully! Reloading...,Езикът е сменен успешно! Презарежда се...
Failed to change language,Неуспешна промяна на езика
Unknown error,Неизвестна грешка
- Total Unallocated,- Общо неразпределени
* Required,* Задължително
{0} (Qty: {1}),{0} (Брой: {1})
{0} actions,{0} действия
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} има само {1} на склад. Вие поискахте {2}. Коригирайте количеството или презапасете.
{0} offline invoice{1} pending,{0} офлайн фактура{1} чака
{0} offline invoice{1} saved as draft,{0} офлайн фактура{1} запазена като чернова
{0} offline invoice{1} synced,{0} офлайн фактура{1} е синхронизирана
{0}: {1} {2},{0}: {1} {2}
{0}d ago,преди {0} дни
{0}h ago,преди {0} ч
{0}m ago,преди {0} мин
A POS supervisor is required for this action.,За това действие е необходим POS супервайзер.
Access,Достъп
Account,акаунт
Account is overdrawn,Сметката е овърдрафт
Acknowledge the error to resume scanning,"Потвърдете грешката, за да продължите сканирането"
Acknowledge the error to resume scanning.,"Потвърдете грешката, за да продължите сканирането."
Across,Напречно
Action,Действие
Active sale,Активна продажба
add,добавете
Add items from the selector to start building this sale.,"Добавете елементи от селектора, за да започнете да изграждате тази продажба."
Add more value to an existing gift card,Добавете повече стойност към съществуваща карта за подарък
Add New Address,Добавете нов адрес
Add new customer,Добавете нов клиент
Add on New Line,Добавяне на нов ред
Add Payment,Добавяне на плащане
Add payment to invoice,Добавете плащане към фактурата
Add/Edit Coupon Conditions,Добавяне/редактиране на условия за купони
Additional Discount,Допълнителна отстъпка
Additional Discount %,Допълнителна отстъпка %
Address Line 1,"Адрес, ред 1"
Address not found,Адресът не е намерен
Adjust the quantity or enable negative stock to continue.,"Коригирайте количеството или активирайте отрицателния запас, за да продължите."
Adjustment,Корекция
After returns,След връщане
Against,Против
Against Name,Срещу името
Age Bracket,Възрастова група
All,Всички
All Caught Up!,Всички хванахте!
All invoices are synchronized,Всички фактури са синхронизирани
All pending invoices are up to date,Всички чакащи фактури са актуални
All Profiles,Всички профили
All Synchronized,Всички синхронизирани
All visible invoices are fully settled.,Всички видими фактури са напълно уредени.
All Warehouses,Всички складове
Allowed UOM is {0},Разрешеният UOM е {0}
Always fetch items from server (ignore local cache),Винаги извличайте елементи от сървъра (игнорирайте локалния кеш)
Amount,Сума
Amount already received,Вече получена сума
Amount exceeds profile cash movement max amount.,Сумата надвишава максималната сума за движение на парични средства в профила.
Amount must be greater than zero.,Сумата трябва да е по-голяма от нула.
Amount received from customer,Получена сума от клиента
Appearance and user-level preferences for the current session.,Облик и предпочитания на потребителско ниво за текущата сесия.
Applied,Приложено
Apply,Кандидатствайте
Apply Gift Card,Приложете карта за подарък
Apply Offer,Приложете оферта
Apply On,Прилагане на
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,"Приложете само сумата, която искате да осребрите върху тази фактура. Оставащият баланс остава на картата."
Apply Redemption,Прилагане на Redemption
Applying,Кандидатстване
Apps,Приложения
Are you sure you want to close? All entered data will be lost.,"Сигурни ли сте, че искате да затворите? Всички въведени данни ще бъдат загубени."
Attributes (Size/Color),Атрибути (размер/цвят)
Auto Allocate Payment Amount,Автоматично разпределяне на сумата за плащане
Auto Reconcile,Автоматично съгласуване
Auto reconciliation completed after payment submit.,Автоматичното съгласуване приключи след изпращане на плащането.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Автоматичното съгласуване завърши. Разпределено: {0}{1}. Оставащи неуредени: {0}{2}.
Available Actions,Налични действия
Available QTY,Налични БР
Available:,Налични:
Average Basket,Средна кошница
Average Bill,Средна сметка
Average Ticket,Среден билет
Avg Bill,Средна сметка
Avg Invoice,Средна фактура
Avg Invoice Profit,Средна печалба от фактура
Avg Invoice Value,Средна стойност на фактурата
Avg Purchase Frequency,Средна честота на покупки
Awesome,страхотно
Awesome Dashboard,Страхотно табло за управление
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard е деактивирано за избрания POS профил.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard не е достъпно за избрания обхват.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard се вижда само от POS супервайзорите.
Back,Назад
Back Office Cash Account,Парична сметка в Back Office
Back Office Cash Account (Optional Override),Сметка в брой в бек офис (замяна по избор)
Back office cash account is required.,Изисква се касова сметка в бек офиса.
Back to {0},Назад към {0}
Background processing did not finish in time.,Обработката на заден план не завърши навреме.
Background processing failed for Invoice {0}: {1},Неуспешна обработка на заден план за фактура {0}: {1}
Background Submission Failed,Неуспешно изпращане на заден план
Background sync interval (seconds),Интервал на фоново синхронизиране (секунди)
Balance,Баланс
Balance will be updated when connection is restored,"Балансът ще бъде актуализиран, когато връзката бъде възстановена"
Balances still pending,Салда все още чакат
Barcode,Баркод
Barcode / QR Ready,Готов за баркод / QR
Barcode Label Printing,Печат на баркод етикети
Base Paid:,Основно платено:
Base Recv:,Базово приемане:
Base:,Основа:
Basic Information,Основна информация
Batch,Партида
Batch Information,Информация за партидата
Before any return workflow,Преди всеки работен процес за връщане
Before returns,Преди завръщания
Best Day,Най-добър ден
Best Seller,Бестселър
Book expense or deposit from active shift.,Запишете разход или депозит от активна смяна.
Branch / Location-wise Report,Отчет за клон / местоположение
Brand-wise,Марково
Breakdown,Разбивка
Browse,Прегледайте
Build Time:,Време за изграждане:
Built with Frappe,Създаден с Frappe
Bundle,Пакет
Buying Price,Покупна цена
Cache cleared successfully,Кешът е изчистен успешно
Cache Usage,Използване на кеша
cache used,използван кеш
Calculating...,Изчислява се...
Camera Access Required,Изисква се достъп до камерата
Camera access was aborted. Please try again.,"Достъпът до камерата беше прекратен. Моля, опитайте отново."
Camera constraints not supported by your device. Trying fallback settings...,Ограниченията на камерата не се поддържат от вашето устройство. Опит за резервни настройки...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Камерата е заета или блокирана от друго приложение/раздел. Затворете другите приложения на камерата и опитайте отново.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,"Разрешението за камерата е отказано. Моля, разрешете достъп до камерата в настройките на браузъра си и опреснете страницата."
Camera scanner is locked until the current error is acknowledged,"Скенерът на камерата е заключен, докато текущата грешка не бъде потвърдена"
Camera started but the video stream did not load in time. Please try again.,"Камерата стартира, но видеопотокът не се зареди навреме. Моля, опитайте отново."
Cancel cash movement {0}?,Да отмените движението на пари в брой {0}?
Cancel Payment,Отказ от плащането
Cancel Sale,Отказ от продажба
Cancel Sale ?,Отмяна на продажбата?
Cancelled,Отменено
Cannot add an item with zero or negative quantity.,Не може да се добави артикул с нулево или отрицателно количество.
Cannot clear cache while offline,"Не може да се изчисти кеша, докато сте офлайн"
Cannot redeem customer credit more than invoice total,Не може да се осребри клиентски кредит повече от общата сума по фактурата
Cannot redeem gift cards more than invoice total,Не могат да се осребряват карти за подарък повече от общата сума по фактурата
Cannot Save Offline Invoice:,Не може да се запази офлайн фактура:
Cannot Save Offline Payment:,Не може да се запази офлайн плащане:
Card,карта
Card / Online,Карта / Онлайн
Card health after the last live lookup,Здраве на картата след последното търсене на живо
Cards,Карти
Cart,Количка
Cash,Парични средства
Cash back to customers,Връщане на пари на клиентите
Cash Collections,Парични събирания
Cash Deposit is disabled for this POS Profile.,Депозитът в брой е деактивиран за този POS профил.
Cash Drawer Snapshot,Моментна снимка на чекмеджето за пари
Cash In Hand,Пари в ръка
Cash Movement,Парично движение
Cash movement cancelled,Движението на пари е отменено
Cash movement deduction applied,Прилага се приспадане при движение на пари в брой
Cash movement deleted,Движението на пари в брой е изтрито
Cash movement is disabled for this POS Profile.,Движението на пари в брой е деактивирано за този POS профил.
Cash Movement is disabled in current POS Profile.,Движението на пари е деактивирано в текущия POS профил.
Cash movement saved offline,Паричните движения са запазени офлайн
Cash movement submitted,Подадено движение на пари в брой
Cash Movements,Парични движения
Cash payment cannot be less than invoice total when partial payment is not allowed,"Плащането в брой не може да бъде по-малко от общата сума по фактурата, когато не е разрешено частично плащане"
Cash returned after payment,Пари се връщат след плащане
Cashier,Касиер
Cashier Access,Достъп до каса
Cashier identity and appearance preferences.,Идентичност на касата и предпочитания за външен вид.
Cashier PIN,ПИН на касата
Cashier PIN saved successfully.,ПИН кодът на касата е запазен успешно.
Cashiers,Касиерите
Cashier-wise,Касиерски
Categories,Категории
Category,Категория
Category / Brand / Variant Report,Доклад за категория / марка / вариант
Category-wise,Категорично
Category-wise Margin,Марж по категория
Certificate,Сертификат
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Сертификатът липсва или не е надежден. QZ може да покаже диалогови прозорци за потвърждение.
Certificate is trusted. Silent QZ printing is active.,Сертификатът е надежден. Безшумният QZ печат е активен.
Change,промяна
Change allocation repaired,Промяната на разпределението е коригирана
Change Price,Промяна на цената
Change Return,Промяна Връщане
Change Returned,Промяната е върната
Change terminal cashier,Сменете касата на терминала
Charge Heads,Глави за зареждане
Charges,Такси
Charges not found,Таксите не са намерени
Check Balance,Проверка на баланса
Check balance for any card. Supervisors can issue and top up cards here.,Проверете баланса за всяка карта. Супервайзорите могат да издават и зареждат карти тук.
Check balance only,Проверете само баланса
Check for new commits,Проверете за нови ангажименти
Check for Updates,Проверете за актуализации
Check live balance before applying redemption,"Проверете баланса на живо, преди да приложите обратно изкупуване"
Check live balance before redemption,Проверете баланса на живо преди осребряване
Checking...,Проверка...
Cheque/Reference Date,Чек/референтна дата
Cheque/Reference No,Чек/референтен номер
Choose the cashier currently operating this terminal.,"Изберете касиера, който в момента управлява този терминал."
City,град
Clear,ясно
Clear All,Изчистване на всички
