POS Awesome,POS Félelmetes
Fetch Items Directly from Server,Tételek letöltése közvetlenül a szerverről
Menu,Menü
Actions,Akciók
Close Shift,A Shift bezárása
End current session,Az aktuális munkamenet befejezése
Print Last Invoice,Nyomtassa ki az utolsó számlát
Reprint previous transaction,Nyomtassa ki újra az előző tranzakciót
Sync Offline Invoices,Offline számlák szinkronizálása
Upload pending transactions,Függőben lévő tranzakciók feltöltése
Go Online,Online
Go Offline,Lépjen offline módba
Disable offline mode,Az offline mód letiltása
Work without server connection,Dolgozzon szerverkapcsolat nélkül
Clear Cache,Törölje a gyorsítótárat
Remove local data and refresh,"Távolítsa el a helyi adatokat, és frissítse"
About,Körülbelül
App information,Alkalmazásinformációk
Language,Nyelv
Change interface language,Az interfész nyelvének módosítása
Light Mode,Fény mód
Dark Mode,Sötét mód
Switch theme appearance,Téma megjelenésének váltása
Logout,Kijelentkezés
Sign out of session,Jelentkezzen ki a munkamenetből
Select Language,Válassza a Nyelv lehetőséget
Choose your preferred language for the POS interface,Válassza ki a POS felület kívánt nyelvét
Language will be changed to,A nyelv erre módosul
Cancel,Mégsem
Change Language,Nyelv módosítása
Close,Bezárás
Cannot change language - same language selected,A nyelv nem módosítható – ugyanaz a nyelv van kiválasztva
Language changed successfully! Reloading...,Sikeresen megváltoztatta a nyelvet! Újratöltés...
Failed to change language,Nem sikerült megváltoztatni a nyelvet
Unknown error,Ismeretlen hiba
- Total Unallocated,- Összesen fel nem osztott
* Required,* Kötelező
{0} (Qty: {1}),{0} (mennyiség: {1})
{0} actions,{0} művelet
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,A(z) {0} terméknél csak {1} van raktáron. Ön ezt kérte: {2}. Állítsa be a mennyiséget vagy töltse fel a készletet.
{0} offline invoice{1} pending,{0} offline számla{1} függőben
{0} offline invoice{1} saved as draft,{0} offline számla{1} vázlatként mentve
{0} offline invoice{1} synced,{0} offline számla{1} szinkronizálva
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0} napja
{0}h ago,{0} órája
{0}m ago,{0} perce
A POS supervisor is required for this action.,Ehhez a művelethez POS-felügyelő szükséges.
Access,Hozzáférés
Account,fiók
Account is overdrawn,A számla túlterhelt
Acknowledge the error to resume scanning,A vizsgálat folytatásához nyugtázza a hibát
Acknowledge the error to resume scanning.,A vizsgálat folytatásához nyugtázza a hibát.
Across,Keresztül
Action,Akció
Active sale,Aktív értékesítés
add,add hozzá
Add items from the selector to start building this sale.,"Adjon hozzá elemeket a választóból, hogy elkezdhesse ezt az akciót."
Add more value to an existing gift card,Adjon hozzá több értéket egy meglévő ajándékutalványhoz
Add New Address,Új cím hozzáadása
Add new customer,Új ügyfél hozzáadása
Add on New Line,Új sor hozzáadása
Add Payment,Fizetés hozzáadása
Add payment to invoice,Fizetés hozzáadása a számlához
Add/Edit Coupon Conditions,Kuponfeltételek hozzáadása/szerkesztése
Additional Discount,További kedvezmény
Additional Discount %,További kedvezmény %
Address Line 1,Cím 1. sora
Address not found,A cím nem található
