POS Awesome,POS 최고
Fetch Items Directly from Server,서버에서 직접 항목 가져오기
Menu,메뉴
Actions,작업
Close Shift,교대근무 종료
End current session,현재 세션 종료
Print Last Invoice,마지막 송장 인쇄
Reprint previous transaction,이전 거래 재인쇄
Sync Offline Invoices,오프라인 송장 동기화
Upload pending transactions,대기 중인 거래 업로드
Go Online,온라인으로 전환
Go Offline,오프라인으로 전환
Disable offline mode,오프라인 모드 비활성화
Work without server connection,서버 연결 없이 작업
Clear Cache,캐시 지우기
Remove local data and refresh,로컬 데이터 제거 및 새로 고침
About,소개
App information,앱 정보
Language,언어
Change interface language,인터페이스 언어 변경
Light Mode,라이트 모드
Dark Mode,다크 모드
Switch theme appearance,테마 모양 전환
Logout,로그아웃
Sign out of session,세션에서 로그아웃
Select Language,언어 선택
Choose your preferred language for the POS interface,POS 인터페이스에 대해 선호하는 언어를 선택하세요
Language will be changed to,언어는 다음으로 변경됩니다.
Cancel,취소
Change Language,언어 변경
Close,닫기
Cannot change language - same language selected,언어를 변경할 수 없습니다. 동일한 언어가 선택되었습니다.
Language changed successfully! Reloading...,언어가 성공적으로 변경되었습니다! 새로고침 중...
Failed to change language,언어를 변경하지 못했습니다.
Unknown error,알 수 없는 오류
- Total Unallocated,- 총 할당되지 않음
* Required,* 필수
{0} (Qty: {1}),{0} (수량: {1})
{0} actions,{0} 작업
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0}의 재고는 {1}개뿐입니다. {2}을(를) 요청하셨습니다. 수량을 조정하거나 재입고하세요.
{0} offline invoice{1} pending,{0} 오프라인 인보이스{1} 보류 중
{0} offline invoice{1} saved as draft,{0} 오프라인 인보이스{1}가 초안으로 저장되었습니다.
{0} offline invoice{1} synced,{0} 오프라인 인보이스{1} 동기화됨
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}일 전
{0}h ago,{0}시간 전
{0}m ago,{0}분 전
A POS supervisor is required for this action.,이 작업에는 POS 감독자가 필요합니다.
Access,액세스
Account,계정
Account is overdrawn,계좌가 초과 인출되었습니다
Acknowledge the error to resume scanning,스캔을 재개하려면 오류를 확인하세요.
Acknowledge the error to resume scanning.,스캔을 재개하려면 오류를 확인하세요.
Across,건너편
Action,액션
Active sale,활성 판매
add,추가하다
Add items from the selector to start building this sale.,이 판매를 시작하려면 선택기에서 항목을 추가하세요.
Add more value to an existing gift card,기존 기프트 카드에 더 많은 가치 추가
Add New Address,새 주소 추가
Add new customer,새 고객 추가
Add on New Line,새 줄에 추가
Add Payment,결제 추가
Add payment to invoice,송장에 결제 추가
Add/Edit Coupon Conditions,쿠폰 조건 추가/수정
Additional Discount,추가 할인
Additional Discount %,추가 할인 %
Address Line 1,주소 입력란 1
Address not found,주소를 찾을 수 없습니다
Adjust the quantity or enable negative stock to continue.,계속하려면 수량을 조정하거나 마이너스 재고를 활성화하세요.
Adjustment,조정
After returns,반품 후
Against,반대
Against Name,반대 이름
Age Bracket,연령층
All,모두
All Caught Up!,모두 따라잡았어!
All invoices are synchronized,모든 송장이 동기화됩니다.
All pending invoices are up to date,보류 중인 모든 청구서가 최신 상태입니다.
All Profiles,모든 프로필
All Synchronized,모두 동기화됨
All visible invoices are fully settled.,눈에 보이는 모든 송장이 완전히 정산되었습니다.
All Warehouses,모든 창고
Allowed UOM is {0},허용된 UOM은 {0}입니다.
Always fetch items from server (ignore local cache),항상 서버에서 항목 가져오기(로컬 캐시 무시)
Amount,금액
Amount already received,이미 받은 금액
Amount exceeds profile cash movement max amount.,금액이 프로필 현금 이동 최대 금액을 초과합니다.
Amount must be greater than zero.,금액은 0보다 커야 합니다.
Amount received from customer,고객으로부터 받은 금액
Appearance and user-level preferences for the current session.,현재 세션의 모양 및 사용자 수준 기본 설정입니다.
Applied,적용됨
Apply,적용
Apply Gift Card,기프트 카드 적용
Apply Offer,제안 적용
Apply On,신청일
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,이 청구서에는 상환하려는 금액만 적용하세요. 남은 잔액은 카드에 남아 있습니다.
Apply Redemption,상환 적용
Applying,신청
Apps,앱
Are you sure you want to close? All entered data will be lost.,정말로 닫으시겠어요? 입력한 모든 데이터가 손실됩니다.
Attributes (Size/Color),속성(크기/색상)
Auto Allocate Payment Amount,결제 금액 자동 할당
Auto Reconcile,자동 조정
Auto reconciliation completed after payment submit.,결제 완료 후 자동 조정이 완료되었습니다.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,자동 조정이 완료되었습니다. 할당됨: {0}{1}. 남은 미결제 금액: {0}{2}.
Available Actions,사용 가능한 작업
Available QTY,사용 가능 수량
Available:,사용 가능:
Average Basket,평균 바구니
Average Bill,평균 청구서
Average Ticket,평균 티켓
Avg Bill,평균 청구서
Avg Invoice,평균 송장
Avg Invoice Profit,평균 송장 이익
Avg Invoice Value,평균 송장 금액
Avg Purchase Frequency,평균 구매 빈도
Awesome,굉장해
Awesome Dashboard,멋진 대시보드
Awesome Dashboard is disabled for the selected POS Profile.,선택한 POS 프로필에 대해 Awesome Dashboard가 비활성화되어 있습니다.
Awesome Dashboard is unavailable for the selected scope.,선택한 범위에서는 Awesome Dashboard를 사용할 수 없습니다.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard는 POS 감독자에게만 표시됩니다.
Back,뒤로
Back Office Cash Account,백오피스 현금 계좌
Back Office Cash Account (Optional Override),백오피스 현금 계좌(선택적 대체)
Back office cash account is required.,백오피스 현금 계좌가 필요합니다.
Back to {0},{0}(으)로 돌아가기
Background processing did not finish in time.,백그라운드 처리가 제 시간에 완료되지 않았습니다.
Background processing failed for Invoice {0}: {1},송장 {0}에 대한 백그라운드 처리 실패: {1}
Background Submission Failed,배경 제출 실패
Background sync interval (seconds),백그라운드 동기화 간격(초)
Balance,잔액
Balance will be updated when connection is restored,연결이 복원되면 잔액이 업데이트됩니다.
Balances still pending,아직 보류 중인 잔액
Barcode,바코드
Barcode / QR Ready,바코드/QR 지원
Barcode Label Printing,바코드 라벨 인쇄
Base Paid:,기본 유료:
Base Recv:,기본 수신:
Base:,베이스:
Basic Information,기본정보
Batch,배치
Batch Information,배치 정보
Before any return workflow,반품 작업 흐름 전
Before returns,반품 전
Best Day,최고의 날
Best Seller,베스트셀러
Book expense or deposit from active shift.,활동적인 근무 시간에 따른 비용이나 보증금을 예약하세요.
Branch / Location-wise Report,지점/위치별 보고
Brand-wise,브랜드별
Breakdown,고장
Browse,찾아보기
