POS Awesome,POS Super
Fetch Items Directly from Server,Pridobite predmete neposredno s strežnika
Menu,meni
Actions,Dejanja
Close Shift,Zapri Shift
End current session,Končaj trenutno sejo
Print Last Invoice,Natisni zadnji račun
Reprint previous transaction,Ponovno natisnite prejšnjo transakcijo
Sync Offline Invoices,Sinhronizirajte račune brez povezave
Upload pending transactions,Naloži čakajoče transakcije
Go Online,Pojdite na splet
Go Offline,Pojdi brez povezave
Disable offline mode,Onemogoči način brez povezave
Work without server connection,Delajte brez povezave s strežnikom
Clear Cache,Počisti predpomnilnik
Remove local data and refresh,Odstranite lokalne podatke in osvežite
About,O tem
App information,Informacije o aplikaciji
Language,Jezik
Change interface language,Spremenite jezik vmesnika
Light Mode,Svetlobni način
Dark Mode,Temni način
Switch theme appearance,Preklopi videz teme
Logout,Odjava
Sign out of session,Odjava iz seje
Select Language,Izberite Jezik
Choose your preferred language for the POS interface,Izberite želeni jezik za vmesnik POS
Language will be changed to,Jezik bo spremenjen v
Cancel,Prekliči
Change Language,Spremeni jezik
Close,Zapri
Cannot change language - same language selected,Jezika ni mogoče spremeniti – izbran je isti jezik
Language changed successfully! Reloading...,Jezik je bil uspešno spremenjen! Ponovno nalaganje ...
Failed to change language,Jezika ni bilo mogoče spremeniti
Unknown error,Neznana napaka
- Total Unallocated,- Skupaj nedodeljeno
* Required,* Obvezno
{0} (Qty: {1}),{0} (količina: {1})
{0} actions,{0} dejanj
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} ima na zalogi samo {1}. Zahtevali ste {2}. Prilagodite količino ali obnovite zaloge.
{0} offline invoice{1} pending,{0} račun brez povezave{1} na čakanju
{0} offline invoice{1} saved as draft,{0} račun brez povezave{1} shranjen kot osnutek
{0} offline invoice{1} synced,{0} račun brez povezave{1} sinhroniziran
{0}: {1} {2},{0}: {1} {2}
{0}d ago,pred {0} d
{0}h ago,pred {0} h
{0}m ago,pred {0}m
A POS supervisor is required for this action.,Za to dejanje je potreben nadzornik POS.
Access,Dostop
Account,Račun
Account is overdrawn,Račun je prekoračen
Acknowledge the error to resume scanning,Za nadaljevanje skeniranja potrdite napako
Acknowledge the error to resume scanning.,Za nadaljevanje skeniranja potrdite napako.
Across,Čez
Action,Akcija
Active sale,Aktivna prodaja
add,dodati
Add items from the selector to start building this sale.,"Dodajte predmete iz izbirnika, da začnete graditi to prodajo."
Add more value to an existing gift card,Dodajte več vrednosti obstoječi darilni kartici
Add New Address,Dodaj nov naslov
Add new customer,Dodajte novo stranko
Add on New Line,Dodajte v novo vrstico
Add Payment,Dodaj plačilo
Add payment to invoice,Dodajte plačilo na račun
Add/Edit Coupon Conditions,Dodajte/uredite pogoje kupona
Additional Discount,Dodaten popust
Additional Discount %,% dodatnega popusta
Address Line 1,1. vrstica naslova
Address not found,Naslov ni bil najden
Adjust the quantity or enable negative stock to continue.,Prilagodite količino ali omogočite negativno zalogo za nadaljevanje.
Adjustment,Prilagoditev
