POS Awesome,很棒的POS
Fetch Items Directly from Server,直接從伺服器取得項目
Menu,選單
Actions,行動
Close Shift,關閉班次
End current session,結束目前會話
Print Last Invoice,列印最後一張發票
Reprint previous transaction,重印之前的交易
Sync Offline Invoices,同步離線發票
Upload pending transactions,上傳待處理交易
Go Online,上網
Go Offline,離線
Disable offline mode,停用離線模式
Work without server connection,無需伺服器連接即可工作
Clear Cache,清除快取
Remove local data and refresh,刪除本地資料並刷新
About,關於
App information,應用程式資訊
Language,語言
Change interface language,變更介面語言
Light Mode,燈光模式
Dark Mode,深色模式
Switch theme appearance,切換主題外觀
Logout,退出
Sign out of session,退出會話
Select Language,選擇語言
Choose your preferred language for the POS interface,選擇您喜歡的 POS 介面語言
Language will be changed to,語言將更改為
Cancel,取消
Change Language,更改語言
Close,關閉
Cannot change language - same language selected,無法更改語言 - 選擇相同的語言
Language changed successfully! Reloading...,語言更改成功！正在重新加載...
Failed to change language,更改語言失敗
Unknown error,未知錯誤
- Total Unallocated,- 未分配總額
* Required,* 必填
{0} (Qty: {1}),{0}（數量：{1}）
{0} actions,{0} 操作
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} 只有 {1} 庫存。您請求了{2}。調整數量或補貨。
{0} offline invoice{1} pending,{0}離線發票{1}待處理
{0} offline invoice{1} saved as draft,{0}離線發票{1}儲存為草稿
{0} offline invoice{1} synced,{0} 離線發票{1}已同步
{0}: {1} {2},{0}：{1} {2}
{0}d ago,{0}天前
{0}h ago,{0} 小時前
{0}m ago,{0} 分鐘前
A POS supervisor is required for this action.,此操作需要 POS 主管。
Access,訪問
Account,帳戶
Account is overdrawn,帳戶已透支
Acknowledge the error to resume scanning,確認錯誤以恢復掃描
Acknowledge the error to resume scanning.,確認錯誤以恢復掃描。
Across,跨越
Action,行動
Active sale,積極銷售
add,添加
Add items from the selector to start building this sale.,從選擇器中新增商品以開始建立此銷售。
Add more value to an existing gift card,為現有禮品卡增加更多價值
Add New Address,新增地址
Add new customer,新增客戶
Add on New Line,新增行
Add Payment,新增付款方式
Add payment to invoice,將付款新增至發票
Add/Edit Coupon Conditions,新增/編輯優惠券條件
Additional Discount,額外折扣
Additional Discount %,額外折扣%
Address Line 1,地址行 1
Address not found,找不到地址
Adjust the quantity or enable negative stock to continue.,調整數量或使負庫存持續存在。
Adjustment,調整
After returns,返回後
Against,反對
Against Name,反對名字
Age Bracket,年齡範圍
All,全部
All Caught Up!,全部都被抓住了！
All invoices are synchronized,所有發票均同步
All pending invoices are up to date,所有待處理的發票都是最新的
All Profiles,所有設定檔
All Synchronized,全部同步
All visible invoices are fully settled.,所有可見發票均已全額結算。
All Warehouses,所有倉庫
Allowed UOM is {0},允許的 UOM 為 {0}
Always fetch items from server (ignore local cache),始終從伺服器取得項目（忽略本機快取）
Amount,金額
Amount already received,已收到金額
Amount exceeds profile cash movement max amount.,金額超過個人資料現金流動最大金額。
Amount must be greater than zero.,金額必須大於零。
Amount received from customer,從客戶收到的金額
Appearance and user-level preferences for the current session.,目前會話的外觀和使用者等級首選項。
Applied,應用
Apply,申請
Apply Gift Card,申請禮品卡
Apply Offer,申請優惠
Apply On,申請於
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,僅套用您想要在此發票上兌換的金額。剩餘餘額保留在卡片上。
Apply Redemption,申請兌換
Applying,正在申請
Apps,應用程式
Are you sure you want to close? All entered data will be lost.,您確定要關閉嗎？所有輸入的資料都將遺失。
Attributes (Size/Color),屬性（尺寸/顏色）
Auto Allocate Payment Amount,自動分配付款金額
Auto Reconcile,自動協調
Auto reconciliation completed after payment submit.,付款提交後自動對帳完成。
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,自動對帳完成。已指派：{0}{1}。剩餘未完成：{0}{2}。
Available Actions,可用的操作
Available QTY,可用數量
Available:,可用：
Average Basket,平均籃子
Average Bill,平均帳單
Average Ticket,平均票價
Avg Bill,平均帳單
Avg Invoice,平均發票
Avg Invoice Profit,平均發票利潤
Avg Invoice Value,平均發票價值
Avg Purchase Frequency,平均購買頻率
Awesome,太棒了
Awesome Dashboard,很棒的儀表板
Awesome Dashboard is disabled for the selected POS Profile.,所選 POS 設定檔的 Awesome Dashboard 已停用。
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard 對於所選範圍不可用。
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard 僅對 POS 主管可見。
Back,返回
Back Office Cash Account,後台現金帳戶
Back Office Cash Account (Optional Override),後台現金帳戶（可選覆蓋）
Back office cash account is required.,需要後台現金帳戶。
Back to {0},返回{0}
Background processing did not finish in time.,後台處理未及時完成。
Background processing failed for Invoice {0}: {1},發票 {0} 的後台處理失敗：{1}
Background Submission Failed,後台提交失敗
Background sync interval (seconds),後台同步間隔（秒）
Balance,平衡
Balance will be updated when connection is restored,連線恢復後餘額將更新
Balances still pending,餘額仍待處理
Barcode,條碼
Barcode / QR Ready,條碼/QR 就緒
Barcode Label Printing,條碼標籤列印
Base Paid:,基本付費：
Base Recv:,基本接收：
Base:,基地：
Basic Information,基本訊息
Batch,批次
Batch Information,批次資訊
Before any return workflow,在任何退貨工作流程之前
Before returns,退貨前
Best Day,最好的一天
Best Seller,暢銷書
Book expense or deposit from active shift.,登記活動班次的費用或押金。
Branch / Location-wise Report,分行/地點報告
Brand-wise,品牌明智
Breakdown,故障
Browse,瀏覽
Build Time:,建置時間：
Built with Frappe,用冰沙建造
Bundle,捆綁包
Buying Price,購買價格
Cache cleared successfully,快取清除成功
Cache Usage,快取使用情況
cache used,使用快取
Calculating...,正在計算...
Camera Access Required,需要訪問相機
Camera access was aborted. Please try again.,相機訪問被中止。請再試一次。
Camera constraints not supported by your device. Trying fallback settings...,您的裝置不支援相機限制。正在嘗試後備設定...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,相機正忙或被其他應用程式/選項卡阻止。關閉其他相機應用程式並重試。
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,相機權限被拒絕。請在瀏覽器設定中允許相機存取並刷新頁面。
Camera scanner is locked until the current error is acknowledged,相機掃描器將被鎖定，直到目前錯誤得到確認
Camera started but the video stream did not load in time. Please try again.,相機已啟動，但視訊串流未及時載入。請再試一次。
Cancel cash movement {0}?,取消現金轉移{0}？
Cancel Payment,取消付款
Cancel Sale,取消銷售
Cancel Sale ?,取消銷售？
Cancelled,取消
Cannot add an item with zero or negative quantity.,無法新增數量為零或負數的項目。
Cannot clear cache while offline,離線時無法清除快取
Cannot redeem customer credit more than invoice total,兌換客戶積分的金額不得超過發票總額
Cannot redeem gift cards more than invoice total,兌換禮品卡的金額不得超過發票總額
Cannot Save Offline Invoice:,無法儲存離線發票：
Cannot Save Offline Payment:,無法儲存離線付款：
Card,卡
Card / Online,卡/網上
