POS Awesome,很棒的POS
Fetch Items Directly from Server,直接从服务器获取项目
Menu,菜单
Actions,行动
Close Shift,关闭班次
End current session,结束当前会话
Print Last Invoice,打印最后一张发票
Reprint previous transaction,重印之前的交易
Sync Offline Invoices,同步离线发票
Upload pending transactions,上传待处理交易
Go Online,上网
Go Offline,离线
Disable offline mode,禁用离线模式
Work without server connection,无需服务器连接即可工作
Clear Cache,清除缓存
Remove local data and refresh,删除本地数据并刷新
About,关于
App information,应用信息
Language,语言
Change interface language,更改界面语言
Light Mode,灯光模式
Dark Mode,深色模式
Switch theme appearance,切换主题外观
Logout,退出
Sign out of session,退出会话
Select Language,选择语言
Choose your preferred language for the POS interface,选择您喜欢的 POS 界面语言
Language will be changed to,语言将更改为
Cancel,取消
Change Language,更改语言
Close,关闭
Cannot change language - same language selected,无法更改语言 - 选择相同的语言
Language changed successfully! Reloading...,语言更改成功！正在重新加载...
Failed to change language,更改语言失败
Unknown error,未知错误
- Total Unallocated,- 未分配总额
* Required,* 必填
{0} (Qty: {1}),{0}（数量：{1}）
{0} actions,{0} 个操作
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} 只有 {1} 库存。您请求了{2}。调整数量或补货。
{0} offline invoice{1} pending,{0}离线发票{1}待处理
{0} offline invoice{1} saved as draft,{0}离线发票{1}保存为草稿
{0} offline invoice{1} synced,{0} 离线发票{1}已同步
{0}: {1} {2},{0}：{1} {2}
{0}d ago,{0}天前
{0}h ago,{0} 小时前
{0}m ago,{0} 分钟前
A POS supervisor is required for this action.,此操作需要 POS 主管。
Access,访问
Account,账户
Account is overdrawn,账户已透支
Acknowledge the error to resume scanning,确认错误以恢复扫描
Acknowledge the error to resume scanning.,确认错误以恢复扫描。
Across,跨越
Action,行动
Active sale,积极销售
add,添加
Add items from the selector to start building this sale.,从选择器中添加商品以开始构建此销售。
Add more value to an existing gift card,为现有礼品卡增加更多价值
Add New Address,添加新地址
Add new customer,添加新客户
Add on New Line,添加新行
Add Payment,添加付款方式
Add payment to invoice,将付款添加到发票
Add/Edit Coupon Conditions,添加/编辑优惠券条件
Additional Discount,额外折扣
Additional Discount %,额外折扣%
Address Line 1,地址行 1
Address not found,找不到地址
Adjust the quantity or enable negative stock to continue.,调整数量或使负库存继续存在。
Adjustment,调整
After returns,返回后
Against,反对
Against Name,反对名字
Age Bracket,年龄范围
All,全部
All Caught Up!,全部都被抓住了！
All invoices are synchronized,所有发票均同步
All pending invoices are up to date,所有待处理的发票都是最新的
All Profiles,所有配置文件
All Synchronized,全部同步
All visible invoices are fully settled.,所有可见发票均已全额结算。
All Warehouses,所有仓库
Allowed UOM is {0},允许的 UOM 为 {0}
Always fetch items from server (ignore local cache),始终从服务器获取项目（忽略本地缓存）
Amount,金额
Amount already received,已收到金额
Amount exceeds profile cash movement max amount.,金额超过个人资料现金流动最大金额。
Amount must be greater than zero.,金额必须大于零。
Amount received from customer,从客户收到的金额
Appearance and user-level preferences for the current session.,当前会话的外观和用户级别首选项。
Applied,应用
Apply,申请
Apply Gift Card,申请礼品卡
Apply Offer,申请优惠
Apply On,申请于
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,仅应用您想要在此发票上兑换的金额。剩余余额保留在卡上。
Apply Redemption,申请兑换
Applying,正在申请
Apps,应用程序
Are you sure you want to close? All entered data will be lost.,您确定要关闭吗？所有输入的数据都将丢失。
Attributes (Size/Color),属性（尺寸/颜色）
Auto Allocate Payment Amount,自动分配付款金额
Auto Reconcile,自动协调
Auto reconciliation completed after payment submit.,付款提交后自动对账完成。
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,自动对账完成。已分配：{0}{1}。剩余未完成：{0}{2}。
Available Actions,可用的操作
Available QTY,可用数量
Available:,可用：
Average Basket,平均篮子
Average Bill,平均账单
Average Ticket,平均票价
Avg Bill,平均账单
Avg Invoice,平均发票
Avg Invoice Profit,平均发票利润
Avg Invoice Value,平均发票价值
Avg Purchase Frequency,平均购买频率
Awesome,太棒了
Awesome Dashboard,很棒的仪表板
Awesome Dashboard is disabled for the selected POS Profile.,所选 POS 配置文件的 Awesome Dashboard 已禁用。
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard 对于所选范围不可用。
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard 仅对 POS 主管可见。
Back,返回
Back Office Cash Account,后台现金账户
Back Office Cash Account (Optional Override),后台现金账户（可选覆盖）
Back office cash account is required.,需要后台现金账户。
Back to {0},返回{0}
Background processing did not finish in time.,后台处理未及时完成。
Background processing failed for Invoice {0}: {1},发票 {0} 的后台处理失败：{1}
Background Submission Failed,后台提交失败
Background sync interval (seconds),后台同步间隔（秒）
Balance,平衡
Balance will be updated when connection is restored,连接恢复后余额将更新
Balances still pending,余额仍待处理
Barcode,条码
Barcode / QR Ready,条形码/QR 就绪
Barcode Label Printing,条码标签打印
Base Paid:,基本付费：
Base Recv:,基本接收：
Base:,基地：
Basic Information,基本信息
Batch,批次
Batch Information,批次信息
Before any return workflow,在任何退货工作流程之前
Before returns,退货前
Best Day,最好的一天
Best Seller,畅销书
Book expense or deposit from active shift.,登记活动班次的费用或押金。
Branch / Location-wise Report,分行/地点报告
Brand-wise,品牌明智
Breakdown,故障
Browse,浏览
Build Time:,构建时间：
Built with Frappe,用冰沙建造
Bundle,捆绑包
Buying Price,购买价格
Cache cleared successfully,缓存清除成功
Cache Usage,缓存使用情况
cache used,使用缓存
Calculating...,正在计算...
Camera Access Required,需要访问相机
Camera access was aborted. Please try again.,相机访问被中止。请再试一次。
Camera constraints not supported by your device. Trying fallback settings...,您的设备不支持相机限制。正在尝试后备设置...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,相机正忙或被其他应用程序/选项卡阻止。关闭其他相机应用程序并重试。
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,相机权限被拒绝。请在浏览器设置中允许相机访问并刷新页面。
Camera scanner is locked until the current error is acknowledged,相机扫描仪将被锁定，直到当前错误得到确认
Camera started but the video stream did not load in time. Please try again.,相机已启动，但视频流未及时加载。请再试一次。
Cancel cash movement {0}?,取消现金转移{0}？
Cancel Payment,取消付款
Cancel Sale,取消销售
Cancel Sale ?,取消销售？
Cancelled,取消
Cannot add an item with zero or negative quantity.,无法添加数量为零或负数的项目。
Cannot clear cache while offline,离线时无法清除缓存
Cannot redeem customer credit more than invoice total,兑换客户积分的金额不得超过发票总额
Cannot redeem gift cards more than invoice total,兑换礼品卡的金额不得超过发票总额
Cannot Save Offline Invoice:,无法保存离线发票：
Cannot Save Offline Payment:,无法保存离线付款：
Card,卡
Card / Online,卡/网上
Card health after the last live lookup,上次实时查找后的卡健康状况
Cards,卡片
Cart,购物车
Cash,现金
Cash back to customers,现金返还给客户
Cash Collections,现金托收
Cash Deposit is disabled for this POS Profile.,此 POS 配置文件禁用现金存款。
Cash Drawer Snapshot,现金抽屉快照
Cash In Hand,手头现金
Cash Movement,现金流动
Cash movement cancelled,现金流动取消
Cash movement deduction applied,适用现金流动扣除
Cash movement deleted,现金流动已删除
Cash movement is disabled for this POS Profile.,此 POS 配置文件禁用现金移动。
Cash Movement is disabled in current POS Profile.,当前 POS 配置文件中禁用现金移动。
Cash movement saved offline,离线保存现金流动
Cash movement submitted,已提交现金变动
Cash Movements,现金流动
Cash payment cannot be less than invoice total when partial payment is not allowed,不允许部分付款时，现金支付不能少于发票总额
Cash returned after payment,付款后返还现金
Cashier,收银员
Cashier Access,出纳通道
Cashier identity and appearance preferences.,收银员的身份和外表偏好。
Cashier PIN,收银员密码
Cashier PIN saved successfully.,收银员密码已成功保存。
Cashiers,收银员
Cashier-wise,收银员明智
Categories,类别
Category,类别
Category / Brand / Variant Report,类别/品牌/变体报告
Category-wise,按类别分类
Category-wise Margin,类别利润率
Certificate,证书
Certificate is missing or not trusted. QZ may show confirmation dialogs.,证书丢失或不可信。 QZ 可能会显示确认对话框。
Certificate is trusted. Silent QZ printing is active.,证书是可信的。静默 QZ 打印已激活。
Change,改变
Change allocation repaired,更改分配已修复
Change Price,更改价格
Change Return,更改退货
Change Returned,零钱退回
Change terminal cashier,变更航站楼收银员
Charge Heads,充电头
Charges,收费
Charges not found,未找到费用
Check Balance,检查余额
