POS Awesome,POS အရမ်းကောင်းတယ်။
Fetch Items Directly from Server,ဆာဗာမှ ပစ္စည်းများကို တိုက်ရိုက်ရယူပါ။
Menu,မီနူး
Actions,လုပ်ဆောင်ချက်များ
Close Shift,Shift ကိုပိတ်ပါ။
End current session,လက်ရှိစက်ရှင်ကို အဆုံးသတ်ပါ။
Print Last Invoice,နောက်ဆုံး ငွေတောင်းခံလွှာကို ပရင့်ထုတ်ပါ။
Reprint previous transaction,ယခင်ငွေပေးငွေယူကို ပြန်လည်ပုံနှိပ်ပါ။
Sync Offline Invoices,အော့ဖ်လိုင်းငွေတောင်းခံလွှာများကို စင့်ခ်လုပ်ပါ။
Upload pending transactions,ဆိုင်းငံ့ထားသော ငွေပေးငွေယူများကို အပ်လုဒ်လုပ်ပါ။
Go Online,အွန်လိုင်းသွားပါ။
Go Offline,အော့ဖ်လိုင်းသွားပါ။
Disable offline mode,အော့ဖ်လိုင်းမုဒ်ကို ပိတ်ပါ။
Work without server connection,ဆာဗာချိတ်ဆက်မှုမရှိဘဲ အလုပ်လုပ်ပါ။
Clear Cache,Cache ကိုရှင်းလင်းပါ။
Remove local data and refresh,ဒေသတွင်းဒေတာကို ဖယ်ရှားပြီး ပြန်လည်စတင်ပါ။
About,အကြောင်း
App information,အက်ပ်အချက်အလက်
Language,ဘာသာစကား
Change interface language,ကြားခံဘာသာစကားကို ပြောင်းပါ။
Light Mode,အလင်းမုဒ်
Dark Mode,အမှောင်မုဒ်
Switch theme appearance,အပြင်အဆင်အသွင်အပြင်ကို ပြောင်းပါ။
Logout,ထွက်လိုက်ပါ။
Sign out of session,စက်ရှင်မှ ထွက်ပါ။
Select Language,ဘာသာစကားကို ရွေးပါ။
Choose your preferred language for the POS interface,POS မျက်နှာပြင်အတွက် သင်နှစ်သက်ရာဘာသာစကားကို ရွေးချယ်ပါ။
Language will be changed to,ဘာသာစကားသို့ ပြောင်းလဲသွားမည်ဖြစ်သည်။
Cancel,မလုပ်တော့
Change Language,ဘာသာစကားပြောင်းပါ။
Close,ပိတ်လိုက်
Cannot change language - same language selected,ဘာသာစကားကို ပြောင်းလဲ၍မရပါ - တူညီသောဘာသာစကားကို ရွေးချယ်ထားသည်။
Language changed successfully! Reloading...,ဘာသာစကားကို အောင်မြင်စွာ ပြောင်းလဲလိုက်ပါပြီ။ ပြန်လည်စတင်နေသည်...
Failed to change language,ဘာသာစကားပြောင်းရန် မအောင်မြင်ပါ။
Unknown error,အမည်မသိ အမှား
- Total Unallocated,- စုစုပေါင်း Unallocated
* Required,* လိုအပ်သည်
{0} (Qty: {1}),{0} (အရေအတွက်- {1})
{0} actions,လုပ်ဆောင်ချက် {0} ခု
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} တွင် {1} သာရှိသည်။ သင်သည် {2} ကို တောင်းဆိုခဲ့သည်။ ပမာဏကို ချိန်ညှိပါ သို့မဟုတ် ပြန်စတော့ပါ။
{0} offline invoice{1} pending,{0} အော့ဖ်လိုင်းပြေစာ{1} ကို ဆိုင်းငံ့ထားသည်။
{0} offline invoice{1} saved as draft,{0} အော့ဖ်လိုင်းပြေစာ{1} ကို မူကြမ်းအဖြစ် သိမ်းဆည်းထားသည်။
{0} offline invoice{1} synced,{0} အော့ဖ်လိုင်းပြေစာ{1} ကို စင့်ခ်လုပ်ထားသည်။
{0}: {1} {2},{0}- {1} {2}
{0}d ago,လွန်ခဲ့သော {0}ရက်
{0}h ago,လွန်ခဲ့သော {0}နာရီက
{0}m ago,လွန်ခဲ့သော {0}မိနစ်က
A POS supervisor is required for this action.,ဤလုပ်ဆောင်ချက်အတွက် POS ကြီးကြပ်ရေးမှူးတစ်ဦး လိုအပ်ပါသည်။
Access,သုံးစွဲခွင့်
Account,အကောင့်
Account is overdrawn,အကောင့်ကို ကျော်လွန်သွားပါပြီ။
Acknowledge the error to resume scanning,စကင်ဖတ်ခြင်းကို ပြန်လည်စတင်ရန် အမှားအယွင်းကို အသိအမှတ်ပြုပါ။
Acknowledge the error to resume scanning.,စကင်ဖတ်ခြင်းကို ပြန်လည်စတင်ရန် အမှားအယွင်းကို အသိအမှတ်ပြုပါ။
Across,ခွင်
Action,အက်ရှင်
Active sale,အရောင်းသွက်သည်။
add,ထည့်ပါ။
Add items from the selector to start building this sale.,ဤရောင်းချမှုကို စတင်တည်ဆောက်ရန် ရွေးချယ်သည့်ကိရိယာမှ အရာများကို ထည့်ပါ။
Add more value to an existing gift card,ရှိပြီးသားလက်ဆောင်ကတ်တစ်ခုသို့ တန်ဖိုးပိုထည့်ပါ။
Add New Address,လိပ်စာအသစ်ထည့်ပါ။
Add new customer,ဖောက်သည်အသစ်ထည့်ပါ။
Add on New Line,လိုင်းအသစ်တွင်ထည့်ပါ။
Add Payment,ငွေပေးချေမှုထည့်ပါ။
Add payment to invoice,ငွေပေးချေမှုကို ပြေစာသို့ ထည့်ပါ။
Add/Edit Coupon Conditions,ကူပွန်အခြေအနေများကို ထည့်/ပြင်ဆင်ပါ။
Additional Discount,အပိုလျှော့စျေး
Additional Discount %,အပိုလျှော့စျေး %
Address Line 1,လိပ်စာလိုင်း ၁
Address not found,လိပ်စာမတွေ့ပါ။
Adjust the quantity or enable negative stock to continue.,ပမာဏကို ချိန်ညှိပါ သို့မဟုတ် ဆက်လုပ်ရန် အနုတ်လက္ခဏာစတော့ကို ဖွင့်ပါ။
Adjustment,များတော့
After returns,ပြန်လာပြီးနောက်
Against,ဆန့်ကျင်ဘက်
Against Name,ဆန့်ကျင်ဘက်အမည်
Age Bracket,ခေတ်ကွင်းပိတ်
All,အားလုံး
All Caught Up!,အားလုံးဖမ်းမိ။
All invoices are synchronized,ငွေတောင်းခံလွှာအားလုံးကို တစ်ပြိုင်တည်းလုပ်ဆောင်သည်။
All pending invoices are up to date,ဆိုင်းငံ့ထားသည့် ငွေတောင်းခံလွှာများအားလုံးသည် ခေတ်မီနေပါသည်။
All Profiles,Profiles အားလုံး
All Synchronized,အားလုံးထပ်တူကျသည်။
All visible invoices are fully settled.,မြင်နိုင်သော ပြေစာများအားလုံးကို အပြည့်အ၀ ဖြေရှင်းထားပါသည်။
All Warehouses,ဂိုဒေါင်အားလုံး
Allowed UOM is {0},ခွင့်ပြုထားသည့် UOM မှာ {0}
Always fetch items from server (ignore local cache),ဆာဗာမှ အရာများကို အမြဲယူပါ (ဒေသခံ ကက်ရှ်ကို လျစ်လျူရှုပါ)
Amount,ပမာဏ
Amount already received,လက်ခံရရှိပြီးသားပမာဏ
Amount exceeds profile cash movement max amount.,ပမာဏသည် ပရိုဖိုင် ငွေသားလှုပ်ရှားမှု အမြင့်ဆုံးပမာဏထက် ကျော်လွန်နေပါသည်။
Amount must be greater than zero.,ပမာဏသည် သုညထက် ပိုနေရပါမည်။
Amount received from customer,ဖောက်သည်ထံမှ လက်ခံရရှိသည့်ပမာဏ
Appearance and user-level preferences for the current session.,လက်ရှိစက်ရှင်အတွက် အသွင်အပြင်နှင့် အသုံးပြုသူအဆင့် ဦးစားပေးမှုများ။
Applied,အသုံးချပါ။
Apply,လျှောက်ထားပါ။
Apply Gift Card,လက်ဆောင်ကတ်ကို လျှောက်ထားပါ။
Apply Offer,ကမ်းလှမ်းချက်ကို လျှောက်ထားပါ။
Apply On,ဖွင့်ပါ။
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,ဤငွေတောင်းခံလွှာတွင် သင်ကူယူလိုသော ပမာဏကိုသာ အသုံးပြုပါ။ ကျန်လက်ကျန်ငွေသည် ကတ်တွင်ရှိနေပါသည်။
Apply Redemption,ရွေးနှုတ်ခြင်းကို လျှောက်ထားပါ။
Applying,လျှောက်ထားခြင်း။
Apps,အက်ပ်များ
