POS Awesome,POS Lieliski
Fetch Items Directly from Server,Ienesiet preces tieši no servera
Menu,Izvēlne
Actions,Darbības
Close Shift,Aizvērt Shift
End current session,Beigt pašreizējo sesiju
Print Last Invoice,Drukāt pēdējo rēķinu
Reprint previous transaction,Pārdrukājiet iepriekšējo darījumu
Sync Offline Invoices,Sinhronizējiet bezsaistes rēķinus
Upload pending transactions,Augšupielādējiet neapstiprinātos darījumus
Go Online,Iet tiešsaistē
Go Offline,Pāriet bezsaistē
Disable offline mode,Atspējot bezsaistes režīmu
Work without server connection,Strādājiet bez savienojuma ar serveri
Clear Cache,Notīrīt kešatmiņu
Remove local data and refresh,Noņemiet vietējos datus un atsvaidziniet
About,Par
App information,Lietotnes informācija
Language,Valoda
Change interface language,Mainiet saskarnes valodu
Light Mode,Gaismas režīms
Dark Mode,Tumšais režīms
Switch theme appearance,Mainiet motīva izskatu
Logout,Atteikties
Sign out of session,Izrakstieties no sesijas
Select Language,Izvēlieties valodu
Choose your preferred language for the POS interface,Izvēlieties vēlamo valodu POS saskarnei
Language will be changed to,Valoda tiks mainīta uz
Cancel,Atcelt
Change Language,Mainīt valodu
Close,Aizvērt
Cannot change language - same language selected,Nevar mainīt valodu — atlasīta tā pati valoda
Language changed successfully! Reloading...,Valoda veiksmīgi nomainīta! Notiek atkārtota ielāde...
Failed to change language,Neizdevās mainīt valodu
Unknown error,Nezināma kļūda
- Total Unallocated,- Kopējais nepiešķirtais
* Required,* Obligāti
{0} (Qty: {1}),{0} (daudzums: {1})
{0} actions,{0} darbības
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} ir tikai {1} noliktavā. Jūs pieprasījāt {2}. Pielāgojiet daudzumu vai papildiniet krājumus.
{0} offline invoice{1} pending,Neapstiprināts {0} bezsaistes rēķins{1}
{0} offline invoice{1} saved as draft,{0} bezsaistes rēķins{1} saglabāts kā melnraksts
{0} offline invoice{1} synced,Sinhronizēts {0} bezsaistes rēķins{1}
{0}: {1} {2},{0}: {1} {2}
{0}d ago,Pirms {0} d
{0}h ago,pirms {0} h
{0}m ago,pirms {0} min
A POS supervisor is required for this action.,Šai darbībai ir nepieciešams POS vadītājs.
Access,Piekļuve
Account,Konts
Account is overdrawn,Konts ir pārtērēts
Acknowledge the error to resume scanning,"Apstipriniet kļūdu, lai atsāktu skenēšanu"
Acknowledge the error to resume scanning.,"Apstipriniet kļūdu, lai atsāktu skenēšanu."
Across,Pāri
Action,Darbība
Active sale,Aktīva izpārdošana
add,pievienot
Add items from the selector to start building this sale.,"Pievienojiet preces no atlasītāja, lai sāktu veidot šo izpārdošanu."
Add more value to an existing gift card,Pievienojiet vairāk vērtības esošai dāvanu kartei
Add New Address,Pievienot jaunu adresi
Add new customer,Pievienot jaunu klientu
Add on New Line,Pievienot jaunā rindā
Add Payment,Pievienot maksājumu
Add payment to invoice,Pievienojiet rēķinam maksājumu
Add/Edit Coupon Conditions,Pievienot/rediģēt kupona nosacījumus
Additional Discount,Papildu atlaide
Additional Discount %,Papildu atlaide %
Address Line 1,Adreses 1. rindiņa
Address not found,Adrese nav atrasta
Adjust the quantity or enable negative stock to continue.,"Pielāgojiet daudzumu vai iespējojiet negatīvo krājumu, lai turpinātu."
Adjustment,Pielāgošana
After returns,Pēc atgriešanās
Against,Pret
Against Name,Pret Vārdu
Age Bracket,Vecuma grupa
All,Visi
All Caught Up!,Visi noķerti!
All invoices are synchronized,Visi rēķini ir sinhronizēti
All pending invoices are up to date,Visi neapmaksātie rēķini ir atjaunināti
All Profiles,Visi profili
All Synchronized,Viss sinhronizēts
All visible invoices are fully settled.,Visi redzamie rēķini ir pilnībā apmaksāti.
All Warehouses,Visas noliktavas
Allowed UOM is {0},Atļautais UOM ir {0}
Always fetch items from server (ignore local cache),Vienmēr ienest vienumus no servera (ignorēt vietējo kešatmiņu)
Amount,Summa
Amount already received,Summa jau saņemta
Amount exceeds profile cash movement max amount.,Summa pārsniedz profila skaidras naudas kustības maksimālo summu.
Amount must be greater than zero.,Summai ir jābūt lielākai par nulli.
Amount received from customer,"Summa, kas saņemta no klienta"
Appearance and user-level preferences for the current session.,Pašreizējās sesijas izskats un lietotāja līmeņa preferences.
Applied,Pielietots
Apply,Pieteikties
Apply Gift Card,Piesakies dāvanu kartei
Apply Offer,Lietot piedāvājumu
Apply On,Lietot On
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,"Šajā rēķinā izmantojiet tikai to summu, kuru vēlaties izpirkt. Atlikušais atlikums paliek kartē."
Apply Redemption,Lietot izpirkšanu
Applying,Pieteikšanās
Apps,Lietotnes
Are you sure you want to close? All entered data will be lost.,Vai tiešām vēlaties aizvērt? Visi ievadītie dati tiks zaudēti.
Attributes (Size/Color),Atribūti (izmērs/krāsa)
Auto Allocate Payment Amount,Automātiski piešķiriet maksājuma summu
Auto Reconcile,Automātiskā saskaņošana
Auto reconciliation completed after payment submit.,Automātiskā saskaņošana pabeigta pēc maksājuma iesniegšanas.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Automātiskā saskaņošana pabeigta. Piešķirts: {0}{1}. Atlikušais atlikums: {0}{2}.
Available Actions,Pieejamās darbības
Available QTY,Pieejams daudzums
Available:,Pieejams:
Average Basket,Vidējais grozs
Average Bill,Vidējais rēķins
Average Ticket,Vidējā biļete
Avg Bill,Vid. rēķins
Avg Invoice,Vid. rēķins
Avg Invoice Profit,Vidējā rēķina peļņa
Avg Invoice Value,Vidējā rēķina vērtība
Avg Purchase Frequency,Vidējais pirkumu biežums
Awesome,Lieliski
Awesome Dashboard,Lielisks informācijas panelis
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard ir atspējots atlasītajam POS profilam.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard nav pieejams atlasītajam tvērumam.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard ir redzams tikai POS uzraugiem.
Back,Atpakaļ
Back Office Cash Account,Back Office naudas konts
Back Office Cash Account (Optional Override),Back Office naudas konts (izvēles ignorēšana)
Back office cash account is required.,Nepieciešams back office naudas konts.
Back to {0},Atpakaļ uz {0}
Background processing did not finish in time.,Fona apstrāde netika pabeigta laikā.
Background processing failed for Invoice {0}: {1},Fona apstrāde neizdevās rēķinam {0}: {1}
Background Submission Failed,Fona iesniegšana neizdevās
Background sync interval (seconds),Fona sinhronizācijas intervāls (sekundēs)
Balance,Līdzsvars
Balance will be updated when connection is restored,"Bilance tiks atjaunināta, kad savienojums tiks atjaunots"
Balances still pending,Atlikumi joprojām ir neapstiprināti
Barcode,Svītrkods
Barcode / QR Ready,Svītrkods / QR gatavs
Barcode Label Printing,Svītrkoda uzlīmju drukāšana
Base Paid:,Pamata apmaksāta:
Base Recv:,Pamata atv.:
Base:,Bāze:
Basic Information,Pamatinformācija
Batch,Partija
Batch Information,Partijas informācija
Before any return workflow,Pirms jebkādas atgriešanas darbplūsmas
Before returns,Pirms atgriešanās
Best Day,Labākā diena
Best Seller,Labākais pārdevējs
Book expense or deposit from active shift.,Rezervējiet izdevumus vai depozītu no aktīvās maiņas.
Branch / Location-wise Report,Pārskats par filiāli / atrašanās vietu
Brand-wise,Zīmola ziņā
Breakdown,Sadalījums
Browse,Pārlūkot
Build Time:,Būvēšanas laiks:
Built with Frappe,Būvēts ar Frappe
Bundle,Paka
Buying Price,Pirkšanas cena
Cache cleared successfully,Kešatmiņa ir veiksmīgi notīrīta
Cache Usage,Kešatmiņas lietojums
cache used,izmantota kešatmiņa
Calculating...,Notiek aprēķināšana...
Camera Access Required,Nepieciešama piekļuve kamerai
Camera access was aborted. Please try again.,"Piekļuve kamerai tika pārtraukta. Lūdzu, mēģiniet vēlreiz."
Camera constraints not supported by your device. Trying fallback settings...,Jūsu ierīce neatbalsta kameras ierobežojumus. Notiek rezerves iestatījumu mēģinājums...
