POS Awesome,POS Гайхалтай
Fetch Items Directly from Server,Серверээс шууд бараа татах
Menu,Цэс
Actions,Үйлдлүүд
Close Shift,Shift-ийг хаах
End current session,Одоогийн сессийг дуусгах
Print Last Invoice,Сүүлийн нэхэмжлэхийг хэвлэх
Reprint previous transaction,Өмнөх гүйлгээг дахин хэвлэх
Sync Offline Invoices,Офлайн нэхэмжлэхийг синк хийх
Upload pending transactions,Хүлээгдэж буй гүйлгээг байршуулах
Go Online,Онлайнаар явах
Go Offline,Офлайнаар явах
Disable offline mode,Офлайн горимыг идэвхгүй болгох
Work without server connection,Сервер холболтгүйгээр ажиллах
Clear Cache,Кэшийг цэвэрлэх
Remove local data and refresh,Дотоод өгөгдлийг устгаад дахин сэргээнэ үү
About,тухай
App information,Аппликешны мэдээлэл
Language,Хэл
Change interface language,Интерфейсийн хэлийг өөрчлөх
Light Mode,Гэрэл горим
Dark Mode,Харанхуй горим
Switch theme appearance,Загварын харагдах байдлыг өөрчлөх
Logout,Гарах
Sign out of session,Сешнээс гарах
Select Language,Хэл сонгоно уу
Choose your preferred language for the POS interface,POS интерфэйсийн хувьд өөрийн дуртай хэлийг сонгоно уу
Language will be changed to,Хэл нь өөрчлөгдөнө
Cancel,Цуцлах
Change Language,Хэлийг өөрчлөх
Close,Хаах
Cannot change language - same language selected,Хэлийг өөрчлөх боломжгүй - ижил хэлийг сонгосон
Language changed successfully! Reloading...,Хэл амжилттай өөрчлөгдсөн! Дахин ачаалж байна...
Failed to change language,Хэлийг өөрчилж чадсангүй
Unknown error,Үл мэдэгдэх алдаа
- Total Unallocated,- Нийт хуваарилагдаагүй
* Required,* Шаардлагатай
{0} (Qty: {1}),{0} (Тоо хэмжээ: {1})
{0} actions,{0} үйлдэл
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0}-д зөвхөн {1} нөөц бий. Та {2}-г хүссэн. Тоо хэмжээг тохируулах эсвэл нөөцлөх.
{0} offline invoice{1} pending,{0} офлайн нэхэмжлэх{1} хүлээгдэж байна
{0} offline invoice{1} saved as draft,{0} офлайн нэхэмжлэхийг{1} ноорог болгон хадгалсан
{0} offline invoice{1} synced,{0} офлайн нэхэмжлэхийг{1} синк хийсэн
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0} өдрийн өмнө
{0}h ago,{0}цагийн өмнө
{0}m ago,{0}минутын өмнө
A POS supervisor is required for this action.,Энэ үйлдэлд ПОС-ын хянагч шаардлагатай.
Access,Хандалт
Account,Данс
Account is overdrawn,Данс хэтрүүлсэн байна
Acknowledge the error to resume scanning,Скан хийх ажиллагааг үргэлжлүүлэхийн тулд алдааг хүлээн зөвшөөр
Acknowledge the error to resume scanning.,Скан хийх ажиллагааг үргэлжлүүлэхийн тулд алдааг хүлээн зөвшөөр.
Across,Даанч
Action,Үйлдэл
Active sale,Идэвхтэй худалдаа
add,нэмэх
Add items from the selector to start building this sale.,Энэ борлуулалтыг эхлүүлэхийн тулд сонгогчоос зүйлсийг нэмнэ үү.
Add more value to an existing gift card,Одоо байгаа бэлгийн картанд илүү үнэ цэнийг нэмээрэй
Add New Address,Шинэ хаяг нэмэх
Add new customer,Шинэ үйлчлүүлэгч нэмэх
Add on New Line,Шинэ мөрөнд нэмнэ үү
Add Payment,Төлбөр нэмэх
Add payment to invoice,Нэхэмжлэлд төлбөр нэмэх
Add/Edit Coupon Conditions,Купоны нөхцөл нэмэх/засах
Additional Discount,Нэмэлт хөнгөлөлт
Additional Discount %,Нэмэлт хөнгөлөлт %
Address Line 1,Хаягийн мөр 1
Address not found,Хаяг олдсонгүй
Adjust the quantity or enable negative stock to continue.,Үргэлжлүүлэхийн тулд тоо хэмжээг тохируулах эсвэл сөрөг хувьцааг идэвхжүүлнэ үү.
Adjustment,Тохируулга
After returns,Буцаж ирсний дараа
Against,Эсрэг
Against Name,Нэрний эсрэг
Age Bracket,Насны хаалт
All,Бүгд
All Caught Up!,Бүгдийг барьж авлаа!
All invoices are synchronized,Бүх нэхэмжлэх нь синхрончлогдсон
All pending invoices are up to date,Бүх хүлээгдэж буй нэхэмжлэхүүд шинэчлэгдсэн
All Profiles,Бүх профайл
All Synchronized,Бүгд синхрончлогдсон
