POS Awesome,POS æðislegt
Fetch Items Directly from Server,Sæktu hluti beint frá netþjóni
Menu,Matseðill
Actions,Aðgerðir
Close Shift,Lokaðu Shift
End current session,Ljúktu núverandi lotu
Print Last Invoice,Prentaðu síðasta reikning
Reprint previous transaction,Endurprentaðu fyrri viðskipti
Sync Offline Invoices,Samstilltu reikninga án nettengingar
Upload pending transactions,Hladdu upp færslum í bið
Go Online,Farðu á netinu
Go Offline,Farðu án nettengingar
Disable offline mode,Slökktu á ótengdu stillingu
Work without server connection,Vinna án netþjónstengingar
Clear Cache,Hreinsaðu skyndiminni
Remove local data and refresh,Fjarlægðu staðbundin gögn og endurnýjaðu
About,Um
App information,Upplýsingar um forrit
Language,Tungumál
Change interface language,Breyttu tungumáli viðmótsins
Light Mode,Ljóshamur
Dark Mode,Dark Mode
Switch theme appearance,Skiptu um útlit þema
Logout,Útskrá
Sign out of session,Skráðu þig út af fundi
Select Language,Veldu Tungumál
Choose your preferred language for the POS interface,Veldu valið tungumál fyrir POS viðmótið
Language will be changed to,Tungumáli verður breytt í
Cancel,Hætta við
Change Language,Breyta tungumáli
Close,Loka
Cannot change language - same language selected,Ekki er hægt að breyta tungumáli - sama tungumál valið
Language changed successfully! Reloading...,Tungumáli breyttist! Endurhleður...
Failed to change language,Mistókst að skipta um tungumál
Unknown error,Óþekkt villa
- Total Unallocated,- Samtals Óúthlutað
* Required,* Nauðsynlegt
{0} (Qty: {1}),{0} (Magn: {1})
{0} actions,{0} aðgerðir
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} er aðeins með {1} á lager. Þú baðst um {2}. Stilltu magn eða endurnýjaðu birgðir.
{0} offline invoice{1} pending,{0} ónettengdur reikningur{1} í bið
{0} offline invoice{1} saved as draft,{0} ónettengdur reikningur{1} vistaður sem drög
{0} offline invoice{1} synced,{0} ónettengdur reikningur{1} samstilltur
{0}: {1} {2},{0}: {1} {2}
{0}d ago,fyrir {0}d
{0}h ago,{0}klst. síðan
{0}m ago,Fyrir {0}m. síðan
A POS supervisor is required for this action.,Nauðsynlegt er að vera umsjónarmaður POS fyrir þessa aðgerð.
Access,Aðgangur
Account,Reikningur
Account is overdrawn,Reikningur er yfirdreginn
Acknowledge the error to resume scanning,Viðurkenndu villuna til að halda áfram að skanna
Acknowledge the error to resume scanning.,Viðurkenndu villuna til að halda áfram að skanna.
Across,Þvert yfir
Action,Aðgerð
Active sale,Virk sala
add,bæta við
Add items from the selector to start building this sale.,Bættu við hlutum úr veljaranum til að byrja að byggja upp þessa sölu.
Add more value to an existing gift card,Bættu meira gildi við núverandi gjafakort
Add New Address,Bæta við nýju heimilisfangi
Add new customer,Bæta við nýjum viðskiptavinum
Add on New Line,Bæta við nýrri línu
Add Payment,Bæta við greiðslu
Add payment to invoice,Bættu greiðslu við reikning
Add/Edit Coupon Conditions,Bæta við/breyta afsláttarmiðaskilmálum
Additional Discount,Auka afsláttur
