Type,Tipo
is Offer,es Oferta
Total Qty,Cantidad Total
Customer,Cliente
Items Group,Grupo de Artículos
Search Items,Buscar Artículos
Additional Discount,Descuento Adicional
Items Discounts,Descuentos de Artículos
HOLD,EN ESPERA
Hold,En Espera
Fetch Items Directly from Server,Obtener artículos directamente del servidor
RETURN,DEVOLUCIÓN
Return,Devolución
CANCEL,CANCELAR
NEW,NUEVO
PAY,PAGAR
Order,Orden
Available QTY,Cantidad Disponible
QTY,Cantidad
Discount Percentage,Porcentaje de Descuento
Price list Rate,Tarifa de Lista de Precios
Group,Grupo
Stock QTY,Cantidad en Stock
Stock UOM,Unidad de Medida de Stock
Card,Tarjeta
Offers,Ofertas
Applied,Aplicadas
There is no Customer !,No hay Cliente !
There is no Items !,No hay Artículos !
The existing quantity of item {0} is not enough,La cantidad existente del artículo {0} no es suficiente
Maximum discount for Item {0} is {1}%,Descuento máximo para el artículo {0} es {1}%
Selected serial numbers of item {0} is incorrect,Los números de serie seleccionados del artículo {0} son incorrectos
The existing batch quantity of item {0} is not enough,La cantidad existente del lote del artículo {0} no es suficiente
The discount should not be higher than {0}%,El descuento no debe ser mayor que {0}%
Return Invoice Total Not Correct,Total de la Factura de Devolución Incorrecto
Return Invoice Total should not be higher than {0},El total de la factura de devolución no debe ser mayor que {0}
The item {0} cannot be returned because it is not in the invoice {1},El artículo {0} no puede devolverse porque no está en la factura {1}
The QTY of the item {0} cannot be greater than {1},La cantidad del artículo {0} no puede ser mayor que {1}
Selected Serial No QTY is {0} it should be {1},La cantidad de serie seleccionada es {0} debería ser {1}
Loyalty Point Offer Applied,Oferta de Puntos de Fidelidad Aplicada
Loyalty Points,Puntos de Fidelidad
Paid Amount,Cantidad Pagada
To Be Paid,A Pagar
Cash,Efectivo
Tax and Charges,Impuestos y Cargos
Discount Amount,Cantidad de Descuento
Total Amount,Cantidad Total
Totoal Amount,Cantidad Total
Grand Amount,Cantidad Final
Back,Volver
Submit Payments,Registrar Pagos
Give Item,Entregar Artículo
New Offer Available,Nueva Oferta Disponible
POS Offers,Ofertas POS
Customer contact created successfully.,Contacto del cliente creado con éxito.
Customer Address created successfully.,Dirección del cliente creada con éxito.
Customer contact updated successfully.,Contacto del cliente actualizado con éxito.
Offer,Oferta
Apply On,Aplicar En
Offer Applied,Oferta Aplicada
Opening Amount,Cantidad de Apertura
Closing Amount,Cantidad de Cierre
Expected Amount,Cantidad Esperada
Difference,Diferencia
Close,Cerrar
Submit,Enviar
Closing POS Shift,Cerrando Turno POS
Select Hold Invoice,Seleccionar Factura en Espera
Customer Info,Información del Cliente
Add New Address,Agregar Nueva Dirección
New Customer,Nuevo Cliente
Create POS Opening Shift,Crear Turno de Apertura POS
Select Return Invoice,Seleccionar Factura de Devolución
Close Shift,Cerrar Turno
Pages,Páginas
Customer not found,Cliente no encontrado
Customer Name,Nombre del Cliente
Batch No Available QTY,Cantidad Disponible del Lote
Batch No Expiry Date,Fecha de Vencimiento del Lote
Batch No,Número de Lote
Use Customer Credit,Usar Crédito del Cliente
Is Credit Sale,Es Venta a Crédito
Due Date,Fecha de Vencimiento
Menu,Menú
Actions,Acciones
End current session,Finalizar sesión actual
Print Last Invoice,Imprimir Última Factura
Reprint previous transaction,Reimprimir transacción anterior
Sync Offline Invoices,Sincronizar Facturas Sin Conexión
Upload pending transactions,Subir transacciones pendientes
Go Online,Conectarse
Go Offline,Desconectarse
Disable offline mode,Deshabilitar modo sin conexión
Work without server connection,Trabajar sin conexión al servidor
Clear Cache,Limpiar Caché
Remove local data and refresh,Eliminar datos locales y actualizar
About,Acerca de
App information,Información de la aplicación
Language,Idioma
Change interface language,Cambiar idioma de la interfaz
Light Mode,Modo Claro
Dark Mode,Modo Oscuro
Switch theme appearance,Cambiar apariencia del tema
Logout,Cerrar Sesión
Sign out of session,Cerrar sesión
Select Language,Seleccionar Idioma
Choose your preferred language for the POS interface,Elige tu idioma preferido para la interfaz POS
Language will be changed to,El idioma se cambiará a
Cancel,Cancelar
Change Language,Cambiar Idioma
Cannot change language - same language selected,No se puede cambiar el idioma - mismo idioma seleccionado
Language changed successfully! Reloading...,¡Idioma cambiado exitosamente! Recargando...
Failed to change language,Error al cambiar el idioma
Unknown error,Error desconocido
* Required,Requerido
- Total Outstanding,Total Pendiente
- Total Unallocated,Total Sin Asignar
Add,Agregar
Add Payment,Agregar Pago
Additional Notes,Notas Adicionales
Address,Dirección
All,Todos
All Synchronized,Todo Sincronizado
All Warehouses,Todos los Almacenes
All pending invoices are up to date,Todas las facturas pendientes estan actualizadas
Amount must be greater than zero.,El monto debe ser mayor que cero.
Apply Offer,Aplicar Oferta
Authorization Code,Código de Autorizacion
Auto Reconcile,Conciliacion Automatica
Available Credit,Credito Disponible
Available Items,Artículos Disponibles
Back Office Cash Account must be a Cash account.,La cuenta de efectivo de oficina debe ser una cuenta de efectivo.
Barcode,Código de Barras
Batch,Lote
Buying Price,Precio de Compra
Calculating...,Calculando...
Cancel Sale ?,¿Cancelar Venta?
Card / Online,Tarjeta / En linea
Cash Collections,Cobros en Efectivo
Cash Movement,Movimiento de Efectivo
Cash returned after payment,Efectivo devuelto despues del pago
Cashback Active,Efectivo de Vuelta Activo
Cashback?,¿Efectivo de vuelta?
Cashier-wise,Por Cajero
Category,Categoría
Certificate,Certificado
Change,Cambio
Charges,Cargos
Check cache and performance,Verificar cache y rendimiento
Check for Updates,Buscar Actualizaciones
Clear All,Limpiar Todo
Close Dialog,Cerrar Dialogo
Close Settings,Cerrar Configuracion
Collected,Recaudado
Company is required,Se requiere empresa
Completed and active sales in this range,Ventas completadas y activas en este rango
Connect,Conectar
Connecting,Conectando
Connections:,Conexiones:
Create,Crear
Create Bill,Crear Factura
Create New Item,Crear Nuevo Artículo
Create Purchase Order,Crear Orden de Compra
Create Return,Crear Devolucion
Create Supplier,Crear Proveedor
Credit Note,Nota de Credito
Credit Return Active,Devolucion a Credito Activa
Credit Return?,¿Devolucion a Credito?
Credit Sale?,¿Venta a Credito?
Credit redemption details are shown below in this section.,Los detalles de canje de credito se muestran abajo.
Currency,Moneda
Currency is required,Se requiere moneda
Current,Actual
Current Event Loop Lag:,Retardo del Bucle de Eventos Actual:
Current Month,Mes Actual
Current Profile,Perfil Actual
Current User,Usuario Actual
Customer Credit Enabled,Credito del Cliente Habilitado
Customer Details,Detalles del Cliente
Customer Report,Informe de Cliente
Customer already exists,El cliente ya existe
Customer is required,Se requiere cliente
Customers,Clientes
Daily Sales,Ventas Diarias
Data loaded in form. Review and submit.,Datos cargados. Revisar y enviar.
Days,Dias
Days until due,Dias hasta vencimiento
Decrease quantity,Disminuir cantidad
Default,Predeterminado
Delete,Eliminar
Delete Draft,Eliminar Borrador
Deposit,Deposito
Detecting formats:,Detectando formatos:
Device Memory:,Memoria del Dispositivo:
Difference:,Diferencia:
Disconnect,Desconectar
Discount,Descuento
Discounts,Descuentos
Dismiss,Descartar
Download Certificate,Descargar Certificado
Draft invoice deleted,Factura de borrador eliminada
Drafts,Borradores
Duplicate,Duplicar
Edit,Editar
Edit discount amount,Editar monto de descuento
Edit discount percentage,Editar porcentaje de descuento
Edit item name,Editar nombre del articulo
Edit quantity,Editar cantidad
Edit rate,Editar tasa
Edit unit of measure,Editar unidad de medida
Edited,Editado
Enable background sync,Habilitar sincronización en segundo plano
Enter Quantity,Ingresar Cantidad
Error accessing camera:,Error al acceder a la camara:
Error in change calculations!,Error en calculos de cambio!
Error loading invoice details,Error al cargar detalles de factura
Error processing invoice,Error al procesar factura
Error updating currency,Error al actualizar moneda
Every,Cada
Exchange Rate,Tipo de Cambio
Expected vs Actual,Esperado vs Real
Expense,Gasto
Expired,Expirado
Failed to cancel cash movement,Error al cancelar movimiento de efectivo
Failed to create item,Error al crear articulo
Failed to create supplier,Error al crear proveedor
Failed to delete cash movement,Error al eliminar movimiento de efectivo
Failed to submit cash movement,Error al enviar movimiento de efectivo
Fast Moving Items,Artículos de Movimiento Rapido
Fees,Tarifas
Finance,Finanzas
Fixing payment amounts for return invoice...,Ajustando montos de pago para factura de devolucion...
Free,Gratis
Free Qty,Cant. Gratis
Frequency,Frecuencia
From Date,Desde Fecha
Generate Certificate,Generar Certificado
Go to Frappe Desk,Ir a Escritorio Frappe
Gross Margin,Margen Bruto
Gross Profit,Ganancia Bruta
Gross Sales,Ventas Brutas
High,Alto
History,Historial
Hourly (Today),Por Hora (Hoy)
In,En
Increase quantity,Aumentar cantidad
Invalid payload for cash movement.,Carga util invalida para movimiento de efectivo.
Inventory,Inventario
Invoice,Factura
Invoice Adjustments,Ajustes de Factura
Invoice Details,Detalles de Factura
Invoice Items,Artículos de Factura
Invoice Management,Gestion de Facturas
Invoice Submission Failed,Envio de Factura Fallido
Invoice Submitted,Factura Enviada
Invoice {0} does not exist,La factura {0} no existe
Invoices already past due date,Facturas con fecha de vencimiento pasada
Invoices saved as POS Invoices,Facturas guardadas como Facturas POS
Invoices still carrying balances,Facturas aun con saldos
Item,Artículo
Item Name,Nombre del Artículo
Item Search,Buscar Artículo
Item Selector,Selector de Artículos
Item code is required.,Se requiere codigo de articulo.
Item created successfully,Artículo creado exitosamente
Items Sold,Artículos Vendidos
Journal Entry,Asiento Contable
Labels,Etiquetas
Last,Ultimo
Last sync:,Ultima sincronización:
Latest entries for current shift,Ultimas entradas para turno actual
Limited,Limitado
Live Snapshot,Instantanea en Vivo
Load Draft,Cargar Borrador
Load Sale,Cargar Venta
Loading app data...,Cargando datos de la aplicación...
Loading customers...,Cargando clientes...
Loading database stats...,Cargando estadisticas de base de datos...
Loading details...,Cargando detalles...
Loading drafts...,Cargando borradores...
Loading invoice history...,Cargando historial de facturas...
Loading items...,Cargando articulos...
Loading return invoices...,Cargando facturas de devolucion...
Loading server CPU/memory usage...,Cargando uso de CPU/memoria del servidor...
Loading suppliers...,Cargando proveedores...
Loading unpaid invoices...,Cargando facturas impagadas...
Loading...,Cargando...
Location Performance,Rendimiento de Ubicacion
Locations,Ubicaciones
Low,Bajo
Low Stock,Inventario Bajo
Low Stock Alerts,Alertas de Inventario Bajo
Low Stock Items,Artículos con Inventario Bajo
Margin,Margen
Medium,Medio
Method-wise Collections,Cobros por Metodo
Minimum Qty,Cant. Minima
Missing Dependency,Dependencia Faltante
Mobile Number,Número de Móvil
Mode of Payment is required,Se requiere modo de pago
Month,Mes
Monthly Profit,Ganancia Mensual
Monthly Sales,Ventas Mensuales
Movement Type,Tipo de Movimiento
Movement Type must be Expense or Deposit.,El tipo de movimiento debe ser Gasto o Deposito.
Movements,Movimientos
Multi Currency,Moneda Multiple
Multiple Warehouses,Multiples Almacenes
N/A,N/D
Negative Stock,Inventario Negativo
Net,Neto
Net Qty,Cant. Neta
Net Sales,Ventas Netas
Net Value,Valor Neto
Never,Nunca
New Item,Nuevo Artículo
New changes are ready to load,Nuevos cambios listos para cargar
New rate,Nueva tasa
Next unit of measure,Siguiente unidad de medida
No Barcode,Sin Código de Barras
No Print Formats Found,No se encontraron formatos de impresión
No active POS Profile found for current user.,No se encontro perfil POS activo.
No attribute data found.,No se encontraron datos de atributos.
No cash expected for this shift.,No se espera efectivo para este turno.
No cash mode configured,No hay modo de efectivo configurado
No drafts found,No se encontraron borradores
No due date,Sin fecha de vencimiento
No invoice activity found.,No se encontro actividad de factura.
No invoices recorded for this shift.,No hay facturas registradas para este turno.
No items to invoice. Please ensure there are items on the Purchase Order.,No hay articulos para facturar.
No items to receive. Please enter received quantities.,No hay articulos para recibir.
No notifications yet,Aun no hay notificaciones
No outstanding credit invoices for this shift.,No hay facturas de credito pendientes para este turno.
No outstanding invoices available for allocation of credit note {0},No hay facturas disponibles para asignacion de nota de credito {0}
No outstanding invoices available for allocation of payment {0},No hay facturas disponibles para asignacion de pago {0}
No outstanding invoices were available to reconcile Credit Note {0}.,No habia facturas disponibles para conciliar nota de credito {0}.
No outstanding invoices were available to reconcile Journal Entry {0}.,No habia facturas disponibles para conciliar asiento {0}.
No outstanding invoices were available to reconcile Payment Entry {0}.,No habia facturas disponibles para conciliar pago {0}.
No outstanding invoices were found for {0}.,No se encontraron facturas pendientes para {0}.
No response from server,Sin respuesta del servidor
No return invoices found,No se encontraron facturas de devolucion
Not Set,No Establecido
Notifications,Notificaciones
OK,DE ACUERDO
Offer Item,Artículo de Oferta
Offer Removed,Oferta Eliminada
Offer UOM cannot be changed,La UOM de oferta no se puede cambiar
Offer criteria exceeded,Criterios de oferta excedidos
Offer item unavailable,Artículo de oferta no disponible
Offer?,Oferta?
Offline,Sin Conexión
Offline invoices status,Estado de facturas sin conexión
Offline invoices synced,Facturas sin conexión sincronizadas
Online,En Linea
