POS Awesome,POS అద్భుతం
Fetch Items Directly from Server,సర్వర్ నుండి నేరుగా వస్తువులను పొందండి
Menu,మెనూ
Actions,చర్యలు
Close Shift,షిఫ్ట్‌ని మూసివేయండి
End current session,ప్రస్తుత సెషన్‌ను ముగించండి
Print Last Invoice,చివరి ఇన్‌వాయిస్‌ని ప్రింట్ చేయండి
Reprint previous transaction,మునుపటి లావాదేవీని రీప్రింట్ చేయండి
Sync Offline Invoices,ఆఫ్‌లైన్ ఇన్‌వాయిస్‌లను సమకాలీకరించండి
Upload pending transactions,పెండింగ్‌లో ఉన్న లావాదేవీలను అప్‌లోడ్ చేయండి
Go Online,ఆన్‌లైన్‌కి వెళ్లండి
Go Offline,ఆఫ్‌లైన్‌కి వెళ్లండి
Disable offline mode,ఆఫ్‌లైన్ మోడ్‌ను నిలిపివేయండి
Work without server connection,సర్వర్ కనెక్షన్ లేకుండా పని చేయండి
Clear Cache,కాష్‌ని క్లియర్ చేయండి
Remove local data and refresh,"స్థానిక డేటాను తీసివేసి, రిఫ్రెష్ చేయండి"
About,గురించి
App information,యాప్ సమాచారం
Language,భాష
Change interface language,ఇంటర్ఫేస్ భాషను మార్చండి
Light Mode,లైట్ మోడ్
Dark Mode,డార్క్ మోడ్
Switch theme appearance,థీమ్ రూపాన్ని మార్చండి
Logout,లాగ్అవుట్
Sign out of session,సెషన్ నుండి సైన్ అవుట్ చేయండి
Select Language,భాషను ఎంచుకోండి
Choose your preferred language for the POS interface,POS ఇంటర్‌ఫేస్ కోసం మీకు నచ్చిన భాషను ఎంచుకోండి
Language will be changed to,భాష మార్చబడుతుంది
Cancel,రద్దు చేయి
Change Language,భాష మార్చండి
Close,మూసివేయి
Cannot change language - same language selected,భాషను మార్చలేరు - అదే భాష ఎంచుకోబడింది
Language changed successfully! Reloading...,భాష విజయవంతంగా మార్చబడింది! మళ్లీ లోడ్ అవుతోంది...
Failed to change language,భాషను మార్చడంలో విఫలమైంది
Unknown error,తెలియని లోపం
- Total Unallocated,- మొత్తం కేటాయించబడలేదు
* Required,* అవసరం
{0} (Qty: {1}),{0} (పరిమాణం: {1})
{0} actions,{0} చర్యలు
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} వద్ద {1} మాత్రమే స్టాక్‌లో ఉంది. మీరు {2}ని అభ్యర్థించారు. పరిమాణం లేదా రీస్టాక్‌ని సర్దుబాటు చేయండి.
{0} offline invoice{1} pending,{0} ఆఫ్‌లైన్ ఇన్‌వాయిస్{1} పెండింగ్‌లో ఉంది
{0} offline invoice{1} saved as draft,{0} ఆఫ్‌లైన్ ఇన్‌వాయిస్{1} డ్రాఫ్ట్‌గా సేవ్ చేయబడింది
{0} offline invoice{1} synced,{0} ఆఫ్‌లైన్ ఇన్‌వాయిస్{1} సమకాలీకరించబడింది
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}రో క్రితం
{0}h ago,{0}గం క్రితం
{0}m ago,{0}నిమి క్రితం
A POS supervisor is required for this action.,ఈ చర్య కోసం POS సూపర్‌వైజర్ అవసరం.
Access,యాక్సెస్
Account,ఖాతా
Account is overdrawn,ఖాతా ఓవర్‌డ్రా చేయబడింది
Acknowledge the error to resume scanning,స్కానింగ్‌ను పునఃప్రారంభించడంలో లోపాన్ని గుర్తించండి
Acknowledge the error to resume scanning.,స్కానింగ్‌ను పునఃప్రారంభించడంలో లోపాన్ని గుర్తించండి.
Across,అంతటా
Action,చర్య
Active sale,క్రియాశీల విక్రయం
add,జోడించు
Add items from the selector to start building this sale.,ఈ సేల్‌ను నిర్మించడం ప్రారంభించడానికి సెలెక్టర్ నుండి అంశాలను జోడించండి.
Add more value to an existing gift card,ఇప్పటికే ఉన్న బహుమతి కార్డ్‌కి మరింత విలువను జోడించండి
Add New Address,కొత్త చిరునామాను జోడించండి
Add new customer,కొత్త కస్టమర్‌ని జోడించండి
Add on New Line,కొత్త లైన్‌లో జోడించండి
Add Payment,చెల్లింపును జోడించండి
Add payment to invoice,ఇన్‌వాయిస్‌కు చెల్లింపును జోడించండి
Add/Edit Coupon Conditions,కూపన్ షరతులను జోడించండి/సవరించండి
Additional Discount,అదనపు తగ్గింపు
Additional Discount %,అదనపు తగ్గింపు %
Address Line 1,చిరునామా లైన్ 1
Address not found,చిరునామా దొరకలేదు
Adjust the quantity or enable negative stock to continue.,కొనసాగించడానికి పరిమాణాన్ని సర్దుబాటు చేయండి లేదా ప్రతికూల స్టాక్‌ను ప్రారంభించండి.
Adjustment,సర్దుబాటు
After returns,తిరిగి వచ్చిన తర్వాత
Against,వ్యతిరేకంగా
Against Name,పేరుకు వ్యతిరేకంగా
Age Bracket,వయస్సు బ్రాకెట్
All,అన్నీ
All Caught Up!,అంతా క్యాచ్ అప్!
All invoices are synchronized,అన్ని ఇన్‌వాయిస్‌లు సమకాలీకరించబడ్డాయి
All pending invoices are up to date,పెండింగ్‌లో ఉన్న అన్ని ఇన్‌వాయిస్‌లు తాజాగా ఉన్నాయి
All Profiles,అన్ని ప్రొఫైల్‌లు
All Synchronized,అన్నీ సమకాలీకరించబడ్డాయి
All visible invoices are fully settled.,అన్ని కనిపించే ఇన్‌వాయిస్‌లు పూర్తిగా పరిష్కరించబడ్డాయి.
All Warehouses,అన్ని గిడ్డంగులు
Allowed UOM is {0},అనుమతించబడిన UOM {0}
Always fetch items from server (ignore local cache),ఎల్లప్పుడూ సర్వర్ నుండి అంశాలను పొందండి (స్థానిక కాష్‌ను విస్మరించండి)
Amount,మొత్తం
Amount already received,ఇప్పటికే అందిన మొత్తం
Amount exceeds profile cash movement max amount.,ప్రొఫైల్ నగదు కదలిక గరిష్ట మొత్తాన్ని మించిపోయింది.
Amount must be greater than zero.,మొత్తం తప్పనిసరిగా సున్నా కంటే ఎక్కువగా ఉండాలి.
Amount received from customer,కస్టమర్ నుండి అందుకున్న మొత్తం
Appearance and user-level preferences for the current session.,ప్రస్తుత సెషన్ కోసం ప్రదర్శన మరియు వినియోగదారు-స్థాయి ప్రాధాన్యతలు.
Applied,దరఖాస్తు చేసుకున్నారు
Apply,దరఖాస్తు చేసుకోండి
Apply Gift Card,గిఫ్ట్ కార్డ్‌ని వర్తింపజేయండి
Apply Offer,ఆఫర్‌ని వర్తింపజేయండి
Apply On,వర్తించు
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,ఈ ఇన్‌వాయిస్‌పై మీరు రీడీమ్ చేయాలనుకుంటున్న మొత్తాన్ని మాత్రమే వర్తింపజేయండి. మిగిలిన బ్యాలెన్స్ కార్డుపైనే ఉంటుంది.
Apply Redemption,విముక్తిని వర్తింపజేయండి
Applying,దరఖాస్తు చేస్తోంది
Apps,యాప్‌లు
Are you sure you want to close? All entered data will be lost.,మీరు ఖచ్చితంగా మూసివేయాలనుకుంటున్నారా? నమోదు చేసిన మొత్తం డేటా పోతుంది.
Attributes (Size/Color),గుణాలు (పరిమాణం/రంగు)
Auto Allocate Payment Amount,చెల్లింపు మొత్తాన్ని స్వయంచాలకంగా కేటాయించండి
Auto Reconcile,ఆటో రాజీ
Auto reconciliation completed after payment submit.,చెల్లింపు సమర్పించిన తర్వాత స్వీయ సయోధ్య పూర్తయింది.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,స్వీయ సయోధ్య పూర్తయింది. కేటాయించబడింది: {0}{1}. మిగిలినవి: {0}{2}.
Available Actions,అందుబాటులో ఉన్న చర్యలు
Available QTY,QTY అందుబాటులో ఉంది
Available:,అందుబాటులో ఉంది:
Average Basket,సగటు బాస్కెట్
Average Bill,సగటు బిల్లు
Average Ticket,సగటు టికెట్
Avg Bill,సగటు బిల్లు
Avg Invoice,సగటు ఇన్‌వాయిస్
