POS Awesome,POS អស្ចារ្យ
Fetch Items Directly from Server,យកធាតុដោយផ្ទាល់ពីម៉ាស៊ីនមេ
Menu,ម៉ឺនុយ
Actions,សកម្មភាព
Close Shift,បិទ Shift
End current session,បញ្ចប់វគ្គបច្ចុប្បន្ន
Print Last Invoice,បោះពុម្ពវិក្កយបត្រចុងក្រោយ
Reprint previous transaction,បោះពុម្ពឡើងវិញនូវប្រតិបត្តិការពីមុន
Sync Offline Invoices,ធ្វើសមកាលកម្មវិក្កយបត្រក្រៅបណ្តាញ
Upload pending transactions,អាប់ឡូតប្រតិបត្តិការដែលមិនទាន់សម្រេច
Go Online,ទៅអ៊ីនធឺណិត
Go Offline,ទៅក្រៅបណ្តាញ
Disable offline mode,បិទមុខងារក្រៅបណ្តាញ
Work without server connection,ធ្វើការដោយគ្មានការតភ្ជាប់ម៉ាស៊ីនមេ
Clear Cache,ជម្រះឃ្លាំងសម្ងាត់
Remove local data and refresh,លុបទិន្នន័យមូលដ្ឋាន និងធ្វើឱ្យស្រស់
About,អំពី
App information,ព័ត៌មានកម្មវិធី
Language,ភាសា
Change interface language,ផ្លាស់ប្តូរភាសាចំណុចប្រទាក់
Light Mode,របៀបពន្លឺ
Dark Mode,របៀបងងឹត
Switch theme appearance,ផ្លាស់ប្តូររូបរាងប្រធានបទ
Logout,ចេញ
Sign out of session,ចេញពីវគ្គ
Select Language,ជ្រើសរើសភាសា
Choose your preferred language for the POS interface,ជ្រើសរើសភាសាដែលអ្នកពេញចិត្តសម្រាប់ចំណុចប្រទាក់ POS
Language will be changed to,ភាសានឹងត្រូវបានប្តូរទៅជា
Cancel,បោះបង់
Change Language,ផ្លាស់ប្តូរភាសា
Close,បិទ
Cannot change language - same language selected,មិនអាចប្តូរភាសា - ភាសាដូចគ្នាត្រូវបានជ្រើសរើស
Language changed successfully! Reloading...,ភាសាបានផ្លាស់ប្តូរដោយជោគជ័យ! កំពុងផ្ទុកឡើងវិញ...
Failed to change language,បរាជ័យក្នុងការផ្លាស់ប្តូរភាសា
Unknown error,កំហុសមិនស្គាល់
- Total Unallocated,- សរុបមិនបានបែងចែក
* Required,* ទាមទារ
{0} (Qty: {1}),{0} (ចំនួន៖ {1})
{0} actions,សកម្មភាព {0}
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} មាន​តែ {1} ក្នុង​ស្តុក។ អ្នកបានស្នើសុំ {2}។ កែតម្រូវបរិមាណ ឬស្តុកទុកឡើងវិញ។
{0} offline invoice{1} pending,{0} វិក័យប័ត្រក្រៅបណ្តាញ{1} កំពុងរង់ចាំ
{0} offline invoice{1} saved as draft,{0} វិក្កយបត្រក្រៅបណ្តាញ{1} បានរក្សាទុកជាសេចក្តីព្រាង
{0} offline invoice{1} synced,{0} វិក្កយបត្រក្រៅបណ្តាញ{1} បានធ្វើសមកាលកម្ម
{0}: {1} {2},{0}៖ {1} {2}
{0}d ago,{0}ថ្ងៃមុន។
{0}h ago,{0}ម៉ោងមុន។
{0}m ago,{0}នាទីមុន។
