POS Awesome,POS Sjajno
Fetch Items Directly from Server,Fetch Items Directly from Server
Menu,Izbornik
Actions,Radnje
Close Shift,Zatvori Shift
End current session,Završi trenutnu sesiju
Print Last Invoice,Ispis zadnje fakture
Reprint previous transaction,Ponovno ispišite prethodnu transakciju
Sync Offline Invoices,Sinkronizirajte izvanmrežne fakture
Upload pending transactions,Prenesite transakcije na čekanju
Go Online,Idi na internet
Go Offline,Idi izvan mreže
Disable offline mode,Onemogući izvanmrežni način rada
Work without server connection,Work without server connection
Clear Cache,Očisti predmemoriju
Remove local data and refresh,Uklonite lokalne podatke i osvježite
About,O
App information,Informacije o aplikaciji
Language,Jezik
Change interface language,Promjena jezika sučelja
Light Mode,Način svjetla
Dark Mode,Tamni način rada
Switch theme appearance,Promjena izgleda teme
Logout,Odjava
Sign out of session,Odjava sa sesije
Select Language,Odaberite jezik
Choose your preferred language for the POS interface,Odaberite željeni jezik za POS sučelje
Language will be changed to,Jezik će se promijeniti u
Cancel,Odustani
Change Language,Promjena jezika
Close,Zatvori
Cannot change language - same language selected,Nije moguće promijeniti jezik - odabran je isti jezik
Language changed successfully! Reloading...,Jezik je uspješno promijenjen! Ponovno učitavanje...
Failed to change language,Promjena jezika nije uspjela
Unknown error,Nepoznata greška
- Total Unallocated,- Ukupno neraspoređeno
* Required,* Obavezno
{0} (Qty: {1}),{0} (kol.: {1})
{0} actions,{0} radnji
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} ima samo {1} na zalihi. Zatražili ste {2}. Prilagodite količinu ili obnovite zalihe.
{0} offline invoice{1} pending,{0} izvanmrežna faktura{1} na čekanju
{0} offline invoice{1} saved as draft,{0} izvanmrežna faktura{1} spremljena kao skica
{0} offline invoice{1} synced,{0} izvanmrežna faktura{1} sinkronizirana
{0}: {1} {2},{0}: {1} {2}
{0}d ago,Prije {0} d
{0}h ago,prije {0}h
{0}m ago,prije {0} min
A POS supervisor is required for this action.,Za ovu radnju potreban je POS nadzornik.
Access,Pristup
Account,Račun
Account is overdrawn,Račun je prekoračen
Acknowledge the error to resume scanning,Potvrdite pogrešku za nastavak skeniranja
Acknowledge the error to resume scanning.,Potvrdite pogrešku za nastavak skeniranja.
Across,Preko
Action,Akcija
