POS Awesome,POS په زړه پوری
Fetch Items Directly from Server,له سرور څخه مستقیم توکي ترلاسه کړئ
Menu,مینو
Actions,کړنې
Close Shift,شفټ بند کړئ
End current session,اوسنۍ ناسته پای ته ورسوئ
Print Last Invoice,وروستی رسید چاپ کړئ
Reprint previous transaction,پخوانۍ معامله بیا چاپ کړئ
Sync Offline Invoices,آفلاین رسیدونه همغږي کړئ
Upload pending transactions,پاتې معاملې اپلوډ کړئ
Go Online,آنلاین لاړ شئ
Go Offline,آفلاین لاړ شه
Disable offline mode,آف لائن حالت غیر فعال کړئ
Work without server connection,د سرور پیوستون پرته کار وکړئ
Clear Cache,کیچ پاک کړئ
Remove local data and refresh,محلي معلومات لرې کړئ او تازه کړئ
About,په اړه
App information,د اپلیکیشن معلومات
Language,ژبه
Change interface language,د انٹرفیس ژبه بدل کړئ
Light Mode,د رڼا حالت
Dark Mode,تیاره حالت
Switch theme appearance,د موضوع بڼه بدل کړئ
Logout,ننوتل
Sign out of session,د غونډې څخه لاسلیک کول
Select Language,ژبه غوره کړئ
Choose your preferred language for the POS interface,د POS انٹرفیس لپاره خپله غوره ژبه غوره کړئ
Language will be changed to,ژبه به بدله شي
Cancel,لغوه کړئ
Change Language,ژبه بدله کړه
Close,تړل
Cannot change language - same language selected,ژبه نشي بدلولی - ورته ژبه غوره شوې
Language changed successfully! Reloading...,ژبه په بریالیتوب سره بدله شوه! بیا پورته کول...
Failed to change language,د ژبې په بدلولو کې پاتې راغلی
Unknown error,نامعلومه تېروتنه
- Total Unallocated,- ټول غیر تخصیص شوي
* Required,* اړین دی
{0} (Qty: {1}),{0} (قتل: {1})
{0} actions,{0} کړنې
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} یوازې {1} په ذخیره کې لري. تاسو غوښتنه وکړه {2}. مقدار تنظیم کړئ یا بیا ځای په ځای کړئ.
{0} offline invoice{1} pending,{0} آفلاین رسید{1} پاتې دی
{0} offline invoice{1} saved as draft,{0} آفلاین رسید{1} د مسودې په توګه خوندي شوی
{0} offline invoice{1} synced,{0} آفلاین رسید{1} همغږي شوی
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0} ورځې وړاندې
{0}h ago,{0}ساعت مخکې
{0}m ago,{0} دقیقې مخکې
A POS supervisor is required for this action.,د دې عمل لپاره د POS څارونکي ته اړتیا ده.
Access,لاسرسی
Account,حساب
Account is overdrawn,حساب ډیر شوی دی
Acknowledge the error to resume scanning,د سکینګ بیا پیلولو لپاره تېروتنه ومنئ
Acknowledge the error to resume scanning.,د سکینګ بیا پیلولو لپاره تېروتنه ومنئ.
Across,په پار
Action,عمل
Active sale,فعال خرڅلاو
add,اضافه کول
Add items from the selector to start building this sale.,د دې پلور جوړولو پیل کولو لپاره د انتخاب کونکي څخه توکي اضافه کړئ.
Add more value to an existing gift card,موجوده ډالۍ کارت ته نور ارزښت اضافه کړئ
Add New Address,نوی ادرس اضافه کړئ
Add new customer,نوي پیرودونکي اضافه کړئ
Add on New Line,په نوې کرښه کې اضافه کړئ
Add Payment,تادیه اضافه کړئ
Add payment to invoice,په رسید کې تادیه اضافه کړئ
Add/Edit Coupon Conditions,د کوپن شرایط اضافه / ایډیټ کړئ
Additional Discount,اضافي تخفیف
Additional Discount %,اضافي تخفیف٪
Address Line 1,د ادرس کرښه 1
Address not found,ادرس ونه موندل شو
Adjust the quantity or enable negative stock to continue.,مقدار تنظیم کړئ یا د دوام لپاره منفي سټاک فعال کړئ.
Adjustment,سمون
After returns,د بیرته راستنیدو وروسته
Against,خلاف
Against Name,د نوم پر خلاف
Age Bracket,د عمر بریکٹ
All,ټول
All Caught Up!,ټول نیول شوي!
All invoices are synchronized,ټول رسیدونه همغږي شوي
All pending invoices are up to date,ټول پاتې رسیدونه تازه دي
All Profiles,ټول پروفایلونه
All Synchronized,ټول همغږي شوي
All visible invoices are fully settled.,ټول لیدل شوي رسیدونه په بشپړ ډول تنظیم شوي.
All Warehouses,ټول ګودامونه
Allowed UOM is {0},اجازه ورکړل شوی UOM {0} دی
Always fetch items from server (ignore local cache),تل له سرور څخه توکي راوړئ (ځایی کیچ له پامه غورځول)
Amount,مقدار
Amount already received,هغه مقدار چې دمخه ترلاسه شوی
Amount exceeds profile cash movement max amount.,مقدار د پروفایل نغدو حرکت د اعظمي مقدار څخه ډیر دی.
Amount must be greater than zero.,اندازه باید له صفر څخه زیاته وي.
Amount received from customer,د پیرودونکي څخه ترلاسه شوي مقدار
Appearance and user-level preferences for the current session.,د اوسنۍ ناستې لپاره ظاهري او د کارونکي کچې غوره توبونه.
Applied,تطبیق شوی
Apply,درخواست وکړئ
Apply Gift Card,د ډالۍ کارت غوښتنه وکړئ
Apply Offer,د وړاندیز غوښتنه وکړئ
Apply On,پلي کول
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,یوازې هغه مقدار پلي کړئ چې تاسو غواړئ په دې رسید کې بیرته ترلاسه کړئ. پاتې بیلانس په کارت کې پاتې کیږي.
Apply Redemption,د خلاصون غوښتنه وکړئ
Applying,پلي کول
Apps,ایپس
Are you sure you want to close? All entered data will be lost.,ایا تاسو ډاډه یاست چې تاسو بندول غواړئ؟ ټول داخل شوي معلومات به ورک شي.
Attributes (Size/Color),ځانګړتیاوې (سایز/رنګ)
Auto Allocate Payment Amount,د تادیې مقدار اتومات تخصیص
Auto Reconcile,اتوماتیک پخلاینه
Auto reconciliation completed after payment submit.,د تادیې سپارلو وروسته اتوماتیک پخلاینه بشپړه شوه.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,اتوماتیک پخلاینه بشپړه شوه. تخصیص شوی: {0}{1}. پاتې پاتې دي: {0}{2}.
Available Actions,شته کړنې
Available QTY,شته QTY
Available:,شته:
Average Basket,اوسط ټوکر
Average Bill,اوسط بیل
Average Ticket,اوسط ټکټ
Avg Bill,اوسط بل
Avg Invoice,اوسط رسید
Avg Invoice Profit,د اوسط انوائس ګټه
Avg Invoice Value,د اوسط انوائس ارزښت
Avg Purchase Frequency,د اوسط پیرود فریکونسی
Awesome,په زړه پورې
Awesome Dashboard,په زړه پوری ډشبورډ
