POS Awesome,POS অসাধারণ
Fetch Items Directly from Server,সার্ভার থেকে সরাসরি আইটেম আনুন
Menu,মেনু
Actions,কর্ম
Close Shift,Shift বন্ধ করুন
End current session,বর্তমান অধিবেশন শেষ করুন
Print Last Invoice,শেষ চালান প্রিন্ট করুন
Reprint previous transaction,পূর্ববর্তী লেনদেন পুনরায় মুদ্রণ
Sync Offline Invoices,অফলাইন ইনভয়েস সিঙ্ক করুন
Upload pending transactions,মুলতুবি লেনদেন আপলোড করুন
Go Online,অনলাইনে যান
Go Offline,অফলাইনে যান
Disable offline mode,অফলাইন মোড অক্ষম করুন
Work without server connection,সার্ভার সংযোগ ছাড়া কাজ
Clear Cache,ক্যাশে সাফ করুন
Remove local data and refresh,স্থানীয় ডেটা সরান এবং রিফ্রেশ করুন
About,সম্পর্কে
App information,অ্যাপ তথ্য
Language,ভাষা
Change interface language,ইন্টারফেসের ভাষা পরিবর্তন করুন
Light Mode,হালকা মোড
Dark Mode,ডার্ক মোড
Switch theme appearance,থিম চেহারা পরিবর্তন করুন
Logout,লগআউট
Sign out of session,সেশন থেকে সাইন আউট করুন
Select Language,ভাষা নির্বাচন করুন
Choose your preferred language for the POS interface,POS ইন্টারফেসের জন্য আপনার পছন্দের ভাষা বেছে নিন
Language will be changed to,ভাষা পরিবর্তন করা হবে
Cancel,বাতিল করুন
Change Language,ভাষা পরিবর্তন করুন
Close,বন্ধ
Cannot change language - same language selected,ভাষা পরিবর্তন করা যাবে না - একই ভাষা বেছে নেওয়া হয়েছে
Language changed successfully! Reloading...,ভাষা সফলভাবে পরিবর্তন! পুনরায় লোড হচ্ছে...
Failed to change language,ভাষা পরিবর্তন করতে ব্যর্থ হয়েছে
Unknown error,অজানা ত্রুটি
- Total Unallocated,- মোট আনঅ্যালোকেটেড
* Required,* প্রয়োজনীয়
{0} (Qty: {1}),{0} (পরিমাণ: {1})
{0} actions,{0}টি কাজ
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} স্টকে শুধুমাত্র {1}টি আছে৷ আপনি অনুরোধ করেছেন {2} পরিমাণ বা রিস্টক সামঞ্জস্য করুন।
{0} offline invoice{1} pending,{0} অফলাইন চালান{1} মুলতুবি৷
{0} offline invoice{1} saved as draft,{0} অফলাইন চালান{1} খসড়া হিসাবে সংরক্ষিত৷
{0} offline invoice{1} synced,{0} অফলাইন চালান{1} সিঙ্ক হয়েছে৷
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}দিন আগে
{0}h ago,{0}ঘণ্টা আগে
{0}m ago,{0}মি আগে
A POS supervisor is required for this action.,এই কর্মের জন্য একজন POS সুপারভাইজার প্রয়োজন।
Access,অ্যাক্সেস
Account,হিসাব
Account is overdrawn,অ্যাকাউন্ট ওভারড্র করা হয়েছে
Acknowledge the error to resume scanning,স্ক্যানিং পুনরায় শুরু করতে ত্রুটি স্বীকার করুন
Acknowledge the error to resume scanning.,স্ক্যানিং পুনরায় শুরু করতে ত্রুটি স্বীকার করুন।
Across,জুড়ে
Action,অ্যাকশন
Active sale,সক্রিয় বিক্রয়
add,যোগ করুন
Add items from the selector to start building this sale.,এই বিক্রয় নির্মাণ শুরু করতে নির্বাচক থেকে আইটেম যোগ করুন.
Add more value to an existing gift card,একটি বিদ্যমান উপহার কার্ডে আরও মূল্য যোগ করুন
Add New Address,নতুন ঠিকানা যোগ করুন
Add new customer,নতুন গ্রাহক যোগ করুন
Add on New Line,নতুন লাইনে যোগ করুন
Add Payment,পেমেন্ট যোগ করুন
Add payment to invoice,চালানে অর্থপ্রদান যোগ করুন
Add/Edit Coupon Conditions,কুপন শর্তাবলী যোগ/সম্পাদনা করুন
Additional Discount,অতিরিক্ত ডিসকাউন্ট
Additional Discount %,অতিরিক্ত ডিসকাউন্ট %
Address Line 1,ঠিকানা লাইন 1
Address not found,ঠিকানা পাওয়া যায়নি
Adjust the quantity or enable negative stock to continue.,পরিমাণ সামঞ্জস্য করুন বা চালিয়ে যেতে নেতিবাচক স্টক সক্ষম করুন।
Adjustment,সামঞ্জস্য
After returns,ফেরার পর
Against,বিরুদ্ধে
Against Name,নামের বিরুদ্ধে
Age Bracket,বয়স বন্ধনী
All,সব
All Caught Up!,সব ধরা পড়েছে!
All invoices are synchronized,সমস্ত চালান সিঙ্ক্রোনাইজ করা হয়
All pending invoices are up to date,সমস্ত মুলতুবি থাকা চালানগুলি আপ টু ডেট৷
All Profiles,সমস্ত প্রোফাইল
All Synchronized,সব সিঙ্ক্রোনাইজড
All visible invoices are fully settled.,সমস্ত দৃশ্যমান চালান সম্পূর্ণরূপে নিষ্পত্তি করা হয়.
All Warehouses,সমস্ত গুদাম
Allowed UOM is {0},অনুমোদিত UOM হল {0}
Always fetch items from server (ignore local cache),সার্ভার থেকে সর্বদা আইটেম আনুন (স্থানীয় ক্যাশে উপেক্ষা করুন)
Amount,পরিমাণ
Amount already received,ইতিমধ্যে প্রাপ্ত পরিমাণ
Amount exceeds profile cash movement max amount.,পরিমাণ প্রোফাইল নগদ চলাচলের সর্বোচ্চ পরিমাণ ছাড়িয়ে গেছে।
Amount must be greater than zero.,পরিমাণ অবশ্যই শূন্যের বেশি হতে হবে।
Amount received from customer,গ্রাহকের কাছ থেকে প্রাপ্ত পরিমাণ
Appearance and user-level preferences for the current session.,বর্তমান সেশনের জন্য চেহারা এবং ব্যবহারকারী-স্তরের পছন্দ।
Applied,প্রয়োগ করা হয়েছে
Apply,আবেদন করুন
Apply Gift Card,গিফট কার্ড প্রয়োগ করুন
Apply Offer,অফার প্রয়োগ করুন
Apply On,আবেদন করুন
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,এই চালানে আপনি যে পরিমাণ রিডিম করতে চান শুধুমাত্র সেটিই প্রয়োগ করুন। অবশিষ্ট ব্যালেন্স কার্ডে থাকে।
Apply Redemption,রিডেম্পশন প্রয়োগ করুন
Applying,আবেদন করা হচ্ছে
Apps,অ্যাপস
Are you sure you want to close? All entered data will be lost.,আপনি কি নিশ্চিত আপনি বন্ধ করতে চান? সমস্ত প্রবেশ করা ডেটা হারিয়ে যাবে।
Attributes (Size/Color),বৈশিষ্ট্য (আকার/রঙ)
Auto Allocate Payment Amount,স্বয়ংক্রিয় অর্থ বরাদ্দের পরিমাণ
Auto Reconcile,স্বয়ংক্রিয় মিলন
Auto reconciliation completed after payment submit.,পেমেন্ট জমা দেওয়ার পরে স্বয়ংক্রিয় পুনর্মিলন সম্পন্ন।
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,স্বয়ংক্রিয় পুনর্মিলন সম্পন্ন হয়েছে। বরাদ্দ করা হয়েছে: {0}{1}। বাকি আছে: {0}{2}।
Available Actions,উপলব্ধ কর্ম
Available QTY,উপলব্ধ QTY
Available:,উপলব্ধ:
Average Basket,গড় ঝুড়ি
Average Bill,গড় বিল
Average Ticket,গড় টিকিট
Avg Bill,গড় বিল
Avg Invoice,গড় চালান
Avg Invoice Profit,গড় চালান লাভ
Avg Invoice Value,গড় চালান মান
Avg Purchase Frequency,গড় ক্রয় ফ্রিকোয়েন্সি
Awesome,অসাধারন
Awesome Dashboard,অসাধারণ ড্যাশবোর্ড
Awesome Dashboard is disabled for the selected POS Profile.,নির্বাচিত POS প্রোফাইলের জন্য দুর্দান্ত ড্যাশবোর্ড অক্ষম করা হয়েছে৷
Awesome Dashboard is unavailable for the selected scope.,নির্বাচিত সুযোগের জন্য দুর্দান্ত ড্যাশবোর্ড অনুপলব্ধ৷
Awesome Dashboard is visible only to POS supervisors.,অসাধারণ ড্যাশবোর্ড শুধুমাত্র POS সুপারভাইজারদের কাছে দৃশ্যমান।
