POS Awesome,POS अप्रतिम
Fetch Items Directly from Server,थेट सर्व्हरवरून आयटम आणा
Menu,मेनू
Actions,क्रिया
Close Shift,शिफ्ट बंद करा
End current session,चालू सत्र संपवा
Print Last Invoice,शेवटचे बीजक प्रिंट करा
Reprint previous transaction,मागील व्यवहाराचे पुनर्मुद्रण करा
Sync Offline Invoices,ऑफलाइन पावत्या समक्रमित करा
Upload pending transactions,प्रलंबित व्यवहार अपलोड करा
Go Online,ऑनलाइन जा
Go Offline,ऑफलाइन जा
Disable offline mode,ऑफलाइन मोड अक्षम करा
Work without server connection,सर्व्हर कनेक्शनशिवाय कार्य करा
Clear Cache,कॅशे साफ करा
Remove local data and refresh,स्थानिक डेटा काढा आणि रिफ्रेश करा
About,बद्दल
App information,ॲप माहिती
Language,भाषा
Change interface language,इंटरफेस भाषा बदला
Light Mode,लाइट मोड
Dark Mode,गडद मोड
Switch theme appearance,थीम देखावा स्विच
Logout,लॉगआउट करा
Sign out of session,सत्रातून साइन आउट करा
Select Language,भाषा निवडा
Choose your preferred language for the POS interface,POS इंटरफेससाठी तुमची पसंतीची भाषा निवडा
Language will be changed to,मध्ये भाषा बदलली जाईल
Cancel,रद्द करा
Change Language,भाषा बदला
Close,बंद करा
Cannot change language - same language selected,भाषा बदलू शकत नाही - तीच भाषा निवडली
Language changed successfully! Reloading...,भाषा यशस्वीरित्या बदलली! रीलोड करत आहे...
Failed to change language,भाषा बदलण्यात अयशस्वी
Unknown error,अज्ञात त्रुटी
- Total Unallocated,- एकूण वाटप न केलेले
* Required,*आवश्यक
{0} (Qty: {1}),{0} (प्रमाण: {1})
{0} actions,{0} क्रिया
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} कडे फक्त {1} स्टॉक आहे. तुम्ही विनंती केली {2}. प्रमाण समायोजित करा किंवा पुनर्संचयित करा.
{0} offline invoice{1} pending,{0} ऑफलाइन चलन{1} प्रलंबित
{0} offline invoice{1} saved as draft,{0} ऑफलाइन चलन{1} मसुदा म्हणून जतन केले
{0} offline invoice{1} synced,{0} ऑफलाइन चलन{1} समक्रमित केले
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}दिसापूर्वी
{0}h ago,{0}ता पूर्वी
{0}m ago,{0}मी पूर्वी
A POS supervisor is required for this action.,या कारवाईसाठी POS सुपरवायझर आवश्यक आहे.
Access,प्रवेश
Account,खाते
Account is overdrawn,खाते ओव्हरड्रॉ केले आहे
Acknowledge the error to resume scanning,स्कॅनिंग पुन्हा सुरू करण्यासाठी त्रुटी मान्य करा
Acknowledge the error to resume scanning.,स्कॅनिंग पुन्हा सुरू करण्यासाठी त्रुटी मान्य करा.
Across,ओलांडून
Action,कृती
Active sale,सक्रिय विक्री
add,जोडा
Add items from the selector to start building this sale.,ही विक्री तयार करणे सुरू करण्यासाठी निवडकर्त्याकडून आयटम जोडा.
Add more value to an existing gift card,विद्यमान भेट कार्डमध्ये अधिक मूल्य जोडा
Add New Address,नवीन पत्ता जोडा
Add new customer,नवीन ग्राहक जोडा
Add on New Line,नवीन लाईन वर जोडा
Add Payment,पेमेंट जोडा
Add payment to invoice,इनव्हॉइसमध्ये पेमेंट जोडा
Add/Edit Coupon Conditions,कूपन अटी जोडा/संपादित करा
Additional Discount,अतिरिक्त सवलत
Additional Discount %,अतिरिक्त सवलत %
Address Line 1,पत्ता ओळ 1
Address not found,पत्ता सापडला नाही
Adjust the quantity or enable negative stock to continue.,प्रमाण समायोजित करा किंवा सुरू ठेवण्यासाठी नकारात्मक स्टॉक सक्षम करा.
Adjustment,समायोजन
After returns,परतल्यानंतर
Against,विरुद्ध
Against Name,नावाच्या विरुद्ध
Age Bracket,वय कंस
All,सर्व
All Caught Up!,सर्व पकडले गेले!
All invoices are synchronized,सर्व पावत्या सिंक्रोनाइझ केल्या आहेत
All pending invoices are up to date,सर्व प्रलंबित पावत्या अद्ययावत आहेत
All Profiles,सर्व प्रोफाइल
All Synchronized,सर्व समक्रमित
All visible invoices are fully settled.,सर्व दृश्यमान पावत्या पूर्णपणे सेटल केल्या आहेत.
All Warehouses,सर्व गोदामे
Allowed UOM is {0},अनुमत UOM {0} आहे
Always fetch items from server (ignore local cache),नेहमी सर्व्हरवरून आयटम आणा (स्थानिक कॅशेकडे दुर्लक्ष करा)
Amount,रक्कम
Amount already received,आधीच मिळालेली रक्कम
Amount exceeds profile cash movement max amount.,रक्कम प्रोफाइल रोख हालचाली कमाल रकमेपेक्षा जास्त आहे.
Amount must be greater than zero.,रक्कम शून्यापेक्षा जास्त असणे आवश्यक आहे.
Amount received from customer,ग्राहकाकडून मिळालेली रक्कम
Appearance and user-level preferences for the current session.,वर्तमान सत्रासाठी स्वरूप आणि वापरकर्ता-स्तरीय प्राधान्ये.
Applied,लागू केले
Apply,अर्ज करा
Apply Gift Card,गिफ्ट कार्ड लागू करा
Apply Offer,ऑफर लागू करा
Apply On,वर अर्ज करा
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,या बीजकावर तुम्हाला जी रक्कम रिडीम करायची आहे तीच लागू करा. उर्वरित शिल्लक कार्डवरच राहते.
Apply Redemption,विमोचन लागू करा
Applying,अर्ज करत आहे
Apps,ॲप्स
Are you sure you want to close? All entered data will be lost.,तुम्हाला नक्की बंद करायचे आहे का? प्रविष्ट केलेला सर्व डेटा गमावला जाईल.
Attributes (Size/Color),विशेषता (आकार/रंग)
Auto Allocate Payment Amount,स्वयं वाटप देयक रक्कम
Auto Reconcile,स्वयं समेट
Auto reconciliation completed after payment submit.,पेमेंट सबमिट केल्यानंतर स्वयं सलोखा पूर्ण झाला.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,स्वयं सामंजस्य पूर्ण झाले. वाटप केले: {0}{1}. उर्वरित थकबाकी: {0}{2}.
Available Actions,उपलब्ध क्रिया
Available QTY,उपलब्ध QTY
Available:,उपलब्ध:
Average Basket,सरासरी टोपली
Average Bill,सरासरी बिल
Average Ticket,सरासरी तिकीट
Avg Bill,सरासरी बिल
Avg Invoice,सरासरी बीजक
Avg Invoice Profit,सरासरी बीजक नफा
Avg Invoice Value,सरासरी बीजक मूल्य
Avg Purchase Frequency,सरासरी खरेदी वारंवारता
Awesome,अप्रतिम
Awesome Dashboard,अप्रतिम डॅशबोर्ड
Awesome Dashboard is disabled for the selected POS Profile.,निवडलेल्या POS प्रोफाइलसाठी अप्रतिम डॅशबोर्ड अक्षम केला आहे.
Awesome Dashboard is unavailable for the selected scope.,निवडलेल्या स्कोपसाठी अप्रतिम डॅशबोर्ड अनुपलब्ध आहे.
Awesome Dashboard is visible only to POS supervisors.,अप्रतिम डॅशबोर्ड फक्त POS पर्यवेक्षकांसाठी दृश्यमान आहे.
Back,मागे
Back Office Cash Account,बॅक ऑफिस कॅश खाते
Back Office Cash Account (Optional Override),बॅक ऑफिस कॅश अकाउंट (पर्यायी ओव्हरराइड)
Back office cash account is required.,बॅक ऑफिस कॅश खाते आवश्यक आहे.
Back to {0},{0} वर परत
Background processing did not finish in time.,पार्श्वभूमी प्रक्रिया वेळेत पूर्ण झाली नाही.
Background processing failed for Invoice {0}: {1},इन्व्हॉइस {0} साठी पार्श्वभूमी प्रक्रिया अयशस्वी झाली: {1}
Background Submission Failed,पार्श्वभूमी सबमिशन अयशस्वी
Background sync interval (seconds),पार्श्वभूमी समक्रमण मध्यांतर (सेकंद)
Balance,शिल्लक
Balance will be updated when connection is restored,कनेक्शन पुनर्संचयित केल्यावर शिल्लक अद्यतनित केली जाईल
Balances still pending,शिल्लक अद्याप बाकी आहे
Barcode,बारकोड
Barcode / QR Ready,बारकोड / QR तयार
Barcode Label Printing,बारकोड लेबल प्रिंटिंग
Base Paid:,बेस पेड:
Base Recv:,बेस Recv:
Base:,आधार:
Basic Information,मूलभूत माहिती
Batch,बॅच
Batch Information,बॅच माहिती
Before any return workflow,कोणत्याही रिटर्न वर्कफ्लोपूर्वी
Before returns,परत येण्यापूर्वी
Best Day,सर्वोत्तम दिवस
Best Seller,बेस्ट सेलर
Book expense or deposit from active shift.,सक्रिय शिफ्टमधून बुक खर्च किंवा ठेव.
Branch / Location-wise Report,शाखा/स्थाननिहाय अहवाल
Brand-wise,ब्रँडनुसार
Breakdown,ब्रेकडाउन
Browse,ब्राउझ करा
Build Time:,बांधण्याची वेळ:
Built with Frappe,Frappe सह बांधले
Bundle,बंडल
Buying Price,खरेदी किंमत
