POS Awesome,POS Minunat
Fetch Items Directly from Server,Preluați elementele direct de pe server
Menu,Meniu
Actions,Acțiuni
Close Shift,Închide Shift
End current session,Încheiați sesiunea curentă
Print Last Invoice,Tipăriți ultima factură
Reprint previous transaction,Retipărește tranzacția anterioară
Sync Offline Invoices,Sincronizați facturile offline
Upload pending transactions,Încărcați tranzacții în așteptare
Go Online,Accesați online
Go Offline,Intră offline
Disable offline mode,Dezactivați modul offline
Work without server connection,Lucrați fără conexiune la server
Clear Cache,Goliți memoria cache
Remove local data and refresh,Eliminați datele locale și reîmprospătați
About,Despre
App information,Informații despre aplicație
Language,Limba
Change interface language,Schimbați limba interfeței
Light Mode,Modul de lumină
Dark Mode,Modul întunecat
Switch theme appearance,Schimbați aspectul temei
Logout,Deconectare
Sign out of session,Deconectați-vă de la sesiune
Select Language,Selectați Limbă
Choose your preferred language for the POS interface,Alegeți limba preferată pentru interfața POS
Language will be changed to,Limba va fi schimbată în
Cancel,Anulează
Change Language,Schimbați limba
Close,Închide
Cannot change language - same language selected,Nu se poate schimba limba - aceeași limbă a fost selectată
Language changed successfully! Reloading...,Limba s-a schimbat cu succes! Se reîncarcă...
Failed to change language,Nu s-a putut schimba limba
Unknown error,Eroare necunoscută
- Total Unallocated,- Total nealocat
* Required,* Obligatoriu
{0} (Qty: {1}),{0} (Cantitate: {1})
{0} actions,{0} acțiuni
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} are doar {1} în stoc. Ați solicitat {2}. Reglați cantitatea sau reaprovizionați.
{0} offline invoice{1} pending,{0} factură offline{1} în așteptare
{0} offline invoice{1} saved as draft,{0} factură offline{1} salvată ca ciornă
{0} offline invoice{1} synced,{0} factură offline{1} sincronizată
{0}: {1} {2},{0}: {1} {2}
{0}d ago,acum {0} zile
{0}h ago,acum {0}h
{0}m ago,acum {0} m
A POS supervisor is required for this action.,Pentru această acțiune este necesar un supervizor POS.
Access,Acces
Account,Cont
Account is overdrawn,Contul este depășit
Acknowledge the error to resume scanning,Confirmați eroarea pentru a relua scanarea
Acknowledge the error to resume scanning.,Confirmați eroarea pentru a relua scanarea.
Across,Peste tot
Action,Acțiune
Active sale,Vânzare activă
add,adaugă
Add items from the selector to start building this sale.,Adăugați articole din selector pentru a începe să construiți această vânzare.
Add more value to an existing gift card,Adăugați mai multă valoare unui card cadou existent
Add New Address,Adăugați o nouă adresă
Add new customer,Adăugați un client nou
Add on New Line,Adăugați pe linia nouă
Add Payment,Adăugați Plata
Add payment to invoice,Adăugați plata la factură
Add/Edit Coupon Conditions,Adăugați/Editați condițiile cuponului
