POS Awesome,POS Прекрасно
Fetch Items Directly from Server,Преземете ги ставките директно од серверот
Menu,Мени
Actions,Акции
Close Shift,Затвори Shift
End current session,Завршете ја тековната сесија
Print Last Invoice,Печатете ја последната фактура
Reprint previous transaction,Препечатете ја претходната трансакција
Sync Offline Invoices,Синхронизирајте офлајн фактури
Upload pending transactions,Поставете трансакции што чекаат
Go Online,Одете онлајн
Go Offline,Одете офлајн
Disable offline mode,Оневозможи офлајн режим
Work without server connection,Работете без серверска врска
Clear Cache,Исчистете го кешот
Remove local data and refresh,Отстранете ги локалните податоци и освежете ги
About,За
App information,Информации за апликацијата
Language,Јазик
Change interface language,Променете го јазикот на интерфејсот
Light Mode,Светлосен режим
Dark Mode,Темниот режим
Switch theme appearance,Префрлете го изгледот на темата
Logout,Одјавување
Sign out of session,Одјавете се од сесијата
Select Language,Изберете Јазик
Choose your preferred language for the POS interface,Изберете го претпочитаниот јазик за POS интерфејсот
Language will be changed to,Јазикот ќе биде променет во
Cancel,Откажи
Change Language,Променете го јазикот
Close,Затвори
Cannot change language - same language selected,Не може да се смени јазикот - избран е истиот јазик
Language changed successfully! Reloading...,Јазикот успешно се промени! Се вчитува повторно...
Failed to change language,Не успеа да се смени јазикот
Unknown error,Непозната грешка
- Total Unallocated,- Вкупно нераспределени
* Required,* Задолжително
{0} (Qty: {1}),{0} (Количина: {1})
{0} actions,{0} дејства
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} има само {1} на залиха. Побаравте {2}. Прилагодете го количеството или наполнете го.
{0} offline invoice{1} pending,{0} офлајн фактура{1} на чекање
{0} offline invoice{1} saved as draft,{0} офлајн фактура{1} е зачувана како нацрт
{0} offline invoice{1} synced,{0} офлајн фактура{1} е синхронизирана
{0}: {1} {2},{0}: {1} {2}
{0}d ago,пред {0}д
{0}h ago,пред {0}ч
{0}m ago,пред {0} м
A POS supervisor is required for this action.,Потребен е супервизор на ПОС за оваа акција.
Access,Пристап
Account,Сметка
Account is overdrawn,Сметката е преплавена
Acknowledge the error to resume scanning,Потврдете ја грешката за да продолжите со скенирањето
Acknowledge the error to resume scanning.,Потврдете ја грешката за да продолжите со скенирањето.
Across,Преку
Action,Акција
Active sale,Активна продажба
add,додадете
Add items from the selector to start building this sale.,Додајте ставки од избирачот за да започнете со изградба на оваа продажба.
Add more value to an existing gift card,Додадете повеќе вредност на постоечка картичка за подарок
Add New Address,Додадете нова адреса
Add new customer,Додадете нов клиент
Add on New Line,Додај на нова линија
Add Payment,Додадете плаќање
Add payment to invoice,Додајте плаќање на фактурата
Add/Edit Coupon Conditions,Додај/уреди услови за купон
Additional Discount,Дополнителен попуст
Additional Discount %,Дополнителен попуст %
Address Line 1,Адреса линија 1
Address not found,Адресата не е пронајдена
Adjust the quantity or enable negative stock to continue.,Прилагодете ја количината или овозможете негативна залиха да продолжи.
Adjustment,Приспособување
After returns,По враќањето
Against,Против
Against Name,Против името
Age Bracket,Возрасна заграда
All,Сите
All Caught Up!,Сите фатени!
All invoices are synchronized,Сите фактури се синхронизирани
All pending invoices are up to date,Сите фактури што чекаат се ажурирани
All Profiles,Сите профили
All Synchronized,Сите синхронизирани
All visible invoices are fully settled.,Сите видливи фактури се целосно подмирени.
All Warehouses,Сите магацини
Allowed UOM is {0},Дозволениот UOM е {0}
Always fetch items from server (ignore local cache),Секогаш преземајте ставки од серверот (игнорирајте го локалниот кеш)
Amount,Износ
Amount already received,Веќе примен износ
Amount exceeds profile cash movement max amount.,Износот го надминува максималниот износ на движењето на готовина на профилот.
Amount must be greater than zero.,Износот мора да биде поголем од нула.
Amount received from customer,Добиен износ од клиент
Appearance and user-level preferences for the current session.,Изглед и параметри на ниво на корисник за тековната сесија.
Applied,Применета
Apply,Пријавете се
Apply Gift Card,Примени картичка за подарок
Apply Offer,Примени ја понудата
Apply On,Аплицирај Вклучено
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Применете го само износот што сакате да го откупите на оваа фактура. Преостанатото салдо останува на картичката.
Apply Redemption,Примени Redemption
Applying,Пријавување
Apps,Апликации
Are you sure you want to close? All entered data will be lost.,Дали сте сигурни дека сакате да затворите? Сите внесени податоци ќе бидат изгубени.
Attributes (Size/Color),Атрибути (големина/боја)
Auto Allocate Payment Amount,Автоматска распределба на износот на плаќање
Auto Reconcile,Автоматско помирување
Auto reconciliation completed after payment submit.,Автоматското усогласување е завршено по поднесувањето на уплатата.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Автоматското помирување е завршено. Доделени: {0}{1}. Останува извонредно: {0}{2}.
Available Actions,Достапни дејства
Available QTY,Достапен Количина
Available:,Достапно:
Average Basket,Просечна кошница
Average Bill,Просечна сметка
Average Ticket,Просечен билет
Avg Bill,Просечен Бил
Avg Invoice,Просечна фактура
Avg Invoice Profit,Просечен профит од фактура
Avg Invoice Value,Просечна фактурна вредност
Avg Purchase Frequency,Просечна фреквенција на купување
Awesome,Прекрасно
Awesome Dashboard,Прекрасна контролна табла
Awesome Dashboard is disabled for the selected POS Profile.,Прекрасна контролна табла е оневозможена за избраниот POS профил.
Awesome Dashboard is unavailable for the selected scope.,Прекрасна контролна табла е недостапна за избраниот опсег.
Awesome Dashboard is visible only to POS supervisors.,Прекрасната контролна табла е видлива само за супервизорите на ПОС.
Back,Назад
Back Office Cash Account,Сметка за готовина во Back Office
Back Office Cash Account (Optional Override),Сметка за готовина во Back Office (изборно отфрлање)
Back office cash account is required.,Потребна е сметка за готовина во Back Office.
Back to {0},Назад на {0}
Background processing did not finish in time.,Обработката во заднина не заврши навреме.
Background processing failed for Invoice {0}: {1},Обработката во заднина не успеа за фактурата {0}: {1}
Background Submission Failed,Поднесувањето во заднина не успеа
Background sync interval (seconds),Интервал на синхронизација во заднина (секунди)
Balance,Биланс
Balance will be updated when connection is restored,Балансот ќе се ажурира кога ќе се врати врската
Balances still pending,Салда сè уште се чека
Barcode,Баркод
Barcode / QR Ready,Подготвен за баркод / QR
Barcode Label Printing,Печатење на етикети на баркод
Base Paid:,Основно платено:
Base Recv:,Основна Регистрација:
Base:,База:
Basic Information,Основни информации
Batch,Серија
Batch Information,Информации за серијата
Before any return workflow,Пред каков било работен тек на враќање
Before returns,Пред враќање
Best Day,Најдобар ден
Best Seller,Најпродаван
Book expense or deposit from active shift.,Резервирајте трошок или депозит од активна смена.
Branch / Location-wise Report,Извештај за гранка / локација
Brand-wise,Бренд-мудар
Breakdown,Дефект
Browse,Прелистајте
Build Time:,Време на градење:
Built with Frappe,Изграден со Фрапе
Bundle,Пакет
Buying Price,Куповна цена
Cache cleared successfully,Кешот е успешно исчистен
Cache Usage,Употреба на кеш
cache used,користен кеш
Calculating...,Се пресметува...
Camera Access Required,Потребен е пристап до камерата
Camera access was aborted. Please try again.,Пристапот до камерата беше прекинат. Ве молиме обидете се повторно.
Camera constraints not supported by your device. Trying fallback settings...,Ограничувањата на камерата не се поддржани од вашиот уред. Се обидуваат резервни поставки...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Камерата е зафатена или блокирана од друга апликација/таб. Затворете ги другите апликации за камерата и обидете се повторно.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Дозволата за камерата е одбиена. Дозволете пристап до камерата во поставките на прелистувачот и освежете ја страницата.
Camera scanner is locked until the current error is acknowledged,Скенерот на камерата е заклучен додека не се потврди тековната грешка
Camera started but the video stream did not load in time. Please try again.,"Камерата започна, но видеото не се вчита навреме. Ве молиме обидете се повторно."
Cancel cash movement {0}?,Да се ​​откаже движењето на готовина {0}?
Cancel Payment,Откажи плаќање
Cancel Sale,Откажете ја продажбата
Cancel Sale ?,Откажи продажба?
Cancelled,Откажано
Cannot add an item with zero or negative quantity.,Не може да се додаде ставка со нулта или негативна количина.
Cannot clear cache while offline,Не може да се исчисти кешот додека е офлајн
Cannot redeem customer credit more than invoice total,Не може да се откупи кредитот на клиентот повеќе од вкупната фактура
Cannot redeem gift cards more than invoice total,Не може да ги откупите картичките за подарок повеќе од вкупниот износ на фактурата
Cannot Save Offline Invoice:,Не може да се зачува офлајн фактура:
Cannot Save Offline Payment:,Не може да се зачува офлајн плаќање:
Card,Картичка
Card / Online,Картичка / онлајн
Card health after the last live lookup,Здравјето на картичката по последното пребарување во живо
Cards,Картички
Cart,Количка
Cash,Готовина
Cash back to customers,Пари назад на клиентите
Cash Collections,Наплати на готовина
Cash Deposit is disabled for this POS Profile.,Готовинскиот депозит е оневозможен за овој профил на ПОС.
Cash Drawer Snapshot,Снимка од фиоката за готовина
Cash In Hand,Пари во рака
Cash Movement,Движење на готовина
Cash movement cancelled,Движењето готовина е откажано
Cash movement deduction applied,Применет е одбиток за движење на готовина
Cash movement deleted,Движењето готовина е избришано
Cash movement is disabled for this POS Profile.,Движењето готовина е оневозможено за овој POS-профил.
Cash Movement is disabled in current POS Profile.,Движењето готовина е оневозможено во тековниот POS-профил.
Cash movement saved offline,Движењето готовина е зачувано офлајн
Cash movement submitted,Поднесено движење на готовина
Cash Movements,Движења во готовина
Cash payment cannot be less than invoice total when partial payment is not allowed,Плаќањето во готовина не може да биде помало од вкупната фактура кога не е дозволено делумно плаќање
Cash returned after payment,Готовина вратена по плаќањето
Cashier,Касиерка
Cashier Access,Пристап до касиерот
Cashier identity and appearance preferences.,Преференци за идентитет и изглед на касиерот.
Cashier PIN,ПИН за благајна
Cashier PIN saved successfully.,ПИН-кодот на касиерот е успешно зачуван.
Cashiers,Касиери
Cashier-wise,Касиерски
Categories,Категории
Category,Категорија
Category / Brand / Variant Report,Извештај за категорија / бренд / варијанта
Category-wise,Во однос на категоријата
Category-wise Margin,Маргина според категоријата
Certificate,Сертификат
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Сертификатот недостасува или не е доверлив. QZ може да прикаже дијалози за потврда.
Certificate is trusted. Silent QZ printing is active.,Сертификатот е доверлив. Тивкото QZ печатење е активно.
Change,Промена
Change allocation repaired,Поправена е распределбата на промените
Change Price,Променете ја цената
Change Return,Промени Враќање
Change Returned,Промената е вратена
Change terminal cashier,Променете ја терминалната каса
Charge Heads,Полнење глави
Charges,Наплати
Charges not found,Обвиненијата не се пронајдени
Check Balance,Проверете го билансот
Check balance for any card. Supervisors can issue and top up cards here.,Проверете ја состојбата на која било картичка. Супервизорите може да издаваат и дополнуваат картички овде.
Check balance only,Проверете го само балансот
Check for new commits,Проверете дали има нови обврски
Check for Updates,Проверете дали има ажурирања
Check live balance before applying redemption,Проверете го балансот во живо пред да аплицирате за откуп
