POS Awesome,POS Чудово
Fetch Items Directly from Server,Отримання елементів безпосередньо з сервера
Menu,Меню
Actions,Дії
Close Shift,Закрити Shift
End current session,Завершити поточний сеанс
Print Last Invoice,Роздрукувати останній рахунок-фактуру
Reprint previous transaction,Повторний друк попередньої операції
Sync Offline Invoices,Синхронізація офлайн-рахунків-фактур
Upload pending transactions,Завантажити незавершені транзакції
Go Online,Вийти в Інтернет
Go Offline,Перейти в автономний режим
Disable offline mode,Вимкнути автономний режим
Work without server connection,Робота без підключення до сервера
Clear Cache,Очистити кеш
Remove local data and refresh,Видаліть локальні дані та оновіть
About,про
App information,Інформація про додаток
Language,Мова
Change interface language,Змінити мову інтерфейсу
Light Mode,Світловий режим
Dark Mode,Темний режим
Switch theme appearance,Змінити вигляд теми
Logout,Вийти
Sign out of session,Вийти з сесії
Select Language,Виберіть мову
Choose your preferred language for the POS interface,Виберіть потрібну мову для інтерфейсу POS
Language will be changed to,Мову буде змінено на
Cancel,Скасувати
Change Language,Змінити мову
Close,Закрити
Cannot change language - same language selected,Неможливо змінити мову – вибрано ту саму мову
Language changed successfully! Reloading...,Мову успішно змінено! Перезавантаження...
Failed to change language,Не вдалося змінити мову
Unknown error,Невідома помилка
- Total Unallocated,- Всього нерозподілених
* Required,* Обов'язковий
{0} (Qty: {1}),{0} (Кількість: {1})
{0} actions,{0} дії
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} має лише {1} на складі. Ви запросили {2}. Відкоригуйте кількість або поповніть запаси.
{0} offline invoice{1} pending,{0} офлайн-фактура{1} очікує на розгляд
{0} offline invoice{1} saved as draft,{0} офлайн-фактуру{1} збережено як чернетку
{0} offline invoice{1} synced,{0} офлайн-фактура{1} синхронізовано
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0} дн. тому
{0}h ago,{0} год тому
{0}m ago,{0} хв тому
A POS supervisor is required for this action.,Для цієї дії потрібен наглядач POS.
Access,Доступ
Account,Обліковий запис
Account is overdrawn,На рахунку овердрафт
Acknowledge the error to resume scanning,"Підтвердьте помилку, щоб продовжити сканування"
Acknowledge the error to resume scanning.,"Підтвердьте помилку, щоб продовжити сканування."
Across,Поперек
Action,Дія
Active sale,Активний продаж
add,додати
Add items from the selector to start building this sale.,"Додайте елементи з вибору, щоб розпочати розпродаж."
Add more value to an existing gift card,Додайте більше цінності наявній подарунковій картці
Add New Address,Додати нову адресу
Add new customer,Додати нового клієнта
Add on New Line,Додати в новий рядок
Add Payment,Додати платіж
Add payment to invoice,Додайте платіж до рахунку-фактури
Add/Edit Coupon Conditions,Додати/змінити умови купонів
Additional Discount,Додаткова знижка
Additional Discount %,Додаткова знижка %
Address Line 1,"Адреса, рядок 1"
Address not found,Адреса не знайдена
Adjust the quantity or enable negative stock to continue.,"Відкоригуйте кількість або ввімкніть негативний запас, щоб продовжити."
Adjustment,коригування
After returns,Після повернення
Against,Проти
Against Name,Проти імені
Age Bracket,Вікова категорія
All,всі
All Caught Up!,Все наздогнано!
All invoices are synchronized,Усі рахунки синхронізовані
All pending invoices are up to date,Усі рахунки-фактури актуальні
All Profiles,Усі профілі
All Synchronized,Все синхронізовано
All visible invoices are fully settled.,Усі видимі рахунки повністю розраховані.
All Warehouses,Всі склади
Allowed UOM is {0},Дозволений UOM становить {0}
Always fetch items from server (ignore local cache),Завжди отримувати елементи з сервера (ігнорувати локальний кеш)
Amount,Сума
Amount already received,Сума вже отримана
Amount exceeds profile cash movement max amount.,Сума перевищує максимальну суму руху готівки профілю.
Amount must be greater than zero.,Сума має бути більше нуля.
Amount received from customer,Сума отримана від клієнта
Appearance and user-level preferences for the current session.,Зовнішній вигляд і параметри на рівні користувача для поточного сеансу.
Applied,Прикладний
Apply,Застосувати
Apply Gift Card,Застосувати подарункову картку
Apply Offer,Застосувати пропозицію
Apply On,Застосувати
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,"Застосуйте в цьому рахунку-фактурі лише ту суму, яку ви хочете отримати. Залишок залишається на картці."
Apply Redemption,Застосувати Redemption
Applying,Подача заявки
Apps,програми
Are you sure you want to close? All entered data will be lost.,"Ви впевнені, що бажаєте закрити? Усі введені дані будуть втрачені."
Attributes (Size/Color),Атрибути (розмір/колір)
Auto Allocate Payment Amount,Автоматичний розподіл суми платежу
Auto Reconcile,Автоматичне узгодження
Auto reconciliation completed after payment submit.,Автоматичне узгодження завершено після подання платежу.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Автоматичне узгодження завершено. Виділено: {0}{1}. Залишилось: {0}{2}.
Available Actions,Доступні дії
Available QTY,Доступна кількість
Available:,В наявності:
Average Basket,Середній кошик
Average Bill,Середній рахунок
Average Ticket,Середній квиток
Avg Bill,Середній рахунок
Avg Invoice,Середній рахунок-фактура
Avg Invoice Profit,Середній прибуток за рахунком-фактурою
Avg Invoice Value,Середня вартість рахунку-фактури
Avg Purchase Frequency,Середня частота покупок
Awesome,приголомшливо
Awesome Dashboard,Чудова інформаційна панель
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard вимкнено для вибраного профілю POS.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard недоступний для вибраного діапазону.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard доступна лише для наглядачів POS.
Back,Назад
Back Office Cash Account,Готівковий рахунок бек-офіс
Back Office Cash Account (Optional Override),Готівковий рахунок бек-офісу (необов’язкова заміна)
Back office cash account is required.,Потрібен касовий рахунок бек-офісу.
Back to {0},Назад до {0}
Background processing did not finish in time.,Фонова обробка не завершилася вчасно.
Background processing failed for Invoice {0}: {1},Помилка фонової обробки для рахунку-фактури {0}: {1}
Background Submission Failed,Помилка фонового подання
Background sync interval (seconds),Інтервал фонової синхронізації (секунди)
Balance,Баланс
Balance will be updated when connection is restored,"Баланс буде оновлено, коли з'єднання буде відновлено"
Balances still pending,Залишки все ще очікуються
Barcode,Штрих-код
Barcode / QR Ready,Готовий штрих-код / QR
Barcode Label Printing,Друк етикетки зі штрих-кодом
Base Paid:,Основна сплата:
Base Recv:,Базове приймання:
Base:,база:
Basic Information,Основна інформація
Batch,партія
Batch Information,Інформація про партію
Before any return workflow,Перед будь-яким робочим процесом повернення
Before returns,Перед поверненням
Best Day,Найкращий день
Best Seller,Найкращий продавець
Book expense or deposit from active shift.,Забронювати витрати або депозит з активної зміни.
Branch / Location-wise Report,Звіт про філію/розташування
Brand-wise,По-брендовому
Breakdown,Поломка
