POS Awesome,POS නියමයි
Fetch Items Directly from Server,භාණ්ඩ සෘජුවම සේවාදායකයෙන් ලබා ගන්න
Menu,මෙනුව
Actions,ක්රියාවන්
Close Shift,Shift වසන්න
End current session,වත්මන් සැසිය අවසන් කරන්න
Print Last Invoice,අවසන් ඉන්වොයිසිය මුද්‍රණය කරන්න
Reprint previous transaction,පෙර ගනුදෙනුව නැවත මුද්‍රණය කරන්න
Sync Offline Invoices,නොබැඳි ඉන්වොයිසි සමමුහුර්ත කරන්න
Upload pending transactions,පොරොත්තු ගනුදෙනු උඩුගත කරන්න
Go Online,ඔන්ලයින් යන්න
Go Offline,නොබැඳි යන්න
Disable offline mode,නොබැඳි මාදිලිය අබල කරන්න
Work without server connection,සේවාදායක සම්බන්ධතාවයකින් තොරව වැඩ කරන්න
Clear Cache,හැඹිලිය හිස් කරන්න
Remove local data and refresh,දේශීය දත්ත ඉවත් කර නැවුම් කරන්න
About,ගැන
App information,යෙදුම් තොරතුරු
Language,භාෂාව
Change interface language,අතුරු මුහුණත භාෂාව වෙනස් කරන්න
Light Mode,ආලෝක මාදිලිය
Dark Mode,අඳුරු මාදිලිය
Switch theme appearance,තේමා පෙනුම මාරු කරන්න
Logout,පිටවීම
Sign out of session,සැසියෙන් වරන්න
Select Language,භාෂාව තෝරන්න
Choose your preferred language for the POS interface,POS අතුරුමුහුණත සඳහා ඔබ කැමති භාෂාව තෝරන්න
Language will be changed to,භාෂාව වෙනස් වනු ඇත
Cancel,අවලංගු කරන්න
Change Language,භාෂාව වෙනස් කරන්න
Close,වසන්න
Cannot change language - same language selected,භාෂාව වෙනස් කළ නොහැක - එකම භාෂාව තෝරා ඇත
Language changed successfully! Reloading...,භාෂාව සාර්ථකව වෙනස් විය! නැවත පූරණය කරමින්...
Failed to change language,භාෂාව වෙනස් කිරීමට අසමත් විය
Unknown error,නොදන්නා දෝෂයකි
- Total Unallocated,- සම්පූර්ණ වෙන් නොකළ
* Required,*අවශ්‍යයි
{0} (Qty: {1}),{0} (Qty: {1})
{0} actions,{0} ක්‍රියා
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} සතුව ඇත්තේ {1} පමණි. ඔබ {2} ඉල්ලුවා. ප්‍රමාණය හෝ නැවත සකසන්න.
{0} offline invoice{1} pending,{0} නොබැඳි ඉන්වොයිසිය{1} පොරොත්තුවෙන්
{0} offline invoice{1} saved as draft,{0} නොබැඳි ඉන්වොයිසිය{1} කෙටුම්පතක් ලෙස සුරකින ලදී
{0} offline invoice{1} synced,{0} නොබැඳි ඉන්වොයිසිය{1} සමමුහුර්ත කර ඇත
{0}: {1} {2},{0}: {1} {2}
{0}d ago,දින {0}කට පෙර
{0}h ago,පැ {0}කට පෙර
{0}m ago,මි {0}කට පෙර
A POS supervisor is required for this action.,මෙම ක්‍රියාව සඳහා POS අධීක්ෂකවරයෙකු අවශ්‍ය වේ.
Access,ප්රවේශය
Account,ගිණුම
Account is overdrawn,ගිණුම ඉක්මවා ඇත
Acknowledge the error to resume scanning,ස්කෑන් කිරීම නැවත ආරම්භ කිරීමේ දෝෂය පිළිගන්න
Acknowledge the error to resume scanning.,ස්කෑන් කිරීම නැවත ආරම්භ කිරීමේ දෝෂය පිළිගන්න.
Across,හරහා
Action,ක්‍රියාව
