POS Awesome,पीओएस बहुत बढ़िया
Fetch Items Directly from Server,सर्वर से सीधे आइटम प्राप्त करें
Menu,मेनू
Actions,क्रियाएँ
Close Shift,शिफ्ट बंद करें
End current session,वर्तमान सत्र समाप्त करें
Print Last Invoice,अंतिम चालान प्रिंट करें
Reprint previous transaction,पिछले लेन-देन को दोबारा प्रिंट करें
Sync Offline Invoices,ऑफ़लाइन चालान सिंक करें
Upload pending transactions,लंबित लेनदेन अपलोड करें
Go Online,ऑनलाइन हो जाओ
Go Offline,ऑफ़लाइन हो जाओ
Disable offline mode,ऑफ़लाइन मोड अक्षम करें
Work without server connection,सर्वर कनेक्शन के बिना काम करें
Clear Cache,कैश साफ़ करें
Remove local data and refresh,स्थानीय डेटा हटाएँ और ताज़ा करें
About,के बारे में
App information,ऐप की जानकारी
Language,भाषा
Change interface language,इंटरफ़ेस भाषा बदलें
Light Mode,लाइट मोड
Dark Mode,डार्क मोड
Switch theme appearance,थीम का स्वरूप बदलें
Logout,लॉगआउट करें
Sign out of session,सत्र से प्रस्थान करें
Select Language,भाषा चुनें
Choose your preferred language for the POS interface,पीओएस इंटरफ़ेस के लिए अपनी पसंदीदा भाषा चुनें
Language will be changed to,भाषा बदल दी जाएगी
Cancel,रद्द करें
Change Language,भाषा बदलें
Close,बंद करें
Cannot change language - same language selected,भाषा नहीं बदल सकते - वही भाषा चयनित है
Language changed successfully! Reloading...,भाषा सफलतापूर्वक बदली गई! पुनः लोड हो रहा है...
Failed to change language,भाषा बदलने में विफल
Unknown error,अज्ञात त्रुटि
- Total Unallocated,- कुल अनावंटित
* Required,*आवश्यक
{0} (Qty: {1}),{0} (मात्रा: {1})
{0} actions,{0} क्रियाएं
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} के पास स्टॉक में केवल {1} है। आपने अनुरोध किया है {2}. मात्रा समायोजित करें या पुनः स्टॉक करें।
{0} offline invoice{1} pending,{0}ऑफ़लाइन चालान{1}लंबित है
{0} offline invoice{1} saved as draft,{0}ऑफ़लाइन चालान{1} ड्राफ्ट के रूप में सहेजा गया
{0} offline invoice{1} synced,{0} ऑफ़लाइन चालान{1} समन्वयित किया गया
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}दिन पहले
{0}h ago,{0}घंटे पहले
{0}m ago,{0}मी पहले
A POS supervisor is required for this action.,इस कार्रवाई के लिए एक पीओएस पर्यवेक्षक की आवश्यकता है।
Access,पहुंच
Account,खाता
Account is overdrawn,खाता ओवरड्राउन हो गया है
Acknowledge the error to resume scanning,स्कैनिंग फिर से शुरू करने के लिए त्रुटि स्वीकार करें
Acknowledge the error to resume scanning.,स्कैनिंग फिर से शुरू करने के लिए त्रुटि स्वीकार करें।
Across,पार
Action,कार्रवाई
Active sale,सक्रिय बिक्री
add,जोड़ें
Add items from the selector to start building this sale.,इस बिक्री का निर्माण शुरू करने के लिए चयनकर्ता से आइटम जोड़ें।
Add more value to an existing gift card,मौजूदा उपहार कार्ड में अधिक मूल्य जोड़ें
Add New Address,नया पता जोड़ें
Add new customer,नया ग्राहक जोड़ें
Add on New Line,नई लाइन पर जोड़ें
Add Payment,भुगतान जोड़ें
Add payment to invoice,चालान में भुगतान जोड़ें
Add/Edit Coupon Conditions,कूपन शर्तें जोड़ें/संपादित करें
Additional Discount,अतिरिक्त छूट
Additional Discount %,अतिरिक्त छूट %
Address Line 1,पता पंक्ति 1
Address not found,पता नहीं मिला
Adjust the quantity or enable negative stock to continue.,मात्रा समायोजित करें या नकारात्मक स्टॉक को जारी रखने में सक्षम करें।
Adjustment,समायोजन
After returns,वापसी के बाद
Against,विरुद्ध
Against Name,नाम के विरुद्ध
Age Bracket,आयु वर्ग
All,सब
All Caught Up!,सब पकड़े गए!
All invoices are synchronized,सभी चालान सिंक्रनाइज़ हैं
All pending invoices are up to date,सभी लंबित चालान अद्यतन हैं
All Profiles,सभी प्रोफाइल
All Synchronized,सभी सिंक्रनाइज़
All visible invoices are fully settled.,सभी दृश्यमान चालान पूरी तरह से निपटाए गए हैं।
All Warehouses,सभी गोदाम
Allowed UOM is {0},अनुमत यूओएम {0} है
Always fetch items from server (ignore local cache),आइटम हमेशा सर्वर से प्राप्त करें (स्थानीय कैश पर ध्यान न दें)
Amount,रकम
Amount already received,राशि मिल चुकी है
Amount exceeds profile cash movement max amount.,राशि प्रोफ़ाइल नकदी संचलन की अधिकतम राशि से अधिक है।
Amount must be greater than zero.,राशि शून्य से अधिक होनी चाहिए.
Amount received from customer,ग्राहक से प्राप्त राशि
Appearance and user-level preferences for the current session.,वर्तमान सत्र के लिए उपस्थिति और उपयोगकर्ता-स्तरीय प्राथमिकताएँ।
Applied,लागू
Apply,आवेदन करें
Apply Gift Card,उपहार कार्ड लागू करें
Apply Offer,ऑफर लागू करें
Apply On,पर आवेदन करें
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,इस चालान पर केवल वही राशि लागू करें जिसे आप भुनाना चाहते हैं। शेष राशि कार्ड पर रहती है.
Apply Redemption,मोचन लागू करें
Applying,आवेदन करना
Apps,ऐप्स
Are you sure you want to close? All entered data will be lost.,क्या आप वाकई बंद करना चाहते हैं? दर्ज किया गया सारा डेटा नष्ट हो जाएगा.
Attributes (Size/Color),गुण (आकार/रंग)
Auto Allocate Payment Amount,भुगतान राशि स्वतः आवंटित करें
Auto Reconcile,स्वतः समाधान
Auto reconciliation completed after payment submit.,भुगतान जमा होने के बाद स्वत: समाधान पूरा हो गया।
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,स्वतः समाधान पूर्ण हुआ. आवंटित: {0}{1}. शेष बकाया: {0}{2}.
Available Actions,उपलब्ध क्रियाएँ
Available QTY,उपलब्ध मात्रा
Available:,उपलब्ध:
Average Basket,औसत टोकरी
Average Bill,औसत बिल
Average Ticket,औसत टिकट
Avg Bill,औसत बिल
Avg Invoice,औसत चालान
Avg Invoice Profit,औसत चालान लाभ
Avg Invoice Value,औसत चालान मूल्य
Avg Purchase Frequency,औसत खरीद आवृत्ति
Awesome,बहुत बढ़िया
Awesome Dashboard,बहुत बढ़िया डैशबोर्ड
Awesome Dashboard is disabled for the selected POS Profile.,चयनित पीओएस प्रोफ़ाइल के लिए विस्मयकारी डैशबोर्ड अक्षम है।
Awesome Dashboard is unavailable for the selected scope.,चयनित दायरे के लिए विस्मयकारी डैशबोर्ड अनुपलब्ध है।
Awesome Dashboard is visible only to POS supervisors.,विस्मयकारी डैशबोर्ड केवल पीओएस पर्यवेक्षकों को दिखाई देता है।
Back,वापस
Back Office Cash Account,बैक ऑफिस कैश खाता
Back Office Cash Account (Optional Override),बैक ऑफिस कैश अकाउंट (वैकल्पिक ओवरराइड)
Back office cash account is required.,बैक ऑफिस कैश खाता आवश्यक है.
Back to {0},{0} पर वापस जाएँ
Background processing did not finish in time.,पृष्ठभूमि प्रसंस्करण समय पर समाप्त नहीं हुआ.
Background processing failed for Invoice {0}: {1},चालान {0} के लिए पृष्ठभूमि प्रसंस्करण विफल: {1}
Background Submission Failed,पृष्ठभूमि सबमिशन विफल
Background sync interval (seconds),पृष्ठभूमि सिंक अंतराल (सेकंड)
Balance,संतुलन
Balance will be updated when connection is restored,कनेक्शन बहाल होने पर शेष राशि अपडेट कर दी जाएगी
Balances still pending,शेष अभी भी लंबित हैं
Barcode,बारकोड
Barcode / QR Ready,बारकोड/क्यूआर तैयार
Barcode Label Printing,बारकोड लेबल मुद्रण
Base Paid:,आधार भुगतान:
Base Recv:,आधार पुनर्प्राप्ति:
Base:,आधार:
Basic Information,बुनियादी जानकारी
Batch,बैच
Batch Information,बैच सूचना
Before any return workflow,किसी भी रिटर्न वर्कफ़्लो से पहले
Before returns,वापसी से पहले
Best Day,सबसे अच्छा दिन
Best Seller,सर्वश्रेष्ठ विक्रेता
Book expense or deposit from active shift.,सक्रिय शिफ्ट से व्यय या जमा बुक करें।
Branch / Location-wise Report,शाखा/स्थान-वार रिपोर्ट
Brand-wise,ब्रांड के अनुसार
Breakdown,टूटना
Browse,ब्राउज़ करें
Build Time:,निर्माण समय:
Built with Frappe,फ्रैपे के साथ निर्मित
Bundle,बंडल
Buying Price,क्रय मूल्य
Cache cleared successfully,कैश सफलतापूर्वक साफ़ हो गया
Cache Usage,कैश उपयोग
cache used,कैश का उपयोग किया गया
Calculating...,हिसाब लगाया जा रहा है...
Camera Access Required,कैमरा पहुंच आवश्यक है
Camera access was aborted. Please try again.,कैमरे का उपयोग निरस्त कर दिया गया. कृपया पुन: प्रयास करें।
Camera constraints not supported by your device. Trying fallback settings...,कैमरा बाधाएँ आपके डिवाइस द्वारा समर्थित नहीं हैं। फ़ॉलबैक सेटिंग आज़मा रहा है...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,कैमरा व्यस्त है या किसी अन्य ऐप/टैब द्वारा अवरुद्ध है। अन्य कैमरा ऐप्स बंद करें और पुनः प्रयास करें।
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,कैमरे की अनुमति अस्वीकृत. कृपया अपनी ब्राउज़र सेटिंग में कैमरा एक्सेस की अनुमति दें और पेज को रीफ्रेश करें।
Camera scanner is locked until the current error is acknowledged,वर्तमान त्रुटि की पुष्टि होने तक कैमरा स्कैनर लॉक है
Camera started but the video stream did not load in time. Please try again.,कैमरा चालू हुआ लेकिन वीडियो स्ट्रीम समय पर लोड नहीं हुआ। कृपया पुन: प्रयास करें।
Cancel cash movement {0}?,नकदी संचलन रद्द करें {0}?
Cancel Payment,भुगतान रद्द करें
Cancel Sale,बिक्री रद्द करें
Cancel Sale ?,बिक्री रद्द करें?
Cancelled,रद्द किया गया
Cannot add an item with zero or negative quantity.,शून्य या ऋणात्मक मात्रा वाला कोई आइटम नहीं जोड़ा जा सकता.
Cannot clear cache while offline,ऑफ़लाइन रहते हुए कैश साफ़ नहीं किया जा सकता
Cannot redeem customer credit more than invoice total,ग्राहक क्रेडिट को कुल चालान से अधिक नहीं भुनाया जा सकता
Cannot redeem gift cards more than invoice total,कुल चालान से अधिक उपहार कार्ड भुना नहीं सकते
Cannot Save Offline Invoice:,ऑफ़लाइन चालान सहेजा नहीं जा सकता:
Cannot Save Offline Payment:,ऑफ़लाइन भुगतान सहेजा नहीं जा सकता:
Card,कार्ड
Card / Online,कार्ड/ऑनलाइन
Card health after the last live lookup,अंतिम लाइव लुकअप के बाद कार्ड का स्वास्थ्य
Cards,कार्ड
Cart,गाड़ी
Cash,नकद
Cash back to customers,ग्राहकों को नकद वापसी
Cash Collections,नकद संग्रह
Cash Deposit is disabled for this POS Profile.,इस पीओएस प्रोफ़ाइल के लिए नकद जमा अक्षम है।
Cash Drawer Snapshot,नकद दराज स्नैपशॉट
Cash In Hand,हाथ में नकद
Cash Movement,नकद आंदोलन
Cash movement cancelled,नकदी की आवाजाही रद्द कर दी गई
Cash movement deduction applied,नकद संचलन कटौती लागू
Cash movement deleted,नकदी संचलन हटा दिया गया
Cash movement is disabled for this POS Profile.,इस पीओएस प्रोफ़ाइल के लिए नकदी संचलन अक्षम है।
Cash Movement is disabled in current POS Profile.,वर्तमान पीओएस प्रोफ़ाइल में नकदी संचलन अक्षम है।
Cash movement saved offline,नकदी संचलन ऑफ़लाइन सहेजा गया
Cash movement submitted,नकद संचलन प्रस्तुत किया गया
Cash Movements,नकदी संचलन
Cash payment cannot be less than invoice total when partial payment is not allowed,आंशिक भुगतान की अनुमति नहीं होने पर नकद भुगतान कुल चालान से कम नहीं हो सकता
