POS Awesome,POS Harika
Fetch Items Directly from Server,Öğeleri Doğrudan Sunucudan Getir
Menu,Menü
Actions,Eylemler
Close Shift,Vardiyayı Kapat
End current session,Geçerli oturumu sonlandır
Print Last Invoice,Son Faturayı Yazdır
Reprint previous transaction,Önceki işlemi yeniden yazdır
Sync Offline Invoices,Çevrimdışı Faturaları Senkronize Et
Upload pending transactions,Bekleyen işlemleri yükle
Go Online,Çevrimiçi Olun
Go Offline,Çevrimdışı Ol
Disable offline mode,Çevrimdışı modu devre dışı bırak
Work without server connection,Sunucu bağlantısı olmadan çalışın
Clear Cache,Önbelleği Temizle
Remove local data and refresh,Yerel verileri kaldırın ve yenileyin
About,Hakkında
App information,Uygulama bilgileri
Language,Dil
Change interface language,Arayüz dilini değiştir
Light Mode,Işık Modu
Dark Mode,Karanlık Mod
Switch theme appearance,Tema görünümünü değiştir
Logout,Oturumu kapat
Sign out of session,Oturumdan çıkış yap
Select Language,Dil Seçiniz
Choose your preferred language for the POS interface,POS arayüzü için tercih ettiğiniz dili seçin
Language will be changed to,Dil olarak değiştirilecek
Cancel,İptal
Change Language,Dili Değiştir
Close,Kapat
Cannot change language - same language selected,Dil değiştirilemiyor - aynı dil seçildi
Language changed successfully! Reloading...,Dil başarıyla değiştirildi! Yeniden yükleniyor...
Failed to change language,Dil değiştirilemedi
Unknown error,Bilinmeyen hata
- Total Unallocated,- Toplam Dağıtılmamış
* Required,* Gerekli
{0} (Qty: {1}),{0} (Adet: {1})
{0} actions,{0} işlem
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} stokta yalnızca {1} var. {2} talebinde bulundunuz. Miktarı ayarlayın veya yeniden stoklayın.
{0} offline invoice{1} pending,{0}çevrimdışı fatura{1} beklemede
{0} offline invoice{1} saved as draft,{0}çevrimdışı fatura{1} taslak olarak kaydedildi
{0} offline invoice{1} synced,{0}çevrimdışı fatura{1} senkronize edildi
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0} gün önce
{0}h ago,{0} saat önce
{0}m ago,{0} dakika önce
A POS supervisor is required for this action.,Bu işlem için bir POS sorumlusu gereklidir.
Access,Erişim
Account,Hesap
Account is overdrawn,Hesapta limit aşımı var
Acknowledge the error to resume scanning,Taramaya devam etmek için hatayı kabul edin
Acknowledge the error to resume scanning.,Taramaya devam etmek için hatayı kabul edin.
Across,karşısında
Action,Eylem
Active sale,Aktif satış
add,ekle
Add items from the selector to start building this sale.,Bu satışı oluşturmaya başlamak için seçiciden öğeler ekleyin.
Add more value to an existing gift card,Mevcut bir hediye kartına daha fazla değer katın
Add New Address,Yeni Adres Ekle
Add new customer,Yeni müşteri ekle
Add on New Line,Yeni Satıra Ekle
Add Payment,Ödeme Ekle
