POS Awesome,POS Genial
Fetch Items Directly from Server,Obteniu elements directament del servidor
Menu,Menú
Actions,Accions
Close Shift,Tanca el canvi
End current session,Finalitza la sessió actual
Print Last Invoice,Imprimeix l'última factura
Reprint previous transaction,Reimprimeix la transacció anterior
Sync Offline Invoices,Sincronitza les factures fora de línia
Upload pending transactions,Penja transaccions pendents
Go Online,Anar en línia
Go Offline,Anar fora de línia
Disable offline mode,Desactiva el mode fora de línia
Work without server connection,Treballar sense connexió al servidor
Clear Cache,Esborra la memòria cau
Remove local data and refresh,Elimina les dades locals i actualitza
About,Sobre
App information,Informació de l'aplicació
Language,Llengua
Change interface language,Canvia l'idioma de la interfície
Light Mode,Mode de llum
Dark Mode,Mode fosc
Switch theme appearance,Canvia l'aparença del tema
Logout,Tanca la sessió
Sign out of session,Tanca la sessió
Select Language,Seleccioneu Idioma
Choose your preferred language for the POS interface,Trieu el vostre idioma preferit per a la interfície de TPV
Language will be changed to,Es canviarà l'idioma a
Cancel,Cancel·la
Change Language,Canviar Idioma
Close,Tancar
Cannot change language - same language selected,No es pot canviar l'idioma - el mateix idioma seleccionat
Language changed successfully! Reloading...,L'idioma ha canviat correctament! S'està tornant a carregar...
Failed to change language,No s'ha pogut canviar l'idioma
Unknown error,Error desconegut
- Total Unallocated,- Total no assignat
* Required,* Obligatori
{0} (Qty: {1}),{0} (Quantitat: {1})
{0} actions,{0} accions
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} només té {1} en estoc. Heu sol·licitat {2}. Ajustar la quantitat o reposar.
{0} offline invoice{1} pending,{0}factura fora de línia{1} pendent
{0} offline invoice{1} saved as draft,La {0} factura fora de línia{1} s'ha desat com a esborrany
{0} offline invoice{1} synced,{0} factura fora de línia{1} sincronitzada
{0}: {1} {2},{0}: {1} {2}
{0}d ago,fa {0} dies
{0}h ago,fa {0}h
{0}m ago,fa {0}m
A POS supervisor is required for this action.,Es requereix un supervisor de TPV per a aquesta acció.
Access,Accés
Account,Compte
Account is overdrawn,El compte està en excés
Acknowledge the error to resume scanning,Confirmeu l'error per reprendre l'escaneig
Acknowledge the error to resume scanning.,Confirmeu l'error per reprendre l'escaneig.
Across,A través
Action,Acció
Active sale,Venda activa
add,afegir
Add items from the selector to start building this sale.,Afegiu articles del selector per començar a crear aquesta venda.
Add more value to an existing gift card,Afegiu més valor a una targeta regal existent
Add New Address,Afegeix una adreça nova
Add new customer,Afegeix un client nou
Add on New Line,Afegeix a New Line
Add Payment,Afegeix el pagament
Add payment to invoice,Afegiu el pagament a la factura
Add/Edit Coupon Conditions,Afegeix/Edita les condicions del cupó
Additional Discount,Descompte addicional
Additional Discount %,% de descompte addicional
Address Line 1,Línia d'adreça 1
Address not found,No s'ha trobat l'adreça
Adjust the quantity or enable negative stock to continue.,Ajusteu la quantitat o activeu l'estoc negatiu per continuar.
Adjustment,Ajust
After returns,Després de les tornades
Against,En contra
Against Name,Contra Nom
Age Bracket,Tranxa d'edat
All,Tots
All Caught Up!,Tots atrapats!
All invoices are synchronized,Totes les factures estan sincronitzades
All pending invoices are up to date,Totes les factures pendents estan actualitzades
All Profiles,Tots els perfils
All Synchronized,Tot sincronitzat
All visible invoices are fully settled.,Totes les factures visibles estan totalment liquidades.
All Warehouses,Tots els Magatzems
Allowed UOM is {0},UOM permesa és {0}
Always fetch items from server (ignore local cache),Obteniu sempre els elements del servidor (ignoreu la memòria cau local)
Amount,Import
Amount already received,Import ja rebut
Amount exceeds profile cash movement max amount.,L'import supera l'import màxim del moviment d'efectiu del perfil.
Amount must be greater than zero.,La quantitat ha de ser superior a zero.
Amount received from customer,Import rebut del client
Appearance and user-level preferences for the current session.,Aparença i preferències a nivell d'usuari per a la sessió actual.
Applied,Aplicat
Apply,Aplicar
Apply Gift Card,Aplica la Targeta Regal
Apply Offer,Aplica l'oferta
Apply On,Aplicar activat
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Apliqueu només l'import que voleu bescanviar en aquesta factura. El saldo restant es manté a la targeta.
Apply Redemption,Aplica la redempció
Applying,Aplicant
Apps,Aplicacions
Are you sure you want to close? All entered data will be lost.,Esteu segur que voleu tancar? Es perdran totes les dades introduïdes.
Attributes (Size/Color),Atributs (mida/color)
Auto Allocate Payment Amount,Assigna automàticament l'import del pagament
Auto Reconcile,Reconciliació automàtica
Auto reconciliation completed after payment submit.,La conciliació automàtica s'ha completat després de l'enviament del pagament.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,S'ha completat la reconciliació automàtica. Assignat: {0}{1}. Restant pendents: {0}{2}.
Available Actions,Accions disponibles
Available QTY,QTY disponible
Available:,Disponible:
Average Basket,Cistella mitjana
Average Bill,Factura mitjana
Average Ticket,Bitllet mitjà
Avg Bill,Factura mitjana
Avg Invoice,Factura mitjana
Avg Invoice Profit,Benefici mitjà de la factura
Avg Invoice Value,Valor mitjà de la factura
Avg Purchase Frequency,Freqüència mitjana de compra
Awesome,Genial
Awesome Dashboard,Tauler de control impressionant
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard està desactivat per al perfil de POS seleccionat.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard no està disponible per a l'àmbit seleccionat.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard només és visible per als supervisors de TPV.
Back,Enrere
Back Office Cash Account,Compte d'efectiu del Back Office
Back Office Cash Account (Optional Override),Compte d'efectiu del Back Office (modificació opcional)
Back office cash account is required.,Es requereix un compte d'efectiu de back office.
Back to {0},Torna a {0}
Background processing did not finish in time.,El processament en segon pla no va acabar a temps.
Background processing failed for Invoice {0}: {1},No s'ha pogut processar en segon pla per a la factura {0}: {1}
Background Submission Failed,No s'ha pogut enviar en segon pla
Background sync interval (seconds),Interval de sincronització de fons (segons)
Balance,Balanç
Balance will be updated when connection is restored,El saldo s'actualitzarà quan es restableixi la connexió
Balances still pending,Saldos encara pendents
Barcode,Codi de barres
Barcode / QR Ready,Codi de barres / QR llest
Barcode Label Printing,Impressió d'etiquetes de codi de barres
Base Paid:,Base pagada:
