POS Awesome,POS Awesome
Fetch Items Directly from Server,Dohvatite stavke direktno sa servera
Menu,Meni
Actions,Akcije
Close Shift,Zatvori Shift
End current session,Završi trenutnu sesiju
Print Last Invoice,Odštampaj posljednju fakturu
Reprint previous transaction,Ponovo odštampajte prethodnu transakciju
Sync Offline Invoices,Sinhronizacija vanmrežnih faktura
Upload pending transactions,Otpremite transakcije na čekanju
Go Online,Go Online
Go Offline,Idi van mreže
Disable offline mode,Onemogućite način rada van mreže
Work without server connection,Rad bez veze sa serverom
Clear Cache,Obriši Cache
Remove local data and refresh,Uklonite lokalne podatke i osvježite
About,O
App information,Informacije o aplikaciji
Language,Jezik
Change interface language,Promijenite jezik interfejsa
Light Mode,Light Mode
Dark Mode,Dark Mode
Switch theme appearance,Promijeni izgled teme
Logout,Odjava
Sign out of session,Odjavite se sa sesije
Select Language,Odaberite Jezik
Choose your preferred language for the POS interface,Odaberite željeni jezik za POS interfejs
Language will be changed to,Jezik će se promijeniti u
Cancel,Otkaži
Change Language,Promijeni jezik
Close,Zatvori
Cannot change language - same language selected,Nije moguće promijeniti jezik - odabran je isti jezik
Language changed successfully! Reloading...,Jezik je uspješno promijenjen! Ponovno učitavanje...
Failed to change language,Promjena jezika nije uspjela
Unknown error,Nepoznata greška
- Total Unallocated,- Ukupno neraspoređeno
* Required,* Obavezno
{0} (Qty: {1}),{0} (Količina: {1})
{0} actions,{0} radnji
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} ima samo {1} na zalihama. Zatražili ste {2}. Podesite količinu ili popunite zalihe.
{0} offline invoice{1} pending,{0} vanmrežna faktura{1} na čekanju
{0} offline invoice{1} saved as draft,{0} vanmrežna faktura{1} sačuvana kao nacrt
{0} offline invoice{1} synced,{0} vanmrežna faktura{1} sinhronizirana
{0}: {1} {2},{0}: {1} {2}
{0}d ago,prije {0}d
{0}h ago,prije {0}h
{0}m ago,prije {0}m
A POS supervisor is required for this action.,Za ovu radnju potreban je POS supervizor.
Access,Pristup
Account,Račun
Account is overdrawn,Račun je prekoračen
Acknowledge the error to resume scanning,Potvrdite grešku da biste nastavili skeniranje
Acknowledge the error to resume scanning.,Potvrdite grešku da biste nastavili skeniranje.
Across,Preko puta
Action,Akcija
Active sale,Aktivna prodaja
add,add
Add items from the selector to start building this sale.,Dodajte stavke iz selektora da započnete graditi ovu rasprodaju.
Add more value to an existing gift card,Dodajte veću vrijednost postojećoj poklon kartici
Add New Address,Dodaj novu adresu
Add new customer,Dodajte novog kupca
Add on New Line,Dodaj na novu liniju
Add Payment,Dodaj plaćanje
Add payment to invoice,Dodajte uplatu na fakturu
Add/Edit Coupon Conditions,Dodaj/uredi uslove kupona
Additional Discount,Dodatni popust
Additional Discount %,Dodatni popust %
Address Line 1,Adresni red 1
Address not found,Adresa nije pronađena
Adjust the quantity or enable negative stock to continue.,Podesite količinu ili omogućite negativnu zalihu da se nastavi.
Adjustment,Podešavanje
After returns,Nakon povratka
Against,Protiv
Against Name,Protiv imena
Age Bracket,Age Bracket
All,Sve
All Caught Up!,All Caught Up!
All invoices are synchronized,Sve fakture su sinhronizovane
All pending invoices are up to date,Sve fakture na čekanju su ažurirane
All Profiles,Svi profili
All Synchronized,All Synchronized
All visible invoices are fully settled.,Svi vidljivi računi su u potpunosti izmireni.
All Warehouses,Sva skladišta
Allowed UOM is {0},Dozvoljeni UOM je {0}
Always fetch items from server (ignore local cache),Uvijek preuzimaj stavke sa servera (ignoriraj lokalnu predmemoriju)
Amount,Iznos
Amount already received,Iznos je već primljen
Amount exceeds profile cash movement max amount.,Iznos premašuje maksimalan iznos kretanja gotovine profila.
Amount must be greater than zero.,Iznos mora biti veći od nule.
Amount received from customer,Iznos primljen od kupca
Appearance and user-level preferences for the current session.,Izgled i postavke na nivou korisnika za trenutnu sesiju.
