POS Awesome,POS عالی
Fetch Items Directly from Server,موارد را مستقیماً از سرور واکشی کنید
Menu,منو
Actions,اقدامات
Close Shift,Shift را ببندید
End current session,پایان جلسه جاری
Print Last Invoice,چاپ آخرین فاکتور
Reprint previous transaction,تراکنش قبلی را دوباره چاپ کنید
Sync Offline Invoices,همگام سازی فاکتورهای آفلاین
Upload pending transactions,بارگذاری تراکنش های معلق
Go Online,برو آنلاین
Go Offline,آفلاین شوید
Disable offline mode,غیرفعال کردن حالت آفلاین
Work without server connection,بدون اتصال به سرور کار کنید
Clear Cache,کش را پاک کنید
Remove local data and refresh,داده های محلی را حذف کرده و به روز کنید
About,درباره
App information,اطلاعات برنامه
Language,زبان
Change interface language,تغییر زبان رابط
Light Mode,حالت نور
Dark Mode,حالت تاریک
Switch theme appearance,تغییر ظاهر تم
Logout,خروج از سیستم
Sign out of session,از جلسه خارج شوید
Select Language,زبان را انتخاب کنید
Choose your preferred language for the POS interface,زبان مورد نظر خود را برای رابط POS انتخاب کنید
Language will be changed to,زبان به تغییر خواهد کرد
Cancel,لغو کنید
Change Language,تغییر زبان
Close,بستن
Cannot change language - same language selected,زبان را نمی توان تغییر داد - همان زبان انتخاب شده است
Language changed successfully! Reloading...,زبان با موفقیت تغییر کرد! در حال بارگیری مجدد...
Failed to change language,تغییر زبان انجام نشد
Unknown error,خطای ناشناخته
- Total Unallocated,- مجموع تخصیص نیافته
* Required,* الزامی است
{0} (Qty: {1}),{0} (تعداد: {1})
{0} actions,{0} اقدام
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} فقط {1} در انبار دارد. شما {2} را درخواست کردید. مقدار را تنظیم کنید یا دوباره ذخیره کنید.
{0} offline invoice{1} pending,{0} فاکتور آفلاین{1} در انتظار
{0} offline invoice{1} saved as draft,{0} فاکتور آفلاین{1} به عنوان پیش نویس ذخیره شد
{0} offline invoice{1} synced,{0} فاکتور آفلاین{1} همگام‌سازی شد
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0} روز پیش
{0}h ago,{0}ساعت قبل
{0}m ago,{0} دقیقه قبل
A POS supervisor is required for this action.,برای این اقدام به یک ناظر POS نیاز است.
Access,دسترسی داشته باشید
Account,حساب
Account is overdrawn,حساب اضافه برداشت شده است
Acknowledge the error to resume scanning,برای از سرگیری اسکن، خطا را تأیید کنید
Acknowledge the error to resume scanning.,برای از سرگیری اسکن، خطا را تأیید کنید.
Across,در سراسر
Action,اقدام
Active sale,فروش فعال
add,اضافه کردن
Add items from the selector to start building this sale.,برای شروع ساخت این فروش، موارد را از انتخابگر اضافه کنید.
Add more value to an existing gift card,ارزش بیشتری به کارت هدیه موجود اضافه کنید
Add New Address,اضافه کردن آدرس جدید
Add new customer,مشتری جدید اضافه کنید
Add on New Line,اضافه کردن در خط جدید
Add Payment,پرداخت را اضافه کنید
Add payment to invoice,پرداخت را به فاکتور اضافه کنید
Add/Edit Coupon Conditions,افزودن/ویرایش شرایط کوپن
Additional Discount,تخفیف اضافی
Additional Discount %,% تخفیف اضافی
Address Line 1,آدرس خط 1
Address not found,آدرس پیدا نشد
Adjust the quantity or enable negative stock to continue.,مقدار را تنظیم کنید یا سهام منفی را فعال کنید تا ادامه یابد.
Adjustment,تنظیم
After returns,پس از بازگشت
Against,در مقابل
Against Name,در مقابل نام
Age Bracket,گروه سنی
All,همه
All Caught Up!,همه گرفتار شدند!
