POS Awesome,POS بہت اچھے
Fetch Items Directly from Server,سرور سے براہ راست اشیاء حاصل کریں۔
Menu,مینو
Actions,اعمال
Close Shift,شفٹ بند کریں۔
End current session,موجودہ سیشن ختم کریں۔
Print Last Invoice,آخری رسید پرنٹ کریں۔
Reprint previous transaction,پچھلے لین دین کو دوبارہ پرنٹ کریں۔
Sync Offline Invoices,آف لائن انوائس کی مطابقت پذیری کریں۔
Upload pending transactions,زیر التواء لین دین اپ لوڈ کریں۔
Go Online,آن لائن جاؤ
Go Offline,آف لائن جائیں۔
Disable offline mode,آف لائن موڈ کو غیر فعال کریں۔
Work without server connection,سرور کنکشن کے بغیر کام کریں۔
Clear Cache,کیشے صاف کریں۔
Remove local data and refresh,مقامی ڈیٹا کو ہٹا دیں اور ریفریش کریں۔
About,کے بارے میں
App information,ایپ کی معلومات
Language,زبان
Change interface language,انٹرفیس کی زبان تبدیل کریں۔
Light Mode,لائٹ موڈ
Dark Mode,ڈارک موڈ
Switch theme appearance,تھیم کی ظاہری شکل کو تبدیل کریں۔
Logout,لاگ آؤٹ
Sign out of session,سیشن سے سائن آؤٹ کریں۔
Select Language,زبان منتخب کریں۔
Choose your preferred language for the POS interface,POS انٹرفیس کے لیے اپنی پسندیدہ زبان کا انتخاب کریں۔
Language will be changed to,زبان کو میں تبدیل کر دیا جائے گا۔
Cancel,منسوخ کریں۔
Change Language,زبان تبدیل کریں۔
Close,بند
Cannot change language - same language selected,زبان تبدیل نہیں کی جا سکتی - وہی زبان منتخب کی گئی۔
Language changed successfully! Reloading...,زبان کامیابی سے بدل گئی! دوبارہ لوڈ ہو رہا ہے...
Failed to change language,زبان تبدیل کرنے میں ناکام
Unknown error,نامعلوم خرابی۔
- Total Unallocated,- ٹوٹل غیر مختص
* Required,*ضروری ہے۔
{0} (Qty: {1}),{0} (مقدار: {1})
{0} actions,{0} اعمال
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} کے پاس اسٹاک میں صرف {1} ہے۔ آپ نے {2} کی درخواست کی۔ مقدار کو ایڈجسٹ کریں یا دوبارہ ذخیرہ کریں۔
{0} offline invoice{1} pending,{0} آف لائن رسید{1} زیر التواء
{0} offline invoice{1} saved as draft,{0} آف لائن انوائس{1} بطور مسودہ محفوظ کیا گیا۔
{0} offline invoice{1} synced,{0} آف لائن انوائس{1} مطابقت پذیر
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0} دن پہلے
{0}h ago,{0}گھنٹے پہلے
{0}m ago,{0}منٹ پہلے
A POS supervisor is required for this action.,اس کارروائی کے لیے ایک POS سپروائزر کی ضرورت ہے۔
Access,رسائی
Account,اکاؤنٹ
Account is overdrawn,اکاؤنٹ اوور ڈرا ہوا ہے۔
Acknowledge the error to resume scanning,اسکیننگ دوبارہ شروع کرنے کے لیے غلطی کو تسلیم کریں۔
Acknowledge the error to resume scanning.,اسکیننگ دوبارہ شروع کرنے کے لیے غلطی کو تسلیم کریں۔
Across,اس پار
