POS Awesome,POS Świetne
Fetch Items Directly from Server,Pobieraj elementy bezpośrednio z serwera
Menu,Menu
Actions,Działania
Close Shift,Zamknij zmianę
End current session,Zakończ bieżącą sesję
Print Last Invoice,Wydrukuj ostatnią fakturę
Reprint previous transaction,Wydrukuj ponownie poprzednią transakcję
Sync Offline Invoices,Synchronizuj faktury offline
Upload pending transactions,Prześlij oczekujące transakcje
Go Online,Przejdź do trybu online
Go Offline,Przejdź do trybu offline
Disable offline mode,Wyłącz tryb offline
Work without server connection,Pracuj bez połączenia z serwerem
Clear Cache,Wyczyść pamięć podręczną
Remove local data and refresh,Usuń dane lokalne i odśwież
About,O
App information,Informacje o aplikacji
Language,Język
Change interface language,Zmień język interfejsu
Light Mode,Tryb światła
Dark Mode,Tryb ciemny
Switch theme appearance,Zmień wygląd motywu
Logout,Wyloguj się
Sign out of session,Wyloguj się z sesji
Select Language,Wybierz Język
Choose your preferred language for the POS interface,Wybierz preferowany język interfejsu POS
Language will be changed to,Język zostanie zmieniony na
Cancel,Anuluj
Change Language,Zmień język
Close,Zamknij
Cannot change language - same language selected,Nie można zmienić języka - wybrano ten sam język
Language changed successfully! Reloading...,Język został pomyślnie zmieniony! Ponowne ładowanie...
Failed to change language,Nie udało się zmienić języka
Unknown error,Nieznany błąd
- Total Unallocated,- Łącznie nieprzydzielone
* Required,* Wymagane
{0} (Qty: {1}),{0} (Ilość: {1})
{0} actions,Działania: {0}
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} ma tylko {1} w magazynie. Prosiłeś o {2}. Dostosuj ilość lub uzupełnij zapasy.
{0} offline invoice{1} pending,Oczekująca {0}faktura offline{1}
{0} offline invoice{1} saved as draft,{0}faktura offline{1} zapisana jako wersja robocza
{0} offline invoice{1} synced,Zsynchronizowano {0}fakturę offline{1}
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}d temu
{0}h ago,{0}godziny temu
{0}m ago,{0}m temu
A POS supervisor is required for this action.,Do wykonania tej czynności wymagany jest kierownik punktu sprzedaży.
Access,Dostęp
Account,Konto
Account is overdrawn,Konto jest przekroczone
Acknowledge the error to resume scanning,"Potwierdź błąd, aby wznowić skanowanie"
Acknowledge the error to resume scanning.,"Potwierdź błąd, aby wznowić skanowanie."
Across,W poprzek
Action,Akcja
Active sale,Aktywna sprzedaż
add,dodaj
Add items from the selector to start building this sale.,"Dodaj przedmioty z selektora, aby rozpocząć budowanie tej sprzedaży."
Add more value to an existing gift card,Dodaj większą wartość do istniejącej karty podarunkowej
Add New Address,Dodaj nowy adres
Add new customer,Dodaj nowego klienta
Add on New Line,Dodaj nową linię
Add Payment,Dodaj płatność
Add payment to invoice,Dodaj płatność do faktury
Add/Edit Coupon Conditions,Dodaj/edytuj warunki kuponu
Additional Discount,Dodatkowy rabat
Additional Discount %,Dodatkowy rabat%
