POS Awesome,POSnya Luar Biasa
Fetch Items Directly from Server,Ambil Item Langsung dari Server
Menu,Tidak bisa
Actions,Tindakan
Close Shift,Tutup Pergeseran
End current session,Akhiri sesi saat ini
Print Last Invoice,Cetak Faktur Terakhir
Reprint previous transaction,Cetak ulang transaksi sebelumnya
Sync Offline Invoices,Sinkronkan Faktur Offline
Upload pending transactions,Unggah transaksi yang tertunda
Go Online,Daring
Go Offline,Offline
Disable offline mode,Nonaktifkan mode offline
Work without server connection,Bekerja tanpa koneksi server
Clear Cache,Hapus Tembolok
Remove local data and refresh,Hapus data lokal dan segarkan
About,Tentang
App information,Informasi aplikasi
Language,Bahasa
Change interface language,Ubah bahasa antarmuka
Light Mode,Modus Cahaya
Dark Mode,Mode Gelap
Switch theme appearance,Ganti tampilan tema
Logout,Keluar
Sign out of session,Keluar dari sesi
Select Language,Pilih Bahasa
Choose your preferred language for the POS interface,Pilih bahasa pilihan Anda untuk antarmuka POS
Language will be changed to,Bahasa akan diubah menjadi
Cancel,Batalkan
Change Language,Ubah Bahasa
Close,Tutup
Cannot change language - same language selected,Tidak dapat mengubah bahasa - bahasa yang dipilih sama
Language changed successfully! Reloading...,Bahasa berhasil diubah! Memuat ulang...
Failed to change language,Gagal mengubah bahasa
Unknown error,Kesalahan tidak diketahui
- Total Unallocated,- Jumlah Tidak Terisi
* Required,* Diperlukan
{0} (Qty: {1}),{0} (Jumlah: {1})
{0} actions,{0} tindakan
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} hanya memiliki stok {1}. Anda meminta {2}. Sesuaikan kuantitas atau isi ulang.
{0} offline invoice{1} pending,{0} faktur offline{1} tertunda
{0} offline invoice{1} saved as draft,{0} faktur offline{1} disimpan sebagai draf
{0} offline invoice{1} synced,{0} faktur offline{1} disinkronkan
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}hari yang lalu
{0}h ago,{0}jam yang lalu
{0}m ago,{0}m yang lalu
A POS supervisor is required for this action.,Seorang supervisor POS diperlukan untuk tindakan ini.
Access,Akses
Account,Akun
Account is overdrawn,Akun ditarik berlebihan
Acknowledge the error to resume scanning,Akui kesalahan untuk melanjutkan pemindaian
Acknowledge the error to resume scanning.,Akui kesalahan untuk melanjutkan pemindaian.
Across,Di seberang
Action,Tindakan
Active sale,Penjualan aktif
add,tambahkan
Add items from the selector to start building this sale.,Tambahkan item dari pemilih untuk mulai membangun penjualan ini.
Add more value to an existing gift card,Tambahkan nilai lebih pada kartu hadiah yang sudah ada
Add New Address,Tambahkan Alamat Baru
Add new customer,Tambahkan pelanggan baru
Add on New Line,Tambahkan di Baris Baru
Add Payment,Tambahkan Pembayaran
Add payment to invoice,Tambahkan pembayaran ke faktur
Add/Edit Coupon Conditions,Tambahkan/Edit Ketentuan Kupon
Additional Discount,Diskon Tambahan
Additional Discount %,Diskon Tambahan %
Address Line 1,Jalur Alamat 1
Address not found,Alamat tidak ditemukan
Adjust the quantity or enable negative stock to continue.,Sesuaikan kuantitas atau aktifkan stok negatif untuk melanjutkan.
Adjustment,Penyesuaian
After returns,Setelah kembali
Against,Melawan
Against Name,Melawan Nama
Age Bracket,Braket Usia
All,Semua
All Caught Up!,Semua Tertangkap!
All invoices are synchronized,Semua faktur disinkronkan
All pending invoices are up to date,Semua faktur yang tertunda adalah yang terbaru
All Profiles,Semua Profil
All Synchronized,Semua Tersinkronisasi
All visible invoices are fully settled.,Semua faktur yang terlihat telah diselesaikan sepenuhnya.
All Warehouses,Semua Gudang
Allowed UOM is {0},UOM yang diizinkan adalah {0}
Always fetch items from server (ignore local cache),Selalu ambil item dari server (abaikan cache lokal)
Amount,Jumlah
Amount already received,Jumlah sudah diterima
Amount exceeds profile cash movement max amount.,Jumlahnya melebihi jumlah maksimal pergerakan kas profil.
Amount must be greater than zero.,Jumlahnya harus lebih besar dari nol.
Amount received from customer,Jumlah yang diterima dari pelanggan
Appearance and user-level preferences for the current session.,Penampilan dan preferensi tingkat pengguna untuk sesi saat ini.
Applied,Diterapkan
Apply,Terapkan
Apply Gift Card,Terapkan Kartu Hadiah
Apply Offer,Terapkan Penawaran
Apply On,Terapkan Aktif
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Terapkan hanya jumlah yang ingin Anda tukarkan pada invoice ini. Sisa saldo tetap di kartu.
Apply Redemption,Terapkan Penebusan
Applying,Melamar
Apps,Aplikasi
Are you sure you want to close? All entered data will be lost.,Apakah Anda yakin ingin menutupnya? Semua data yang dimasukkan akan hilang.
Attributes (Size/Color),Atribut (Ukuran/Warna)
Auto Allocate Payment Amount,Alokasikan Jumlah Pembayaran Secara Otomatis
Auto Reconcile,Rekonsiliasi Otomatis
Auto reconciliation completed after payment submit.,Rekonsiliasi otomatis selesai setelah pembayaran dikirimkan.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Rekonsiliasi otomatis selesai. Dialokasikan: {0}{1}. Sisa terutang: {0}{2}.
Available Actions,Tindakan yang Tersedia
Available QTY,QTY yang tersedia
Available:,Tersedia:
Average Basket,Keranjang Rata-Rata
Average Bill,Tagihan Rata-Rata
Average Ticket,Tiket Rata-Rata
Avg Bill,Rata-rata Tagihan
Avg Invoice,Rata-rata Faktur
Avg Invoice Profit,Rata-rata Keuntungan Faktur
Avg Invoice Value,Nilai Faktur Rata-rata
Avg Purchase Frequency,Frekuensi Pembelian Rata-rata
Awesome,Luar biasa
Awesome Dashboard,Dasbor yang Luar Biasa
Awesome Dashboard is disabled for the selected POS Profile.,Dasbor Luar Biasa dinonaktifkan untuk Profil POS yang dipilih.
Awesome Dashboard is unavailable for the selected scope.,Dasbor Luar Biasa tidak tersedia untuk cakupan yang dipilih.
Awesome Dashboard is visible only to POS supervisors.,Dashboard Luar Biasa hanya dapat dilihat oleh supervisor POS.
Back,Kembali
Back Office Cash Account,Rekening Kas Back Office
Back Office Cash Account (Optional Override),Rekening Kas Back Office (Pengabaian Opsional)
Back office cash account is required.,Rekening tunai back office diperlukan.
Back to {0},Kembali ke {0}
Background processing did not finish in time.,Pemrosesan latar belakang tidak selesai tepat waktu.
Background processing failed for Invoice {0}: {1},Pemrosesan latar belakang gagal untuk Faktur {0}: {1}
Background Submission Failed,Pengiriman Latar Belakang Gagal
Background sync interval (seconds),Interval sinkronisasi latar belakang (detik)
Balance,Keseimbangan
Balance will be updated when connection is restored,Saldo akan diperbarui ketika koneksi pulih
Balances still pending,Saldo masih tertunda
Barcode,kode batang
Barcode / QR Ready,Barcode / QR Siap
Barcode Label Printing,Pencetakan Label Kode Batang
Base Paid:,Pembayaran Dasar:
Base Recv:,Pendapatan Dasar:
Base:,Basis:
Basic Information,Informasi Dasar
Batch,kumpulan
Batch Information,Informasi Batch
Before any return workflow,Sebelum alur kerja pengembalian apa pun
Before returns,Sebelum kembali
Best Day,Hari Terbaik
Best Seller,Penjual Terbaik
Book expense or deposit from active shift.,Biaya buku atau setoran dari shift aktif.
Branch / Location-wise Report,Laporan Cabang / Lokasi
Brand-wise,Dari segi merek
Breakdown,Kerusakan
Browse,Jelajahi
Build Time:,Waktu Pembuatan:
Built with Frappe,Dibangun dengan Frappe
Bundle,bundel
Buying Price,Harga Beli
Cache cleared successfully,Cache berhasil dibersihkan
Cache Usage,Penggunaan Cache
cache used,cache digunakan
Calculating...,Menghitung...
Camera Access Required,Akses Kamera Diperlukan
Camera access was aborted. Please try again.,Akses kamera dibatalkan. Silakan coba lagi.
Camera constraints not supported by your device. Trying fallback settings...,Batasan kamera tidak didukung oleh perangkat Anda. Mencoba pengaturan cadangan...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kamera sedang sibuk atau diblokir oleh aplikasi/tab lain. Tutup aplikasi kamera lainnya dan coba lagi.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Izin kamera ditolak. Harap izinkan akses kamera di pengaturan browser Anda dan segarkan halaman.
Camera scanner is locked until the current error is acknowledged,Pemindai kamera dikunci hingga kesalahan saat ini diketahui
Camera started but the video stream did not load in time. Please try again.,Kamera dimulai tetapi streaming video tidak dimuat tepat waktu. Silakan coba lagi.
Cancel cash movement {0}?,Batalkan pergerakan uang tunai {0}?
Cancel Payment,Batalkan Pembayaran
Cancel Sale,Batalkan Penjualan
Cancel Sale ?,Batalkan Penjualan?
Cancelled,Dibatalkan
Cannot add an item with zero or negative quantity.,Tidak dapat menambahkan item dengan kuantitas nol atau negatif.
Cannot clear cache while offline,Tidak dapat menghapus cache saat offline
Cannot redeem customer credit more than invoice total,Tidak dapat menukarkan kredit pelanggan lebih dari total faktur
Cannot redeem gift cards more than invoice total,Tidak dapat menukarkan kartu hadiah lebih dari total faktur
Cannot Save Offline Invoice:,Tidak Dapat Menyimpan Faktur Offline:
Cannot Save Offline Payment:,Tidak Dapat Menyimpan Pembayaran Offline:
Card,Kartu
Card / Online,Kartu / Daring
Card health after the last live lookup,Kesehatan kartu setelah pencarian langsung terakhir
Cards,Kartu-kartu
Cart,Gerobak
Cash,Uang tunai
Cash back to customers,Uang kembali ke pelanggan
Cash Collections,Pengumpulan Uang Tunai
Cash Deposit is disabled for this POS Profile.,Setoran Tunai dinonaktifkan untuk Profil POS ini.
Cash Drawer Snapshot,Cuplikan Laci Kas
Cash In Hand,Uang Tunai di Tangan
Cash Movement,Gerakan Tunai
Cash movement cancelled,Pergerakan uang tunai dibatalkan
Cash movement deduction applied,Pengurangan pergerakan tunai diterapkan
Cash movement deleted,Pergerakan uang tunai dihapus
Cash movement is disabled for this POS Profile.,Pergerakan uang tunai dinonaktifkan untuk Profil POS ini.
Cash Movement is disabled in current POS Profile.,Pergerakan Tunai dinonaktifkan di Profil POS saat ini.
Cash movement saved offline,Pergerakan uang tunai disimpan secara offline
Cash movement submitted,Pergerakan uang tunai diserahkan
Cash Movements,Pergerakan Uang Tunai
Cash payment cannot be less than invoice total when partial payment is not allowed,Pembayaran tunai tidak boleh kurang dari total faktur jika pembayaran sebagian tidak diperbolehkan
Cash returned after payment,Uang tunai dikembalikan setelah pembayaran
Cashier,Kasir
Cashier Access,Akses Kasir
Cashier identity and appearance preferences.,Identitas kasir dan preferensi penampilan.
Cashier PIN,PIN Kasir
Cashier PIN saved successfully.,PIN kasir berhasil disimpan.
Cashiers,Kasir
Cashier-wise,Dari segi kasir
Categories,Kategori
Category,Kategori
Category / Brand / Variant Report,Laporan Kategori / Merek / Varian
Category-wise,Berdasarkan kategori
Category-wise Margin,Margin berdasarkan kategori
Certificate,Sertifikat
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Sertifikat hilang atau tidak dipercaya. QZ mungkin menampilkan dialog konfirmasi.
Certificate is trusted. Silent QZ printing is active.,Sertifikat dipercaya. Pencetakan QZ senyap aktif.
Change,Perubahan
Change allocation repaired,Perubahan alokasi diperbaiki
Change Price,Ubah Harga
Change Return,Ubah Kembali
Change Returned,Perubahan Dikembalikan
Change terminal cashier,Ganti kasir terminal
Charge Heads,Kepala Pengisian
Charges,Biaya
Charges not found,Tagihan tidak ditemukan
Check Balance,Periksa Saldo
Check balance for any card. Supervisors can issue and top up cards here.,Periksa saldo untuk kartu apa pun. Supervisor dapat menerbitkan dan mengisi ulang kartu di sini.
Check balance only,Periksa saldo saja
Check for new commits,Periksa komitmen baru
Check for Updates,Periksa Pembaruan
Check live balance before applying redemption,Periksa saldo langsung sebelum menerapkan penukaran
Check live balance before redemption,Periksa saldo langsung sebelum penukaran
Checking...,Memeriksa...
Cheque/Reference Date,Tanggal Cek/Referensi
Cheque/Reference No,Nomor Cek/Referensi
Choose the cashier currently operating this terminal.,Pilih kasir yang saat ini mengoperasikan terminal ini.
City,Kota
Clear,Jelas
Clear All,Hapus Semua
Clear all barcode items,Hapus semua item kode batang
Clear all purchase order items,Hapus semua item pesanan pembelian
Clear Search,Hapus Pencarian
Clearing local cache...,Menghapus cache lokal...
Click to refresh,Klik untuk menyegarkan
Client CPU Lag:,Keterlambatan CPU Klien:
Client Memory Usage:,Penggunaan Memori Klien:
Client Metrics,Metrik Klien
Close about dialog,Tutup tentang dialog
Close cashier switcher,Tutup pengalih kasir
Close closing shift dialog,Tutup dialog shift penutup
Close column selector,Tutup pemilih kolom
Close Dialog,Tutup Dialog
Close drafts dialog,Tutup dialog draf
Close invoice details dialog,Tutup dialog detail faktur
Close invoice management,Tutup manajemen faktur
Close offline invoices dialog,Tutup dialog faktur offline
Close packing list dialog,Tutup dialog daftar pengepakan
Close returns dialog,Tutup dialog pengembalian
Close sales orders dialog,Tutup dialog pesanan penjualan
Close Scanner,Tutup Pemindai
Close scanner dialog,Tutup dialog pemindai
Close Settings,Tutup Pengaturan
Closing Amount,Jumlah Penutupan
Closing POS Shift,Menutup Pergeseran POS
Closing Snapshot Available,Cuplikan Penutupan Tersedia
Code,Kode
Code scanned successfully,Kode berhasil dipindai
COGS,roda penggerak
Collapse item details,Ciutkan detail item
Collected,Dikumpulkan
Cols,Kol
Columns,Kolom
commits,berkomitmen
Completed and active sales in this range,Penjualan selesai dan aktif dalam kisaran ini
Completed returns will appear here.,Pengembalian yang telah selesai akan muncul di sini.
Confirm,Konfirmasikan
Confirm Close,Konfirmasi Tutup
Confirm Mobile Number,Konfirmasi Nomor Ponsel
Confirm PIN,Konfirmasi PIN
Connect,Hubungkan
Connect printer and manage certificate,Hubungkan printer dan kelola sertifikat
Connecting to QZ Tray...,Menyambungkan ke Baki QZ...
Connection problem while submitting invoice,Masalah koneksi saat mengirimkan faktur
Connections:,Koneksi:
Connectivity and cached prerequisite status were rechecked.,Konektivitas dan status prasyarat yang disimpan dalam cache telah diperiksa ulang.
Continue Editing,Lanjutkan Mengedit
Could not fetch latest balance from server,Tidak dapat mengambil saldo terbaru dari server
Count,Hitung
Country,Negara
Coupon,Kupon
Coupons,Kupon
Cover,Penutup
CPU Cores:,Inti CPU:
Create,Buat
Create and load a new prepaid card,Buat dan muat kartu prabayar baru
Create and preload a new gift card,Buat dan muat terlebih dahulu kartu hadiah baru
Create Bill,Buat RUU
Create Customer,Buat Pelanggan
Create New Item,Buat Barang Baru
Create or change your PIN,Buat atau ubah PIN Anda
Create PIN,Buat PIN
Create POS Opening Shift,Buat Pergeseran Pembukaan POS
Create Purchase Order,Buat Pesanan Pembelian
Create Return,Buat Pengembalian
Create return from invoice,Buat pengembalian dari faktur
Create Supplier,Buat Pemasok
Credit and Output,Kredit dan Output
Credit Note,Catatan Kredit
Credit Outstanding,Kredit Luar Biasa
Credit sales remaining to be collected,Sisa penjualan kredit yang harus ditagih
Critical,Kritis
Currency,Mata uang
Current,Saat ini
Current Event Loop Lag:,Keterlambatan Perulangan Peristiwa Saat Ini:
Current Month,Bulan Saat Ini
Current PIN,PIN saat ini
Current Profile,Profil Saat Ini
Current redeemable value on the gift card,Nilai saat ini yang dapat ditukarkan pada kartu hadiah
Current User,Pengguna Saat Ini
Custom,Adat
Custom Due Days,Hari Batas Waktu Khusus
Custom items per page,Item khusus per halaman
Customer,Pelanggan
Customer already selected,Pelanggan sudah memilih
Customer Balance,Saldo Pelanggan
Customer balance unavailable offline,Saldo pelanggan tidak tersedia secara offline
Customer created successfully.,Pelanggan berhasil dibuat.
Customer creation failed.,Pembuatan pelanggan gagal.
Customer Details,Detail Pelanggan
Customer display channel is missing,Saluran tampilan pelanggan tidak ada
Customer display was blocked. Please allow pop-ups for this site.,Tampilan pelanggan diblokir. Izinkan pop-up untuk situs ini.
Customer group is required,Grup pelanggan wajib diisi
Customer is required to add payment,Pelanggan wajib menambahkan pembayaran
Customer Name is required,Nama Pelanggan wajib diisi
Customer not selected,Pelanggan tidak dipilih
Customer Report,Laporan Pelanggan
Customer saved offline,Pelanggan disimpan secara offline
Customer Screen,Layar Pelanggan
Customer territory is required,Wilayah pelanggan wajib diisi
Customer updated successfully.,Pelanggan berhasil diperbarui.
Customer-facing tools and printer setup.,Alat yang berhubungan dengan pelanggan dan pengaturan printer.
Customers,Pelanggan
Customers not found,Pelanggan tidak ditemukan
Daily cashier actions without scrolling.,Tindakan kasir harian tanpa menggulir.
Daily Sales,Penjualan Harian
Daily Sales Summary,Ringkasan Penjualan Harian
Data loaded in form. Review and submit.,Data dimuat dalam formulir. Tinjau dan kirimkan.
Database Health,Kesehatan Basis Data
Database health affects overall system speed and reliability.,Kesehatan basis data memengaruhi kecepatan dan keandalan sistem secara keseluruhan.
Database Info,Info Basis Data
Date,Tanggal
Day ?,Hari?
days,hari
Day-wise (MTD),Berdasarkan hari (MTD)
Day-wise Movement,Gerakan Bijaksana Sehari-hari
Dead Stock,Stok Mati
Dead Stock Items,Barang Stok Mati
Decrease quantity,Kurangi kuantitas
Default,Bawaan
Default:,Bawaan:
Delete,Hapus
Delete cancelled cash movement {0}?,Hapus pergerakan uang tunai yang dibatalkan {0}?
Delete Draft,Hapus Draf
Delete draft invoice,Hapus draf faktur
Delete draft invoice {0}?,Hapus draf faktur {0}?
Delete Invoice,Hapus Faktur
Delete offline invoice,Hapus faktur offline
Delivered,Terkirim
Delivery Charges,Biaya Pengiriman
Delivery Information,Informasi Pengiriman
Delivery Note {0} created,Catatan Pengiriman {0} dibuat
Delivery note created,Catatan pengiriman dibuat
Deployed Bundle:,Paket yang Dikerahkan:
Deposit,Setoran
Description,Deskripsi
Detailed Supplier Breakdown,Rincian Pemasok Terperinci
Detecting formats:,Mendeteksi format:
Device Memory:,Memori Perangkat:
Difference,Perbedaan
Difference (In Company Currency),Selisih (Dalam Mata Uang Perusahaan)
Disable offline mode first to recheck live connectivity.,Nonaktifkan mode offline terlebih dahulu untuk memeriksa ulang konektivitas langsung.
Disconnect,Putuskan sambungan
discount,diskon
Discount %,Diskon%
Discount / Void / Return Report,Laporan Diskon / Batal / Pengembalian
Discount Amount,Jumlah Diskon
Discount limited by POS Profile,Diskon dibatasi oleh Profil POS
Discounted Invoices,Faktur Diskon
Discounts,Diskon
Dismiss,Singkirkan
Download Certificate,Unduh Sertifikat
Draft,Draf
Draft invoice deleted,Draf faktur dihapus
Draft source,Sumber draf
Drafts,Draf
Due {0},Jatuh tempo tanggal {0}
Due Date,Tanggal Jatuh Tempo
Duplicate,Duplikat
Edit customer,Sunting pelanggan
Edit discount amount,Edit jumlah diskon
Edit discount percentage,Edit persentase diskon
Edit Gift Application,Edit Aplikasi Hadiah
Edit item name,Edit nama item
Edit quantity,Edit kuantitas
Edit rate,Tingkat pengeditan
Edit unit of measure,Edit satuan ukuran
Edited,Diedit
Employee,Karyawan
Enable background sync,Aktifkan sinkronisasi latar belakang
Enable Customer Display in POS Profile first.,Aktifkan Tampilan Pelanggan di Profil POS terlebih dahulu.
Enter a PIN.,Masukkan PIN.
Enter a valid grams value,Masukkan nilai gram yang valid
Enter new price list rate,Masukkan tarif daftar harga baru
Enter Quantity,Masukkan Kuantitas
Enter the cashier PIN to continue.,Masukkan PIN kasir untuk melanjutkan.
Enter the current PIN first.,Masukkan PIN saat ini terlebih dahulu.
"Enter the current PIN, then choose a new one.","Masukkan PIN saat ini, lalu pilih yang baru."
Enter valid grams for scale barcode,Masukkan gram yang valid untuk kode batang timbangan
Entries,Entri
Error accessing camera:,Kesalahan mengakses kamera:
Error calculating prices,Kesalahan menghitung harga
Error fetching customer balance,Terjadi kesalahan saat mengambil saldo pelanggan
Error in change calculations!,Kesalahan dalam perhitungan perubahan!
Error Loading Data,Terjadi Kesalahan Saat Memuat Data
Error loading invoice details,Terjadi kesalahan saat memuat detail faktur
Error processing invoice,Kesalahan saat memproses faktur
Error processing payment,Kesalahan saat memproses pembayaran
Error searching invoices,Terjadi kesalahan saat mencari faktur
Error submitting invoice:,Kesalahan saat mengirimkan faktur:
Error submitting invoice: {0},Kesalahan saat mengirimkan faktur: {0}
Error submitting invoice: No response from server,Kesalahan saat mengirimkan faktur: Tidak ada respons dari server
Error updating currency,Terjadi kesalahan saat memperbarui mata uang
Error updating item details,Terjadi kesalahan saat memperbarui detail item
Est. Purchase,Perkiraan. Beli
Est. Value,Perkiraan. Nilai
Event-loop lag measures how busy your browser is. Lower is better.,Jeda loop peristiwa mengukur seberapa sibuk browser Anda. Lebih rendah lebih baik.
Every,Setiap
Exchange Rate,Nilai Tukar
Expand item details,Perluas detail item
Expected Amount (In Company Currency),Jumlah yang Diharapkan (Dalam Mata Uang Perusahaan)
Expected Cash,Uang Tunai yang Diharapkan
Expected cash on hand grouped by currency,Perkiraan uang tunai yang ada dikelompokkan berdasarkan mata uang
Expected vs Actual,Diharapkan vs Aktual
Expense,Biaya
Expense Account (Optional Override),Akun Pengeluaran (Pengabaian Opsional)
Expense account is required.,Akun pengeluaran diperlukan.
Expenses and deposits posted during this shift,Biaya dan simpanan yang diposting selama shift ini
Expired,Kedaluwarsa
Failed to auto reconcile payments.,Gagal merekonsiliasi pembayaran secara otomatis.
Failed to cancel cash movement,Gagal membatalkan pergerakan uang tunai
Failed to clear cache,Gagal menghapus cache
Failed to create item,Gagal membuat item
Failed to create supplier,Gagal membuat pemasok
Failed to delete cash movement,Gagal menghapus pergerakan uang tunai
Failed to generate scale barcode. Using item barcode only.,Gagal membuat kode batang skala. Hanya menggunakan barcode item.
Failed to load cash movement context.,Gagal memuat konteks pergerakan uang tunai.
Failed to load dashboard data.,Gagal memuat data dasbor.
Failed to reload invoice from server,Gagal memuat ulang faktur dari server
Failed to submit cash movement,Gagal mengirimkan pergerakan uang tunai
Failed to sync offline cash movements,Gagal menyinkronkan pergerakan uang tunai offline
Fast cashier actions for active shifts.,Tindakan kasir cepat untuk shift aktif.
Fast Moving Items,Barang Bergerak Cepat
Fees,Biaya
Fetch the latest offline prerequisite updates,Ambil pembaruan prasyarat offline terbaru
Find a sales order quickly and load it into the current sale.,Temukan pesanan penjualan dengan cepat dan masukkan ke dalam penjualan saat ini.
Fixing payment amounts for return invoice...,Memperbaiki jumlah pembayaran untuk faktur pengembalian...
Flash Off,Lampu Kilat Mati
Flash On,Nyalakan
