POS Awesome,POS Skvělé
Fetch Items Directly from Server,Načítání položek přímo ze serveru
Menu,Menu
Actions,Akce
Close Shift,Zavřete Shift
End current session,Ukončit aktuální relaci
Print Last Invoice,Tisk poslední faktury
Reprint previous transaction,Znovu vytiskněte předchozí transakci
Sync Offline Invoices,Synchronizujte offline faktury
Upload pending transactions,Nahrajte čekající transakce
Go Online,Přejít online
Go Offline,Přejít offline
Disable offline mode,Zakázat režim offline
Work without server connection,Pracujte bez připojení k serveru
Clear Cache,Vymazat mezipaměť
Remove local data and refresh,Odstraňte místní data a obnovte je
About,O
App information,Informace o aplikaci
Language,Jazyk
Change interface language,Změnit jazyk rozhraní
Light Mode,Světelný režim
Dark Mode,Tmavý režim
Switch theme appearance,Přepnout vzhled motivu
Logout,Odhlášení
Sign out of session,Odhlaste se z relace
Select Language,Vyberte Jazyk
Choose your preferred language for the POS interface,Vyberte preferovaný jazyk pro rozhraní POS
Language will be changed to,Jazyk bude změněn na
Cancel,Zrušit
Change Language,Změnit jazyk
Close,Zavřít
Cannot change language - same language selected,Nelze změnit jazyk – byl vybrán stejný jazyk
Language changed successfully! Reloading...,Jazyk úspěšně změněn! Znovu načítání...
Failed to change language,Změna jazyka se nezdařila
Unknown error,Neznámá chyba
- Total Unallocated,- Celkem nepřiděleno
* Required,* Vyžadováno
{0} (Qty: {1}),{0} (množství: {1})
{0} actions,{0} akcí
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} má na skladě pouze {1}. Požádali jste o {2}. Upravte množství nebo doplňte zásoby.
{0} offline invoice{1} pending,{0} faktura offline{1} čeká na vyřízení
{0} offline invoice{1} saved as draft,{0}offline faktura{1} uložena jako koncept
{0} offline invoice{1} synced,{0} offline faktura{1} byla synchronizována
{0}: {1} {2},{0}: {1} {2}
{0}d ago,před {0} d
{0}h ago,před {0}h
{0}m ago,před {0} m
A POS supervisor is required for this action.,Pro tuto akci je nutný supervizor POS.
Access,Přístup
Account,účet
Account is overdrawn,Účet je přečerpaný
