POS Awesome,POS Impresionante
Fetch Items Directly from Server,Obtener elementos directamente desde el servidor
Menu,Menú
Actions,Acciones
Close Shift,Cerrar turno
End current session,Finalizar la sesión actual
Print Last Invoice,Imprimir última factura
Reprint previous transaction,Reimprimir transacción anterior
Sync Offline Invoices,Sincronizar facturas sin conexión
Upload pending transactions,Subir transacciones pendientes
Go Online,Conéctese en línea
Go Offline,Desconectarse
Disable offline mode,Desactivar el modo fuera de línea
Work without server connection,Trabajar sin conexión al servidor
Clear Cache,Borrar caché
Remove local data and refresh,Eliminar datos locales y actualizar
About,Acerca de
App information,Información de la aplicación
Language,Idioma
Change interface language,Cambiar idioma de la interfaz
Light Mode,Modo de luz
Dark Mode,Modo oscuro
Switch theme appearance,Cambiar la apariencia del tema
Logout,Cerrar sesión
Sign out of session,Cerrar sesión
Select Language,Seleccionar idioma
Choose your preferred language for the POS interface,Elija su idioma preferido para la interfaz POS
Language will be changed to,El idioma se cambiará a
Cancel,Cancelar
Change Language,Cambiar idioma
Close,Cerrar
Cannot change language - same language selected,No se puede cambiar el idioma: se seleccionó el mismo idioma
Language changed successfully! Reloading...,¡El idioma cambió exitosamente! Recargando...
Failed to change language,No se pudo cambiar el idioma
Unknown error,Error desconocido
- Total Unallocated,- Total no asignado
* Required,* Requerido
{0} (Qty: {1}),{0} (Cantidad: {1})
{0} actions,{0} acciones
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} solo tiene {1} en stock. Solicitaste {2}. Ajustar cantidad o reabastecer.
{0} offline invoice{1} pending,{0} factura fuera de línea{1} pendiente
{0} offline invoice{1} saved as draft,{0} factura sin conexión{1} guardada como borrador
{0} offline invoice{1} synced,{0} factura sin conexión{1} sincronizada
{0}: {1} {2},{0}: {1} {2}
{0}d ago,Hace {0} días
{0}h ago,Hace {0}h
{0}m ago,Hace {0}m
A POS supervisor is required for this action.,Se requiere un supervisor de POS para esta acción.
Access,Acceso
Account,cuenta
Account is overdrawn,La cuenta está sobregirada
Acknowledge the error to resume scanning,Reconozca el error para reanudar el escaneo
Acknowledge the error to resume scanning.,Reconozca el error para reanudar el escaneo.
Across,al otro lado
Action,acción
Active sale,Venta activa
add,agregar
Add items from the selector to start building this sale.,Agregue artículos del selector para comenzar a construir esta venta.
Add more value to an existing gift card,Agregue más valor a una tarjeta de regalo existente
Add New Address,Agregar nueva dirección
Add new customer,Agregar nuevo cliente
Add on New Line,Agregar en nueva línea
Add Payment,Agregar pago
Add payment to invoice,Agregar pago a la factura
Add/Edit Coupon Conditions,Agregar/editar condiciones de cupón
Additional Discount,Descuento adicional
Additional Discount %,% de descuento adicional
Address Line 1,Línea de dirección 1
Address not found,Dirección no encontrada
Adjust the quantity or enable negative stock to continue.,Ajustar la cantidad o permitir que continúe el stock negativo.
Adjustment,Ajuste
After returns,Después de las devoluciones
Against,en contra
Against Name,Contra nombre
Age Bracket,Grupo de edad
All,Todos
All Caught Up!,¡Todos atrapados!
All invoices are synchronized,Todas las facturas están sincronizadas.
All pending invoices are up to date,Todas las facturas pendientes están al día.
All Profiles,Todos los perfiles
All Synchronized,Todo sincronizado
All visible invoices are fully settled.,Todas las facturas visibles están totalmente liquidadas.
All Warehouses,Todos los almacenes
Allowed UOM is {0},La UOM permitida es {0}
Always fetch items from server (ignore local cache),Obtener siempre elementos del servidor (ignorar el caché local)
Amount,Cantidad
Amount already received,Cantidad ya recibida
Amount exceeds profile cash movement max amount.,El monto excede el monto máximo de movimiento de efectivo del perfil.
Amount must be greater than zero.,El importe debe ser mayor que cero.
Amount received from customer,Cantidad recibida del cliente
Appearance and user-level preferences for the current session.,Preferencias de apariencia y nivel de usuario para la sesión actual.
Applied,Aplicado
Apply,Aplicar
Apply Gift Card,Aplicar tarjeta de regalo
Apply Offer,Aplicar oferta
Apply On,Aplicar en
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Aplica solo el monto que deseas canjear en esta factura. El saldo restante permanece en la tarjeta.
Apply Redemption,Aplicar canje
Applying,Aplicando
Apps,Aplicaciones
Are you sure you want to close? All entered data will be lost.,¿Estás seguro de que quieres cerrar? Todos los datos ingresados ​​se perderán.
Attributes (Size/Color),Atributos (Tamaño/Color)
Auto Allocate Payment Amount,Asignar automáticamente el importe del pago
Auto Reconcile,Conciliación automática
Auto reconciliation completed after payment submit.,La conciliación automática se completa después de enviar el pago.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Conciliación automática completada. Asignado: {0}{1}. Pendientes pendientes: {0}{2}.
Available Actions,Acciones disponibles
Available QTY,Cantidad disponible
Available:,Disponible:
Average Basket,Canasta promedio
Average Bill,Factura promedio
Average Ticket,Boleto promedio
Avg Bill,Factura promedio
Avg Invoice,Factura promedio
Avg Invoice Profit,Beneficio promedio de la factura
Avg Invoice Value,Valor promedio de la factura
Avg Purchase Frequency,Frecuencia de compra promedio
Awesome,impresionante
Awesome Dashboard,Panel impresionante
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard está deshabilitado para el perfil de POS seleccionado.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard no está disponible para el alcance seleccionado.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard es visible solo para los supervisores de POS.
Back,Atrás
Back Office Cash Account,Cuenta de efectivo en la oficina administrativa
Back Office Cash Account (Optional Override),Cuenta de efectivo del back office (anulación opcional)
Back office cash account is required.,Se requiere una cuenta de efectivo en el back office.
Back to {0},Volver a {0}
