POS Awesome,POS tuyệt vời
Fetch Items Directly from Server,Tìm nạp các mục trực tiếp từ máy chủ
Menu,Thực đơn
Actions,hành động
Close Shift,Đóng ca
End current session,Kết thúc phiên hiện tại
Print Last Invoice,In hóa đơn cuối cùng
Reprint previous transaction,In lại giao dịch trước đó
Sync Offline Invoices,Đồng bộ hoá đơn ngoại tuyến
Upload pending transactions,Tải lên các giao dịch đang chờ xử lý
Go Online,Lên mạng
Go Offline,Đi ngoại tuyến
Disable offline mode,Tắt chế độ ngoại tuyến
Work without server connection,Làm việc mà không cần kết nối máy chủ
Clear Cache,Xóa bộ nhớ đệm
Remove local data and refresh,Xóa dữ liệu cục bộ và làm mới
About,Giới thiệu
App information,Thông tin ứng dụng
Language,Ngôn ngữ
Change interface language,Thay đổi ngôn ngữ giao diện
Light Mode,Chế độ ánh sáng
Dark Mode,Chế độ tối
Switch theme appearance,Chuyển đổi giao diện chủ đề
Logout,Đăng xuất
Sign out of session,Đăng xuất khỏi phiên
Select Language,Chọn ngôn ngữ
Choose your preferred language for the POS interface,Chọn ngôn ngữ ưa thích của bạn cho giao diện POS
Language will be changed to,Ngôn ngữ sẽ được thay đổi thành
Cancel,Hủy bỏ
Change Language,Thay đổi ngôn ngữ
Close,Đóng
Cannot change language - same language selected,Không thể thay đổi ngôn ngữ - đã chọn cùng một ngôn ngữ
Language changed successfully! Reloading...,Ngôn ngữ đã thay đổi thành công! Đang tải lại...
Failed to change language,Không thể thay đổi ngôn ngữ
Unknown error,Lỗi không xác định
- Total Unallocated,- Tổng số chưa phân bổ
* Required,* Bắt buộc
{0} (Qty: {1}),{0} (Số lượng: {1})
{0} actions,{0} hành động
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} chỉ có {1} trong kho. Bạn đã yêu cầu {2}. Điều chỉnh số lượng hoặc bổ sung.
{0} offline invoice{1} pending,{0} hoá đơn ngoại tuyến{1} đang chờ xử lý
{0} offline invoice{1} saved as draft,{0} hoá đơn ngoại tuyến{1} được lưu dưới dạng bản nháp
{0} offline invoice{1} synced,{0} hóa đơn ngoại tuyến{1} đã được đồng bộ hóa
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0} ngày trước
{0}h ago,{0} giờ trước
{0}m ago,{0} phút trước
A POS supervisor is required for this action.,Cần có người giám sát POS cho hành động này.
Access,Truy cập
Account,Tài khoản
Account is overdrawn,Tài khoản bị rút quá mức
Acknowledge the error to resume scanning,Xác nhận lỗi để tiếp tục quét
Acknowledge the error to resume scanning.,Xác nhận lỗi để tiếp tục quét.
Across,Bên kia
Action,hành động
Active sale,Bán hàng tích cực
add,thêm
Add items from the selector to start building this sale.,Thêm các mặt hàng từ bộ chọn để bắt đầu xây dựng chương trình giảm giá này.
Add more value to an existing gift card,Thêm nhiều giá trị hơn cho thẻ quà tặng hiện có
Add New Address,Thêm địa chỉ mới
Add new customer,Thêm khách hàng mới
Add on New Line,Thêm vào dòng mới
Add Payment,Thêm thanh toán
Add payment to invoice,Thêm khoản thanh toán vào hóa đơn
Add/Edit Coupon Conditions,Thêm/Chỉnh sửa Điều kiện Phiếu giảm giá
Additional Discount,Giảm giá bổ sung
Additional Discount %,% chiết khấu bổ sung
Address Line 1,Dòng địa chỉ 1
Address not found,Không tìm thấy địa chỉ
Adjust the quantity or enable negative stock to continue.,Điều chỉnh số lượng hoặc cho phép tiếp tục tồn kho âm.
Adjustment,Điều chỉnh
After returns,Sau khi trở về
Against,chống lại
Against Name,Chống lại tên
Age Bracket,Khung tuổi
All,Tất cả
All Caught Up!,Tất cả đã bắt kịp!
All invoices are synchronized,Tất cả hóa đơn được đồng bộ hóa
All pending invoices are up to date,Tất cả các hóa đơn đang chờ xử lý đều được cập nhật
All Profiles,Tất cả hồ sơ
All Synchronized,Tất cả được đồng bộ hóa
All visible invoices are fully settled.,Tất cả các hóa đơn có thể nhìn thấy được giải quyết đầy đủ.
All Warehouses,Tất cả các kho
Allowed UOM is {0},UOM được phép là {0}
Always fetch items from server (ignore local cache),Luôn tìm nạp các mục từ máy chủ (bỏ qua bộ đệm cục bộ)
Amount,Số tiền
Amount already received,Số tiền đã nhận được
Amount exceeds profile cash movement max amount.,Số tiền vượt quá số tiền tối đa của chuyển động tiền mặt trong hồ sơ.
Amount must be greater than zero.,Số tiền phải lớn hơn 0.
Amount received from customer,Số tiền nhận được từ khách hàng
Appearance and user-level preferences for the current session.,Tùy chọn giao diện và cấp độ người dùng cho phiên hiện tại.
Applied,Đã áp dụng
Apply,Áp dụng
Apply Gift Card,Áp dụng thẻ quà tặng
Apply Offer,Áp dụng ưu đãi
Apply On,Đăng ký vào
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Chỉ áp dụng số tiền bạn muốn đổi trên hóa đơn này. Số dư còn lại vẫn nằm trong thẻ.
Apply Redemption,Áp dụng quy đổi
Applying,Áp dụng
Apps,Ứng dụng
Are you sure you want to close? All entered data will be lost.,Bạn có chắc chắn muốn đóng không? Tất cả dữ liệu đã nhập sẽ bị mất.
Attributes (Size/Color),Thuộc tính (Kích thước/Màu sắc)
Auto Allocate Payment Amount,Tự động phân bổ số tiền thanh toán
Auto Reconcile,Tự động đối chiếu
Auto reconciliation completed after payment submit.,Tự động đối chiếu hoàn tất sau khi gửi thanh toán.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Tự động điều chỉnh đã hoàn tất. Đã phân bổ: {0}{1}. Còn lại chưa thanh toán: {0}{2}.
Available Actions,Hành động có sẵn
Available QTY,QTY có sẵn
Available:,Có sẵn:
Average Basket,Giỏ trung bình
Average Bill,Hóa đơn trung bình
Average Ticket,Vé trung bình
Avg Bill,Hóa đơn trung bình
Avg Invoice,Hóa đơn trung bình
Avg Invoice Profit,Lợi nhuận hóa đơn trung bình
Avg Invoice Value,Giá trị hóa đơn trung bình
Avg Purchase Frequency,Tần suất mua trung bình
Awesome,Tuyệt vời
Awesome Dashboard,Trang tổng quan tuyệt vời
Awesome Dashboard is disabled for the selected POS Profile.,Trang tổng quan tuyệt vời đã bị tắt đối với Hồ sơ POS đã chọn.
Awesome Dashboard is unavailable for the selected scope.,Trang tổng quan tuyệt vời không có sẵn cho phạm vi đã chọn.
Awesome Dashboard is visible only to POS supervisors.,Bảng điều khiển tuyệt vời chỉ hiển thị với người giám sát POS.
Back,Quay lại
Back Office Cash Account,Tài khoản tiền mặt tại văn phòng hỗ trợ
Back Office Cash Account (Optional Override),Tài khoản tiền mặt của Back Office (Ghi đè tùy chọn)
Back office cash account is required.,Cần có tài khoản tiền mặt ở văn phòng hỗ trợ.
Back to {0},Quay lại {0}
Background processing did not finish in time.,Quá trình xử lý nền không hoàn thành kịp thời.
Background processing failed for Invoice {0}: {1},Xử lý nền không thành công cho Hóa đơn {0}: {1}
Background Submission Failed,Gửi nền không thành công
Background sync interval (seconds),Khoảng thời gian đồng bộ hóa nền (giây)
Balance,Số dư
Balance will be updated when connection is restored,Số dư sẽ được cập nhật khi kết nối được khôi phục
Balances still pending,Số dư vẫn đang chờ xử lý
Barcode,Mã vạch
Barcode / QR Ready,Mã vạch / QR đã sẵn sàng
Barcode Label Printing,In nhãn mã vạch
