POS Awesome,POS ಅದ್ಭುತವಾಗಿದೆ
Fetch Items Directly from Server,ಸರ್ವರ್‌ನಿಂದ ನೇರವಾಗಿ ಐಟಂಗಳನ್ನು ಪಡೆದುಕೊಳ್ಳಿ
Menu,ಮೆನು
Actions,ಕ್ರಿಯೆಗಳು
Close Shift,Shift ಅನ್ನು ಮುಚ್ಚಿ
End current session,ಪ್ರಸ್ತುತ ಅಧಿವೇಶನವನ್ನು ಅಂತ್ಯಗೊಳಿಸಿ
Print Last Invoice,ಕೊನೆಯ ಸರಕುಪಟ್ಟಿ ಮುದ್ರಿಸಿ
Reprint previous transaction,ಹಿಂದಿನ ವಹಿವಾಟನ್ನು ಮರುಮುದ್ರಣ ಮಾಡಿ
Sync Offline Invoices,ಆಫ್‌ಲೈನ್ ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ಸಿಂಕ್ ಮಾಡಿ
Upload pending transactions,ಬಾಕಿಯಿರುವ ವಹಿವಾಟುಗಳನ್ನು ಅಪ್‌ಲೋಡ್ ಮಾಡಿ
Go Online,ಆನ್‌ಲೈನ್‌ಗೆ ಹೋಗಿ
Go Offline,ಆಫ್‌ಲೈನ್‌ಗೆ ಹೋಗಿ
Disable offline mode,ಆಫ್‌ಲೈನ್ ಮೋಡ್ ಅನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ
Work without server connection,ಸರ್ವರ್ ಸಂಪರ್ಕವಿಲ್ಲದೆ ಕೆಲಸ ಮಾಡಿ
Clear Cache,ಸಂಗ್ರಹವನ್ನು ತೆರವುಗೊಳಿಸಿ
Remove local data and refresh,ಸ್ಥಳೀಯ ಡೇಟಾವನ್ನು ತೆಗೆದುಹಾಕಿ ಮತ್ತು ರಿಫ್ರೆಶ್ ಮಾಡಿ
About,ಬಗ್ಗೆ
App information,ಅಪ್ಲಿಕೇಶನ್ ಮಾಹಿತಿ
Language,ಭಾಷೆ
Change interface language,ಇಂಟರ್ಫೇಸ್ ಭಾಷೆಯನ್ನು ಬದಲಾಯಿಸಿ
Light Mode,ಲೈಟ್ ಮೋಡ್
Dark Mode,ಡಾರ್ಕ್ ಮೋಡ್
Switch theme appearance,ಥೀಮ್ ನೋಟವನ್ನು ಬದಲಿಸಿ
Logout,ಲಾಗ್ಔಟ್
Sign out of session,ಸೆಷನ್‌ನಿಂದ ಸೈನ್ ಔಟ್ ಮಾಡಿ
Select Language,ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ
