POS Awesome,POS Super
Fetch Items Directly from Server,Elemente direkt vom Server abrufen
Menu,Menü
Actions,Aktionen
Close Shift,Schicht schließen
End current session,Aktuelle Sitzung beenden
Print Last Invoice,Letzte Rechnung drucken
Reprint previous transaction,Vorherige Transaktion erneut drucken
Sync Offline Invoices,Offline-Rechnungen synchronisieren
Upload pending transactions,Laden Sie ausstehende Transaktionen hoch
Go Online,Gehen Sie online
Go Offline,Gehen Sie offline
Disable offline mode,Deaktivieren Sie den Offline-Modus
Work without server connection,Arbeiten Sie ohne Serververbindung
Clear Cache,Cache leeren
Remove local data and refresh,Lokale Daten entfernen und aktualisieren
About,Über
App information,App-Informationen
Language,Sprache
Change interface language,Ändern Sie die Sprache der Benutzeroberfläche
Light Mode,Lichtmodus
Dark Mode,Dunkler Modus
Switch theme appearance,Erscheinungsbild des Themes ändern
Logout,Abmelden
Sign out of session,Melden Sie sich von der Sitzung ab
Select Language,Wählen Sie Sprache aus
Choose your preferred language for the POS interface,Wählen Sie Ihre bevorzugte Sprache für die POS-Oberfläche
Language will be changed to,Die Sprache wird geändert in
Cancel,Abbrechen
Change Language,Sprache ändern
Close,Schließen
Cannot change language - same language selected,Die Sprache kann nicht geändert werden – dieselbe Sprache ausgewählt
Language changed successfully! Reloading...,Sprache erfolgreich geändert! Neu laden...
Failed to change language,Die Sprache konnte nicht geändert werden
Unknown error,Unbekannter Fehler
- Total Unallocated,- Insgesamt nicht zugewiesen
* Required,* Erforderlich
{0} (Qty: {1}),{0} (Menge: {1})
{0} actions,{0} Aktionen
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} hat nur {1} auf Lager. Sie haben {2} angefordert. Menge anpassen oder auffüllen.
{0} offline invoice{1} pending,{0}Offline-Rechnung{1} ausstehend
{0} offline invoice{1} saved as draft,{0}Offline-Rechnung{1} als Entwurf gespeichert
{0} offline invoice{1} synced,{0}Offline-Rechnung{1} synchronisiert
{0}: {1} {2},{0}: {1} {2}
{0}d ago,Vor {0}Tagen
{0}h ago,Vor {0}h
{0}m ago,Vor {0}m
A POS supervisor is required for this action.,Für diese Aktion ist ein POS-Supervisor erforderlich.
Access,Zugang
Account,Konto
Account is overdrawn,Konto ist überzogen
Acknowledge the error to resume scanning,"Bestätigen Sie den Fehler, um den Scanvorgang fortzusetzen"
Acknowledge the error to resume scanning.,"Bestätigen Sie den Fehler, um den Scanvorgang fortzusetzen."
Across,Quer
Action,Aktion
Active sale,Aktiver Verkauf
add,hinzufügen
Add items from the selector to start building this sale.,"Fügen Sie Artikel aus der Auswahl hinzu, um mit dem Aufbau dieses Verkaufs zu beginnen."
Add more value to an existing gift card,Fügen Sie einer bestehenden Geschenkkarte mehr Wert hinzu
Add New Address,Neue Adresse hinzufügen
Add new customer,Neuen Kunden hinzufügen
Add on New Line,Neue Zeile hinzufügen
Add Payment,Zahlung hinzufügen
Add payment to invoice,Zahlung zur Rechnung hinzufügen
Add/Edit Coupon Conditions,Gutscheinbedingungen hinzufügen/bearbeiten
Additional Discount,Zusätzlicher Rabatt
Additional Discount %,Zusätzlicher Rabatt %
Address Line 1,Adresszeile 1
Address not found,Adresse nicht gefunden
Adjust the quantity or enable negative stock to continue.,"Passen Sie die Menge an oder aktivieren Sie den negativen Bestand, um fortzufahren."
Adjustment,Anpassung
After returns,Nach Rückkehr
Against,Gegen
Against Name,Gegen den Namen
Age Bracket,Altersgruppe
All,Alle
All Caught Up!,Alles eingeholt!
All invoices are synchronized,Alle Rechnungen werden synchronisiert
All pending invoices are up to date,Alle ausstehenden Rechnungen sind auf dem neuesten Stand
All Profiles,Alle Profile
All Synchronized,Alles synchronisiert
All visible invoices are fully settled.,Alle sichtbaren Rechnungen sind vollständig beglichen.
All Warehouses,Alle Lager
Allowed UOM is {0},Zulässige Maßeinheit ist {0}
Always fetch items from server (ignore local cache),Elemente immer vom Server abrufen (lokalen Cache ignorieren)
Amount,Betrag
Amount already received,Betrag bereits erhalten
Amount exceeds profile cash movement max amount.,Der Betrag übersteigt den Maximalbetrag der Bargeldbewegung im Profil.
Amount must be greater than zero.,Der Betrag muss größer als Null sein.
Amount received from customer,Vom Kunden erhaltener Betrag
Appearance and user-level preferences for the current session.,Darstellung und Präferenzen auf Benutzerebene für die aktuelle Sitzung.
Applied,Angewendet
Apply,Bewerben
Apply Gift Card,Geschenkkarte anwenden
Apply Offer,Angebot anwenden
Apply On,Bewerben Sie sich am
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,"Wenden Sie auf dieser Rechnung nur den Betrag an, den Sie einlösen möchten. Der Restbetrag verbleibt auf der Karte."
Apply Redemption,Erlösung anwenden
Applying,Bewerben
Apps,Apps
Are you sure you want to close? All entered data will be lost.,Möchten Sie wirklich schließen? Alle eingegebenen Daten gehen verloren.
