POS Awesome,POS すごい
Fetch Items Directly from Server,サーバーからアイテムを直接取得する
Menu,メニュー
Actions,アクション
Close Shift,シフトを閉じる
End current session,現在のセッションを終了する
Print Last Invoice,最後の請求書を印刷する
Reprint previous transaction,以前のトランザクションを再印刷する
Sync Offline Invoices,オフライン請求書を同期する
Upload pending transactions,保留中のトランザクションをアップロードする
Go Online,オンラインにする
Go Offline,オフラインにする
Disable offline mode,オフラインモードを無効にする
Work without server connection,サーバー接続なしで動作する
Clear Cache,キャッシュのクリア
Remove local data and refresh,ローカルデータを削除して更新する
About,について
App information,アプリ情報
Language,言語
Change interface language,インターフェース言語を変更する
Light Mode,ライトモード
Dark Mode,ダークモード
Switch theme appearance,テーマの外観を切り替える
Logout,ログアウト
Sign out of session,セッションからサインアウトする
Select Language,言語の選択
Choose your preferred language for the POS interface,POS インターフェースに使用する言語を選択してください
Language will be changed to,言語が次のように変更されます
Cancel,キャンセル
Change Language,言語を変更する
Close,閉じる
Cannot change language - same language selected,言語を変更できません - 同じ言語が選択されています
Language changed successfully! Reloading...,言語が正常に変更されました。再読み込み中...
Failed to change language,言語の変更に失敗しました
Unknown error,不明なエラー
- Total Unallocated,- 未割り当ての合計
* Required,* 必須
{0} (Qty: {1}),{0} (数量: {1})
{0} actions,{0} 個のアクション
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} の在庫は {1} のみです。 {2} をリクエストしました。数量を調整したり、補充したりします。
{0} offline invoice{1} pending,{0}オフライン請求書{1}は保留中です
{0} offline invoice{1} saved as draft,{0}オフライン請求書{1}は下書きとして保存されました
{0} offline invoice{1} synced,{0}オフライン請求書{1}が同期されました
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}日前
{0}h ago,{0}時間前
{0}m ago,{0}分前
A POS supervisor is required for this action.,このアクションには POS スーパーバイザが必要です。
Access,アクセス
Account,アカウント
Account is overdrawn,口座が超過引き落とされている
Acknowledge the error to resume scanning,エラーを確認してスキャンを再開します
Acknowledge the error to resume scanning.,エラーを認識してスキャンを再開します。
Across,アクロス
Action,アクション
Active sale,積極的な販売
add,追加する
Add items from the selector to start building this sale.,このセールの構築を開始するには、セレクターからアイテムを追加します。
Add more value to an existing gift card,既存のギフトカードにさらに価値を加える
Add New Address,新しいアドレスを追加
Add new customer,新しい顧客を追加する
Add on New Line,新しい行に追加
Add Payment,支払いの追加
Add payment to invoice,請求書に支払いを追加する
Add/Edit Coupon Conditions,クーポン条件の追加/編集
Additional Discount,追加割引
Additional Discount %,追加割引率
Address Line 1,住所 1 行目
Address not found,住所が見つかりません
Adjust the quantity or enable negative stock to continue.,数量を調整するか、マイナス在庫を継続できるようにしてください。
Adjustment,調整
After returns,返品後
Against,反対
Against Name,名前に対して
Age Bracket,年齢区分
All,すべて
All Caught Up!,全部追いついた！
All invoices are synchronized,すべての請求書は同期されます
All pending invoices are up to date,保留中の請求書はすべて最新のものです
All Profiles,すべてのプロファイル
All Synchronized,すべて同期
All visible invoices are fully settled.,表示されているすべての請求書は完全に決済されています。
All Warehouses,すべての倉庫
Allowed UOM is {0},許可される単位は {0} です
Always fetch items from server (ignore local cache),常にサーバーからアイテムをフェッチします (ローカル キャッシュを無視します)
Amount,金額
Amount already received,すでに受け取った金額
Amount exceeds profile cash movement max amount.,金額がプロファイルの現金移動の最大金額を超えています。
Amount must be greater than zero.,金額はゼロより大きくなければなりません。
Amount received from customer,お客様からいただいた金額
Appearance and user-level preferences for the current session.,現在のセッションの外観とユーザーレベルの設定。
Applied,適用済み
Apply,申し込む
Apply Gift Card,ギフトカードを適用する
Apply Offer,オファーを適用する
Apply On,適用する
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,この請求書には、引き換えたい金額のみを適用してください。残りの残高はカードに残ります。
Apply Redemption,引き換えを適用する
Applying,申請中
