POS Awesome,POS Φοβερό
Fetch Items Directly from Server,Λήψη αντικειμένων απευθείας από τον διακομιστή
Menu,Μενού
Actions,Δράσεις
Close Shift,Κλείσιμο Shift
End current session,Τερματισμός τρέχουσας συνεδρίας
Print Last Invoice,Εκτύπωση τελευταίου τιμολογίου
Reprint previous transaction,Επανεκτύπωση προηγούμενης συναλλαγής
Sync Offline Invoices,Συγχρονισμός τιμολογίων εκτός σύνδεσης
Upload pending transactions,Μεταφόρτωση εκκρεμών συναλλαγών
Go Online,Μεταβείτε στο Διαδίκτυο
Go Offline,Μεταβείτε εκτός σύνδεσης
Disable offline mode,Απενεργοποιήστε τη λειτουργία εκτός σύνδεσης
Work without server connection,Εργασία χωρίς σύνδεση διακομιστή
Clear Cache,Εκκαθάριση προσωρινής μνήμης
Remove local data and refresh,Καταργήστε τοπικά δεδομένα και ανανεώστε
About,Περίπου
App information,Πληροφορίες εφαρμογής
Language,Γλώσσα
Change interface language,Αλλαγή γλώσσας διεπαφής
Light Mode,Λειτουργία φωτός
Dark Mode,Σκοτεινή λειτουργία
Switch theme appearance,Εναλλαγή εμφάνισης θέματος
Logout,Αποσύνδεση
Sign out of session,Αποσύνδεση από τη συνεδρία
Select Language,Επιλέξτε Γλώσσα
Choose your preferred language for the POS interface,Επιλέξτε τη γλώσσα που προτιμάτε για τη διεπαφή POS
Language will be changed to,Η γλώσσα θα αλλάξει σε
Cancel,Ακύρωση
Change Language,Αλλαγή γλώσσας
Close,Κλείσιμο
Cannot change language - same language selected,Δεν είναι δυνατή η αλλαγή γλώσσας - επιλέχθηκε η ίδια γλώσσα
Language changed successfully! Reloading...,Η γλώσσα άλλαξε με επιτυχία! Επαναφόρτωση...
Failed to change language,Αποτυχία αλλαγής γλώσσας
Unknown error,Άγνωστο σφάλμα
- Total Unallocated,- Σύνολο μη κατανεμημένων
* Required,* Υποχρεωτικό
{0} (Qty: {1}),{0} (Ποσότητα: {1})
{0} actions,{0} ενέργειες
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,Το {0} έχει μόνο {1} σε απόθεμα. Ζητήσατε {2}. Προσαρμόστε την ποσότητα ή ανανεώστε το απόθεμα.
