POS Awesome,POS E mrekullueshme
Fetch Items Directly from Server,Merr artikujt direkt nga serveri
Menu,Menyja
Actions,Veprimet
Close Shift,Mbyll Shift
End current session,Përfundoni seancën aktuale
Print Last Invoice,Printoni faturën e fundit
Reprint previous transaction,Riprintoni transaksionin e mëparshëm
Sync Offline Invoices,Sinkronizoni faturat jashtë linje
Upload pending transactions,Ngarko transaksionet në pritje
Go Online,Shko Online
Go Offline,Shko jashtë linje
Disable offline mode,Çaktivizo modalitetin jashtë linje
Work without server connection,Punoni pa lidhje serveri
Clear Cache,Pastro cache
Remove local data and refresh,Hiqni të dhënat lokale dhe rifreskoni
About,Rreth
App information,Informacioni i aplikacionit
Language,Gjuha
Change interface language,Ndryshoni gjuhën e ndërfaqes
Light Mode,Modaliteti i dritës
Dark Mode,Modaliteti i errët
Switch theme appearance,Ndërro pamjen e temës
Logout,Dilni
Sign out of session,Dil nga sesioni
Select Language,Zgjidhni gjuhën
Choose your preferred language for the POS interface,Zgjidhni gjuhën tuaj të preferuar për ndërfaqen POS
Language will be changed to,Gjuha do të ndryshohet në
Cancel,Anulo
Change Language,Ndrysho gjuhën
Close,Mbylle
Cannot change language - same language selected,Gjuha nuk mund të ndryshohet - e njëjta gjuhë është zgjedhur
Language changed successfully! Reloading...,Gjuha ndryshoi me sukses! Po ringarkohet...
Failed to change language,Ndryshimi i gjuhës dështoi
Unknown error,Gabim i panjohur
- Total Unallocated,- Gjithsej të pashpërndara
* Required,* E detyrueshme
{0} (Qty: {1}),{0} (Sasia: {1})
{0} actions,{0} veprime
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} ka vetëm {1} në magazinë. Ju kërkuat {2}. Rregulloni sasinë ose rezervoni.
{0} offline invoice{1} pending,{0} faturë jashtë linje{1} në pritje
{0} offline invoice{1} saved as draft,{0} faturë jashtë linje{1} u ruajt si draft
{0} offline invoice{1} synced,{0} faturë jashtë linje{1} u sinkronizua
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0} ditë më parë
{0}h ago,{0} orë më parë
{0}m ago,{0} minuta më parë
A POS supervisor is required for this action.,Për këtë veprim kërkohet një mbikëqyrës POS.
Access,Qasja
Account,Llogaria
Account is overdrawn,Llogaria është e mbitërhequr
Acknowledge the error to resume scanning,Pranoni gabimin për të rifilluar skanimin
Acknowledge the error to resume scanning.,Pranoni gabimin për të rifilluar skanimin.
Across,Përtej
Action,Veprimi
Active sale,Shitje aktive
add,shtoni
Add items from the selector to start building this sale.,Shto artikuj nga përzgjedhësi për të filluar ndërtimin e kësaj shitje.
Add more value to an existing gift card,Shtoni më shumë vlerë një karte dhuratë ekzistuese
Add New Address,Shto adresë të re
Add new customer,Shto klient të ri
Add on New Line,Shto në linjën e re
Add Payment,Shto pagesën
Add payment to invoice,Shto pagesën në faturë
Add/Edit Coupon Conditions,Shto/Ndrysho Kushtet e Kuponit
Additional Discount,Zbritje shtesë
Additional Discount %,Zbritje shtesë %
Address Line 1,Rreshti 1 i adresës
Address not found,Adresa nuk u gjet
Adjust the quantity or enable negative stock to continue.,Rregulloni sasinë ose mundësoni vazhdimin e stokut negativ.
Adjustment,Rregullimi
After returns,Pas kthimeve
Against,Kundër
Against Name,Kundër emrit
Age Bracket,Kllapa e moshës
All,Të gjitha
All Caught Up!,Të gjithë të kapur!
All invoices are synchronized,Të gjitha faturat janë të sinkronizuara
All pending invoices are up to date,Të gjitha faturat në pritje janë të përditësuara
All Profiles,Të gjitha profilet
All Synchronized,Të gjitha të sinkronizuara
All visible invoices are fully settled.,Të gjitha faturat e dukshme janë shlyer plotësisht.
All Warehouses,Të gjitha Magazinat
Allowed UOM is {0},UOM e lejuar është {0}
Always fetch items from server (ignore local cache),Merr gjithmonë artikuj nga serveri (injoro cache lokale)
Amount,Shuma
Amount already received,Shuma e marrë tashmë
Amount exceeds profile cash movement max amount.,Shuma tejkalon shumën maksimale të lëvizjes së parave të profilit.
Amount must be greater than zero.,Shuma duhet të jetë më e madhe se zero.
Amount received from customer,Shuma e marrë nga klienti
Appearance and user-level preferences for the current session.,Paraqitja dhe preferencat e nivelit të përdoruesit për sesionin aktual.
Applied,Aplikuar
Apply,Aplikoni
Apply Gift Card,Aplikoni kartën e dhuratave
Apply Offer,Aplikoni Ofertën
Apply On,Aplikoni në
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Aplikoni vetëm shumën që dëshironi të shlyeni në këtë faturë. Bilanci i mbetur mbetet në kartë.
Apply Redemption,Aplikoni Redemption
Applying,Duke aplikuar
Apps,Aplikacionet
Are you sure you want to close? All entered data will be lost.,Je i sigurt që dëshiron ta mbyllësh? Të gjitha të dhënat e futura do të humbasin.
Attributes (Size/Color),Atributet (Madhësia/Ngjyra)
Auto Allocate Payment Amount,Shpërndarja automatike e shumës së pagesës
Auto Reconcile,Pajtimi automatik
Auto reconciliation completed after payment submit.,Barazimi automatik përfundoi pas dorëzimit të pagesës.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Përfundoi rakordimi automatik. Alokuar: {0}{1}. E mbetur e pazgjidhur: {0}{2}.
Available Actions,Veprimet e disponueshme
Available QTY,Sasia e disponueshme
Available:,Në dispozicion:
Average Basket,Shporta mesatare
Average Bill,Fatura mesatare
Average Ticket,Bileta mesatare
