POS Awesome,POS fantastisk
Fetch Items Directly from Server,Hent elementer direkte fra serveren
Menu,Menu
Actions,Handlinger
Close Shift,Luk Shift
End current session,Afslut igangværende session
Print Last Invoice,Udskriv sidste faktura
Reprint previous transaction,Genudskriv tidligere transaktion
Sync Offline Invoices,Synkroniser offlinefakturaer
Upload pending transactions,Upload afventende transaktioner
Go Online,Gå online
Go Offline,Gå offline
Disable offline mode,Deaktiver offlinetilstand
Work without server connection,Arbejd uden serverforbindelse
Clear Cache,Ryd cache
Remove local data and refresh,Fjern lokale data og opdater
About,Om
App information,App oplysninger
Language,Sprog
Change interface language,Skift grænsefladesprog
Light Mode,Lys tilstand
Dark Mode,Mørk tilstand
Switch theme appearance,Skift tema udseende
Logout,Log ud
Sign out of session,Log ud af session
Select Language,Vælg sprog
Choose your preferred language for the POS interface,Vælg dit foretrukne sprog til POS-grænsefladen
Language will be changed to,Sproget vil blive ændret til
Cancel,Annuller
Change Language,Skift sprog
Close,Luk
Cannot change language - same language selected,Kan ikke ændre sprog - samme sprog valgt
Language changed successfully! Reloading...,Sproget blev ændret! Genindlæser...
Failed to change language,Kunne ikke ændre sprog
Unknown error,Ukendt fejl
- Total Unallocated,- Ikke-allokeret i alt
* Required,* Påkrævet
{0} (Qty: {1}),{0} (Antal: {1})
{0} actions,{0} handlinger
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} har kun {1} på lager. Du anmodede om {2}. Juster mængden eller genopfyld.
{0} offline invoice{1} pending,{0} offlinefaktura{1} afventer
{0} offline invoice{1} saved as draft,{0} offlinefaktura{1} blev gemt som kladde
{0} offline invoice{1} synced,{0} offline faktura{1} synkroniseret
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}d siden
{0}h ago,{0}t siden
{0}m ago,{0}m siden
A POS supervisor is required for this action.,Der kræves en POS-supervisor til denne handling.
Access,Adgang
Account,Konto
Account is overdrawn,Kontoen er overtrukket
Acknowledge the error to resume scanning,Bekræft fejlen for at genoptage scanningen
Acknowledge the error to resume scanning.,Bekræft fejlen for at genoptage scanningen.
Across,På tværs
Action,Handling
Active sale,Aktivt salg
add,tilføje
Add items from the selector to start building this sale.,Tilføj varer fra vælgeren for at begynde at opbygge dette salg.
Add more value to an existing gift card,Tilføj mere værdi til et eksisterende gavekort
Add New Address,Tilføj ny adresse
Add new customer,Tilføj ny kunde
Add on New Line,Tilføj på ny linje
Add Payment,Tilføj betaling
Add payment to invoice,Tilføj betaling til faktura
Add/Edit Coupon Conditions,Tilføj/rediger kuponbetingelser
Additional Discount,Yderligere rabat
Additional Discount %,Yderligere rabat %
Address Line 1,Adresselinje 1
Address not found,Adressen blev ikke fundet
Adjust the quantity or enable negative stock to continue.,"Juster mængden, eller aktivér negativ lager for at fortsætte."
Adjustment,Justering
After returns,Efter returnering
Against,Imod
Against Name,Mod Navn
Age Bracket,Aldersgruppe
All,Alle
All Caught Up!,Alle indhentet!
All invoices are synchronized,Alle fakturaer synkroniseres
All pending invoices are up to date,Alle udestående fakturaer er ajourførte
All Profiles,Alle profiler
All Synchronized,Alt synkroniseret
All visible invoices are fully settled.,Alle synlige fakturaer afregnes fuldt ud.
All Warehouses,Alle varehuse
Allowed UOM is {0},Tilladt UOM er {0}
Always fetch items from server (ignore local cache),Hent altid elementer fra serveren (ignorer lokal cache)
Amount,Beløb
Amount already received,Beløb allerede modtaget
Amount exceeds profile cash movement max amount.,Beløb overstiger profil kontantbevægelse maks. beløb.
Amount must be greater than zero.,Beløbet skal være større end nul.
Amount received from customer,Beløb modtaget fra kunde
Appearance and user-level preferences for the current session.,Udseende og præferencer på brugerniveau for den aktuelle session.
Applied,Anvendt
Apply,Ansøg
Apply Gift Card,Anvend gavekort
Apply Offer,Anvend tilbud
Apply On,Anvend på
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,"Anvend kun det beløb, du ønsker at indløse på denne faktura. Den resterende saldo forbliver på kortet."
Apply Redemption,Anvend indløsning
Applying,Ansøger
Apps,Apps
Are you sure you want to close? All entered data will be lost.,"Er du sikker på, at du vil lukke? Alle indtastede data vil gå tabt."
Attributes (Size/Color),Attributter (størrelse/farve)
Auto Allocate Payment Amount,Automatisk allokering af betalingsbeløb
Auto Reconcile,Automatisk afstemning
Auto reconciliation completed after payment submit.,Automatisk afstemning afsluttet efter indsendelse af betaling.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Automatisk afstemning afsluttet. Tildelt: {0}{1}. Resterende udestående: {0}{2}.
Available Actions,Tilgængelige handlinger
Available QTY,Tilgængelig mængde
Available:,Tilgængelig:
Average Basket,Gennemsnitlig kurv
Average Bill,Gennemsnitlig regning
Average Ticket,Gennemsnitlig billet
Avg Bill,Gennemsnitlig regning
Avg Invoice,Gns. faktura
Avg Invoice Profit,Gns. fakturafortjeneste
Avg Invoice Value,Gns. fakturaværdi
Avg Purchase Frequency,Gns. købsfrekvens
Awesome,Fantastisk
Awesome Dashboard,Fantastisk Dashboard
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard er deaktiveret for den valgte POS-profil.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard er ikke tilgængeligt for det valgte omfang.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard er kun synligt for POS-tilsynsførende.
Back,Tilbage
Back Office Cash Account,Back Office Kontantkonto
Back Office Cash Account (Optional Override),Back Office Kontantkonto (valgfri tilsidesættelse)
Back office cash account is required.,Back office kontantkonto er påkrævet.
Back to {0},Tilbage til {0}
Background processing did not finish in time.,Baggrundsbehandlingen blev ikke afsluttet i tide.
Background processing failed for Invoice {0}: {1},Baggrundsbehandling mislykkedes for faktura {0}: {1}
Background Submission Failed,Baggrundsindsendelse mislykkedes
Background sync interval (seconds),Baggrundssynkroniseringsinterval (sekunder)
Balance,Balance
Balance will be updated when connection is restored,"Saldoen vil blive opdateret, når forbindelsen er genoprettet"
Balances still pending,Saldi afventer stadig
Barcode,Stregkode
Barcode / QR Ready,Stregkode / QR klar
Barcode Label Printing,Udskrivning af stregkodeetiketter
Base Paid:,Basis betalt:
Base Recv:,Base Recv:
Base:,Base:
Basic Information,Grundlæggende information
Batch,Batch
Batch Information,Batchinformation
Before any return workflow,Før ethvert returneringsworkflow
Before returns,Før returnering
Best Day,Bedste dag
Best Seller,Bedst sælger
Book expense or deposit from active shift.,Bestil udgift eller depositum fra aktiv vagt.
Branch / Location-wise Report,Filial / Lokationsmæssig rapport
Brand-wise,Mærkemæssigt
Breakdown,Opdeling
Browse,Gennemse
Build Time:,Byggetid:
Built with Frappe,Bygget med Frappe
Bundle,Bundt
Buying Price,Købspris
Cache cleared successfully,Cache ryddet
Cache Usage,Cachebrug
cache used,brugt cache
Calculating...,Beregner...
Camera Access Required,Kameraadgang påkrævet
Camera access was aborted. Please try again.,Kameraadgang blev afbrudt. Prøv venligst igen.
Camera constraints not supported by your device. Trying fallback settings...,Kamerabegrænsninger understøttes ikke af din enhed. Prøver reserveindstillinger...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,"Kameraet er optaget eller blokeret af en anden app/fane. Luk andre kameraapps, og prøv igen."
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,"Kameratilladelse nægtet. Tillad venligst kameraadgang i dine browserindstillinger, og opdater siden."
Camera scanner is locked until the current error is acknowledged,"Kamerascanneren er låst, indtil den aktuelle fejl er bekræftet"
Camera started but the video stream did not load in time. Please try again.,"Kameraet startede, men videostrømmen blev ikke indlæst i tide. Prøv venligst igen."
Cancel cash movement {0}?,Vil du annullere kontantbevægelsen {0}?
Cancel Payment,Annuller betaling
Cancel Sale,Annuller udsalg
Cancel Sale ?,Annuller udsalg?
Cancelled,Annulleret
Cannot add an item with zero or negative quantity.,Kan ikke tilføje en vare med nul eller negativ mængde.
Cannot clear cache while offline,"Kan ikke rydde cachen, mens du er offline"
Cannot redeem customer credit more than invoice total,Kundekredit kan ikke indløses mere end den samlede faktura
Cannot redeem gift cards more than invoice total,Kan ikke indløse gavekort mere end den samlede faktura
Cannot Save Offline Invoice:,Kan ikke gemme offlinefaktura:
Cannot Save Offline Payment:,Kan ikke gemme offlinebetaling:
Card,Kort
Card / Online,Kort / Online
Card health after the last live lookup,Kortsundhed efter sidste liveopslag
Cards,Kort
Cart,Vogn
Cash,Kontanter
Cash back to customers,Cash back til kunderne
Cash Collections,Kontantindsamlinger
Cash Deposit is disabled for this POS Profile.,Kontantindbetaling er deaktiveret for denne POS-profil.
Cash Drawer Snapshot,Snapshot af pengeskuffe
Cash In Hand,Kontanter i hånden
Cash Movement,Kontantbevægelse
Cash movement cancelled,Kontantbevægelse annulleret
Cash movement deduction applied,Kontantbevægelsesfradrag anvendes
Cash movement deleted,Kontantbevægelse slettet
