POS Awesome,POS Geweldig
Fetch Items Directly from Server,Haal items rechtstreeks van de server op
Menu,Menukaart
Actions,Acties
Close Shift,Sluit Shift
End current session,Beëindig de huidige sessie
Print Last Invoice,Laatste factuur afdrukken
Reprint previous transaction,Vorige transactie opnieuw afdrukken
Sync Offline Invoices,Synchroniseer offline facturen
Upload pending transactions,Upload openstaande transacties
Go Online,Ga online
Go Offline,Ga offline
Disable offline mode,Schakel de offlinemodus uit
Work without server connection,Werk zonder serververbinding
Clear Cache,Cache wissen
Remove local data and refresh,Verwijder lokale gegevens en vernieuw
About,Over
App information,App-informatie
Language,Taal
Change interface language,Wijzig de interfacetaal
Light Mode,Lichte modus
Dark Mode,Donkere modus
Switch theme appearance,Verander het uiterlijk van het thema
Logout,Uitloggen
Sign out of session,Meld u af bij de sessie
Select Language,Selecteer Taal
Choose your preferred language for the POS interface,Kies uw voorkeurstaal voor de POS-interface
Language will be changed to,De taal wordt gewijzigd in
Cancel,Annuleer
Change Language,Taal wijzigen
Close,Sluiten
Cannot change language - same language selected,Kan taal niet wijzigen - dezelfde taal geselecteerd
Language changed successfully! Reloading...,Taal succesvol gewijzigd! Herladen...
Failed to change language,Kan de taal niet wijzigen
Unknown error,Onbekende fout
- Total Unallocated,- Totaal niet toegewezen
* Required,* Vereist
{0} (Qty: {1}),{0} (Aantal: {1})
{0} actions,{0} acties
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} heeft slechts {1} op voorraad. Je hebt {2} aangevraagd. Pas het aantal aan of vul het aan.
{0} offline invoice{1} pending,{0} offline factuur{1} in behandeling
{0} offline invoice{1} saved as draft,{0} offline factuur{1} opgeslagen als concept
{0} offline invoice{1} synced,{0} offline factuur{1} gesynchroniseerd
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}d geleden
{0}h ago,{0}u geleden
{0}m ago,{0}m geleden
A POS supervisor is required for this action.,Voor deze actie is een POS-supervisor vereist.
Access,Toegang
Account,Rekening
Account is overdrawn,Rekening is rood
Acknowledge the error to resume scanning,Bevestig de fout om het scannen te hervatten
Acknowledge the error to resume scanning.,Bevestig de fout om het scannen te hervatten.
Across,Aan de overkant
Action,Actie
Active sale,Actieve verkoop
add,toevoegen
Add items from the selector to start building this sale.,Voeg items uit de selector toe om deze verkoop op te bouwen.
Add more value to an existing gift card,Voeg meer waarde toe aan een bestaande cadeaubon
Add New Address,Nieuw adres toevoegen
Add new customer,Nieuwe klant toevoegen
Add on New Line,Voeg een nieuwe regel toe
Add Payment,Betaling toevoegen
Add payment to invoice,Betaling toevoegen aan factuur
Add/Edit Coupon Conditions,Couponvoorwaarden toevoegen/bewerken
Additional Discount,Extra korting
Additional Discount %,Extra korting %
Address Line 1,Adresregel 1
Address not found,Adres niet gevonden
Adjust the quantity or enable negative stock to continue.,Pas het aantal aan of schakel de negatieve voorraad in om door te gaan.
Adjustment,Aanpassing
After returns,Na terugkeer
Against,Tegen
Against Name,Tegen Naam
Age Bracket,Leeftijdsgroep
All,Allemaal
All Caught Up!,Allemaal gevangen!
All invoices are synchronized,Alle facturen worden gesynchroniseerd
All pending invoices are up to date,Alle openstaande facturen zijn up-to-date
All Profiles,Alle profielen
All Synchronized,Alles gesynchroniseerd
All visible invoices are fully settled.,Alle zichtbare facturen worden volledig verrekend.
All Warehouses,Alle magazijnen
Allowed UOM is {0},Toegestane eenheid is {0}
Always fetch items from server (ignore local cache),Haal altijd items op van de server (negeer de lokale cache)
Amount,Bedrag
Amount already received,Bedrag al ontvangen
Amount exceeds profile cash movement max amount.,Het bedrag overschrijdt het maximale bedrag voor cashbewegingen in het profiel.
Amount must be greater than zero.,Het bedrag moet groter zijn dan nul.
Amount received from customer,Bedrag ontvangen van klant
Appearance and user-level preferences for the current session.,Voorkeuren voor uiterlijk en gebruikersniveau voor de huidige sessie.
Applied,Toegepast
Apply,Toepassen
Apply Gift Card,Cadeaukaart toepassen
Apply Offer,Aanbieding toepassen
Apply On,Toepassen op
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Pas alleen het bedrag toe dat u wilt inwisselen op deze factuur. Het resterende saldo blijft op de kaart staan.
Apply Redemption,Pas verlossing toe
Applying,Toepassen
Apps,Apps
Are you sure you want to close? All entered data will be lost.,Weet u zeker dat u wilt sluiten? Alle ingevoerde gegevens gaan verloren.
Attributes (Size/Color),Kenmerken (grootte/kleur)
Auto Allocate Payment Amount,Betalingsbedrag automatisch toewijzen
Auto Reconcile,Automatisch afstemmen
Auto reconciliation completed after payment submit.,Automatische afstemming voltooid nadat de betaling is ingediend.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Automatische afstemming voltooid. Toegewezen: {0}{1}. Resterend uitstaand: {0}{2}.
Available Actions,Beschikbare acties
Available QTY,Beschikbaar AANTAL
Available:,Beschikbaar:
Average Basket,Gemiddeld mandje
Average Bill,Gemiddelde factuur
Average Ticket,Gemiddeld kaartje
Avg Bill,Gem. factuur
Avg Invoice,Gem. factuur
Avg Invoice Profit,Gem. factuurwinst
Avg Invoice Value,Gem. factuurwaarde
Avg Purchase Frequency,Gem. aankoopfrequentie
Awesome,Geweldig
Awesome Dashboard,Geweldig dashboard
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard is uitgeschakeld voor het geselecteerde POS-profiel.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard is niet beschikbaar voor het geselecteerde bereik.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard is alleen zichtbaar voor POS-supervisors.
Back,Terug
Back Office Cash Account,Backoffice-geldrekening
Back Office Cash Account (Optional Override),Backoffice-geldrekening (optionele overschrijving)
Back office cash account is required.,Backoffice-kassarekening is vereist.
Back to {0},Terug naar {0}
Background processing did not finish in time.,De achtergrondverwerking is niet op tijd voltooid.
Background processing failed for Invoice {0}: {1},Achtergrondverwerking mislukt voor factuur {0}: {1}
Background Submission Failed,Achtergrondverzending mislukt
Background sync interval (seconds),Achtergrondsynchronisatie-interval (seconden)
Balance,Balans
Balance will be updated when connection is restored,Het saldo wordt bijgewerkt zodra de verbinding is hersteld
Balances still pending,Saldi zijn nog in behandeling
Barcode,Streepjescode
Barcode / QR Ready,Streepjescode / QR gereed
Barcode Label Printing,Afdrukken van streepjescodelabels
Base Paid:,Basis betaald:
Base Recv:,Basisrecv:
Base:,Basis:
Basic Information,Basisinformatie
Batch,Partij
Batch Information,Batchinformatie
Before any return workflow,Vóór elke retourworkflow
Before returns,Vóór terugkeer
Best Day,Beste dag
Best Seller,Bestseller
Book expense or deposit from active shift.,Boek onkosten of storting van actieve dienst.
Branch / Location-wise Report,Branche-/locatiegewijs rapport
Brand-wise,Merktechnisch
Breakdown,Uitsplitsing
Browse,Blader
Build Time:,Bouwtijd:
Built with Frappe,Gebouwd met Frappe
Bundle,Bundel
Buying Price,Koopprijs
Cache cleared successfully,Cache is succesvol gewist
Cache Usage,Cachegebruik
cache used,cache gebruikt
Calculating...,Berekenen...
Camera Access Required,Cameratoegang vereist
Camera access was aborted. Please try again.,Cameratoegang is afgebroken. Probeer het opnieuw.
Camera constraints not supported by your device. Trying fallback settings...,Camerabeperkingen worden niet ondersteund door uw apparaat. Terugvalinstellingen proberen...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Camera is bezet of geblokkeerd door een andere app/tabblad. Sluit andere camera-apps en probeer het opnieuw.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Cameratoestemming geweigerd. Sta cameratoegang toe in uw browserinstellingen en vernieuw de pagina.
Camera scanner is locked until the current error is acknowledged,De camerascanner is vergrendeld totdat de huidige fout wordt bevestigd
Camera started but the video stream did not load in time. Please try again.,"Camera gestart, maar de videostream is niet op tijd geladen. Probeer het opnieuw."
Cancel cash movement {0}?,Contante verplaatsing {0} annuleren?
Cancel Payment,Betaling annuleren
Cancel Sale,Verkoop annuleren
Cancel Sale ?,Verkoop annuleren?
Cancelled,Geannuleerd
Cannot add an item with zero or negative quantity.,Kan een artikel met nul of een negatief aantal niet toevoegen.
Cannot clear cache while offline,Kan de cache niet offline wissen
Cannot redeem customer credit more than invoice total,Kan het klanttegoed niet voor meer dan het factuurtotaal inwisselen
Cannot redeem gift cards more than invoice total,Cadeaubonnen kunnen niet meer worden ingewisseld dan het factuurtotaal
Cannot Save Offline Invoice:,Kan offline factuur niet opslaan:
Cannot Save Offline Payment:,Kan offline betaling niet opslaan:
Card,Kaart
Card / Online,Kaart / Online
Card health after the last live lookup,Kaartstatus na de laatste live zoekopdracht
Cards,Kaarten
Cart,Winkelwagen
Cash,Contant geld
Cash back to customers,Geld terug voor klanten
Cash Collections,Contante incasso's
Cash Deposit is disabled for this POS Profile.,Contante storting is uitgeschakeld voor dit POS-profiel.
Cash Drawer Snapshot,Momentopname van de kassalade
