POS Awesome,POS Galing
Fetch Items Directly from Server,Kunin ang Mga Item Direkta mula sa Server
Menu,Menu
Actions,Mga aksyon
Close Shift,Isara ang Shift
End current session,Tapusin ang kasalukuyang session
Print Last Invoice,I-print ang Huling Invoice
Reprint previous transaction,Muling i-print ang nakaraang transaksyon
Sync Offline Invoices,I-sync ang Mga Offline na Invoice
Upload pending transactions,Mag-upload ng mga nakabinbing transaksyon
Go Online,Mag Online
Go Offline,Mag-offline
Disable offline mode,Huwag paganahin ang offline mode
Work without server connection,Magtrabaho nang walang koneksyon sa server
Clear Cache,I-clear ang Cache
Remove local data and refresh,Alisin ang lokal na data at i-refresh
About,Tungkol sa
App information,Impormasyon ng app
Language,Wika
Change interface language,Baguhin ang wika ng interface
Light Mode,Light Mode
Dark Mode,Dark Mode
Switch theme appearance,Lumipat sa hitsura ng tema
Logout,Mag-logout
Sign out of session,Mag-sign out sa session
Select Language,Piliin ang Wika
Choose your preferred language for the POS interface,Piliin ang iyong gustong wika para sa interface ng POS
Language will be changed to,Papalitan ang wika sa
Cancel,Kanselahin
Change Language,Baguhin ang Wika
Close,Isara
Cannot change language - same language selected,Hindi maaaring baguhin ang wika - parehong wika ang napili
Language changed successfully! Reloading...,Matagumpay na nabago ang wika! Nire-reload...
Failed to change language,Nabigong baguhin ang wika
Unknown error,Hindi kilalang error
- Total Unallocated,- Kabuuang Hindi Inilalaan
* Required,* Kinakailangan
{0} (Qty: {1}),{0} (Bilang: {1})
{0} actions,{0} mga aksyon
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,Ang {0} ay mayroon lamang {1} sa stock. Humiling ka ng {2}. Ayusin ang dami o i-restock.
{0} offline invoice{1} pending,Nakabinbin ang {0} offline na invoice{1}.
{0} offline invoice{1} saved as draft,{0} offline na invoice{1} ang na-save bilang draft
{0} offline invoice{1} synced,Naka-sync ang {0} offline na invoice{1}.
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}d ang nakalipas
{0}h ago,{0}h ang nakalipas
{0}m ago,{0}m ang nakalipas
A POS supervisor is required for this action.,Ang isang superbisor ng POS ay kinakailangan para sa pagkilos na ito.
Access,Access
Account,Account
Account is overdrawn,Na-overdrawn ang account
Acknowledge the error to resume scanning,Kilalanin ang error upang ipagpatuloy ang pag-scan
Acknowledge the error to resume scanning.,Kilalanin ang error upang ipagpatuloy ang pag-scan.
Across,Sa kabila
Action,Aksyon
Active sale,Aktibong pagbebenta
add,idagdag
Add items from the selector to start building this sale.,Magdagdag ng mga item mula sa selector upang simulan ang pagbuo ng sale na ito.
Add more value to an existing gift card,Magdagdag ng higit na halaga sa isang kasalukuyang gift card
Add New Address,Magdagdag ng Bagong Address
Add new customer,Magdagdag ng bagong customer
Add on New Line,Idagdag sa Bagong Linya
Add Payment,Magdagdag ng Pagbabayad
Add payment to invoice,Magdagdag ng bayad sa invoice
Add/Edit Coupon Conditions,Magdagdag/Mag-edit ng Mga Kundisyon ng Kupon
Additional Discount,Karagdagang Diskwento
Additional Discount %,Karagdagang Diskwento %
Address Line 1,Linya ng Address 1
Address not found,Hindi nakita ang address
Adjust the quantity or enable negative stock to continue.,Ayusin ang dami o paganahin ang negatibong stock na magpatuloy.
Adjustment,Pagsasaayos
After returns,Pagkatapos ng mga pagbabalik
Against,Laban sa
Against Name,Laban sa Pangalan
Age Bracket,Bracket ng Edad
All,Lahat
All Caught Up!,Lahat Nahuli!
All invoices are synchronized,Naka-synchronize ang lahat ng invoice
All pending invoices are up to date,Ang lahat ng mga nakabinbing invoice ay napapanahon
All Profiles,Lahat ng Profile
All Synchronized,Naka-synchronize lahat
All visible invoices are fully settled.,Ang lahat ng nakikitang mga invoice ay ganap na naayos.
All Warehouses,Lahat ng Warehouses
Allowed UOM is {0},Ang pinapayagang UOM ay {0}
Always fetch items from server (ignore local cache),Palaging kumuha ng mga item mula sa server (balewala ang lokal na cache)
Amount,Halaga
Amount already received,Natanggap na ang halaga
