POS Awesome,POS Igitangaje
Fetch Items Directly from Server,Shakisha Ibintu Biturutse kuri Seriveri
Menu,Ibikubiyemo
Actions,Ibikorwa
Close Shift,Funga Shift
End current session,Kurangiza isomo ryubu
Print Last Invoice,Shira inyemezabuguzi ya nyuma
Reprint previous transaction,Ongera usubiremo ibyakozwe mbere
Sync Offline Invoices,Guhuza inyemezabuguzi zitagaragara
Upload pending transactions,Kuramo ibicuruzwa bitegereje
Go Online,Jya kumurongo
Go Offline,Genda kumurongo
Disable offline mode,Hagarika uburyo bwa interineti
Work without server connection,Kora udafite seriveri ihuza
Clear Cache,Kuraho Cache
Remove local data and refresh,Kuraho amakuru yaho hanyuma ugarure
About,Ibyerekeye
App information,Ibisobanuro
Language,Ururimi
Change interface language,Hindura imvugo yimbere
Light Mode,Uburyo bworoshye
Dark Mode,Uburyo bwijimye
Switch theme appearance,Hindura insanganyamatsiko
Logout,Kwinjira
Sign out of session,Sohora hanze
Select Language,Hitamo Ururimi
Choose your preferred language for the POS interface,Hitamo ururimi ukunda kuri interineti ya POS
Language will be changed to,Ururimi ruzahindurwa kuri
Cancel,Kureka
Change Language,Hindura Ururimi
Close,Funga
Cannot change language - same language selected,Ntushobora guhindura ururimi - ururimi rumwe rwatoranijwe
Language changed successfully! Reloading...,Ururimi rwahindutse neza! Gusubiramo ...
Failed to change language,Kunanirwa guhindura imvugo
Unknown error,Ikosa ritazwi
- Total Unallocated,- Igabanywa ryose
* Required,* Birasabwa
{0} (Qty: {1}),{0} (Qty: {1})
{0} actions,{0} ibikorwa
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} ifite {1} gusa mububiko. Wasabye {2}. Hindura ingano cyangwa usubiremo.
{0} offline invoice{1} pending,{0} inyemezabuguzi ya interineti {1} itegereje
{0} offline invoice{1} saved as draft,{0} inyemezabuguzi ya interineti {1} yazigamye nkumushinga
{0} offline invoice{1} synced,{0} inyemezabuguzi ya interineti {1} ihujwe
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0} d ishize
{0}h ago,{0} h ishize
{0}m ago,{0} m ishize
A POS supervisor is required for this action.,Umuyobozi wa POS arasabwa iki gikorwa.
Access,Kwinjira
Account,Konti
Account is overdrawn,Konti irarenze
Acknowledge the error to resume scanning,Emera ikosa ryo gukomeza gusikana
Acknowledge the error to resume scanning.,Emera ikosa ryo gukomeza gusikana.
Across,Hirya no hino
Action,Igikorwa
Active sale,Kugurisha neza
add,ongeraho
Add items from the selector to start building this sale.,Ongeramo ibintu byatoranijwe kugirango utangire kubaka iri gurisha.
Add more value to an existing gift card,Ongeraho agaciro kurikarita ihari
Add New Address,Ongeraho Aderesi Nshya
Add new customer,Ongeraho umukiriya mushya
Add on New Line,Ongeraho kumurongo mushya
Add Payment,Ongeraho Kwishura
Add payment to invoice,Ongeraho kwishura kuri fagitire
Add/Edit Coupon Conditions,Ongeraho / Hindura Imiterere ya Coupon
Additional Discount,Kugabanuka kwinyongera
Additional Discount %,Kugabanuka kwinyongera%
Address Line 1,Umurongo wa aderesi 1
Address not found,Aderesi ntiyabonetse
Adjust the quantity or enable negative stock to continue.,Hindura ingano cyangwa ushoboze ububiko bubi gukomeza.
Adjustment,Guhindura
After returns,Nyuma yo kugaruka
Against,Kurwanya
Against Name,Kurwanya Izina
Age Bracket,Imyaka
All,Byose
All Caught Up!,Byose byafashwe!
All invoices are synchronized,Inyemezabuguzi zose zirahuzwa
All pending invoices are up to date,Inyemezabuguzi zose zitegereje zigezweho
All Profiles,Umwirondoro wose
All Synchronized,Byose Bihujwe
All visible invoices are fully settled.,Inyemezabuguzi zose zigaragara zuzuye.
All Warehouses,Ububiko bwose
Allowed UOM is {0},Byemerewe UOM ni {0}
Always fetch items from server (ignore local cache),Buri gihe uzane ibintu muri seriveri (wirengagize cache yaho)
Amount,Umubare
Amount already received,Amafaranga yamaze kwakirwa
Amount exceeds profile cash movement max amount.,Umubare urenze umwirondoro w'amafaranga menshi.
Amount must be greater than zero.,Umubare ugomba kuba urenze zeru.
Amount received from customer,Amafaranga yakiriwe n'umukiriya
Appearance and user-level preferences for the current session.,Kugaragara hamwe nu mukoresha-urwego rwicyiciro cyubu.
Applied,Bikoreshwa
Apply,Koresha
Apply Gift Card,Koresha Ikarita y'Impano
Apply Offer,Saba itangwa
Apply On,Koresha
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Koresha gusa amafaranga ushaka gucungura kuriyi fagitire. Amafaranga asigaye aguma ku ikarita.
Apply Redemption,Koresha Gucungurwa
Applying,Gusaba
Apps,Porogaramu
Are you sure you want to close? All entered data will be lost.,Uzi neza ko ushaka gufunga? Amakuru yose yinjiye azabura.
Attributes (Size/Color),Ibiranga (Ingano / Ibara)
Auto Allocate Payment Amount,Kugenera Imodoka Amafaranga yo Kwishura
Auto Reconcile,Kwiyunga mu modoka
Auto reconciliation completed after payment submit.,Ubwiyunge bwimodoka bwarangiye nyuma yo kwishyura.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Ubwiyunge bwimodoka bwarangiye. Yagabanijwe: {0} {1}. Ibisigaye bidasanzwe: {0} {2}.
Available Actions,Ibikorwa Bihari
Available QTY,Bihari QTY
Available:,Iraboneka:
Average Basket,Impuzandengo
Average Bill,Impuzandengo
Average Ticket,Impuzandengo
Avg Bill,Avg Bill
Avg Invoice,Inyemezabuguzi
Avg Invoice Profit,Avg Inyemezabuguzi
Avg Invoice Value,Agaciro k'inyemezabuguzi
Avg Purchase Frequency,Kugura inshuro
Awesome,Igitangaje
Awesome Dashboard,Ikibaho Cyiza
Awesome Dashboard is disabled for the selected POS Profile.,Dashboard itangaje irahagarikwa kumurongo watoranijwe wa POS.
Awesome Dashboard is unavailable for the selected scope.,Dashboard itangaje ntishobora kuboneka kurwego rwatoranijwe.
Awesome Dashboard is visible only to POS supervisors.,Dashboard itangaje iragaragara gusa kubayobozi ba POS.
Back,Inyuma
Back Office Cash Account,Inyuma ya konti yo mu biro
Back Office Cash Account (Optional Override),Inyuma Konti Yamafaranga Yibiro (Byanze bikunze)
Back office cash account is required.,Konti yinyuma y'ibiro irakenewe.
Back to {0},Subira kuri {0}
Background processing did not finish in time.,Gutunganya inyuma ntabwo byarangiye mugihe.
Background processing failed for Invoice {0}: {1},Gutunganya inyuma byananiranye kuri fagitire {0}: {1}
Background Submission Failed,Gutanga Amavu n'amavuko byatsinzwe
Background sync interval (seconds),Intangiriro yo guhuza intera (amasegonda)
Balance,Kuringaniza
Balance will be updated when connection is restored,Impirimbanyi izavugururwa mugihe ihuza ryagaruwe
Balances still pending,Impirimbanyi ziracyategerejwe
Barcode,Barcode
Barcode / QR Ready,Barcode / QR Yiteguye
Barcode Label Printing,Icapiro rya Barcode
Base Paid:,Umushahara fatizo:
Base Recv:,Base Recv:
Base:,Shingiro:
Basic Information,Amakuru Yibanze
Batch,Batch
Batch Information,Ibisobanuro
Before any return workflow,Mbere yo gusubira inyuma
Before returns,Mbere yo kugaruka
Best Day,Umunsi mwiza
Best Seller,Umugurisha mwiza
Book expense or deposit from active shift.,Igitabo cyamafaranga cyangwa kubitsa kuva kumurimo ukora.
Branch / Location-wise Report,Ishami / Ikibanza-cyiza Raporo
Brand-wise,Ibiranga ubwenge
Breakdown,Gusenyuka
Browse,Gushakisha
Build Time:,Kubaka Igihe:
Built with Frappe,Yubatswe na Frappe
Bundle,Bundle
Buying Price,Kugura Igiciro
Cache cleared successfully,Ubwihisho bwakuweho neza
Cache Usage,Ikoreshwa rya Cache
cache used,cache yakoreshejwe
Calculating...,Kubara ...
Camera Access Required,Kamera Yinjira
Camera access was aborted. Please try again.,Kamera yakuweho. Nyamuneka gerageza.
Camera constraints not supported by your device. Trying fallback settings...,Inzitizi za kamera zidashyigikiwe nigikoresho cyawe. Kugerageza gusubira inyuma ...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kamera irahuze cyangwa ihagaritswe nindi porogaramu / tab. Funga izindi porogaramu za kamera hanyuma ugerageze.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Uruhushya rwa Kamera rwanze. Nyamuneka wemerere kamera mumashusho yawe hanyuma ushireho page.
Camera scanner is locked until the current error is acknowledged,Kamera scaneri ifunze kugeza ikosa ryemewe
Camera started but the video stream did not load in time. Please try again.,Kamera yatangiye ariko amashusho ya videwo ntabwo yikoreye igihe. Nyamuneka gerageza.
Cancel cash movement {0}?,Kureka kugenda amafaranga {0}?
Cancel Payment,Hagarika kwishyura
Cancel Sale,Kureka kugurisha
Cancel Sale ?,Kureka kugurisha?
Cancelled,Yahagaritswe
Cannot add an item with zero or negative quantity.,Ntushobora kongeramo ikintu gifite zeru cyangwa ingano mbi.
Cannot clear cache while offline,Ntushobora gukuraho cache mugihe utari kumurongo
Cannot redeem customer credit more than invoice total,Ntushobora gucungura inguzanyo zabakiriya kurenza inyemezabuguzi zose
Cannot redeem gift cards more than invoice total,Ntushobora gucungura amakarita yimpano kurenza inyemezabuguzi zose
Cannot Save Offline Invoice:,Ntushobora Kubika Inyemezabuguzi ya Offline:
Cannot Save Offline Payment:,Ntushobora kuzigama kuri interineti:
Card,Ikarita
Card / Online,Ikarita / Kumurongo
Card health after the last live lookup,Ubuzima bwikarita nyuma yo kureba bwa nyuma
Cards,Ikarita
Cart,Igare
Cash,Amafaranga
Cash back to customers,Amafaranga asubire kubakiriya
Cash Collections,Amafaranga yakusanyijwe
Cash Deposit is disabled for this POS Profile.,Kubitsa amafaranga byahagaritswe kuriyi myirondoro ya POS.
Cash Drawer Snapshot,Cash Drawer Snapshot
Cash In Hand,Amafaranga mu ntoki
Cash Movement,Amafaranga
Cash movement cancelled,Amafaranga yatanzwe
Cash movement deduction applied,Kugabanya amafaranga yatanzwe
Cash movement deleted,Amafaranga yatanzwe
Cash movement is disabled for this POS Profile.,Amafaranga yimodoka arahagarikwa kuriyi myirondoro ya POS.
Cash Movement is disabled in current POS Profile.,Amafaranga yimuka arahagarikwa mumwirondoro wa POS.
Cash movement saved offline,Amafaranga yatanzwe yabitswe kumurongo
Cash movement submitted,Amafaranga yatanzwe
Cash Movements,Amafaranga yimuka
Cash payment cannot be less than invoice total when partial payment is not allowed,Amafaranga yishyuwe ntashobora kuba munsi ya fagitire yose mugihe kwishyura igice bitemewe
Cash returned after payment,Amafaranga yagarutse nyuma yo kwishyura
Cashier,Cashier
Cashier Access,Kubona amafaranga
Cashier identity and appearance preferences.,Indangamuntu ya Cashier nibigaragara.
Cashier PIN,Cashier PIN
Cashier PIN saved successfully.,Cashier PIN yazigamye neza.
Cashiers,Cashiers
Cashier-wise,Cashier-ubwenge
Categories,Ibyiciro
Category,Icyiciro
Category / Brand / Variant Report,Icyiciro / Ikirango / Raporo zitandukanye
Category-wise,Icyiciro-cyiza
Category-wise Margin,Icyiciro-cyiza
Certificate,Icyemezo
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Icyemezo kibuze cyangwa nticyizere. QZ irashobora kwerekana ibiganiro byemeza.
Certificate is trusted. Silent QZ printing is active.,Icyemezo cyizewe. Gucecekesha QZ icapiro rirakora.
Change,Hindura
Change allocation repaired,Guhindura amafaranga yatanzwe
Change Price,Hindura Igiciro
Change Return,Hindura Garuka
Change Returned,Impinduka Yagarutse
Change terminal cashier,Hindura amafaranga ya terefone
Charge Heads,Kwishyuza imitwe
Charges,Amafaranga
Charges not found,Amafaranga atabonetse
Check Balance,Reba Impirimbanyi
Check balance for any card. Supervisors can issue and top up cards here.,Reba neza ikarita iyo ari yo yose. Abagenzuzi barashobora gutanga no kuzuza amakarita hano.
Check balance only,Reba impirimbanyi gusa
