POS Awesome,POS Úžasné
Fetch Items Directly from Server,Získajte položky priamo zo servera
Menu,Menu
Actions,Akcie
Close Shift,Zatvorte Shift
End current session,Ukončiť aktuálnu reláciu
Print Last Invoice,Tlač poslednej faktúry
Reprint previous transaction,Znova vytlačte predchádzajúcu transakciu
Sync Offline Invoices,Synchronizujte offline faktúry
Upload pending transactions,Nahrajte čakajúce transakcie
Go Online,Choďte online
Go Offline,Prejsť do režimu offline
Disable offline mode,Zakázať režim offline
Work without server connection,Pracujte bez pripojenia k serveru
Clear Cache,Vymazať vyrovnávaciu pamäť
Remove local data and refresh,Odstráňte miestne údaje a obnovte ich
About,O
App information,Informácie o aplikácii
Language,Jazyk
Change interface language,Zmeňte jazyk rozhrania
Light Mode,Svetelný režim
Dark Mode,Tmavý režim
Switch theme appearance,Prepnúť vzhľad témy
Logout,Odhlásiť sa
Sign out of session,Odhláste sa z relácie
Select Language,Vyberte Jazyk
Choose your preferred language for the POS interface,Vyberte si preferovaný jazyk rozhrania POS
Language will be changed to,Jazyk sa zmení na
Cancel,Zrušiť
Change Language,Zmeniť jazyk
Close,Zavrieť
Cannot change language - same language selected,Nie je možné zmeniť jazyk – je vybratý rovnaký jazyk
Language changed successfully! Reloading...,Jazyk úspešne zmenený! Opätovné načítavanie...
Failed to change language,Nepodarilo sa zmeniť jazyk
Unknown error,Neznáma chyba
- Total Unallocated,- Celkom nepridelené
* Required,* Povinné
{0} (Qty: {1}),{0} (množstvo: {1})
{0} actions,{0} akcií
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} má na sklade iba {1}. Požiadali ste o {2}. Upravte množstvo alebo doplňte zásoby.
{0} offline invoice{1} pending,{0} offline faktúra{1} čaká na spracovanie
{0} offline invoice{1} saved as draft,{0} offline faktúra{1} bola uložená ako koncept
{0} offline invoice{1} synced,{0} offline faktúra{1} bola synchronizovaná
{0}: {1} {2},{0}: {1} {2}
{0}d ago,pred {0} d
{0}h ago,pred {0}h
{0}m ago,pred {0} min
