POS Awesome,POS Nuostabus
Fetch Items Directly from Server,Gaukite elementus tiesiai iš serverio
Menu,Meniu
Actions,Veiksmai
Close Shift,Uždaryti Shift
End current session,Baigti dabartinę sesiją
Print Last Invoice,Spausdinti paskutinę sąskaitą faktūrą
Reprint previous transaction,Perspausdinti ankstesnę operaciją
Sync Offline Invoices,Sinchronizuokite sąskaitas faktūras neprisijungus
Upload pending transactions,Įkelti laukiančias operacijas
Go Online,Prisijunkite
Go Offline,Atsijungti
Disable offline mode,Išjungti režimą neprisijungus
Work without server connection,Darbas be serverio ryšio
Clear Cache,Išvalyti talpyklą
Remove local data and refresh,Pašalinkite vietinius duomenis ir atnaujinkite
About,Apie
App information,Programos informacija
Language,Kalba
Change interface language,Keisti sąsajos kalbą
Light Mode,Šviesos režimas
Dark Mode,Tamsusis režimas
Switch theme appearance,Perjungti temos išvaizdą
Logout,Atsijungti
Sign out of session,Atsijunkite nuo sesijos
Select Language,Pasirinkite Kalba
Choose your preferred language for the POS interface,Pasirinkite pageidaujamą POS sąsajos kalbą
Language will be changed to,Kalba bus pakeista į
Cancel,Atšaukti
Change Language,Keisti kalbą
Close,Uždaryti
Cannot change language - same language selected,Negalima pakeisti kalbos – pasirinkta ta pati kalba
Language changed successfully! Reloading...,Kalba sėkmingai pakeista! Įkeliama iš naujo...
Failed to change language,Nepavyko pakeisti kalbos
Unknown error,Nežinoma klaida
- Total Unallocated,- Iš viso nepaskirstyta
* Required,* Privaloma
{0} (Qty: {1}),{0} (kiekis: {1})
{0} actions,{0} veiksmai
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} sandėlyje yra tik {1}. Jūs paprašėte {2}. Koreguokite kiekį arba papildykite atsargas.
{0} offline invoice{1} pending,Laukiama {0} sąskaitos faktūros neprisijungus{1}
{0} offline invoice{1} saved as draft,{0} sąskaita faktūra neprisijungus{1} išsaugota kaip juodraštis
{0} offline invoice{1} synced,Sinchronizuota {0} sąskaita faktūra neprisijungus{1}
{0}: {1} {2},{0}: {1} {2}
{0}d ago,Prieš {0} d
{0}h ago,prieš {0} val
{0}m ago,prieš {0} min
A POS supervisor is required for this action.,Šiam veiksmui reikalingas POS prižiūrėtojas.
Access,Prieiga
Account,sąskaita
Account is overdrawn,Sąskaita perpildyta
Acknowledge the error to resume scanning,"Patvirtinkite klaidą, kad atnaujintumėte nuskaitymą"
Acknowledge the error to resume scanning.,"Patvirtinkite klaidą, kad atnaujintumėte nuskaitymą."
Across,Skersai
Action,Veiksmas
Active sale,Aktyvus pardavimas
add,pridėti
Add items from the selector to start building this sale.,"Pridėkite prekių iš parinkiklio, kad pradėtumėte rengti šį išpardavimą."
Add more value to an existing gift card,Pridėkite daugiau vertės esamai dovanų kortelei
Add New Address,Pridėti naują adresą
Add new customer,Pridėti naują klientą
Add on New Line,Pridėti į naują eilutę
Add Payment,Pridėti mokėjimą
Add payment to invoice,Pridėti mokėjimą prie sąskaitos faktūros
Add/Edit Coupon Conditions,Pridėti / redaguoti kupono sąlygas
Additional Discount,Papildoma nuolaida
Additional Discount %,Papildoma nuolaida %
Address Line 1,1 adreso eilutė
Address not found,Adresas nerastas
Adjust the quantity or enable negative stock to continue.,Koreguokite kiekį arba įgalinkite neigiamas atsargas tęsti.
Adjustment,Koregavimas
After returns,Po grįžimų
Against,Prieš
Against Name,Prieš Vardą
Age Bracket,Amžiaus grupė
All,Visi
All Caught Up!,Visi sugauti!
All invoices are synchronized,Visos sąskaitos faktūros sinchronizuojamos
All pending invoices are up to date,Visos laukiančios sąskaitos faktūros yra atnaujintos
All Profiles,Visi profiliai
All Synchronized,Viskas sinchronizuota
All visible invoices are fully settled.,Visos matomos sąskaitos yra pilnai apmokėtos.
All Warehouses,Visi sandėliai
Allowed UOM is {0},Leidžiamas UOM yra {0}
Always fetch items from server (ignore local cache),Visada gauti elementus iš serverio (nepaisyti vietinės talpyklos)
Amount,Suma
Amount already received,Suma jau gauta
Amount exceeds profile cash movement max amount.,Suma viršija profilio grynųjų pinigų judėjimo maksimalią sumą.
Amount must be greater than zero.,Suma turi būti didesnė už nulį.
Amount received from customer,Iš kliento gauta suma
Appearance and user-level preferences for the current session.,Dabartinės sesijos išvaizda ir vartotojo lygio nuostatos.
Applied,Taikoma
Apply,Taikyti
Apply Gift Card,Taikyti dovanų kortelę
Apply Offer,Taikyti pasiūlymą
Apply On,Taikyti Įjungta
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,"Šioje sąskaitoje faktūroje taikykite tik tą sumą, kurią norite išpirkti. Likęs likutis lieka kortelėje."
Apply Redemption,Taikyti išpirkimą
Applying,Taikymas
Apps,Programėlės
Are you sure you want to close? All entered data will be lost.,Ar tikrai norite uždaryti? Visi įvesti duomenys bus prarasti.
Attributes (Size/Color),Atributai (dydis / spalva)
Auto Allocate Payment Amount,Automatiškai paskirstykite mokėjimo sumą
Auto Reconcile,Automatinis suderinimas
Auto reconciliation completed after payment submit.,Automatinis suderinimas baigtas po mokėjimo pateikimo.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Automatinis suderinimas baigtas. Paskirta: {0}{1}. Liko neapmokėtų: {0}{2}.
Available Actions,Galimi veiksmai
Available QTY,Galimas kiekis
Available:,Galima:
Average Basket,Vidutinis krepšelis
Average Bill,Vidutinis Bill
Average Ticket,Vidutinis bilietas
Avg Bill,Vid
Avg Invoice,Vid. sąskaita faktūra
Avg Invoice Profit,Vid. sąskaitos faktūros pelnas
Avg Invoice Value,Vidutinė sąskaitos faktūros vertė
Avg Purchase Frequency,Vidutinis pirkimo dažnumas
Awesome,Nuostabu
Awesome Dashboard,Nuostabus prietaisų skydelis
Awesome Dashboard is disabled for the selected POS Profile.,„Awesome“ prietaisų skydelis išjungtas pasirinktame POS profilyje.
Awesome Dashboard is unavailable for the selected scope.,„Awesome“ informacijos suvestinė nepasiekiama pasirinktoje srityje.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard matoma tik POS prižiūrėtojams.
Back,Atgal
Back Office Cash Account,Back Office grynųjų pinigų sąskaita
Back Office Cash Account (Optional Override),„Back Office“ grynųjų pinigų sąskaita (neprivaloma nepaisyti)
Back office cash account is required.,Reikalinga „back office“ grynųjų pinigų sąskaita.
Back to {0},Atgal į {0}
Background processing did not finish in time.,Fono apdorojimas nebuvo baigtas laiku.
Background processing failed for Invoice {0}: {1},Foninis sąskaitos faktūros {0} apdorojimas nepavyko: {1}
Background Submission Failed,Nepavyko pateikti fono
Background sync interval (seconds),Fono sinchronizavimo intervalas (sekundėmis)
Balance,Balansas
Balance will be updated when connection is restored,"Balansas bus atnaujintas, kai ryšys bus atkurtas"
Balances still pending,Likučiai vis dar laukia
Barcode,Brūkšninis kodas
Barcode / QR Ready,Brūkšninis kodas / QR paruoštas
Barcode Label Printing,Brūkšninio kodo etikečių spausdinimas
Base Paid:,Bazinė apmokėta:
Base Recv:,Bazinis gavimas:
Base:,Bazė:
