POS Awesome,POS ግሩም
Fetch Items Directly from Server,ዕቃዎችን በቀጥታ ከአገልጋይ ያውጡ
Menu,ምናሌ
Actions,ድርጊቶች
Close Shift,Shift ዝጋ
End current session,የአሁኑን ክፍለ ጊዜ ጨርስ
Print Last Invoice,የመጨረሻውን ደረሰኝ አትም
Reprint previous transaction,ያለፈውን ግብይት እንደገና ያትሙ
Sync Offline Invoices,ከመስመር ውጭ ደረሰኞች አመሳስል።
Upload pending transactions,በመጠባበቅ ላይ ያሉ ግብይቶችን ይስቀሉ።
Go Online,መስመር ላይ ይሂዱ
Go Offline,ከመስመር ውጭ ይሂዱ
Disable offline mode,ከመስመር ውጭ ሁነታን አሰናክል
Work without server connection,ያለ አገልጋይ ግንኙነት ይስሩ
Clear Cache,መሸጎጫ አጽዳ
Remove local data and refresh,የአካባቢ ውሂብን ያስወግዱ እና ያድሱ
About,ስለ
App information,የመተግበሪያ መረጃ
Language,ቋንቋ
Change interface language,የበይነገጽ ቋንቋ ቀይር
Light Mode,የብርሃን ሁነታ
Dark Mode,ጨለማ ሁነታ
Switch theme appearance,ገጽታ ቀይር
Logout,ውጣ
Sign out of session,ከክፍለ-ጊዜው ዘግተህ ውጣ
Select Language,ቋንቋ ይምረጡ
Choose your preferred language for the POS interface,ለPOS በይነገጽ የመረጡትን ቋንቋ ይምረጡ
Language will be changed to,ቋንቋ ወደሚለው ይቀየራል።
Cancel,ሰርዝ
Change Language,ቋንቋ ቀይር
Close,ዝጋ
Cannot change language - same language selected,ቋንቋ መቀየር አይቻልም - ተመሳሳይ ቋንቋ ተመርጧል
Language changed successfully! Reloading...,ቋንቋ በተሳካ ሁኔታ ተለውጧል! እንደገና በመጫን ላይ...
Failed to change language,ቋንቋ መቀየር አልተሳካም።
Unknown error,ያልታወቀ ስህተት
- Total Unallocated,- ጠቅላላ ያልተመደበ
* Required,* ያስፈልጋል
{0} (Qty: {1}),{0} (ካቲ፡ {1})
{0} actions,{0} ድርጊቶች
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} በክምችት ውስጥ ያለው {1} ብቻ ነው። እርስዎ {2}ን ጠይቀዋል። መጠኑን ያስተካክሉ ወይም እንደገና ያስቀምጡ.
{0} offline invoice{1} pending,{0} ከመስመር ውጭ ደረሰኝ{1} በመጠባበቅ ላይ
{0} offline invoice{1} saved as draft,{0} ከመስመር ውጭ ደረሰኝ{1} እንደ ረቂቅ ተቀምጧል
{0} offline invoice{1} synced,{0} ከመስመር ውጭ ደረሰኝ{1} ተመሳስሏል።
{0}: {1} {2},{0}፡ {1} {2}
{0}d ago,ከ{0}ቀ በፊት
{0}h ago,ከ{0}ሰ በፊት
{0}m ago,ከ{0}ደቂቃ በፊት
A POS supervisor is required for this action.,ለዚህ እርምጃ የPOS ተቆጣጣሪ ያስፈልጋል።
Access,መዳረሻ
Account,መለያ
Account is overdrawn,መለያ ከመጠን በላይ ተበላሽቷል።
Acknowledge the error to resume scanning,መቃኘትን ለመቀጠል ስህተቱን ይቀበሉ
Acknowledge the error to resume scanning.,መቃኘትን ለመቀጠል ስህተቱን ይቀበሉ።
Across,ማዶ
Action,ድርጊት
Active sale,ንቁ ሽያጭ
add,ጨምር
Add items from the selector to start building this sale.,ይህንን ሽያጭ መገንባት ለመጀመር ከመራጩ ላይ እቃዎችን ያክሉ።
Add more value to an existing gift card,አሁን ባለው የስጦታ ካርድ ላይ ተጨማሪ እሴት ያክሉ
Add New Address,አዲስ አድራሻ ጨምር
Add new customer,አዲስ ደንበኛ ያክሉ
Add on New Line,በአዲስ መስመር ላይ ያክሉ
Add Payment,ክፍያ ጨምር
Add payment to invoice,ክፍያ ወደ ደረሰኝ ያክሉ
Add/Edit Coupon Conditions,የኩፖን ሁኔታዎችን ያክሉ/ያርትዑ
Additional Discount,ተጨማሪ ቅናሽ
Additional Discount %,ተጨማሪ ቅናሽ %
Address Line 1,አድራሻ መስመር 1
Address not found,አድራሻ አልተገኘም።
Adjust the quantity or enable negative stock to continue.,መጠኑን ያስተካክሉ ወይም ለመቀጠል አሉታዊ አክሲዮን ያንቁ።
Adjustment,ማስተካከል
After returns,ከተመለሰ በኋላ
Against,በመቃወም
Against Name,በስም ላይ
Age Bracket,የዕድሜ ቅንፍ
All,ሁሉም
All Caught Up!,ሁሉም ተያዘ!
All invoices are synchronized,ሁሉም ደረሰኞች ተመሳስለዋል።
All pending invoices are up to date,ሁሉም በመጠባበቅ ላይ ያሉ ደረሰኞች ወቅታዊ ናቸው።
All Profiles,ሁሉም መገለጫዎች
All Synchronized,ሁሉም የተመሳሰለ
