POS Awesome,பிஓஎஸ் அருமை
Fetch Items Directly from Server,சேவையகத்திலிருந்து நேரடியாக பொருட்களைப் பெறவும்
Menu,மெனு
Actions,செயல்கள்
Close Shift,மூடு ஷிப்ட்
End current session,தற்போதைய அமர்வை முடிக்கவும்
Print Last Invoice,கடைசி விலைப்பட்டியல் அச்சிடவும்
Reprint previous transaction,முந்தைய பரிவர்த்தனையை மீண்டும் அச்சிடுக
Sync Offline Invoices,ஆஃப்லைன் இன்வாய்ஸ்களை ஒத்திசைக்கவும்
Upload pending transactions,நிலுவையில் உள்ள பரிவர்த்தனைகளைப் பதிவேற்றவும்
Go Online,ஆன்லைனில் செல்
Go Offline,ஆஃப்லைனில் செல்லவும்
Disable offline mode,ஆஃப்லைன் பயன்முறையை முடக்கு
Work without server connection,சேவையக இணைப்பு இல்லாமல் வேலை செய்யுங்கள்
Clear Cache,தற்காலிக சேமிப்பை அழிக்கவும்
Remove local data and refresh,உள்ளூர் தரவை அகற்றி புதுப்பிக்கவும்
About,பற்றி
App information,பயன்பாட்டு தகவல்
Language,மொழி
Change interface language,இடைமுக மொழியை மாற்றவும்
Light Mode,ஒளி முறை
Dark Mode,இருண்ட பயன்முறை
Switch theme appearance,தீம் தோற்றத்தை மாற்றவும்
Logout,வெளியேறு
Sign out of session,அமர்விலிருந்து வெளியேறு
Select Language,மொழியைத் தேர்ந்தெடுக்கவும்
Choose your preferred language for the POS interface,பிஓஎஸ் இடைமுகத்திற்கு நீங்கள் விரும்பும் மொழியைத் தேர்ந்தெடுக்கவும்
Language will be changed to,என மொழி மாற்றப்படும்
Cancel,ரத்து செய்
Change Language,மொழியை மாற்றவும்
Close,மூடு
Cannot change language - same language selected,மொழியை மாற்ற முடியாது - அதே மொழி தேர்ந்தெடுக்கப்பட்டது
Language changed successfully! Reloading...,மொழி மாற்றப்பட்டது! மீண்டும் ஏற்றுகிறது...
Failed to change language,மொழியை மாற்ற முடியவில்லை
Unknown error,அறியப்படாத பிழை
- Total Unallocated,- மொத்தமாக ஒதுக்கப்படவில்லை
* Required,* தேவை
{0} (Qty: {1}),{0} (அளவு: {1})
{0} actions,{0} செயல்கள்
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} கையிருப்பில் {1} மட்டுமே உள்ளது. நீங்கள் {2} ஐக் கோரியுள்ளீர்கள். அளவை சரிசெய்யவும் அல்லது மறுதொடக்கம் செய்யவும்.
{0} offline invoice{1} pending,{0} ஆஃப்லைன் இன்வாய்ஸ்{1} நிலுவையில் உள்ளது
{0} offline invoice{1} saved as draft,{0} ஆஃப்லைன் இன்வாய்ஸ்{1} வரைவாக சேமிக்கப்பட்டது
{0} offline invoice{1} synced,{0} ஆஃப்லைன் இன்வாய்ஸ்{1} ஒத்திசைக்கப்பட்டது
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}நா முன்பு
{0}h ago,{0}ம முன்பு
{0}m ago,{0}நி முன்பு
A POS supervisor is required for this action.,இந்தச் செயலுக்கு POS மேற்பார்வையாளர் தேவை.
Access,அணுகல்
Account,கணக்கு
Account is overdrawn,கணக்கு மிகைப்படுத்தப்பட்டுள்ளது
Acknowledge the error to resume scanning,ஸ்கேன் செய்வதை மீண்டும் தொடங்க பிழையை ஒப்புக்கொள்ளவும்
Acknowledge the error to resume scanning.,ஸ்கேன் செய்வதை மீண்டும் தொடங்க பிழையை ஒப்புக்கொள்ளவும்.
Across,முழுவதும்
Action,செயல்
Active sale,செயலில் விற்பனை
add,சேர்க்க
Add items from the selector to start building this sale.,"இந்த விற்பனையை உருவாக்க, தேர்வாளரிடமிருந்து பொருட்களைச் சேர்க்கவும்."
