POS Awesome,POS અદ્ભુત
Fetch Items Directly from Server,સર્વરમાંથી સીધા જ વસ્તુઓ મેળવો
Menu,મેનુ
Actions,ક્રિયાઓ
Close Shift,Shift બંધ કરો
End current session,વર્તમાન સત્ર સમાપ્ત કરો
Print Last Invoice,છેલ્લું ઇન્વૉઇસ છાપો
Reprint previous transaction,અગાઉના વ્યવહારને ફરીથી છાપો
Sync Offline Invoices,ઑફલાઇન ઇન્વૉઇસેસ સમન્વયિત કરો
Upload pending transactions,બાકી વ્યવહારો અપલોડ કરો
Go Online,ઑનલાઇન જાઓ
Go Offline,ઑફલાઇન જાઓ
Disable offline mode,ઑફલાઇન મોડને અક્ષમ કરો
Work without server connection,સર્વર કનેક્શન વિના કામ કરો
Clear Cache,કેશ સાફ કરો
Remove local data and refresh,સ્થાનિક ડેટા દૂર કરો અને તાજું કરો
About,વિશે
App information,એપ્લિકેશન માહિતી
Language,ભાષા
Change interface language,ઇન્ટરફેસ ભાષા બદલો
Light Mode,લાઇટ મોડ
Dark Mode,ડાર્ક મોડ
Switch theme appearance,થીમ દેખાવ સ્વિચ કરો
Logout,લોગઆઉટ
Sign out of session,સત્રમાંથી સાઇન આઉટ કરો
Select Language,ભાષા પસંદ કરો
Choose your preferred language for the POS interface,POS ઇન્ટરફેસ માટે તમારી પસંદગીની ભાષા પસંદ કરો
Language will be changed to,માં ભાષા બદલવામાં આવશે
Cancel,રદ કરો
Change Language,ભાષા બદલો
Close,બંધ કરો
Cannot change language - same language selected,ભાષા બદલી શકાતી નથી - સમાન ભાષા પસંદ કરી છે
Language changed successfully! Reloading...,ભાષા સફળતાપૂર્વક બદલાઈ ગઈ! ફરીથી લોડ કરી રહ્યું છે...
Failed to change language,ભાષા બદલવામાં નિષ્ફળ
Unknown error,અજાણી ભૂલ
- Total Unallocated,- કુલ બિન ફાળવેલ
* Required,* જરૂરી
{0} (Qty: {1}),{0} (માત્રા: {1})
{0} actions,{0} ક્રિયાઓ
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} પાસે માત્ર {1} સ્ટોક છે. તમે {2}ની વિનંતી કરી. જથ્થાને સમાયોજિત કરો અથવા રિસ્ટોક કરો.
{0} offline invoice{1} pending,{0} ઑફલાઇન ઇન્વૉઇસ{1} બાકી છે
{0} offline invoice{1} saved as draft,{0} ઑફલાઇન ઇન્વૉઇસ{1} ડ્રાફ્ટ તરીકે સાચવ્યું
{0} offline invoice{1} synced,{0} ઑફલાઇન ઇન્વૉઇસ{1} સમન્વયિત
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}દિવસ પહેલાં
{0}h ago,{0}કલાક પહેલાં
{0}m ago,{0}મિ. પહેલાં
A POS supervisor is required for this action.,આ ક્રિયા માટે POS સુપરવાઈઝર જરૂરી છે.
Access,એક્સેસ
