POS Awesome,Ajoyib POS
Fetch Items Directly from Server,To'g'ridan-to'g'ri serverdan elementlarni olish
Menu,Menyu
Actions,Harakatlar
Close Shift,Shiftni yopish
End current session,Joriy seansni tugatish
Print Last Invoice,Oxirgi hisob-fakturani chop eting
Reprint previous transaction,Oldingi tranzaksiyani qayta chop etish
Sync Offline Invoices,Oflayn hisob-fakturalarni sinxronlash
Upload pending transactions,Kutilayotgan tranzaksiyalarni yuklang
Go Online,Onlayn o'tish
Go Offline,Oflayn rejimga o'tish
Disable offline mode,Oflayn rejimni o'chiring
Work without server connection,Serverga ulanmasdan ishlash
Clear Cache,Keshni tozalash
Remove local data and refresh,Mahalliy ma'lumotlarni o'chiring va yangilang
About,Haqida
App information,Ilova ma'lumotlari
Language,Til
Change interface language,Interfeys tilini o'zgartiring
Light Mode,Nur rejimi
Dark Mode,Qorong'i rejim
Switch theme appearance,Mavzu ko'rinishini o'zgartirish
Logout,Chiqish
Sign out of session,Sessiyadan chiqish
Select Language,Tilni tanlang
Choose your preferred language for the POS interface,POS interfeysi uchun sizga yoqqan tilni tanlang
Language will be changed to,Til quyidagiga o'zgartiriladi
Cancel,Bekor qilish
Change Language,Tilni o'zgartirish
Close,Yopish
Cannot change language - same language selected,Tilni o'zgartirib bo'lmaydi - bir xil til tanlangan
Language changed successfully! Reloading...,Til muvaffaqiyatli o'zgartirildi! Qayta yuklanmoqda...
Failed to change language,Tilni o‘zgartirib bo‘lmadi
Unknown error,Noma'lum xato
- Total Unallocated,- Jami taqsimlanmagan
* Required,* Majburiy
{0} (Qty: {1}),{0} (Majmi: {1})
{0} actions,{0} ta amal
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} zaxirasida faqat {1} bor. Siz soʻragansiz: {2}. Miqdorni sozlang yoki zaxiralang.
{0} offline invoice{1} pending,{0} oflayn hisob-faktura{1} kutilmoqda
{0} offline invoice{1} saved as draft,{0} oflayn hisob-faktura{1} qoralama sifatida saqlangan
{0} offline invoice{1} synced,{0} oflayn hisob-faktura{1} sinxronlashtirildi
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0} kun oldin
{0}h ago,{0}soat oldin
{0}m ago,{0}daq oldin
A POS supervisor is required for this action.,Bu amal uchun POS nazoratchisi talab qilinadi.
Access,Kirish
Account,Hisob
Account is overdrawn,Hisob ortiqcha ishlangan
Acknowledge the error to resume scanning,Skanerlashni davom ettirish uchun xatoni tan oling
Acknowledge the error to resume scanning.,Skanerlashni davom ettirish uchun xatoni tan oling.
Across,Bo'ylab
Action,Harakat
Active sale,Faol savdo
add,qo'shish
