POS Awesome,POS Fantastisk
Fetch Items Directly from Server,Hent elementer direkte fra server
Menu,Meny
Actions,Handlinger
Close Shift,Lukk Shift
End current session,Avslutt gjeldende økt
Print Last Invoice,Skriv ut siste faktura
Reprint previous transaction,Skriv ut forrige transaksjon på nytt
Sync Offline Invoices,Synkroniser frakoblede fakturaer
Upload pending transactions,Last opp ventende transaksjoner
Go Online,Gå på nett
Go Offline,Gå frakoblet
Disable offline mode,Deaktiver frakoblet modus
Work without server connection,Arbeid uten servertilkobling
Clear Cache,Tøm buffer
Remove local data and refresh,Fjern lokale data og oppdater
About,Om
App information,Appinformasjon
Language,Språk
Change interface language,Endre grensesnittspråk
Light Mode,Lysmodus
Dark Mode,Mørk modus
Switch theme appearance,Bytt temautseende
Logout,Logg ut
Sign out of session,Logg av økten
Select Language,Velg Språk
Choose your preferred language for the POS interface,Velg ditt foretrukne språk for POS-grensesnittet
Language will be changed to,Språket vil bli endret til
Cancel,Avbryt
Change Language,Endre språk
Close,Lukk
Cannot change language - same language selected,Kan ikke endre språk - samme språk valgt
Language changed successfully! Reloading...,Språket ble endret! Laster inn på nytt...
Failed to change language,Kunne ikke endre språk
Unknown error,Ukjent feil
- Total Unallocated,- Totalt ikke tildelt
* Required,* Obligatorisk
{0} (Qty: {1}),{0} (Antall: {1})
{0} actions,{0} handlinger
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} har bare {1} på lager. Du ba om {2}. Juster mengde eller fyll på lager.
{0} offline invoice{1} pending,{0} frakoblet faktura{1} venter
{0} offline invoice{1} saved as draft,{0} frakoblet faktura{1} lagret som utkast
{0} offline invoice{1} synced,{0} frakoblet faktura{1} synkronisert
{0}: {1} {2},{0}: {1} {2}
{0}d ago,for {0}d siden
{0}h ago,{0}t siden
{0}m ago,{0}m siden
A POS supervisor is required for this action.,Det kreves en POS-ansvarlig for denne handlingen.
Access,Tilgang
Account,Konto
Account is overdrawn,Kontoen er overtrukket
Acknowledge the error to resume scanning,Bekreft feilen for å gjenoppta skanningen
Acknowledge the error to resume scanning.,Bekreft feilen for å gjenoppta skanningen.
Across,På tvers
Action,Handling
Active sale,Aktivt salg
add,legge til
Add items from the selector to start building this sale.,Legg til varer fra velgeren for å begynne å bygge dette salget.
Add more value to an existing gift card,Legg til mer verdi til et eksisterende gavekort
Add New Address,Legg til ny adresse
Add new customer,Legg til ny kunde
Add on New Line,Legg til på ny linje
Add Payment,Legg til betaling
Add payment to invoice,Legg til betaling på faktura
