POS Awesome,PDV génial
Fetch Items Directly from Server,Récupérer des éléments directement depuis le serveur
Menu,Menus
Actions,Actions
Close Shift,Fermer le quart de travail
End current session,Terminer la session en cours
Print Last Invoice,Imprimer la dernière facture
Reprint previous transaction,Réimprimer la transaction précédente
Sync Offline Invoices,Synchroniser les factures hors ligne
Upload pending transactions,Télécharger les transactions en attente
Go Online,Aller en ligne
Go Offline,Passer hors ligne
Disable offline mode,Désactiver le mode hors ligne
Work without server connection,Travailler sans connexion au serveur
Clear Cache,Vider le cache
Remove local data and refresh,Supprimer les données locales et actualiser
About,À propos
App information,Informations sur l'application
Language,Langue
Change interface language,Changer la langue de l'interface
Light Mode,Mode lumière
Dark Mode,Mode sombre
Switch theme appearance,Changer l'apparence du thème
Logout,Déconnexion
Sign out of session,Se déconnecter de la session
Select Language,Sélectionnez la langue
Choose your preferred language for the POS interface,Choisissez votre langue préférée pour l'interface POS
Language will be changed to,La langue sera changée en
Cancel,Annuler
Change Language,Changer de langue
Close,Fermer
Cannot change language - same language selected,Impossible de changer de langue - même langue sélectionnée
Language changed successfully! Reloading...,La langue a été modifiée avec succès ! Rechargement...
Failed to change language,Échec du changement de langue
Unknown error,Erreur inconnue
- Total Unallocated,- Total non alloué
* Required,*Obligatoire
{0} (Qty: {1}),{0} (Quantité : {1})
{0} actions,{0} actions
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} n'a que {1} en stock. Vous avez demandé {2}. Ajustez la quantité ou réapprovisionnez-vous.
{0} offline invoice{1} pending,{0}facture hors ligne{1} en attente
{0} offline invoice{1} saved as draft,{0}facture hors ligne{1} enregistrée en tant que brouillon
{0} offline invoice{1} synced,{0}facture hors ligne{1} synchronisée
{0}: {1} {2},{0} : {1} {2}
{0}d ago,il y a {0}j
{0}h ago,il y a {0}h
{0}m ago,il y a {0} mois
A POS supervisor is required for this action.,Un superviseur POS est requis pour cette action.
Access,Accès
Account,Compte
Account is overdrawn,Le compte est à découvert
Acknowledge the error to resume scanning,Reconnaître l'erreur pour reprendre la numérisation
Acknowledge the error to resume scanning.,Reconnaissez l’erreur pour reprendre la numérisation.
Across,À travers
Action,Action
Active sale,Vente active
add,ajouter
Add items from the selector to start building this sale.,Ajoutez des articles du sélecteur pour commencer à créer cette vente.
Add more value to an existing gift card,Ajoutez plus de valeur à une carte-cadeau existante
Add New Address,Ajouter une nouvelle adresse
Add new customer,Ajouter un nouveau client
Add on New Line,Ajouter une nouvelle ligne
Add Payment,Ajouter un paiement
Add payment to invoice,Ajouter le paiement à la facture
Add/Edit Coupon Conditions,Ajouter/Modifier les conditions du coupon
Additional Discount,Remise supplémentaire
Additional Discount %,% de remise supplémentaire
Address Line 1,Ligne d'adresse 1
Address not found,Adresse introuvable
Adjust the quantity or enable negative stock to continue.,Ajustez la quantité ou activez le stock négatif pour continuer.
Adjustment,Ajustement
After returns,Après les retours
Against,Contre
Against Name,Contre le nom
Age Bracket,Tranche d'âge
All,Tout
All Caught Up!,Tous rattrapés !
All invoices are synchronized,Toutes les factures sont synchronisées
All pending invoices are up to date,Toutes les factures en attente sont à jour
All Profiles,Tous les profils
All Synchronized,Tout synchronisé
All visible invoices are fully settled.,Toutes les factures visibles sont entièrement réglées.
All Warehouses,Tous les entrepôts
Allowed UOM is {0},L'UdM autorisée est {0}
Always fetch items from server (ignore local cache),Récupérez toujours les éléments du serveur (ignorez le cache local)
Amount,Montant
Amount already received,Montant déjà reçu
Amount exceeds profile cash movement max amount.,Le montant dépasse le montant maximum du mouvement de trésorerie du profil.
Amount must be greater than zero.,Le montant doit être supérieur à zéro.
Amount received from customer,Montant reçu du client
Appearance and user-level preferences for the current session.,Apparence et préférences au niveau de l'utilisateur pour la session en cours.
Applied,Appliqué
Apply,Postuler
Apply Gift Card,Appliquer une carte-cadeau
Apply Offer,Appliquer l'offre
Apply On,Postuler le
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Appliquez uniquement le montant que vous souhaitez échanger sur cette facture. Le solde restant reste sur la carte.
Apply Redemption,Appliquer le rachat
Applying,Candidature
Apps,Applications
Are you sure you want to close? All entered data will be lost.,Êtes-vous sûr de vouloir fermer ? Toutes les données saisies seront perdues.
Attributes (Size/Color),Attributs (taille/couleur)
Auto Allocate Payment Amount,Montant du paiement attribué automatiquement
Auto Reconcile,Réconciliation automatique
Auto reconciliation completed after payment submit.,Rapprochement automatique terminé après la soumission du paiement.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Rapprochement automatique terminé. Alloué : {0}{1}. Restant en suspens : {0}{2}.
Available Actions,Actions disponibles
Available QTY,QTÉ disponible
Available:,Disponible :
Average Basket,Panier moyen
Average Bill,Facture moyenne
Average Ticket,Billet moyen
Avg Bill,Facture moyenne
Avg Invoice,Facture moyenne
Avg Invoice Profit,Bénéfice moyen sur facture
Avg Invoice Value,Valeur moyenne de la facture
Avg Purchase Frequency,Fréquence d'achat moyenne
