POS Awesome,POS Mahtavaa
Fetch Items Directly from Server,Hae tuotteet suoraan palvelimelta
Menu,Valikko
Actions,Toiminnot
Close Shift,Sulje Shift
End current session,Lopeta nykyinen istunto
Print Last Invoice,Tulosta viimeinen lasku
Reprint previous transaction,Tulosta edellinen tapahtuma uudelleen
Sync Offline Invoices,Synkronoi offline-laskut
Upload pending transactions,Lataa odottavat tapahtumat
Go Online,Siirry Online-tilaan
Go Offline,Siirry offline-tilaan
Disable offline mode,Poista offline-tila käytöstä
Work without server connection,Työskentele ilman palvelinyhteyttä
Clear Cache,Tyhjennä välimuisti
Remove local data and refresh,Poista paikalliset tiedot ja päivitä
About,Tietoja
App information,Sovelluksen tiedot
Language,Kieli
Change interface language,Vaihda käyttöliittymän kieli
Light Mode,Valotila
Dark Mode,Tumma tila
Switch theme appearance,Vaihda teeman ulkoasua
Logout,Kirjaudu ulos
Sign out of session,Kirjaudu ulos istunnosta
Select Language,Valitse Kieli
Choose your preferred language for the POS interface,Valitse haluamasi kieli POS-käyttöliittymälle
Language will be changed to,Kieleksi vaihdetaan
Cancel,Peruuta
Change Language,Vaihda kieli
Close,Sulje
Cannot change language - same language selected,Kieltä ei voi vaihtaa - sama kieli valittu
Language changed successfully! Reloading...,Kielen vaihto onnistui! Ladataan uudelleen...
Failed to change language,Kielen vaihtaminen epäonnistui
Unknown error,Tuntematon virhe
- Total Unallocated,- Kohdistamaton yhteensä
* Required,* Pakollinen
{0} (Qty: {1}),{0} (määrä: {1})
{0} actions,{0} toimintoa
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} on vain {1} varastossa. Pyysit {2}. Säädä määrää tai lisää varastoja.
{0} offline invoice{1} pending,{0} offline-lasku{1} odottaa
{0} offline invoice{1} saved as draft,{0} offline-lasku{1} tallennettu luonnoksena
{0} offline invoice{1} synced,{0} offline-lasku{1} synkronoitu
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0} p sitten
{0}h ago,{0} h sitten
{0}m ago,{0} min sitten
A POS supervisor is required for this action.,Tätä toimintoa varten tarvitaan POS-valvoja.
Access,Pääsy
Account,Tili
Account is overdrawn,Tili on ylitäytetty
Acknowledge the error to resume scanning,Jatka skannausta kuittaamalla virhe
Acknowledge the error to resume scanning.,Jatka skannausta kuittaamalla virhe.
Across,Poikki
Action,Toiminta
Active sale,Aktiivinen myynti
add,lisää
Add items from the selector to start building this sale.,Lisää kohteita valitsimesta aloittaaksesi tämän myynnin.
Add more value to an existing gift card,Lisää arvoa olemassa olevaan lahjakorttiin
Add New Address,Lisää uusi osoite
Add new customer,Lisää uusi asiakas
Add on New Line,Lisää uuteen riviin
Add Payment,Lisää maksu
Add payment to invoice,Lisää maksu laskuun
Add/Edit Coupon Conditions,Lisää/muokkaa kuponkien ehtoja
