POS Awesome,POS Fantastiskt
Fetch Items Directly from Server,Hämta objekt direkt från servern
Menu,Meny
Actions,Åtgärder
Close Shift,Stäng Shift
End current session,Avsluta aktuell session
Print Last Invoice,Skriv ut senaste fakturan
Reprint previous transaction,Skriv ut tidigare transaktion
Sync Offline Invoices,Synkronisera offlinefakturor
Upload pending transactions,Ladda upp väntande transaktioner
Go Online,Gå online
Go Offline,Gå offline
Disable offline mode,Inaktivera offlineläge
Work without server connection,Arbeta utan serveranslutning
Clear Cache,Rensa cache
Remove local data and refresh,Ta bort lokal data och uppdatera
About,Om
App information,Appinformation
Language,Språk
Change interface language,Ändra gränssnittsspråk
Light Mode,Ljusläge
Dark Mode,Mörkt läge
Switch theme appearance,Byt temat utseende
Logout,Logga ut
Sign out of session,Logga ut från sessionen
Select Language,Välj Språk
Choose your preferred language for the POS interface,Välj ditt föredragna språk för POS-gränssnittet
Language will be changed to,Språket kommer att ändras till
Cancel,Avbryt
Change Language,Byt språk
Close,Stäng
Cannot change language - same language selected,Kan inte ändra språk - samma språk valt
Language changed successfully! Reloading...,Språket har ändrats! Laddar om...
Failed to change language,Det gick inte att byta språk
Unknown error,Okänt fel
- Total Unallocated,- Totalt ej allokerat
* Required,*Obligatoriskt
{0} (Qty: {1}),{0} (Antal: {1})
{0} actions,{0} åtgärder
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} har bara {1} i lager. Du begärde {2}. Justera kvantitet eller fyll på.
{0} offline invoice{1} pending,{0} offlinefaktura{1} väntar
{0} offline invoice{1} saved as draft,{0} offlinefaktura{1} har sparats som utkast
{0} offline invoice{1} synced,{0} offlinefaktura{1} synkroniserad
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}d sedan
{0}h ago,{0}h sedan
{0}m ago,{0}m sedan
A POS supervisor is required for this action.,En POS-övervakare krävs för denna åtgärd.
Access,Tillgång
Account,konto
Account is overdrawn,Kontot är övertrasserat
Acknowledge the error to resume scanning,Bekräfta felet för att återuppta skanningen
Acknowledge the error to resume scanning.,Bekräfta felet för att återuppta skanningen.
Across,Tvärs över
Action,Åtgärd
Active sale,Aktiv försäljning
add,lägga till
Add items from the selector to start building this sale.,Lägg till föremål från väljaren för att börja bygga den här rean.
Add more value to an existing gift card,Lägg till mer värde till ett befintligt presentkort
Add New Address,Lägg till ny adress
Add new customer,Lägg till ny kund
Add on New Line,Lägg till på New Line
Add Payment,Lägg till betalning
Add payment to invoice,Lägg till betalning på fakturan
Add/Edit Coupon Conditions,Lägg till/redigera kupongvillkor
Additional Discount,Ytterligare rabatt
Additional Discount %,Ytterligare rabatt %
Address Line 1,Adressrad 1
Address not found,Adressen hittades inte
