POS Awesome,PDV incrível
Fetch Items Directly from Server,Buscar itens diretamente do servidor
Menu,Cardápio
Actions,Ações
Close Shift,Fechar turno
End current session,Encerrar sessão atual
Print Last Invoice,Imprimir última fatura
Reprint previous transaction,Reimprimir transação anterior
Sync Offline Invoices,Sincronizar faturas off-line
Upload pending transactions,Carregar transações pendentes
Go Online,Fique on-line
Go Offline,Fique off-line
Disable offline mode,Desative o modo off-line
Work without server connection,Trabalhe sem conexão com o servidor
Clear Cache,Limpar Cache
Remove local data and refresh,Remova os dados locais e atualize
About,Sobre
App information,Informações do aplicativo
Language,Idioma
Change interface language,Alterar idioma da interface
Light Mode,Modo claro
Dark Mode,Modo escuro
Switch theme appearance,Mudar a aparência do tema
Logout,Sair
Sign out of session,Sair da sessão
Select Language,Selecione o idioma
Choose your preferred language for the POS interface,Escolha seu idioma preferido para a interface do PDV
Language will be changed to,O idioma será alterado para
Cancel,Cancelar
Change Language,Alterar idioma
Close,Fechar
Cannot change language - same language selected,Não é possível alterar o idioma – mesmo idioma selecionado
Language changed successfully! Reloading...,Idioma alterado com sucesso! Recarregando...
Failed to change language,Falha ao alterar o idioma
Unknown error,Erro desconhecido
- Total Unallocated,- Total não alocado
* Required,* Obrigatório
{0} (Qty: {1}),{0} (Quantidade: {1})
{0} actions,{0} ações
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} tem apenas {1} em estoque. Você solicitou {2}. Ajuste a quantidade ou reabasteça.
{0} offline invoice{1} pending,{0} fatura off-line{1} pendente
{0} offline invoice{1} saved as draft,{0}fatura off-line{1} salva como rascunho
{0} offline invoice{1} synced,{0} fatura off-line{1} sincronizada
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0} dias atrás
{0}h ago,{0}h atrás
{0}m ago,{0}m atrás
A POS supervisor is required for this action.,Um supervisor de PDV é necessário para esta ação.
Access,Acesso
Account,Conta
Account is overdrawn,A conta está a descoberto
Acknowledge the error to resume scanning,Reconheça o erro para retomar a digitalização
Acknowledge the error to resume scanning.,Reconheça o erro para retomar a digitalização.
Across,Do outro lado
Action,Ação
Active sale,Venda ativa
add,adicionar
Add items from the selector to start building this sale.,Adicione itens do seletor para começar a construir esta venda.
Add more value to an existing gift card,Agregue mais valor a um vale-presente existente
Add New Address,Adicionar novo endereço
Add new customer,Adicionar novo cliente
Add on New Line,Adicionar em nova linha
Add Payment,Adicionar pagamento
Add payment to invoice,Adicionar pagamento à fatura
Add/Edit Coupon Conditions,Adicionar/editar condições de cupom
Additional Discount,Desconto Adicional
Additional Discount %,% de desconto adicional
Address Line 1,Linha de endereço 1
Address not found,Endereço não encontrado
Adjust the quantity or enable negative stock to continue.,Ajuste a quantidade ou permita que o estoque negativo continue.
Adjustment,Ajuste
After returns,Após retornos
Against,Contra
Against Name,Contra o nome
Age Bracket,Faixa etária
All,Todos
All Caught Up!,Todos apanhados!
All invoices are synchronized,Todas as faturas são sincronizadas
All pending invoices are up to date,Todas as faturas pendentes estão em dia
All Profiles,Todos os perfis
All Synchronized,Tudo sincronizado
All visible invoices are fully settled.,Todas as faturas visíveis são totalmente liquidadas.
All Warehouses,Todos os armazéns
Allowed UOM is {0},A UOM permitida é {0}
Always fetch items from server (ignore local cache),Sempre busque itens do servidor (ignore o cache local)
Amount,Quantidade
Amount already received,Valor já recebido
Amount exceeds profile cash movement max amount.,O valor excede o valor máximo de movimentação de dinheiro do perfil.
Amount must be greater than zero.,O valor deve ser maior que zero.
Amount received from customer,Valor recebido do cliente
Appearance and user-level preferences for the current session.,Aparência e preferências de nível de usuário para a sessão atual.
Applied,Aplicado
Apply,Aplicar
Apply Gift Card,Aplicar vale-presente
Apply Offer,Aplicar oferta
Apply On,Aplicar em
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Aplique apenas o valor que deseja resgatar nesta fatura. O saldo restante permanece no cartão.
Apply Redemption,Aplicar resgate
Applying,Candidatura
Apps,Aplicativos
Are you sure you want to close? All entered data will be lost.,Tem certeza de que deseja fechar? Todos os dados inseridos serão perdidos.
Attributes (Size/Color),Atributos (tamanho/cor)
Auto Allocate Payment Amount,Alocar automaticamente o valor do pagamento
Auto Reconcile,Reconciliação automática
Auto reconciliation completed after payment submit.,Reconciliação automática concluída após o envio do pagamento.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Reconciliação automática concluída. Alocado: {0}{1}. Restantes pendentes: {0}{2}.
Available Actions,Ações disponíveis
Available QTY,Quantidade disponível
Available:,Disponível:
Average Basket,Cesta média
Average Bill,Fatura média
Average Ticket,Ticket Médio
Avg Bill,Fatura média
Avg Invoice,Fatura média
Avg Invoice Profit,Lucro médio da fatura
Avg Invoice Value,Valor médio da fatura
Avg Purchase Frequency,Frequência média de compra
Awesome,Impressionante
Awesome Dashboard,Painel incrível
Awesome Dashboard is disabled for the selected POS Profile.,O Awesome Dashboard está desabilitado para o perfil de PDV selecionado.
Awesome Dashboard is unavailable for the selected scope.,O Awesome Dashboard não está disponível para o escopo selecionado.
Awesome Dashboard is visible only to POS supervisors.,O Awesome Dashboard é visível apenas para supervisores de PDV.
Back,Voltar
Back Office Cash Account,Conta de dinheiro de back office
Back Office Cash Account (Optional Override),Conta de dinheiro de back office (substituição opcional)
Back office cash account is required.,É necessária uma conta em dinheiro de back office.
Back to {0},Voltar para {0}
Background processing did not finish in time.,O processamento em segundo plano não terminou a tempo.
Background processing failed for Invoice {0}: {1},Falha no processamento em segundo plano da fatura {0}: {1}
Background Submission Failed,Falha no envio do plano de fundo
Background sync interval (seconds),Intervalo de sincronização em segundo plano (segundos)
Balance,Equilíbrio
Balance will be updated when connection is restored,O saldo será atualizado quando a conexão for restaurada
Balances still pending,Saldos ainda pendentes
Barcode,Código de barras
Barcode / QR Ready,Código de barras / QR pronto
Barcode Label Printing,Impressão de etiquetas de código de barras
Base Paid:,Base paga:
Base Recv:,Receita básica:
Base:,Base:
Basic Information,Informações Básicas
Batch,Lote
Batch Information,Informações do lote
Before any return workflow,Antes de qualquer fluxo de trabalho de devolução
Before returns,Antes dos retornos
Best Day,Melhor dia
Best Seller,Mais vendido
Book expense or deposit from active shift.,Despesa registrada ou depósito do turno ativo.
Branch / Location-wise Report,Relatório de filial/localização
Brand-wise,Em termos de marca
Breakdown,Repartição
Browse,Navegar
Build Time:,Tempo de construção:
Built with Frappe,Construído com Frappe
Bundle,Pacote
Buying Price,Preço de compra
Cache cleared successfully,Cache limpo com sucesso
Cache Usage,Uso de cache
cache used,cache usado
Calculating...,Calculando...
Camera Access Required,Acesso à câmera necessário
Camera access was aborted. Please try again.,"O acesso à câmera foi abortado. Por favor, tente novamente."
Camera constraints not supported by your device. Trying fallback settings...,Restrições de câmera não suportadas pelo seu dispositivo. Tentando configurações alternativas...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,A câmera está ocupada ou bloqueada por outro aplicativo/guia. Feche outros aplicativos de câmera e tente novamente.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Permissão da câmera negada. Permita o acesso à câmera nas configurações do seu navegador e atualize a página.
Camera scanner is locked until the current error is acknowledged,O scanner da câmera fica bloqueado até que o erro atual seja reconhecido
Camera started but the video stream did not load in time. Please try again.,"A câmera foi iniciada, mas o fluxo de vídeo não foi carregado a tempo. Por favor, tente novamente."
Cancel cash movement {0}?,Cancelar movimentação de dinheiro {0}?
Cancel Payment,Cancelar pagamento
Cancel Sale,Cancelar venda
Cancel Sale ?,Cancelar venda?
Cancelled,Cancelado
Cannot add an item with zero or negative quantity.,Não é possível adicionar um item com quantidade zero ou negativa.
Cannot clear cache while offline,Não é possível limpar o cache enquanto estiver off-line
Cannot redeem customer credit more than invoice total,Não é possível resgatar o crédito do cliente mais do que o total da fatura
Cannot redeem gift cards more than invoice total,Não é possível resgatar vales-presente acima do total da fatura
Cannot Save Offline Invoice:,Não é possível salvar a fatura off-line:
Cannot Save Offline Payment:,Não é possível salvar o pagamento offline:
Card,Cartão
Card / Online,Cartão / On-line
Card health after the last live lookup,Integridade do cartão após a última pesquisa ao vivo
Cards,Cartões
Cart,Carrinho
Cash,Dinheiro
Cash back to customers,Dinheiro de volta aos clientes
Cash Collections,Cobranças em dinheiro
Cash Deposit is disabled for this POS Profile.,O depósito em dinheiro está desativado para este perfil de PDV.
Cash Drawer Snapshot,Instantâneo da gaveta de dinheiro
Cash In Hand,Dinheiro em mãos
Cash Movement,Movimento de dinheiro
Cash movement cancelled,Movimento de dinheiro cancelado
Cash movement deduction applied,Dedução de movimentação de dinheiro aplicada
Cash movement deleted,Movimentação de dinheiro excluída
Cash movement is disabled for this POS Profile.,A movimentação de dinheiro está desabilitada para este perfil de PDV.
Cash Movement is disabled in current POS Profile.,A movimentação de dinheiro está desabilitada no perfil POS atual.
Cash movement saved offline,Movimento de dinheiro salvo off-line
Cash movement submitted,Movimentação de dinheiro enviada
Cash Movements,Movimentos de dinheiro
