POS Awesome,POS Mirinda
Fetch Items Directly from Server,Prenu Erojn Rekte de Servilo
Menu,Menuo
Actions,Agoj
Close Shift,Fermu Shift
End current session,Finu la nunan sesion
Print Last Invoice,Presi Lastan Fakturon
Reprint previous transaction,Represu antaŭan transakcion
Sync Offline Invoices,Sinkronigi Senkonektajn Fakturojn
Upload pending transactions,Alŝutu pritraktatajn transakciojn
Go Online,Iru Interrete
Go Offline,Iru eksterrete
Disable offline mode,Malebligu senkonektan reĝimon
Work without server connection,Laboru sen servila konekto
Clear Cache,Malplenigi Kaŝmemoron
Remove local data and refresh,Forigu lokajn datumojn kaj refreŝigu
About,Pri
App information,Informoj pri aplikaĵo
Language,Lingvo
Change interface language,Ŝanĝu interfaclingvon
Light Mode,Luma Reĝimo
Dark Mode,Malhela Reĝimo
Switch theme appearance,Ŝanĝu la aspekton de la temo
Logout,Elsaluti
Sign out of session,Eliru el la kunsido
Select Language,Elektu Lingvon
Choose your preferred language for the POS interface,Elektu vian preferatan lingvon por la POS-interfaco
Language will be changed to,Lingvo estos ŝanĝita al
Cancel,Nuligi
Change Language,Ŝanĝi Lingvon
Close,Fermu
Cannot change language - same language selected,Ne povas ŝanĝi lingvon - sama lingvo elektita
Language changed successfully! Reloading...,Lingvo ŝanĝiĝis sukcese! Reŝargante...
Failed to change language,Malsukcesis ŝanĝi lingvon
Unknown error,Nekonata eraro
- Total Unallocated,- Totala Neasignita
* Required,* Bezonata
{0} (Qty: {1}),{0} (Kvanto: {1})
{0} actions,{0} agoj
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} havas nur {1} en stoko. Vi petis {2}. Alĝustigu kvanton aŭ reprovizi.
{0} offline invoice{1} pending,{0} eksterreta fakturo{1} pritraktata
{0} offline invoice{1} saved as draft,{0} eksterreta fakturo{1} konservita kiel skizo
{0} offline invoice{1} synced,{0} eksterreta fakturo{1} sinkronigita
{0}: {1} {2},{0}: {1} {2}
{0}d ago,antaŭ {0}d
{0}h ago,antaŭ {0}h
{0}m ago,antaŭ {0}m
A POS supervisor is required for this action.,Por ĉi tiu ago necesas POS-kontrolisto.
Access,Aliro
Account,Konto
Account is overdrawn,Konto estas trostreĉita
Acknowledge the error to resume scanning,Agnosku la eraron por rekomenci skanadon
Acknowledge the error to resume scanning.,Agnosku la eraron por rekomenci skanadon.
Across,Transe
Action,Ago
Active sale,Aktiva vendo
add,aldoni
Add items from the selector to start building this sale.,Aldonu erojn de la elektilo por komenci konstrui ĉi tiun vendon.
Add more value to an existing gift card,Aldonu pli da valoro al ekzistanta donackarto
Add New Address,Aldonu Novan Adreson
Add new customer,Aldonu novan klienton
Add on New Line,Aldonu sur Nova Linio
Add Payment,Aldonu Pagon
Add payment to invoice,Aldonu pagon al fakturo
Add/Edit Coupon Conditions,Aldoni/Redakti Kuponajn Kondiĉojn
Additional Discount,Plia Rabato
Additional Discount %,Plia Rabato%
Address Line 1,Adreslinio 1
Address not found,Adreso ne trovita
Adjust the quantity or enable negative stock to continue.,Alĝustigu la kvanton aŭ ebligu la negativan stokon daŭri.
Adjustment,Alĝustigo
After returns,Post revenoj
Against,Kontraŭ
Against Name,Kontraŭ Nomo
Age Bracket,Aĝa Krampo
All,Ĉiuj
All Caught Up!,Ĉiuj Kaptitaj!
All invoices are synchronized,Ĉiuj fakturoj estas sinkronigitaj
All pending invoices are up to date,Ĉiuj pritraktataj fakturoj estas ĝisdatigitaj
All Profiles,Ĉiuj Profiloj
All Synchronized,Ĉiuj Sinkronigitaj
All visible invoices are fully settled.,Ĉiuj videblaj fakturoj estas plene pagitaj.
All Warehouses,Ĉiuj Stokejoj
Allowed UOM is {0},Permesita UOM estas {0}
Always fetch items from server (ignore local cache),Ĉiam alportu erojn de servilo (ignoru lokan kaŝmemoron)
Amount,Kvanto
Amount already received,Sumo jam ricevita
Amount exceeds profile cash movement max amount.,Kvanto superas profilon kontantmovado maksimuma kvanto.
