POS Awesome,พีเอส สุดเจ๋ง
Fetch Items Directly from Server,ดึงรายการโดยตรงจากเซิร์ฟเวอร์
Menu,เมนู
Actions,การดำเนินการ
Close Shift,ปิดกะ
End current session,สิ้นสุดเซสชันปัจจุบัน
Print Last Invoice,พิมพ์ใบแจ้งหนี้ล่าสุด
Reprint previous transaction,พิมพ์ธุรกรรมก่อนหน้าอีกครั้ง
Sync Offline Invoices,ซิงค์ใบแจ้งหนี้ออฟไลน์
Upload pending transactions,อัปโหลดธุรกรรมที่รอดำเนินการ
Go Online,ออนไลน์
Go Offline,ออฟไลน์
Disable offline mode,ปิดการใช้งานโหมดออฟไลน์
Work without server connection,ทำงานโดยไม่ต้องเชื่อมต่อกับเซิร์ฟเวอร์
Clear Cache,ล้างแคช
Remove local data and refresh,ลบข้อมูลในเครื่องและรีเฟรช
About,เกี่ยวกับ
App information,ข้อมูลแอพ
Language,ภาษา
Change interface language,เปลี่ยนภาษาของอินเทอร์เฟซ
Light Mode,โหมดแสง
Dark Mode,โหมดมืด
Switch theme appearance,สลับรูปลักษณ์ของธีม
Logout,ออกจากระบบ
Sign out of session,ออกจากระบบเซสชั่น
Select Language,เลือกภาษา
Choose your preferred language for the POS interface,เลือกภาษาที่คุณต้องการสำหรับอินเทอร์เฟซ POS
Language will be changed to,ภาษาจะเปลี่ยนเป็น
Cancel,ยกเลิก
Change Language,เปลี่ยนภาษา
Close,ปิด
Cannot change language - same language selected,ไม่สามารถเปลี่ยนภาษาได้ - เลือกภาษาเดียวกัน
Language changed successfully! Reloading...,เปลี่ยนภาษาเรียบร้อยแล้ว! กำลังโหลดซ้ำ...
Failed to change language,ไม่สามารถเปลี่ยนภาษาได้
Unknown error,ข้อผิดพลาดที่ไม่รู้จัก
- Total Unallocated,- ยอดรวมที่ไม่ได้ปันส่วน
* Required,* จำเป็น
{0} (Qty: {1}),{0} (จำนวน: {1})
{0} actions,การดำเนินการ {0}
