POS Awesome,POS Hebat
Fetch Items Directly from Server,Ambil Item Terus dari Pelayan
Menu,Menu
Actions,Tindakan
Close Shift,Tutup Shift
End current session,Tamatkan sesi semasa
Print Last Invoice,Cetak Invois Terakhir
Reprint previous transaction,Cetak semula transaksi sebelumnya
Sync Offline Invoices,Segerakkan Invois Luar Talian
Upload pending transactions,Muat naik transaksi yang belum selesai
Go Online,Pergi Dalam Talian
Go Offline,Pergi Luar Talian
Disable offline mode,Lumpuhkan mod luar talian
Work without server connection,Bekerja tanpa sambungan pelayan
Clear Cache,Kosongkan Cache
Remove local data and refresh,Alih keluar data setempat dan muat semula
About,Tentang
App information,Maklumat apl
Language,Bahasa
Change interface language,Tukar bahasa antara muka
Light Mode,Mod Cahaya
Dark Mode,Mod Gelap
Switch theme appearance,Tukar penampilan tema
Logout,Log keluar
Sign out of session,Log keluar dari sesi
Select Language,Pilih Bahasa
Choose your preferred language for the POS interface,Pilih bahasa pilihan anda untuk antara muka POS
Language will be changed to,Bahasa akan ditukar kepada
Cancel,Batal
Change Language,Tukar Bahasa
Close,tutup
Cannot change language - same language selected,Tidak boleh menukar bahasa - bahasa yang sama dipilih
Language changed successfully! Reloading...,Bahasa berjaya ditukar! Memuatkan semula...
Failed to change language,Gagal menukar bahasa
Unknown error,Ralat tidak diketahui
- Total Unallocated,- Jumlah Tidak Diperuntukkan
* Required,* Diperlukan
{0} (Qty: {1}),{0} (Kuantiti: {1})
{0} actions,{0} tindakan
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} hanya mempunyai {1} stok. Anda meminta {2}. Laraskan kuantiti atau restock.
{0} offline invoice{1} pending,{0} invois luar talian{1} belum selesai
{0} offline invoice{1} saved as draft,{0} invois luar talian{1} disimpan sebagai draf
{0} offline invoice{1} synced,{0} invois luar talian{1} disegerakkan
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}h yang lalu
{0}h ago,{0}j lalu
{0}m ago,{0}m lalu
A POS supervisor is required for this action.,Penyelia POS diperlukan untuk tindakan ini.
Access,Akses
Account,Akaun
Account is overdrawn,Akaun terlebih keluar
Acknowledge the error to resume scanning,Akui ralat untuk menyambung semula pengimbasan
Acknowledge the error to resume scanning.,Akui ralat untuk menyambung semula pengimbasan.
Across,Di seberang
Action,Tindakan
Active sale,Jualan aktif
add,tambah
Add items from the selector to start building this sale.,Tambahkan item daripada pemilih untuk mula membina jualan ini.
Add more value to an existing gift card,Tambahkan lebih nilai pada kad hadiah sedia ada
Add New Address,Tambah Alamat Baharu
Add new customer,Tambah pelanggan baharu
Add on New Line,Tambah pada Baris Baru
Add Payment,Tambah Bayaran
Add payment to invoice,Tambahkan pembayaran pada invois
Add/Edit Coupon Conditions,Tambah/Edit Syarat Kupon
