POS Awesome,POS Awesome
Fetch Items Directly from Server,Tiştên rasterast ji serverê bistînin
Menu,Menu
Actions,Actions
Close Shift,Close Shift
End current session,Danişîna heyî biqedînin
Print Last Invoice,Fatoya Dawî çap bike
Reprint previous transaction,Danûstandinên berê ji nû ve çap bikin
Sync Offline Invoices,Fanoyên Offline Sync bikin
Upload pending transactions,Danûstandinên li benda barkirin
Go Online,Biçe Online
Go Offline,Biçe Offline
Disable offline mode,Moda offline neçalak bike
Work without server connection,Bê girêdana serverê bixebite
Clear Cache,Cache paqij bike
Remove local data and refresh,Daneyên herêmî jêbirin û nûve bikin
About,About
App information,Agahdariya app
Language,Ziman
Change interface language,Zimanê navberê biguherînin
Light Mode,Moda Ronahî
Dark Mode,Moda Dark
Switch theme appearance,Nîşana mijarê biguherînin
Logout,Derketin
Sign out of session,Ji danişînê derkeve
Select Language,Ziman hilbijêrin
Choose your preferred language for the POS interface,Ji bo pêwendiya POS-ê zimanê xweya bijartî hilbijêrin
Language will be changed to,Ziman dê were guhertin
Cancel,Betal bike
Change Language,Ziman biguherînin
Close,Close
Cannot change language - same language selected,Ziman nayê guhertin - heman ziman hatiye hilbijartin
Language changed successfully! Reloading...,Ziman bi serkeftî guherî! Ji nû ve barkirin...
Failed to change language,Nekarî ziman biguhere
Unknown error,Çewtiya nenas
- Total Unallocated,- Tevahiya Unallocated
* Required,* Pêdivî ye
{0} (Qty: {1}),{0} (Qty: {1})
{0} actions,{0} çalakî
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,Di stoka {0} de tenê {1} heye. Te {2} daxwaz kir. Mîqdarê eyar bikin an nûve bikin.
{0} offline invoice{1} pending,{0} fatûreya offline{1} li bendê ye
{0} offline invoice{1} saved as draft,{0} fatûreya negirêdayî{1} wekî pêşnûma hat tomarkirin
{0} offline invoice{1} synced,{0} fatûreya offline{1} hevdem kirin
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0} roj berê
{0}h ago,{0}h berê
{0}m ago,{0} m berê
A POS supervisor is required for this action.,Ji bo vê çalakiyê çavdêrek POS-ê hewce ye.
Access,Gihîştin
Account,Account
Account is overdrawn,Hesab zêde ye
Acknowledge the error to resume scanning,Çewtiyê bipejirînin ku ji nû ve şopandinê dest pê bike
Acknowledge the error to resume scanning.,Çewtiyê bipejirînin ku ji nû ve şopandinê dest pê bike.
Across,Li seranserê
Action,Çalakî
Active sale,Firotina çalak
add,lê zêde bike
Add items from the selector to start building this sale.,Ji hilbijêrê tiştan zêde bikin da ku dest bi avakirina vê firotanê bikin.
Add more value to an existing gift card,Zêdetir nirx li qerta diyariya heyî zêde bikin
Add New Address,Navnîşana Nû lê zêde bike
Add new customer,Xerîdarek nû lê zêde bike
Add on New Line,Li Xeta Nû zêde bikin
Add Payment,Tezmînatê lê zêde bike
Add payment to invoice,Tezmînatê li fatûreyê zêde bikin
Add/Edit Coupon Conditions,Mercên Kuponê Zêde / Biguherîne
Additional Discount,Discount Additional
Additional Discount %,Daxistina Zêde %
Address Line 1,Rêza navnîşan 1
Address not found,Navnîşan nehat dîtin
Adjust the quantity or enable negative stock to continue.,Hejmarê eyar bikin an stokê neyînî bidomînin çalak bikin.
Adjustment,Adjustment
After returns,Piştî vegera
Against,Li hember
Against Name,Li hember Name
Age Bracket,Age Bracket
All,Hemû
All Caught Up!,Hemû Girtin!
All invoices are synchronized,Hemî fatûreyên hevdemkirî ne
All pending invoices are up to date,Hemî fatûreyên li bendê rojane ne
All Profiles,Hemû Profîl
All Synchronized,Hemû Senkronîzekirin
